#漢字	音標	解釋
𧾷	tsʊʔ7	çȯ̆
弑	ʂɨ5	xí
弓	kuŋ1	kūm
弔	tɪʔ7	tiė̆
弔	tiau5	tiáo
引	in3	ìn
弗	fʊʔ7	fȯ̆
弗	fuəʔ7	foĕ
弘	xuŋ2	hûm
弛	ʂɨ3	xì
弝	pa5	pá
弟	`ti3`	tì
弟	ti5	tí
弢	tʰau1	ʻtāo
弣	fu3	fù
弤	ti3	tì
弦	xiɛn2	hiên
弧	xu2	hû
弨	tʂʰau1	ʻchāo
弩	nu3	nù
弭	mi3	mì
弮	xuan5	hoán
弮	kʰyɛn1	ʻkiuēn
弮	kyɛn5	kiuén
弰	ʂau1	xāo
弰	ʂau1	xiāo
弱	ɻɔʔ7	jŏ
弴	tun1	tūn
弴	tiau1	tiāo
張	tʂaŋ1	chām
張	tʂaŋ5	chám
弶	kiaŋ5	kiám
強	kiaŋ5	kiám
弸	pəŋ1	pēm
弸	pʰəŋ2	ʻpêm
弸	piŋ1	pīm
强	kʰiaŋ2	ʻkiâm
弼	pɪʔ7	piė̆
彀	kəu5	kéu
彃	pɪʔ7	piė̆
彄	kʰəu1	ʻkēu
彆	piɛʔ7	piĕ
彇	siau1	siāo
彈	tʰan2	ʻtân
彈	tan5	tán
彉	xɔʔ7	hŏ
彊	kiaŋ1	kiām
彊	kʰiaŋ2	ʻkiâm
彊	kʰiaŋ3	ʻkiàm
彋	xuŋ2	hûm
彌	mi2	mî
彍	kuɔʔ7	kuŏ
彎	uan1	uān
彏	kiɔʔ7	kiŏ
彖	tʰuɔn5	ʻtuón
彗	uəi5	goéi 校註：goei 轄字同 uei，音標按 uei 轉寫
彗	uəi5	uéi
彘	tʂɨ5	chí
彙	uəi5	goéi 校註：goei 轄字同 uei，音標按 uei 轉寫
彙	uəi5	uéi
彚	uəi5	goéi 校註：goei 轄字同 uei，音標按 uei 轉寫
彚	uəi5	uéi
彜	i2	î
彠	xuɛʔ7	hoĕ
彠	uɔʔ7	uŏ
彠	xuɔʔ7	huŏ
彡	san1	sān
形	xiŋ2	hîm
彤	tʰuŋ2	ʻtûm
彥	iɛn5	ién
彦	niɛn5	nién
彧	iʊʔ7	iȯ̆
彪	piəu1	piēu
彫	tiau1	tiāo
彬	pin1	pīn
彭	paŋ1	pām
彭	pʰaŋ2	ʻpâm
彭	pʰəŋ2	ʻpêm
彯	pʰiau1	ʻpiāo
彯	miau3	miào
彯	pʰiau5	ʻpiáo
彰	tʂaŋ1	chām
影	iŋ3	ìm
彴	pɔʔ7	pŏ
彴	ʂɔʔ7	xŏ
彸	tʂuŋ1	chūm
役	ʏʔ7	iụ̆
彼	pi3	pì
往	uaŋ3	uàm
征	tʂɨŋ1	chīm
徂	tsʰu2	ʻçû
徂	tʂʰu2	ʻchû
待	`tai3`	tài
待	tai5	tái
徇	syn2	siûn
徇	syn5	siún
很	xən3	hèn
徉	iaŋ2	iâm
徊	xuəi2	hoêi
律	lʏʔ7	liụ̆
律	lyɛʔ7	liuĕ
後	xəu3	hèu
後	xəu5	héu
徐	tsʰy2	ʻçiụ̂
徐	sy2	siụ̂
徑	kiŋ5	kím
徒	tʰu2	ʻtû
得	tɛʔ7	tĕ
徘	pʰuəi2	ʻpoêi
徙	si3	sì
徛	kʰi1	ʻkī
從	tsʰuŋ1	ʻçūm
從	tsʰuŋ2	ʻçûm
從	tsuŋ5	çúm
從	tʂʰuaŋ2	ʻchoâm
從	tʂʰuaŋ2	ʻchuâm
徠	lai2	lâi
徠	lai5	lái
御	y5	iụ́
徦	kɛʔ7	kĕ
徦	kia3	kià
徧	piɛn5	pién
徨	xuaŋ2	hoâm
復	fɔ5	fó
復	fʊʔ7	fȯ̆
復	fəu5	féu
循	syn2	siûn
徬	pʰaŋ2	ʻpâm
徬	paŋ5	pám
微	ʋi2	vî
微	ʋi2	ûi 校註：ui 轄字同 vi，音標按 vi 轉寫
徴	tʂɨ3	chì
徵	tʂɨŋ1	chīm
德	tɛʔ7	tĕ
徹	tʂʰɛʔ7	ʻchĕ
徼	kiau1	kiāo
徼	kiau5	kiáo
徽	xuəi1	hoēi
心	sin1	sīn
必	pɪʔ7	piė̆
忉	tau1	tāo
忌	ki5	kí
忍	ɻɨn3	jìn
忒	tʰɛʔ7	ʻtĕ
忔	xɪʔ7	hiė̆
忕	ʂɨ5	xí
忖	tsʰun3	ʻçùn
志	tʂɨ5	chí
忘	ʋaŋ2	vâm
忘	ʋaŋ5	vám
忙	maŋ2	mâm
忝	tʰiɛn3	ʻtièn
忝	tʰiɛn5	ʻtién
忞	min2	mîn
忠	tʂuŋ1	chūm
忡	tʂʰuŋ1	ʻchūm
忤	u5	ú
忤	ŋu5	gú
忨	uan5	uán
忨	uɔn2	uôn
忨	uɔn5	uón
忩	tsʰuŋ1	ʻçūm
忪	tʂuŋ1	chūm
快	kʰuai5	ʻkuái
忭	piɛn5	pién
忮	tʂɨ5	chí
忯	kʰi2	ʻkî
忲	tʰai5	ʻtái
忳	tʰun2	ʻtûn
念	niɛn5	nién
忸	nʊʔ7	nȯ̆
忸	niəu3	nièu
忺	xiɛn1	hiēn
忼	kʰaŋ1	ʻkām
忼	kʰaŋ5	ʻkám
忽	xʊʔ7	hȯ̆
忽	xʊʔ7	huȯ̆
忿	fuən3	fuèn
怇	`ky3`	kiụ̀
怊	tʂʰau1	ʻchāo
怌	pʰi1	ʻpī
怌	pʰuəi1	ʻpoēi
怍	tsɔʔ7	çŏ
怏	iaŋ3	iàm
怏	iaŋ5	iám
怐	xəu5	héu
怒	nu3	nù
怒	nu5	nú
怓	nau2	nâo
怕	pʰa5	ʻpá
怕	pɔʔ7	pŏ
怖	pu5	pú
怖	pʰu5	ʻpú
怗	tʰiɛʔ7	ʻtiĕ
怙	`xu3`	hù
怚	tsy5	çiụ́
怛	taʔ7	tă
思	sɯ1	su̇̄
思	sɯ5	su̇́
怠	i2	î
怠	`tai3`	tài
怠	tai5	tái
怡	i2	î
怢	tʰʊʔ7	ʻtȯ̆
怤	fu1	fū
急	kɪʔ7	kiė̆
怦	pʰəŋ1	ʻpēm
怦	pʰiŋ1	ʻpīm
性	siŋ5	sím
怨	yɛn1	iuēn
怩	ni2	nî
怩	nɪʔ7	niė̆
怪	kuai5	kuái
怫	fʊʔ7	fȯ̆
怫	fuəʔ7	foĕ
怮	iau1	iāo
怮	iəu1	iēu
怮	iəu3	ièu
怯	kʰiɛʔ7	ʻkiĕ
怱	tsʰuŋ1	ʻçūm
怲	piŋ3	pìm
怲	piŋ5	pím
怳	xuaŋ3	hoàm
怵	tʂʰɵʔ7	ʻchụ̆
怵	sʏʔ7	sụ̆ 校註：sụ 轄字同 siụ，音標按 siụ 轉寫
怵	sʏʔ7	siụ̆
恀	tʂʰɨ3	ʻchì
恁	`ɻɨn3`	jìn
恂	syn1	siūn
恂	syn5	siún
恃	`ʂɨ3`	xì
恃	ʂɨ5	xí
恅	lau3	lào
恇	kʰuaŋ1	ʻkuām
恈	məu2	mêu
恉	tʂɨ3	chì
恍	xuaŋ3	hoàm
恐	kʰuŋ3	ʻkùm
恐	kʰiuŋ5	ʻkiúm
恑	kuəi3	kuèi
恒	kəŋ1	kēm
恒	xəŋ2	hêm
恒	kəŋ5	kém
恕	ʂʉ5	xụ́
恗	kʰu1	ʻkū
恗	kʰua1	ʻkuā
恙	iaŋ5	iám
恚	uəi5	goéi 校註：goei 轄字同 uei，音標按 uei 轉寫
恚	xuəi5	hoéi
恚	uəi5	uéi
恝	kia5	kiá
恝	kiaʔ7	kiă
恝	kiai5	kiái
恞	i2	î
恢	kʰuəi1	ʻkuēi
恣	tsɯ5	çu̇́
恧	nʊʔ7	nȯ̆
恨	xən5	hén
恩	ŋən1	gēn
恪	kʰɔʔ7	ʻkŏ
恪	kʰiɔʔ7	ʻkiŏ
恫	tʰuŋ1	ʻtūm
恫	tuŋ5	túm
恬	tʰiɛn2	ʻtiên
恭	kuŋ1	kūm
息	sɪʔ7	siė̆
恰	kʰiaʔ7	ʻkiă
恾	maŋ2	mâm
悀	iuŋ3	iùm
悁	yɛn1	iuēn
悁	kyɛn5	kiuén
悃	kʰuən3	ʻkuèn
悄	tsʰiau3	ʻçiào
悄	tsʰiau5	ʻçiáo
悅	yɛʔ7	iuĕ
悆	y5	iụ́
悈	kiai5	kiái
悉	sɪʔ7	siė̆
悋	lin5	lín
悌	`ti3`	tì
悌	ti5	tí
悍	xan3	hàn
悍	xan5	hán
悏	xiaʔ7	hiă
悒	ɪʔ7	iė̆
悔	xuəi3	hoèi
悔	xuəi5	hoéi
悖	pʰʊʔ7	ʻpȯ̆
悗	muɔn2	muôn
悚	suŋ3	sùm
悛	tsʰyn1	ʻçiūn
悛	tsʰyɛn1	ʻçiuēn
悝	kʰuəi1	ʻkuēi
悟	u5	ú
悟	ŋu5	gú
悠	iəu1	iēu
悠	iəu2	iêu
悢	liaŋ5	leám
患	xuan2	hoân
患	xuan5	hoán
悰	tsʰuŋ2	ʻçûm
悱	fi3	fì
悲	pi1	pī
悲	puəi1	poēi
悴	tsui5	çúi
悵	tʂʰaŋ5	ʻchám
悶	muən5	muén
悷	li5	lí
悸	ki5	kí
悹	kuɔn5	kuón
悺	kuɔn3	kuòn
悻	xiŋ3	hìm
悼	tau5	táo
悽	tsʰi1	ʻçī
悾	kʰuŋ1	ʻkūm
悾	kʰuŋ3	ʻkùm
悾	kʰuŋ5	ʻkúm
悾	kʰiaŋ1	ʻkiām
惂	kʰan3	ʻkàn
惄	nɪʔ7	niė̆
情	tsʰiŋ2	ʻçîm
惆	tʂʰəu2	ʻchêu
惇	tʂʉn1	chūn
惇	tun1	tūn
惉	tʂʰɛn1	ʻchēn
惉	tʂʰɛn1	ʻchiēn
惋	uɔn5	uón
惌	uɔn3	uòn
惌	yɛn3	iuèn
惎	ki5	kí
惑	xuɛʔ7	hoĕ
惓	kʰyɛn2	ʻkiuên
惔	tʰan2	ʻtân
惔	`tan3`	tàn
惔	iɛn2	iên
惕	tʰɪʔ7	ʻtiė̆
惘	ʋaŋ3	vàm
惙	tʂuɛʔ7	chuĕ
惚	xʊʔ7	hȯ̆
惚	xʊʔ7	huȯ̆
惛	xuən1	hoēn
惛	xuən5	hoén
惜	sɪʔ7	siė̆
惟	ʋi2	vî
惟	ʋi2	ûi 校註：ui 轄字同 vi，音標按 vi 轉寫
惟	uəi2	goêi 校註：goei 轄字同 uei，音標按 uei 轉寫
惟	uəi2	uêi
惠	xuəi5	hoéi
惡	ɔʔ7	ŏ
惡	u1	ū
惡	u5	ú
惡	ia5	iá
惰	tʰɔ3	ʻtò
惰	tɔ5	tó
惱	nau3	nào
惲	yn3	iùn
惲	uən3	uèn
想	siaŋ3	siàm
惴	tʂui5	chúi
惵	iɛʔ7	iĕ
惵	tiɛʔ7	tiĕ
惶	xuaŋ2	hoâm
惷	tʂʰʉn3	ʻchùn
惸	kʰiuŋ2	ʻkiûm
惹	ɻɛ3	jè
惺	siŋ1	sīm
惺	siŋ3	sìm
惼	piɛn3	pièn
愀	tsʰiau3	ʻçiào
愁	tsʰəu2	ʻçêu
愁	tsiəu1	çiēu
愅	kɛʔ7	kĕ
愆	kʰiɛn1	ʻkiēn
愇	uəi3	goèi 校註：goei 轄字同 uei，音標按 uei 轉寫
愇	uəi3	uèi
愈	y2	iụ̂
愈	y3	iụ̀
愉	y2	iụ̂
愊	pɪʔ7	piė̆
愊	`pʰɪʔ7`	ʻpiė̆
愍	min3	mìn
愎	pɪʔ7	piė̆
意	i5	í
愒	kʰai5	ʻkái
愒	kiɛʔ7	kiĕ
愓	ʂaŋ1	xām
愓	`taŋ3`	tàm
愓	taŋ5	tám
愓	ʂaŋ5	xám
愔	in1	īn
愕	ŋɔʔ7	gŏ
愕	u5	ú
愕	ŋu5	gú
愕	niɔʔ7	niŏ
愚	y2	iụ̂
愛	ŋai5	gái
愜	kʰiɛʔ7	ʻkiĕ
愞	nɔ5	nó
愞	ɻuɛn3	juèn
愞	ɻuɛn5	juén
愞	nuɔn3	nuòn
愞	nuɔn5	nuón
感	kan3	kàn
愠	yn3	iùn
愠	uən5	uén
愡	tsuŋ3	çùm
愨	kʰiɔʔ7	ʻkiŏ
愪	yn3	iùn
愫	su5	sú
愬	sɛʔ7	sĕ
愭	kʰi2	ʻkî
愮	iau2	iâo
愲	kʊʔ7	kȯ̆
愴	tsʰaŋ1	ʻçām
愴	tʂʰaŋ1	ʻchām
愴	tʂʰuaŋ5	ʻchoám
愴	tʂʰuaŋ5	ʻchuám
愵	nɪʔ7	niė̆
愶	xiɛʔ7	hiĕ
愷	kʰai3	ʻkài
愼	ʂɨn5	xín
愾	xi5	hí
愾	kʰai5	ʻkái
愾	xɪʔ7	hiė̆
愿	yɛn5	iuén
慁	xuən5	hoén
慂	iuŋ3	iùm
慄	lɪʔ7	liė̆
慅	sau1	sāo
慆	tʰau1	ʻtāo
慇	in1	īn
慇	in3	ìn
慈	tsʰɯ2	ʻçu̇̂
慉	tʂʰʊʔ7	ʻchȯ̆
慉	xiʊʔ7	hiȯ̆
慊	kʰiɛʔ7	ʻkiĕ
慊	kʰiɛn3	ʻkièn
態	tʰai5	ʻtái
慌	xuaŋ1	hoām
慍	yn5	iún
慍	uən3	uèn
慒	tsʰuŋ2	ʻçûm
慒	tsʰiəu2	ʻçiêu
慒	siəu2	siêu
慓	pʰiau1	ʻpiāo
慓	pʰiau3	ʻpiào
慓	pʰiau5	ʻpiáo
慔	mu5	mú
慕	mu5	mú
慖	kuəi5	kuéi
慘	tsʰan3	ʻçàn
慙	tsʰan2	ʻçân
慙	tʂʰan2	ʻchân
慚	san5	sán
慝	tʰɛʔ7	ʻtĕ
慟	tuŋ5	túm
慠	ŋau5	gáo
慢	man5	mán
慣	kuan5	kuán
慣	kuɔn5	kuón
慥	tsʰau5	ʻçáo
慧	xuəi5	hoéi
慨	kʰai5	ʻkái
慫	suŋ3	sùm
慬	kʰin2	ʻkîn
慮	ly2	liụ̂
慮	ly5	liụ́
慰	uəi5	goéi 校註：goei 轄字同 uei，音標按 uei 轉寫
慰	uəi5	uéi
慱	tʰuɔn2	ʻtuôn
慳	kʰiɛn1	ʻkiēn
慴	tʂɛʔ7	chĕ
慵	ɻuŋ2	jûm
慵	ʂuŋ2	xûm
慶	kʰiŋ5	ʻkím
慶	kʰiaŋ1	ʻkiām
慷	kʰaŋ1	ʻkām
慷	kʰaŋ3	ʻkàm
慹	tʂəʔ7	chė̆
慹	ʂɨ5	xí
慹	niɛʔ7	niĕ
慺	ləu2	lêu
慺	ly2	liụ̂
慼	tsʰɪʔ7	ʻçiė̆
慾	iʊʔ7	iȯ̆
憀	liəu2	liêu
憁	tsʰuŋ5	ʻçúm
憂	iəu1	iēu
憃	tʂʰuŋ1	ʻchūm
憃	ʂuŋ1	xūm
憃	tʂʰuŋ5	ʻchúm
憃	tʂʰuaŋ1	ʻchoām
憃	tʂuaŋ5	choám
憃	tʂʰuaŋ1	ʻchuām
憃	tʂuaŋ5	chuám
憊	pai5	pái
憋	pʰiɛʔ7	ʻpiĕ
憍	kiau1	kiāo
憎	tsəŋ1	çēm
憐	liŋ2	lîm
憐	liɛn2	liên
憑	pʰiŋ2	ʻpîm
憒	kuəi5	kuéi
憓	xuəi5	hoéi
憔	tsʰiau2	ʻçiâo
憕	tʂʰɨŋ2	ʻchîm
憖	in5	ín
憙	xi5	hí
憚	tɔ3	tò
憚	tʰan1	ʻtān
憚	tan3	tàn
憚	tan5	tán
憛	tʰan5	ʻtán
憝	`tui3`	tùi
憝	tui5	túi
憞	`tui3`	tùi
憤	fuən3	fuèn
憤	fuən5	fuén
憧	tʂʰuŋ1	ʻchūm
憧	tʂuaŋ5	choám
憧	tʂuaŋ5	chuám
憨	xan1	hān
憩	kʰi5	ʻkí
憪	xiɛn2	hiên
憫	min3	mìn
憬	kiuŋ3	kiùm
憭	liau3	leào
憮	ʋu3	vù
憲	xiɛn3	hièn
憲	xiɛn5	hién
憴	ʂɨŋ2	xîm
憶	ɪʔ7	iė̆
憷	tsʰu3	ʻçù
憷	tʂʰu3	ʻchù
憷	tʂʰu5	ʻchú
憸	siɛn1	siēn
憺	`tan3`	tàn
憺	tan5	tán
憾	`xan3`	hàn
憾	xan5	hán
憿	kiau1	kiāo
懀	uəi5	goéi 校註：goei 轄字同 uei，音標按 uei 轉寫
懀	uəi5	uéi
懁	xyɛn1	hiuēn
懂	tuŋ3	tùm
懃	kʰin2	ʻkîn
懅	ky5	kiụ́
懆	tsʰau3	ʻçào
懇	kʰən3	ʻkèn
懈	kiai5	kiái
懈	xiai5	hiái
應	iŋ1	īm
應	iŋ5	ím
懊	ŋau3	gào
懊	ŋau5	gáo
懌	ɪʔ7	iė̆
懔	lin3	lìn
懕	iɛn1	iēn
懘	tʂʰɨ3	ʻchì
懘	tʂʰɨ5	ʻchí
懙	y2	iụ̂
懜	məŋ5	mém
懜	muŋ2	mûm
懜	muŋ5	múm
懞	muŋ3	mùm
懟	tʂui5	chúi
懠	tsi1	çī
懠	tsi5	çí
懢	lan5	lán
懣	muɔn3	muòn
懦	ɻʉ2	jụ̂
懦	nəu5	néu
懨	iɛn3	ièn
懩	iaŋ3	iàm
懪	pɔʔ7	pŏ
懫	tʂɨ5	chí
懬	kʰuaŋ5	ʻkuám
懭	kuŋ3	kùm
懭	kuəŋ3	kuèm
懮	iəu3	ièu
懯	fu1	fū
懰	liəu2	liêu
懰	liəu3	lièu
懱	miɛʔ7	miĕ
懲	tʂʰɨŋ2	ʻchîm
懴	tʂʰan5	ʻchán
懵	muŋ2	mûm
懵	muŋ3	mùm
懷	xuai2	hoâi
懹	ɻaŋ5	jám
懻	ki5	kí
懼	ky5	kiụ́
懽	kuɔn5	kuón
懿	i5	í
戀	lyɛn5	liuén
戁	nan3	nàn
戄	tʰɔʔ7	ʻtŏ
戄	kiɔʔ7	kiŏ
戈	kɔ1	kō
戈	kuɔ1	kuō
戊	məu5	méu
戌	sʏʔ7	siụ̆
戍	ʂʉ5	xụ́
戍	sʏʔ7	sụ̆ 校註：sụ 轄字同 siụ，音標按 siụ 轉寫
戎	ɻuŋ2	jûm
成	tʂʰɨŋ2	ʻchîm
成	ʂɨŋ2	xîm
我	ŋɔ3	gò
戒	kiai5	kiái
戔	tsiɛn1	çiēn
戕	tsaŋ1	çām
戕	tsʰiaŋ2	ʻçiâm
或	xuɛʔ7	hoĕ
戚	tsʰɪʔ7	ʻçiė̆
戛	kiaʔ7	kiă
戢	tsɪʔ7	çiė̆
戣	kʰuəi2	ʻkuêi
戨	kɔ1	kō
戩	tsiɛn3	çièn
戩	tsiɛn5	çién
截	tsiɛʔ7	çiĕ
戭	in3	ìn
戭	iɛn3	ièn
戮	lʊʔ7	lȯ̆
戮	liau2	leâo
戮	liəu2	liêu
戮	liəu5	liéu
戯	xi1	hī
戯	xi5	hí
戰	tʂɛn5	chén
戰	tʂɛn5	chién
戴	tai5	tái
戵	kʰy2	ʻkiụ̂
戶	xu3	hù
戺	`ʂɨ3`	xì
戺	sɯ3	su̇̀
戾	li5	lí
戾	liɛʔ7	liĕ
房	pʰaŋ2	ʻpâm
房	faŋ2	fâm
所	sɔ3	sò
所	su3	sù
扁	pʰiɛn1	ʻpiēn
扁	piɛn3	pièn
扁	`piɛn3`	pièn
扂	`tiɛn3`	tièn
扃	kiuŋ1	kiūm
扅	i2	î
扆	i3	ì
扇	ʂɛn1	xēn
扇	ʂɛn5	xén
扇	ʂɛn1	xiēn
扇	ʂɛn5	xién
扈	`xu3`	hù
扉	fi1	fī
手	ʂəu3	xèu
手	ʂəu3	xièu
才	tsʰai2	ʻçâi
扎	tʂaʔ7	chă
扐	lɛʔ7	lĕ
扑	pʰɔʔ7	ʻpŏ
扑	pʰʊʔ7	ʻpȯ̆
扒	pai5	pái
打	tʰa3	ʻtà
打	tiŋ3	tìm
扔	ɻəŋ5	jém
扛	kaŋ1	kām
扛	kiaŋ1	kiām
扞	xan5	hán
扠	tʂʰa1	ʻchā
扡	tʰɔ5	ʻtó
扢	kai5	kái
扣	kʰəu3	ʻkèu
扣	kʰəu5	ʻkéu
扤	ŋʊʔ7	guŏ 校註：guo 拼寫疑誤，當作 gȯ
扮	fuən3	fuèn
扳	pan1	pān
扳	pʰan5	ʻpán
扴	kiaʔ7	kiă
扶	fu1	fū
扶	fu2	fû
批	pʰi3	ʻpì
批	piɛʔ7	piĕ
承	tsəŋ5	çém
承	tʂʰɨŋ2	ʻchîm
承	ʂɨŋ2	xîm
技	`ki3`	kì
技	ki5	kí
抃	piɛn5	pién
抆	ʋuən3	vèn 校註：ven 拼寫疑誤，當作 vuen
抆	ʋuən5	vén 校註：ven 拼寫疑誤，當作 vuen
抉	kyɛʔ7	kiuĕ
把	pa3	pà
把	pa5	pá
抑	ɪʔ7	iė̆
抒	`tʂʉ3`	chụ̀
抒	ʂʉ3	xụ̀
抓	tʂau5	cháo
抔	pʰəu2	ʻpêu
投	tʰəu2	ʻtêu
抗	kʰaŋ5	ʻkám
折	tʂɛʔ7	chĕ
折	ʂɛʔ7	xĕ
折	tʰi2	ʻtî
抛	pʰau1	ʻpāo
抦	piŋ3	pìm
抨	pʰəŋ1	ʻpēm
抪	pu5	pú
披	pʰa5	ʻpá
披	pʰi1	ʻpī
披	pʰi3	ʻpì
披	pi5	pí
披	pʰuəi1	ʻpoēi
抭	iəu2	iêu
抯	tʂa1	chā
抱	`pau3`	pào
抳	ni3	nì
抳	nɪʔ7	niė̆
抴	iɛʔ7	iĕ
抵	tʂɨ3	chì
抶	tʂʰəʔ7	ʻchė̆
抹	mɔʔ7	mŏ
押	iaʔ7	iă
押	kiaʔ7	kiă
抽	tʂʰəu1	ʻchēu
抾	kʰy1	ʻkiụ̄
拂	fʊʔ7	fȯ̆
拂	fuəʔ7	foĕ
拄	tʂʉ3	chụ̀
拇	mu3	mù
拇	məu3	mèu
拉	laʔ7	lă
拌	pʰuɔn1	ʻpuōn
拍	pʰɛʔ7	ʻpĕ
拍	pɔʔ7	pŏ
拏	nu2	nû
拑	kʰiɛn2	ʻkiên
拒	ky3	kiụ̀
拒	`ky3`	kiụ̀
拓	tʰɔʔ7	ʻtŏ
拔	paʔ7	pă
拔	pɔʔ7	pŏ
拕	`tɔ3`	tò
拕	tʰɔ5	ʻtó
拖	tʰɔ1	ʻtō
拖	tʰɔ5	ʻtó
拗	iʊʔ7	iȯ̆
拗	iau3	iào
拗	iau5	iáo
拘	kəu1	kēu
拘	ky1	kiụ̄
拙	tʂuɛʔ7	chuĕ
拙	kyɛʔ7	kiuĕ
拚	piɛn5	pién
拚	fuən5	fuén
招	tʂau1	chāo
招	kʰiau2	ʻkiâo
拜	pai5	pái
拫	xən2	hên
括	kuɔʔ7	kuŏ
括	xuɔʔ7	huŏ
拭	ʂəʔ7	xė̆
拮	kiɛʔ7	kiĕ
拮	kɪʔ7	kiė̆
拯	tʂɨŋ3	chìm
拱	kuŋ3	kùm
拲	kiʊʔ7	kiȯ̆
拲	kuŋ3	kùm
拳	kʰyɛn2	ʻkiuên
拴	tsʰyɛn1	ʻçiuēn
拶	tsaʔ7	çă
拶	tsɔʔ7	çŏ
拸	tʂʰɨ3	ʻchì
拹	xiɛʔ7	hiĕ
拻	puəi5	poéi
拽	i5	í
拾	ʂɛʔ7	xĕ
拾	ʂəʔ7	xė̆
拾	kiɛʔ7	kiĕ
拿	na3	nà
持	tʂʰɨ2	ʻchî
挂	kua5	kuá
挃	tʂəʔ7	chė̆
挅	tɔ3	tò
指	tʂɨ3	chì
挈	kʰi5	ʻkí
挈	kʰiɛʔ7	ʻkiĕ
按	ŋan5	gán
挌	kɛʔ7	kĕ
挌	xɔʔ7	hŏ
挍	kiau3	kiào
挍	kiau5	kiáo
挏	tʰuŋ2	ʻtûm
挏	`tuŋ3`	tùm
挐	na2	nâ
挐	ny2	niụ̂
挑	tʰau1	ʻtāo
挑	tʰiau1	ʻtiāo
挑	tiau3	tiào
挑	tʰiau3	ʻtiào
挨	iai1	iāi
挫	tsʰɔ5	ʻçó
挭	kəŋ3	kèm
振	tʂɨn1	chīn
振	tʂɨn5	chín
挱	sɔ1	sō
挶	kiʊʔ7	kiȯ̆
挺	tʰiŋ2	ʻtîm
挺	tiŋ3	tìm
挺	tʰiŋ3	ʻtìm
挻	ʂɛn1	xēn
挻	ʂɛn1	xiēn
挼	nɔ2	nô
挼	sui1	sūi
挼	nui2	nûi
挾	xiɛʔ7	hiĕ
捂	u5	ú
捂	ŋu5	gú
捃	kyn5	kiún
捄	ky1	kiụ̄
捄	kiəu1	kiēu
捄	kʰiəu2	ʻkiêu
捅	tʰuŋ3	ʻtùm
捆	kʰuən3	ʻkuèn
捈	tʰu2	ʻtû
捉	tʂɔʔ7	chŏ
捋	lɔʔ7	lŏ
捋	lyɛʔ7	liuĕ
捎	ʂau1	xāo
捎	ʂau1	xiāo
捏	niɛʔ7	niĕ
捐	yɛn2	iuên
捒	tsʰɛʔ7	ʻçĕ
捔	kiɔʔ7	kiŏ
捕	pu5	pú
捖	xuan3	hoàn
捖	xuɔn3	huòn
捘	tsun5	çún
捘	tsʰyn1	ʻçiūn
捧	pʰəŋ3	ʻpèm
捧	fuŋ3	fùm
捨	ʂɛ3	xè
捩	liɛʔ7	liĕ
捫	muən2	muên
捬	fu3	fù
捭	pɛʔ7	pĕ
据	ky1	kiụ̄
捲	kʰyɛn2	ʻkiuên
捴	tsuŋ3	çùm
捶	tɔ3	tò
捶	tʂui3	chùi
捷	tʂʰaʔ7	ʻchă
捷	tsiɛʔ7	çiĕ
捺	naʔ7	nă
捻	niɛʔ7	niĕ
捼	nui2	nûi
捽	tsʊʔ7	çȯ̆
捽	tsuʔ7	çŭ
捾	uɔʔ7	uŏ
捿	si1	sī
掀	xiɛn1	hiēn
掁	tsʰəŋ2	ʻçêm
掁	tʂʰəŋ2	ʻchêm
掃	sau3	sào
掃	sau5	sáo
掄	lun2	lûn
掄	lyn2	liûn
掅	tsʰiŋ5	ʻçím
掆	kaŋ1	kām
掇	tɔʔ7	tŏ
授	`ʂəu3`	xèu
授	ʂəu5	xéu
授	ʂəu5	xiéu
掉	nɔʔ7	nŏ
掉	tiau3	tiào
掉	tiau5	tiáo
掊	pʰəu2	ʻpêu
掊	pəu3	pèu
掊	pʰəu3	ʻpèu
掌	tʂaŋ3	chàm
掍	kuən3	kuèn
掏	tʰau2	ʻtâo
掐	kʰiaʔ7	ʻkiă
排	pʰai2	ʻpâi
掔	kʰiɛn1	ʻkiēn
掖	ɪʔ7	iė̆
掘	kʏʔ7	kiụ̆
掘	kyɛʔ7	kiuĕ
掚	liaŋ3	leàm
掛	kua5	kuá
掛	kuai3	kuài
掜	i3	ì
掞	ʂɛn5	xén
掞	ʂɛn5	xién
掟	tiŋ5	tím
掠	liɔʔ7	liŏ
掠	liaŋ5	leám
探	tʰan1	ʻtān
探	tʰan5	ʻtán
掣	tʂʰɛʔ7	ʻchĕ
掤	pʰəŋ2	ʻpêm
掤	piŋ1	pīm
接	tsiɛʔ7	çiĕ
控	kʰuŋ5	ʻkúm
控	kʰiaŋ1	ʻkiām
推	tʂʰui1	ʻchūi
推	tʰui1	ʻtūi
掩	iɛn3	ièn
措	tsʰɔʔ7	ʻçŏ
措	tsʰu5	ʻçú
掫	tsəu1	çēu
掫	tsəu3	çèu
掫	tsy1	çiụ̄
掫	tsiəu1	çiēu
掬	kiʊʔ7	kiȯ̆
掾	iɛn5	ién
掾	yɛn5	iuén
揀	liɛn5	lién
揃	tsiɛn3	çièn
揄	tʰəu2	ʻtêu
揄	`təu3`	tèu
揄	y2	iụ̂
揄	iau2	iâo
揆	kʰuəi2	ʻkuêi
揆	kuəi3	kuèi
揉	ɻəu2	jêu
揉	ɻəu3	jèu
