#漢字	音標	解釋
㮇	tʰiẽ5	~笔
執	tʂʅ7	~行
擴	kʰo7	~充
掃	sau3	~地
掃	sau5	~帚
揚	iaŋ2	
扭	ȵiəu3	~伤
扮	pã5	乔装打~
扯	tʂʰe3	~么东西:扯什么东西
擾	ʐau3	
扳	pã1	
扶	fu2	
批	pʰi1	~准
扼	ŋo7	
扽	tən1	
找	tsau3	~零钱
找	tʂau3	~东西
承	tʂʰən2	
承	ʂən2	
技	tɕi5	~术
抄	tsʰau1	~写
把	pɒ3	~握,~守
抑	i7	
抓	tsɒ1	~生产
投	tʰəu2	
抖	təu3	
抗	kʰaŋ5	
折	tʂa7	~叠
折	tʂa7	~断
折	ʂa7	~本:做生意亏了。
撫	fu3	~摸
抛	pʰau1	~开
摳	kʰəu1	~门
搶	tɕʰiaŋ3	
護	xu6	
報	pau5	~纸
披	pʰi1	
抬	tʰai2	
抱	pau6	
抵	ti3	~债
抹	mo7	
抹	mɒ7	~布,抹桌子
押	ŋɒ7	
押	iɒ7	~宝,
抽	tʂʰəu1	
抿	min3	~嘴
拄	tʂʯ3	~拐杖
擔	tã1	~任
擔	tã5	挑~
拆	tsʰa7	
拇	mo3	
拈	ȵiẽ2	~起来
拉	lɒ7	
拌	põ6	
拌	pən6	搅~
拍	pʰa7	
拎	lin1	
拐	kuai3	~杖
拒	tʂʯ5	
拔	pɒ7	~萝卜
拖	tʰo1	
拘	tʂʯ1	~留
拙	tʂʯa7	笨~
招	tʂau1	~手
拜	pai5	
擬	ȵi3	
攏	loŋ3	
揀	kã3	~东西。另读tɕiẽ²⁴
揀	tɕiẽ3	~东西。另读kã²⁴
擁	ioŋ3	
攔	lã2	
撥	po7	
擇	tsʰa7	选~
括	kʰua7	包~
拯	tʂən3	~救
拱	koŋ3	~手
拳	tʂʰõ2	~头
拴	sõ1	~住
拼	pʰin1	
拽	tʂʯa7	~开:打开。
拾	ʂʅ7	~起来
拿	nɒ2	~东西
持	tʂʰʅ2	
挂	kuɒ5	
指	tʂʅ3	~出
按	ŋã5	
挑	tʰiau1	~水
挖	uɒ7	
撓	nau3	~痒
擋	taŋ3	阻~
擠	tɕi3	好~
揮	xui1	~手
挨	ŋai1	~近
挪	no3	~动
振	tʂən5	
挺	tʰin3	
挽	uã3	
挾	kɒ7	~菜
挾	tɕiɒ7	~菜。另读kɒ⁵⁴
捅	tʰoŋ3	
捆	kʰun3	
捉	tso7	
捋	lo5	~袖
捎	sau1	~带
捏	ȵie7	
捐	tʂõ1	~献
捕	pu6	
撈	lau2	
損	sən3	
換	xuõ6	
捧	pʰoŋ3	
捨	ʂʯe3	舍不得。另读ʂʯa²⁴
据	tʂʯ5	收~
捱	ŋai2	~打
捷	tɕie7	
捺	nɒ1	撇~
掀	ɕiẽ1	~开
掂	tiẽ5	~掇
掇	to7	拾~
授	ʂəu6	
掉	tiau5	~头
掌	tʂaŋ3	
掏	tʰau1	~东西
掐	kʰɒ7	
掐	tɕʰiɒ7	
排	pʰai2	
掘	tʂʯa7	
掘	tʂʯa7	挖~
掠	lio7	
探	tʰã5	试~
接	tɕie7	~受
控	kʰoŋ5	
推	tʰei1	
掩	ŋã3	~点门
掩	iẽ3	~点门。另读ŋã²⁴
措	tsʰo5	~置
撣	tã3	~灰尘
揉	ʐəu2	~一揉
描	miau2	
提	tʰi2	~东西
插	tsʰɒ7	
揖	i7	
握	uo5	~手。另读u²¹³。
握	u5	另读uo²¹³
揢	kʰɒ1	捕,捉
揩	kʰai1	~一下:擦一下
揪	tɕʰiəu1	一把~住
援	ʐõ2	~救
攬	lã3	
攙	tsʰã1	~扶。另读tʂʰã³¹
攙	tʂʰã1	~扶。另读tsʰã³¹
擱	ko7	
摟	ləu1	~取
摟	ləu3	抱
攪	kau3	~水
攪	tɕiau3	~拌
搉	kʰo7	~蒜。另读kʰo²⁴
搉	kʰo3	另读kʰo⁵⁴
搊	tsʰəu1	~起来
搓	tsʰo1	~麻将
搜	səu1	
搡	soŋ5	~人家:用手推人
搬	pən1	
搬	põ1	
搭	tɒ7	
搽	tsʰɒ2	
攝	ʂa7	~影
摆	pai3	
摇	iau2	
攤	tʰã1	
摔	ʂʯai1	~跤
摘	tsa7	
摞	lo2	~起来
摩	mo2	按~
摸	mo1	
摹	mo2	~仿
撇	pʰie7	~捺
撑	tsʰən1	
撑	tsʰən5	椅子~儿,斜撑
撒	sɒ3	~种
撕	tsɿ1	~开
撙	tsʰən3	~住:按住
撚	ȵiẽ3	以指~碎
撞	tsaŋ6	
撤	tʂʰa7	~退
撩	liau2	~起来
撮	tso7	一~米
攆	ȵiẽ3	~走
撼	xã6	~动
擀	kã3	~面
操	tsʰau1	~作
擎	tɕʰin2	
擒	tɕʰin2	
擖	kʰuɒ7	用刀刮
擦	tsʰɒ7	
攀	pʰã1	
攮	naŋ3	~子
支	tʂʅ1	
收	ʂəu1	
改	kai3	
攻	koŋ1	~击
放	aŋ5	
放	tsoŋ5	
政	tʂən5	
故	ku5	
效	ɕiau6	~果
敵	ti7	
敏	min3	
救	tɕiəu5	~人
教	kau1	~你
教	tɕiau1	~书
教	tɕiau5	~育
斂	liẽ3	收~
敢	kã3	
散	sã5	分~
散	sã3	鞋带~了
敦	tən1	
㪗	tʰəu3	展开,~一下
敬	tɕin5	
數	səu3	动词
數	səu5	名词
敲	kʰau1	
敲	tɕʰiau1	
整	tʂən3	
整	kən3	
敷	fu1	~药
文	un2	
齋	tsai1	
斑	pã1	
斗	təu3	升~
斗	təu5	打~
料	liau6	
斛	xu7	
斜	ɕie2	~了:歪了
斟	tʂən1	~酌
斤	tɕin1	
斥	tʂʰʅ7	
斧	fu3	~头
斬	tsã3	
斷	tõ6	~绝
斷	tõ6	决~
斯	sɿ1	~文
新	ɕin1	
方	faŋ1	
施	ʂʅ1	
旁	pʰaŋ2	~边
旅	li3	~游
旋	ɕiẽ2	
旋	ɕiẽ5	~吃旋做
族	tsʰəu7	~长
旗	tɕʰi2	
無	u2	
既	tɕi5	~往不咎
日	ʐʅ7	
旦	tã1	
舊	tɕiəu6	
旨	tʂʅ3	
早	tsau3	
旬	ɕin2	
旱	xã6	干~
時	ʂʅ2	~间
曠	kʰuaŋ5	
旺	uaŋ6	兴~
昂	ŋaŋ2	
昆	kʰun1	
昌	tʂʰaŋ1	
明	min2	
昏	xun1	
易	i5	
易	i7	
昔	ɕi7	
星	ɕin1	
映	in5	
春	tʂʰʯn1	
昧	mei6	
昨	tso7	~天
昭	tʂau1	
是	ʂʅ6	
晝	əu5	下~
顯	ɕiẽ3	
晃	xuaŋ6	~眼
晉	tɕin5	
晌	ɕiaŋ3	~午
晏	ŋã5	晚也
曬	sai5	
曉	ɕiau3	
暈	ʐʯn6	
晚	uã3	
晦	xui5	~气
晨	tʂʰən2	早~
普	pʰu3	
景	tɕin3	
晴	tɕʰin2	
晶	tɕin1	
智	tʂʅ5	
暫	tsã6	~时
暑	ʂʯ3	红~
暖	nõ3	
暗	ŋã5	
暮	mo5	
暴	pau5	~雨
曰	ʐʯa7	
曲	tɕʰiəu7	~折
更	kən1	~换
更	kən5	~加
曹	tsʰau2	
曾	tsʰən2	~经
曾	tsən1	姓
替	tʰi5	~代
最	tsei5	
月	ʐʯa7	
有	iəu3	
朋	pʰoŋ2	
服	fu7	
朔	so7	
朗	laŋ3	~读
望	uaŋ6	
朝	tʂʰau2	~代
朝	tʂau1	今~
期	tɕʰi2	时~
木	mo7	
未	ui6	
末	mo7	
本	pən3	
札	tsɒ7	
术	ʂʯ7	
术	ʂʯ7	白~
朱	tʂʯ1	
朴	pʰu7	
朶	to3	一~
機	tɕi1	
朽	ɕiəu3	
殺	sɒ7	~人
雜	tsɒ7	
權	tʂʰõ2	~力
杆	kã3	
杈	tsʰɒ1	枝~
杉	sã1	
杌	u7	~凳
李	li3	
杏	ɕin5	
材	tsʰai2	
村	tsʰən1	
杖	tʂaŋ6	
杜	təu2	姓
杞	tɕi3	枸~
束	səu7	
杠	kaŋ5	
條	tʰiau2	
來	lai2	
楊	iaŋ2	
杯	pei1	茶~
杰	tɕie7	
杳	miau3	~无音信
杷	pʰɒ1	枇~
松	tsʰoŋ1	~树。另读soŋ³¹
松	soŋ1	另读tshoŋ³¹
板	pã3	
極	tɕi7	
構	kəu5	~成
枇	pʰi2	~杷
枉	uaŋ3	
析	ɕi7	
枕	tʂən3	
枕	tʂən3	动词
林	lin2	
枚	mi2	
枚	mei2	
果	ko3	
枝	tʂʅ1	
樞	tʂʰʯ1	~纽
棗	tsau3	
槍	tɕʰiaŋ1	
楓	foŋ1	
枯	kʰu1	枯~
枵	ɕiau1	~儿:床板很薄
架	kɒ5	
架	tɕiɒ5	
柄	pin5	
柏	pa7	
某	məu3	~人
柑	kã1	
染	ʐõ3	
柔	ʐəu2	
柚	iəu5	~子
櫃	kui6	~儿
查	tsʰɒ2	调~
柩	tɕiəu5	葬~
柬	tɕiẽ3	
柱	tʂʯ6	~子
柳	liəu3	
柴	tsʰai2	
柿	tsɿ6	~子
梔	tʂʅ1	~子花
栅	tʂa7	
標	piau1	~枪
棧	tsã6	
棟	toŋ5	
欄	lã2	
樹	ʂʯ6	
栖	ɕi1	
栗	li7	
校	ɕiau5	~对
校	ɕiau6	上~
校	ɕiau5	学~
株	tʂʯ1	
樣	iaŋ6	~子
核	xa7	
核	xa7	审~
核	xa7	果子~
根	kən1	
格	ka7	
栽	tsai1	~树
栿	fu7	
桂	kui5	~花
桃	tʰau2	~子
桅	ui2	~杆
案	ŋã5	
桌	tso7	
桐	tʰoŋ2	
桑	saŋ1	
桓	xuõ2	
椏	ŋɒ1	树~儿
橋	tɕʰiau2	
檜	kʰui5	~子手
槳	tɕiaŋ3	
樁	tsaŋ1	
桶	tʰoŋ3	
梁	liaŋ2	
梅	mi2	
梅	mei2	
梓	tsɿ3	
梗	kuã5	~儿
梢	sau1	树~
夢	moŋ6	
梧	u3	~桐
梨	li2	
梭	so1	~布
梯	tʰi1	~子
械	tɕiai5	机~
梳	səu1	~头
檢	tɕiẽ3	~查
棉	miẽ2	~花
棋	tɕʰi2	
棍	kun5	
棒	paŋ5	
棕	tsoŋ1	
棚	pʰoŋ2	
棠	tʰaŋ2	
森	sən1	~林
棵	kʰo1	
棺	kuõ1	~材
椅	i3	
植	tʂʅ7	
椒	tɕiau1	胡~
橢	tʰo3	~圆
椿	tʂʰʯn1	~树
楂	tsɒ1	山~
楚	tsʰəu3	
楞	lən5	
楣	mei2	
楦	ʂʯõ5	鞋~子
楷	kʰai3	~书
樓	ləu2	
概	kai5	大~
欖	lã3	
榆	ʯ2	~树
榜	paŋ3	
榨	tsɒ5	
榫	sən3	~头儿
榴	liəu3	石~
榻	tʰɒ7	
槌	tʂʰʯei2	棒~
槐	xuai2	~树
檳	pin1	
槽	tsʰau2	马~
樊	fã2	
樟	tʂaŋ1	
模	mo2	~子
模	mo2	~范
橫	xən2	~直。另读xun³³
橫	xun2	另读xən³³
橫	xən3	蛮~
櫻	in1	~桃
樵	tɕʰiau2	~夫
橄	kã3	~榄
橘	tʂʯ7	
橙	tʂʰən2	
橙	tʂʰən2	~子
橡	ɕiaŋ5	~树
櫓	nəu3	
檀	tʰã2	
檐	iẽ2	屋~
欛	pɒ3	
欠	tɕʰiẽ5	
次	tsʰɿ5	
歡	xuõ1	
欣	ɕin1	
歐	ŋəu1	
欲	ʯ5	
欲	iəu7	
欺	tɕʰi1	~骗
款	kʰuõ3	
歉	tɕʰiẽ5	道~
歌	ko1	唱~
止	tʂʅ3	
正	tʂən5	
正	tʂən1	~月
此	tsʰɿ3	
步	pu6	
武	u3	
歪	uai1	
死	sɿ3	
殲	tɕʰiẽ1	~灭
殃	iaŋ1	
殆	tai6	
殉	ɕin2	~职
殊	ʂʯ2	特~
殘	tsʰã2	
殮	liẽ5	入~
殖	tʂʅ7	
殯	pin1	
段	tõ5	
殷	in1	
殿	tiẽ5	
毁	xui3	~灭
毅	i5	
母	mo3	
每	mei3	~个
毒	təu7	
比	pi3	~较
畢	pi7	~业
斃	pei5	
斃	pʰi5	枪~
毛	mau2	
毡	tʂẽ1	毛~
毫	xau2	
毯	tʰã3	
氏	ʂʅ2	姓~
民	min2	
气	tɕʰi5	
水	ʂʯei3	
永	ʐʯn3	
汁	tʂʅ7	汤~
求	tɕʰiəu2	
汆	tsʰõ1	~肉饼汤
汇	xui6	
汇	xui3	~款
漢	xã5	~族
汗	xã6	
汛	ɕin5	
汝	ʯ3	丁~昌
汞	koŋ5	
江	tɕiaŋ1	
池	tʂʰʅ2	~塘
污	u1	
湯	tʰaŋ1	
汪	uaŋ1	一~水
汴	piẽ6	~京
汽	tɕʰi5	
沃	uo5	
沈	ʂən3	
沉	tʂʰən2	
沙	sɒ1	~子
沛	pʰei5	充~
溝	kəu1	
没	ma7	沉~
漚	ŋəu5	久浸水中
沫	mo7	
河	xo2	
油	iəu2	
治	tʂʅ5	~理
沼	tʂau1	~气
沾	tʂẽ1	
沿	iẽ2	
泄	ɕie7	~露
泅	tɕʰiəu2	~水
泉	tɕʰiẽ2	~水
泊	pa7	水~梁山
泌	mi7	~尿
泔	kã1	~水
法	fɒ7	方~,~子
泛	fã5	
泡	pʰau5	~在水里
泡	pʰau1	灯~
波	po1	
泣	tɕʰi7	哭~
泥	ȵi2	
注	tʂʯ5	
淚	li5	眼~
淚	lei5	眼~。另读li²¹³
泰	tʰai5	~山
泳	ioŋ3	另读ʐʯn²⁴
泳	ʐʯn5	游~。另读ioŋ²⁴
瀉	ɕie5	~药
潑	pʰo7	
澤	tsʰa7	
潔	tɕie7	
洇	in5	~过去了:液体在纸上渗透
洋	iaŋ2	
洒	sɒ3	~水
洗	ɕi3	~衣服
洛	lo7	
洞	toŋ6	
津	tɕin1	
洪	xoŋ2	
洲	tʂəu1	
活	xua7	~动
洼	uɒ7	
洽	ɕiɒ7	
派	pʰai5	
流	liəu1	~水
淺	tɕʰiẽ3	
漿	tɕiaŋ1	豆~
澆	tɕiau1	
濁	tʂo7	
測	tsʰa7	
濟	tɕi5	~公
渾	xun1	~浊
滸	ʂʯ3	另读xu²⁴
滸	xu3	水~。另读ʂʯ²⁴
濃	noŋ2	
浙	tʂa7	
浜	paŋ1	
浦	pʰu3	黄~江
浩	xau6	
浪	laŋ6	
浮	fəu2	~在面上:浮在表面
浴	ʯ5	
浴	iəu7	
海	xai3	
浸	tɕin1	~泡
涂	tʰəu2	
消	ɕiau1	~灭
涉	ʂa7	跋~
涌	ioŋ3	
涎	ɕiẽ2	
涕	tʰi7	鼻~
濤	tʰau1	江~
澇	lau6	旱~
潤	ʐʯn5	
澗	tɕiẽ5	
漲	tʂaŋ3	~水
澀	sa7	
澀	se7	
涯	ia1	天~
液	i7	
涿	tso7	~鹿
淆	ɕiau3	混~
淋	lin2	
淑	ʂəu7	
淘	tʰau2	~米
淡	tã6	
淫	in2	
淫	in5	
淮	xuai2	~阳
深	ʂən1	
混	xun6	相~
淹	ŋã1	
淹	iẽ1	
添	tʰiẽ1	~加
清	tɕʰin1	
淵	ʐõ1	
漸	tɕiẽ6	
漁	nʯ2	
滲	sən5	水~透
渠	tʂʰʯ2	~道
渠	kʰa2	他
渡	təu6	~船
渣	tsɒ1	
溫	un1	
港	kaŋ3	~口
渴	kʰo7	
游	iəu2	
渺	miau3	
湖	xu2	
湘	ɕiaŋ1	
灣	uã1	
溼	ʂʅ7	
潰	kʰui5	崩~
濺	tɕiẽ5	~一身水
溉	kai5	灌~
源	ʐõ2	~头
溜	liəu1	~冰
溪	ɕi1	小~
溺	ȵi7	
滂	pʰaŋ1	~沱
滋	tsʰɿ1	~味
滑	xuɒ7	~稽
滓	tsɒ1	~子洞
滔	tʰau1	
滚	kun3	
滯	tʂʰʅ5	停~
滿	mən3	
滿	mõ3	
濾	li6	过~
濫	lã6	~用
灘	tʰã1	
滴	ti7	
漂	pʰiau3	
漂	pʰiau5	~亮
漆	tɕʰi7	
漏	ləu6	~水
演	iẽ3	~戏
漫	mõ6	
漱	səu5	~口
潘	pʰən1	
潘	pʰõ1	
潛	tɕʰiẽ3	~水
潭	tʰã2	~水
潮	tʂʰau2	~水
潲	sau1	~水:猪食
潲	sau5	~雨
澄	tʂʰən2	
澄	tʂʰən2	~清
澡	tsau3	
激	tɕi7	
瀑	pʰu7	
灌	kuõ5	~溉
灒	tsã5	~到身上:水溅到身上
火	xo3	
滅	mie7	
燈	tən1	
灰	xui1	
靈	lin1	
竈	tsau5	~台
灸	tɕiəu5	针~
災	tsai1	~害
爐	ləu2	
炊	tʂʰʯei1	~事
炎	iẽ2	发~
炒	tsau3	
炒	tsʰau3	~东西
炕	kʰaŋ5	
炙	tʂʅ1	
炭	tʰã5	
炮	pʰau5	枪~
炸	tsɒ5	
炸	tsɒ7	用油~
點	tiẽ3	~缀
煉	liẽ6	
爛	lã6	灿~
烈	lie7	
烊	iaŋ2	融化
烘	xoŋ1	~干
烙	lo7	
燭	əu7	
烟	iẽ1	
烤	kʰau3	
煩	fã2	
燒	ʂau1	
燙	tʰaŋ5	~伤
熱	ʐʯa7	
烹	pʰən1	
焉	iẽ1	心不在~
焊	xã6	~铁壶
煥	xuõ5	
焙	pʰei6	~一下:随便炒一下
焚	fən2	
焦	tɕiau1	
焯	tʂʰo7	~水
焰	iẽ6	火~
然	ʐõ2	
煎	tɕiẽ1	~熬
煤	mi2	
煤	mei2	
照	tʂau5	~相
煨	ui1	~倒:用灰盖住
煮	tʂʯ3	
熄	ɕi7	
熊	ɕioŋ2	
熏	ʂʯn1	
熔	ioŋ2	
熙	ɕi1	
熟	ʂəu7	煮~
熨	ʐʯn5	
熬	ŋau1	
燃	ʐõ2	
燎	liau2	
燎	liau2	火~眉毛
燕	iẽ5	~子
爆	pau5	~炸
爪	tʂua3	~子
爬	pʰɒ2	~山
愛	ŋai5	~人
爵	tɕio7	~位
父	fu6	~亲
爺	ie2	~爷
爸	pɒ5	
爹	tie1	
爽	ʂʯaŋ3	
片	pʰiẽ5	
版	pã3	
牌	pʰai2	打~筏
牒	tie7	
牙	ŋɒ2	
牙	iɒ2	~齿
牛	ȵiəu2	
牡	məu3	~丹
牢	lau2	
牧	mo7	
物	ua7	
牯	ku3	~牛岭
牲	sən1	
牽	tɕʰiẽ1	
牸	tsɿ5	~牛儿:小牛
特	tʰa7	~
犧	ɕi1	~牲
犀	ɕi1	~牛
犁	li2	
犢	təu7	牛~子
犍	tɕiẽ3	~猪:公猪
犒	kʰau5	~劳
犬	tʂʰõ3	
犯	fã6	~人
狀	tʂʰaŋ5	
狀	tʂʯaŋ5	~况。另读tʂʰaŋ²¹³
狀	tsʰaŋ5	奖~。另读tʂʯaŋ²¹³
猶	iəu2	
狂	kʰuaŋ2	
狄	ti7	
狐	xu2	~狸
狗	kəu3	
狡	tɕiau3	
獨	təu7	
狹	ɕiɒ7	~窄
獅	sɿ1	
獄	ʯ5	
狸	li2	~猫
狼	laŋ2	
獵	lie7	
猛	moŋ3	
猜	tsʰai1	
猝	tsʰəu7	仓~
豬	tʂʯ1	
猫	mau1	
蝟	ui6	刺~
獻	ɕiẽ5	
猴	xəu2	
猾	xuɒ7	狡~
玄	ɕiẽ2	
率	ʂʯai5	~领
玉	ʯ5	
王	uaŋ2	
玩	uã2	古~,游玩
環	xuõ2	~绕
現	ɕiẽ6	
玻	po1	~璃
珊	sã1	
珍	tʂən1	
珠	tʂʯ1	
班	pã1	
球	tɕʰiəu2	
理	li3	
琉	liəu1	~璃
瑣	so3	~碎
琢	tso7	
琴	tɕʰin2	
琵	pʰi2	~琶
琶	pʰɒ1	琵~
瓊	tɕin1	~瑶。另读tɕʰioŋ³³
瓊	tɕʰioŋ2	另读tɕin³¹
瑞	ʂʯei5	~昌。另读ʐʯei²¹³
瑞	ʐʯei5	另读ʂʯei²¹³
璃	li2	玻~
璧	pi7	
瓜	kuɒ1	
瓠	kʰu2	
瓠	xu6	~子
瓢	pʰiau2	
瓣	pʰã2	一~儿大蒜
瓤	ʐaŋ2	瓜~
瓦	uɒ3	
瓮	uŋ1	
甌	ŋəu1	
瓶	pʰin2	
瓷	tsʰɿ2	~器
甘	kã1	
甚	ʂən6	
甜	tʰiẽ2	
生	sən1	
甥	sən1	
用	ioŋ6	
甫	fu3	
甬	ioŋ3	~道
田	tʰiẽ2	
由	iəu2	
甲	tɕiɒ7	
申	ʂən1	
電	tiẽ6	
男	nã2	
畫	xuɒ6	~画
暢	tʂʰaŋ5	~通
界	kai5	~限
界	tɕiai5	世~
畏	ui5	~惧
留	liəu1	
畜	tʂʰəu7	~牲
畜	ɕiəu7	~牧
略	lio7	
番	fã1	几~
疆	tɕiaŋ1	
疏	səu1	~远
疏	səu1	注~
疑	ȵi2	
疔	tin1	
療	liau2	治~
疝	sã6	~气
瘍	iaŋ2	溃~
疤	pɒ1	
疥	tɕiai5	
疥	kai5	~疮
疫	ʯ7	
瘡	tsʰaŋ1	
瘋	foŋ1	
疲	pʰi2	~劳
疹	tʂən3	
疼	tʰən2	
疾	tɕi7	
病	pin6	
症	tʂən5	
癰	ioŋ1	
痒	iaŋ3	
痔	tʂʅ5	~疮
痕	xən2	
痛	tʰoŋ5	
痢	li6	~疾
痣	tʂʅ5	
痰	tsʰã2	
痱	fei5	~子
痲	mɒ2	
癡	tʂʅ1	~呆
痹	pi5	麻~
瘟	un1	
瘦	səu5	
瘴	tʂaŋ5	~气
癩	lai6	
癩	lɒ7	~痢头
登	tən1	
白	pa7	
百	pa7	
皂	tsau6	肥~
的	ti7	目~
皆	kai1	
皇	xuaŋ2	
皖	uõ3	
皮	pʰi2	~肤
皺	tsoŋ5	另读tsəu²¹³
皺	tsəu5	皱纹。另读tsoŋ²¹³
皴	tsʰən1	脸~:脸干
皿	min3	
盂	ʯ2	
盅	tʂoŋ1	
盆	pʰən2	
盈	in2	
益	i7	
盞	tsã3	
鹽	iẽ2	
監	tɕiẽ1	~视
盒	xo7	
盔	kʰui1	头~
盖	kai5	
盜	tau6	强~
盤	pʰən2	
盤	pʰõ2	
盛	ʂən2	
盛	tʂʰən2	~满了
盛	ʂən6	兴~
盟	moŋ2	
目	mo7	
盲	maŋ2	
直	tʂʅ7	
相	ɕiaŋ5	~貌
相	ɕiaŋ1	互~
盼	pʰã5	~望
盾	tən5	矛~
省	sən3	~长
省	ɕin3	反~
省	sən3	节~
眉	mi2	
眉	mei2	~毛。另读mi³³
看	kʰã5	~守
看	kʰã5	~见
瞘	kʰəu1	眼~
真	tʂən1	
眠	miẽ2	
眨	tsɒ7	~眼
眩	ɕiẽ6	
眶	kʰuaŋ1	眼~
眷	tʂõ5	
眼	ŋã3	
眼	iẽ3	
着	tʂo7	睡~
着	tʂo7	穿~
睜	tsən1	
睛	tɕin1	眼~
睡	ʂʯei5	
督	təu7	
睬	tsʰai3	
瞎	xɒ7	
瞎	ɕiɒ7	
瞞	mõ3	隐~
瞪	tən5	~眼
瞭	liau2	~望
瞳	tʰoŋ2	
瞻	tʂẽ1	
瞿	tʂʰʯ2	
矁	tsʰəu2	~一矁:看一眼
矛	mau2	~盾。另读miau³³
矛	miau2	~叉儿:红缨枪。另读mau³³
矢	ʂʅ5	有的放~
知	tʂʅ1	
矩	tʂʯ3	规~
矯	tɕiau2	~正
短	tõ3	
矮	ŋai3	~子
石	ʂʅ7	
礦	kʰuaŋ5	
碼	mɒ3	~子
砌	tɕʰi5	~墙
砍	kʰã3	
砑	ŋɒ6	~平
研	tɕiẽ3	
研	ȵiẽ3	~究
磚	tʂõ1	~头
硯	ȵiẽ3	
破	pʰo5	
硃	tʂʯ1	
硝	ɕiau1	
硫	liəu1	~黄
硬	ŋən6	
確	kʰo7	另读tɕio⁵⁴
確	tɕʰio7	另读kʰo⁵⁴
礙	ŋai6	~事
碎	tsʰei5	砸~了
碑	pei1	石~
碓	ti5	
碓	tei5	~臼
碗	uõ3	
碟	tie7	
碧	pi7	
鹼	tɕʰiẽ3	
碾	ȵiẽ3	
磁	tsʰɿ2	~铁
磑	ŋai2	~墨:磨墨
磕	kʰo7	
磨	mo2	~刀
磨	mo6	石~
磬	tɕʰin5	
磷	lin2	
礅	tən3	~子
礆	tɕiẽ3	
礎	tsʰəu3	柱下石
礓	tɕiaŋ1	
示	ʂʅ5	指~
禮	li3	~物
社	ʂʯe5	
祁	tɕʰi2	~连山
祈	tɕʰi2	~祷。另读tɕhi²⁴
祈	tɕʰi3	另读tɕhi³³
祐	iəu6	
祖	tsəu3	~宗
祝	əu7	
神	ʂən2	
祠	tsʰɿ2	~堂
祥	tɕʰiaŋ2	
票	pʰiau5	车~
祭	tɕi6	~日
禱	tau3	祈~
禍	xo6	
稟	pin3	
禁	tɕin1	~不住
禁	tɕin5	~止
祿	ləu7	
禪	tʂʰẽ2	~宗
福	fu7	
禹	ʯ3	
离	li2	~别
离	li2	~开半步。另读li¹¹
离	li6	另读li³³
禽	tɕʰin2	
禾	xo2	~苗
秀	ɕiəu5	
私	sɿ1	~人
秃	tʰəu5	
秃	tʰəu7	
稈	kã3	稻~
秉	pin3	
秋	tɕʰiəu1	~天
秋	tɕʰiəu1	~千
種	tʂoŋ3	~类
種	tʂoŋ5	~树
科	kʰo1	
秒	miau3	
秘	mi7	~密
租	tsəu1	~房
秤	tʂʰən5	一杆~
秦	tɕʰin2	
秧	iaŋ1	
秩	tʂʰʅ7	
秫	ʂʯ7	
積	tɕi7	
稱	tʂʰən1	~呼
稱	tʂʰən5	相~
移	i2	
穢	xui5	
稀	ɕi1	
程	tʂʰən2	
稍	sau1	
税	ʂʯei5	
稗	pai6	
稚	tʂʅ3	幼~
稠	tʂʰəu2	
穩	un3	
稻	tau6	
稼	kɒ5	
稼	tɕiɒ5	
稽	tɕi1	滑~
稿	kau3	稿子
穆	mo7	
穗	xui5	麦~
穰	ʐaŋ2	禾茎
穴	ɕie7	
究	tɕiəu5	追~
窮	tɕʰioŋ2	
空	kʰoŋ1	~虚
空	kʰoŋ5	~缺
穿	tʂʰõ1	~衣服
突	tʰəu7	~击队
窄	tsa7	
竅	tɕʰiau5	开~
窯	iau2	
窖	kau5	
窖	tɕiau5	地~
窗	tsʰaŋ2	
竄	tʂʰõ5	
窩	uo1	
窟	kʰu7	~窿
窠	kʰo1	
窺	kʰui1	
立	li7	
豎	ʂʯ6	
站	tsã5	~立
站	tsã6	车~
競	tɕin5	
竟	tɕin5	
章	tʂaŋ1	
童	tʰoŋ2	
端	tõ1	
竹	əu7	
竿	kã3	竹~
篤	təu7	
笋	sən3	竹~
笑	ɕiau5	
筆	pi7	
笙	sən1	
笛	ti7	
笠	li7	
符	fu2	
笨	pən6	
第	ti6	~一
籠	loŋ2	
等	tən3	
筋	tɕin1	~骨
筏	fɒ7	
筐	kʰuaŋ1	另读tɕʰiaŋ³¹
筐	tɕʰiaŋ1	晒谷子的晒~。另读kʰuaŋ³¹
筑	əu7	
筒	tʰoŋ2	
答	tɒ7	
策	tsʰa7	
篩	sai1	~子
箏	tsən1	
筵	iẽ1	
筷	kʰuai5	~子
籌	tʂʰəu2	
签	tɕʰiẽ1	~名
签	tɕʰiẽ1	标~
簡	tɕiẽ3	
箍	kʰu1	金~儿,箍桶
算	sõ5	
管	kuõ3	
籮	lo2	~筐
簫	ɕiau1	吹~
箭	tɕiẽ5	射~
箱	ɕiaŋ1	
篆	tʂõ5	~书
篇	pʰiẽ1	
簍	ləu3	
篙	kau1	~子
篡	tsʰõ5	~改
篦	pi6	篦子:梳头的。
籃	lã2	
籬	li2	~笆
篾	mie7	竹~
簧	xuaŋ2	
簪	tʂã1	~子
簸	po5	~一簸
簸	po5	~箕
籍	tɕi7	
米	mi3	
類	lei5	
粉	fən3	
粒	li7	
粗	tsʰəu1	
粘	tʂẽ1	~贴
糶	tʰiau5	~米
粟	səu7	另读ɕiəu⁵⁴
