# ('wuu_th_pl_jt', '金壇話', '金壇', '#0000FF', None, None, '版本：2021-12-17<br>來源：金壇縣志，轉錄者<u>正心修身</u>', '434 1 1a 陰平 ꜀,31 2 1b 陽平 ꜁,44 3 2a 陰上 ꜂,21 4 2b 陽上 ꜃,55 5 3a 陰去 ꜄,213 6 3b 陽去 ꜅,4 7 4a 陰入 ꜆,2 8a 4b 陽入 ꜇')
奸	tɕiɪ1
好	xao3
好	xao5	喜〜
如	lu1
如	zu2
妃	fi1
妄	mɑŋ5
妇	vu6
妓	dʑi2
妖	Ǿiao1
妙	miao5
妥	tʰɯ3
妨	fɑŋ1
妩	vu2
妬	tu5
妯	dzɔʔ8
妹	mɛi5
妻	tɕʰi1
妾	tɕʰiʔ8
姆	m̩3
姊	tsɿ3
始	sɿ3
姐	tɕia3
姑	ku1
姓	ɕin5
委	tsɿ1
姘	pʰin1
姚	Ǿiao2
姜	tɕiɑŋ1
姜	tɕiɛ1
姨	Ǿi1
姻	Ǿin1
威	Ǿuei1
娇	tɕiao1
娘	ȵiɑŋ1
娘	ȵiɛ1
娜	sæ1
娠	sən1
娩	miɪ4
娱	Ǿy1
娶	tɕʰy3
婆	bɯ2
婊	piao3
婚	xuən1
婪	læ1
婴	Ǿin1
婶	sən3
婿	ɕy5
媒	mɛi1
媚	mei5
媳	ɕiʔ7
嫁	ko5
嫂	sao3
嫌	ʑiɪ1
嫖	biao2
嫡	tiʔ7
嫦	dzæ2
嫩	lən5
嬉	ɕi1
孀	sɑŋ1
子	tsɿ3
孓	tɕyəʔ7
孔	kʰoŋ3
孕	Ǿyn5
字	zɿ6
存	dzən2
孙	sən1
孙	suən1
孟	moŋ5
孤	ku1
学	ɦɔʔ8
孩	ɦɛi2
孵	bu2	〜坊
孵	bu6	〜鸡
孽	ȵiʔ8
宁	ȵin1
宅	dzəʔ8
宇	Ǿy4
守	sei3
安	Ǿæ1
安	Ǿʏ1
宋	soŋ5
完	Ǿʏ2
宏	ɦoŋ2
宕	dɑŋ6
宗	tsoŋ1
官	kʏ1
宙	tsei5
定	din6
宛	Ǿuæ3
宜	Ǿi1
宝	pao3
实	zəʔ8
审	sən3
客	kʰəʔ8
宣	ɕʏ1
室	səʔ7
宦	xuæ5
宦	xʏ5
宪	ʑiɪ6
宫	koŋ1
宰	tsɛi3
害	Ǿɛi6
宴	Ǿiɪ5
家	ko1
家	tɕia1
容	Ǿioŋ1
容	Ǿioŋ2
宽	kʰʏ1
宾	pin1
宿	sɔʔ7
宿	ɕiɯ5
寂	dʑiʔ8
寄	tɕi5
寅	Ǿin1
密	miʔ8
寇	kʰei5
富	fu5
寐	mei5
寒	ɦæ2
寒	Ǿʏ2
寓	Ǿy5
寝	tɕʰin3
寞	mɔʔ8
察	tsʰaʔ8
寡	ko3
寸	tsʰən5
对	tɛi5
寺	zɿ6
寻	ʑin2
导	dao6
寿	zei6
封	foŋ1
射	za6
将	tɕiɑŋ1
将	tɕiɛ1
将	tɕiɛ5	大〜
尊	tsən1
小	ɕiao3
少	sao3
少	sao5
尔	əl3
尖	tɕiɪ1
尘	dzən2
尚	zæ2	和〜
尝	dzæ2	〜味道
尤	Ǿiɯ2
尧	ȵiao1
尬	ka5	尴〜
就	dʑiɯ6
就	ʑiɯ6	〜近
尴	kæ1
尸	sɿ1
尹	Ǿin3
尺	tsʰəʔ8
尼	ȵi1
尽	tɕin5
尾	mi4	〜巴
尿	ɕy1
局	dʑiɔʔ8
屁	pʰi5
层	dzən2
居	tɕy1
屈	tɕʰyəʔ8
屉	tsʰɿ5	抽〜
届	tɕia5
屋	Ǿɔʔ7
屌	tiao3
屎	sɿ3
屏	bin2
屑	ɕyəʔ7
展	tsæ3
屙	Ǿɯ1
屜	tʰi5
属	zɔʔ8
屠	du2
履	ȵy4
山	sæ1
岁	ɕy5
岂	tɕʰi3
岐	dʑi2
岑	dzən2
岔	tsʰo5	三〜路
岗	kɑŋ1
岛	tao3
岩	ȵiɪ1
岭	ȵin3
岳	ŋɔʔ8
岸	Ǿʏ5
峡	ɕiaʔ7
峨	ŋɯ1
峰	foŋ1
崇	dzoŋ2
崔	tsʰɛi1
崔	tsʰuei1
崖	Ǿia2
崙	luən1
崛	dʑyəʔ8
崩	poŋ5
崭	tsæ3	好
嵌	kʰæ1
嵩	soŋ1
川	tɕʰʏ1
州	tsei1
巡	ʑyn2
巢	dzao2
工	koŋ1
左	tsɯ3
巧	kʰao3	轻〜
巧	tɕʰiao3	〜妙
巨	dʑy6
巩	koŋ3
巫	vu2
差	tsʰo1	〜别，〜不多
差	tsʰa1	出〜，〜别
己	tɕi3	戊〜庚辛
已	Ǿi3
巳	zɿ6	辰巳
巴	po1
巷	ɦɑŋ6
巾	tɕin1
市	zɿ6
布	pu5
帅	suɛi5
帆	fæ1
师	sɿ1
希	ɕi1
帐	tsæ5
帕	pʰo5
帕	pʰɔʔ8
帖	tʰiʔ8
帘	ȵiɪ1
帚	tsei3
帛	bəʔ8
帜	tsəʔ7
带	ta5
席	ʑiʔ8
帮	pɑŋ1
常	dzæ2
帼	kuəʔ7
帽	mao5
幂	miʔ8
幅	fɔʔ7
幌	xuɑŋ5
幕	mɯ5
幣	bi6
干	kʏ1
干	kʏ5	能〜
平	bin2
年	ȵiɪ1
并	bin6
并	pin5
幸	ɕin1
幺	Ǿiao1
幻	xuæ5	〜想
幼	Ǿiɯ5
