"m2"	"毋"
"xɛ̃5"	"𧵊䖔蘫𩞿䫲肣涵𢎘𢇞莟菡𢃗淊蜭𡻡撼頷𡣊顄𡣔頜欿憨㺖䗣譀䐄𤎡唅浛琀莟蜭憾䐄㺖豃闞㒈譀喊㺝減甉𡞣㺌𥻇餡豏撖㺝㔋轞𨏊檻壏濫𥽏㯺㽉臽陷䐄錎餡䱤厂罕䍐漢暵熯𤳉䎯𡅽𤅩豻忓矸扞鼾𧃙汗㢨垾捍悍㪋閈釬䏷𤿧馯銲螒翰駻雗瀚䮧𩹼㲦捍橌憪僩𤡥硍㹂限䁂䦘骭娨藖莧粯麲"
"ʔɛ̃1"	"殷"
"tsɛ̃1"	"篸糌䐶簪䍼鐕𥸢撍鵮詀䩇𪉜𥩠站譠㣶"
"tsʰɛ̃2"	"慚㨻慙𩈻䳻鏨"
"tsɛ̃3"	"昝寁撍䭕旵𠐩斬嶄攢趲𩯳䰖拃䩆䎒琖盞醆𧣴喒"
"tsɛ̃5"	"篸撍歜䰼㔆㣅嵌槧㟛鏨暫蹔鏨𪉜𣳤站偡湛㴴譧詀賺𧸖𩈻𩅼覱蘸巉瀺嵁嶃嶄䳻欃艬讒鑱䪌儳𨼮䪌攅䟎攢趲𡳋賛鄼濽贊讃灒㜺襸𩯳讚饡䰖䟎趲瓉瓚禶𣧻䏼𡂐囋㜺瓚穳袒䋎綻孱㟞棧輚嶘虥轏𠊩䗃驏𪘪棧䗃輚𧮺虥棧𨵊#塹"
"tsʰɛ̃1"	"參傪㜗䟃驂攙飡湌餐䉔喰"
"tsʰɛ̃2"	"䣟𨅔蠶撏咱攙𢽝獑毚儳酁㺥欃讒饞𪖎𪗂鏨獑毚酁嚵巉艬鑱嶃𣦻𣦼㱚殘䏼𥂥戔帴𤣆孱僝潺䡲𨬖孱𡎻潺䡲𨬖"
"tsʰɛ̃3"	"傪㜗慘憯黲朁䫩噆黲䑎䤘醶丳剷㦃䐮鏟剗羼㹽產産"
"tsʰɛ̃5"	"參㽩謲儳嚵摲懺𤮭㺖㛑粲薒璨燦𪆶㬄㾺鏟䴼羼"
"sɛ̃1"	"參三弎𢁘叁鬖犙毿蔘髟纔彡芟衫穇縿𩌰摻𩃔𩃢櫼杉䀐𩁺㺑檆𩌰𨏪攕𦙽𦙱𦚻䈀𥮚姍珊𡜜跚𨀢山邖舢疝刪𠜂𣧱狦𣧺潸訕汕"
"sɛ̃3"	"㧲䊉𢕕糂糝糣䫩槮㨻㺑摻醦𧀵㺑傘𢄻䉈糤繖鏾饊散𢿨𣀧𢽳產産嵼滻㦃㹌簅𩥮𥽽摌"
"sɛ̃5"	"三（再三）俕㤾閐䫅䀐釤㣌帴䈀𥮚繖𦇕散𢿨𢿱𣀧狦疝訕䴮𦌔柵"
"pɛ̃5"	"扮"
"sæʔ7"	"啑㞚唼帹翜𧻵翣䬊𧲌"
"pən1"	"奔賁犇錛䴅"
"pən3"	"本苯㡷畚𤲙笨"
"pən5"	"奔逩笨㨧獖夯体坌𣴞"
"pʰən1"	"噴濆歕"
"pʰən2"	"盆葐湓𪂽"
"pʰən3"	"翉"
"pʰən5"	"+噴湓+歕"
"mən1"	"#悶"
"mən2"	"樠䟂𪈿門捫璊𣯩鍆䫒䊟𤅣虋們怋亹"
"mən3"	"懣本"
"mən5"	"悶燜懣璺"
"fən1"	"扮分吩𣯻餴饙𡊄砏芬𢁥㞣氛𣬩衯紛棻酚雰𨷹錀𦐈"
"fən2"	"頒賁䫶㞣妢氛棻𣱦汾枌朌肦蚡羒梤𧮱棼焚𦶁馚蕡鳻魵燌鼢鼖羵轒豶鐼䩿馩䴅墳橨𪔵濆葐"
"fən3"	"扮粉黺魵忿"
"fən5"	"𡊅僨𥻔奮㱵糞𥽒瀵拚魵忿瀵湓扮蚡魵鼢轒坋弅墳憤膹㿎𢅯𢤬鱝分份坋秎㿎𢅯+粉（飾也）"
"tən1"	"登䔲噔璒燈㽅㲪竳簦䳾㢯弴惇𤭞敦墩噸礅驐箏#魨#燉"
"tən3"	"等戥"
"tən5"	"橙隥凳嶝磴鐙𩞬𧄼𧀆蹬僜鄧𣩟䮴幐扽敦頓炖砘鈍𩔂鶨屯"
"tʰən1"	"膯𤃶鼟𧰥吞燉噋涒暾黗𧑒𪏆"
"tʰən2"	"幐滕𥉋螣縢謄藤儯騰𤻴籐鰧𧈜邨燉沌屯芚㹠庉忳𡱂𤫭軘豘豚飩𦞠𪎶魨臀𥴫𩪡坉窀啍純#疼"
"tʰən3"	"吨黗氽𤊯畽"
"tən5"	"𤃶沌盾𥫱囤庉坉㡒"
"tʰən5"	"遁遯"
"lən2"	"犉𩀋瞤眴"
"lən2"	"能塄棱楞稜倰祾輘艿扔仍辸㭁礽䚮𠽽𤕦獰㲰𧂘𥣗鬤儜薴嬣𧭈鑏䭢鬡䋻䛘鵀紝恁壬䛘銋鵀任紝黁掄菕崘崙論亻儿人仁朲掄侖倫陯圇淪惀棆蜦䈁䑳綸輪踚鯩論"
"lən3"	"能檸冷拰恁銋𢆉荏栠棯稔䭃䏕袵䇮飪腍餁㶧睔㤻惀碖忍荵涊耣𦓾𣯍蝡#紉"
"lən5"	"踜愣倰㱥認扔㭁芿賃鵀任妊衽絍抐嫩媆腝碖溣論䀼刃仞杒牣肕軔𢂻訒韌認䏰閏閠潤"
"kən1"	"搄縆絙庚䢚浭賡鶊羹𩱧埂更秔稉粳耕根𣥦跟珢"
"kən3"	"郠埂挭哽梗𧋑綆骾鯁耿𦵸𥉔䫀詪"
"kən5"	"亘亙揯縆堩𥔂䱎暅筻更艮茛詪珢"
"kʰən1"	"砊劥阬坑𥉸硎㰢㧶𡷨牼硜硻誙銵䡩䡰鏗摼鳽羥殸傾顉"
"kʰən3"	"肎肯啃豤墾懇齦"
"kʰən5"	"硍"
"xən1"	"亨哼悙脝"
"xən2"	"𢘆恒恆𢛢峘莖䪫牼哏拫痕鞎㯊𦣍筕珩桁胻䯒衡蘅洐"
"xən3"	"佷很狠䓳"
"xən5"	"䛭𧨫㚔𠂷𡴘悻㼬荇莕絎胻恨"
"ʔən1"	"恩𤇯蒽煾ㄣ"
"ʔən2"	"圻垠泿"
"ʔən5"	"摁䭡"
"tsən1"	"曽曾竲贈增𦼏憎橧熷磳罾矰䎖譄僧䒏鬙𣃘𨟃癥症徵脀䒱𦚦烝蒸䕄篜䟓朾丁玎𧯫䆸𠑅趟𩘽綪爭埩掙猙䋫箏䱢貞湞楨禎𨜓𨺟鯖延佂𨒌征怔𦙫眐𧘿䋊鉦𨢹正鴊坫椹枮砧碪旡兂簪撍㻸瑊㘰針（鍼俗字）葴斟箴鍼𪈁鱵塡珍鎭𨬖溱瀙𣓀搸蓁榛潧樼臻轃唇磌真㖘帪眞桭㲀蒖甄禛薽籈畛稹侲振診懲"
"tsən3"	"氶抍拯𨋬撜盯整戡㱽枕䪴䫬屒𣞟敐胗槇㐱𠘱眕畛疹袗𦕑紾軫裖䪾駗稹縝鬒黰賑"
"tsən5"	"增𪒟瞪𪑬𪒘甑䙢䰝𩱭烝證倀趟柼偵幀㡧𩏠瑒鋥䂻𥊼掙諍呈鄭㽀正政症証鴊揕㓄螣鰧顩栚朕𦩎𦩗沈㼉鴆譖針（鍼俗字）枕填塡瑱鎮鎭䏖䀕紖眹陳陣𨳌敶䢻娠袗𩒉挋侲振賑䟴震䳲濜#擲囎（囎唹（そお）は鹿児島縣の地名）"
"tsʰən1"	"庱僜睖爯偁稱䟓撐橕瞠竀樘噌琤棦凈錚琤鐺槍鎗䟓䞓赬檉蟶竀虰偵䑣郴琛棽綝𥉨賝參嵾𥤇駸梫槮𧡪𤣆胂縝嗔䐜瞋謓𣞟縝"
"tsʰən2"	"曾層䁬澂澄憕懲瞪嶒竲驓鄫橧繒磳丞承𨋬揨朾䆑𢾊䁎憕橙𢿦䆵瞪虰湞䟫挰掁棖澄憕盯呈埕珵程裎䇸酲𨜓成郕城𢦩宬珹筬誠鋮䫆盛䒞沉𤘣莐鈂霃沈湛枕㞥岑笒涔梣䅾𩅨𣠟𩻛忱㽸訦愖煁瘎諶葚𣞵陳塵趁䍶敶臣辰䢻茞䣅宸敐晨䢅麎鷐桭屒晨神帘㲀𦿒傖䚘崢𩫿鬇鏳埩𦱊崝崢迚鬇#纏（盤~）乗乘"
"tsʰən3"	"庱䩶裎逞悜睈騁踸䫖鍖醦墋磣瀋辴"
"tsʰən5"	"𠟂蹭覴稱秤鱦䞉剰𡹴剩嵊賸媵𣎜牚靗偵遉㵾𧡬闖讖疢趁齔儭嚫櫬䞋瀙"
"sən1"	"㱡升昇陞+勝𦫵抍聲參棽森槮穼𥥿蔘薓曑襳深𦸂㯜扟屾侁𢓠籸莘甡兟𨐔詵𦐹𣘘駪㜪燊𩺵䯂㾕姺阠申伸身呻珅柛𣢘㑗砷眒𠲳娠𣇗紳訷𩉼䰠胂"
"sən2"	"乗乘𠅞椉塖塍溗騬澠憴繩譝鱦"
"sən3"	"㱡省眚𨜜渻𡞞㼳㾪䚇𨵥槮㾕瘮淰㜤䰼邥沈宷魫諗審𩶇瞫𧀯嬸㰂䀢弞矤哂矧訠頣"
"sən5"	"𡬙丞勝榺蕂膡生鼪貹晟盛墭聖罧滲訦甚甚侺深𢊖+𣞵㰮脤祳腎蜃鋠昚蜃慎愼抻眒阠"
"ʔən1"	"莖嫈罃褮甖𠠜罌嚶譻"
"ʔən2"	"俓娙"
"ʔən5"	"鞕硬行嫈䙬瀴䭓"
"fɔŋ5"	"捀縫俸㡝"
"fɔŋ2"	"夆捀逢漨𥛝𥎌縫䩼"
"fɔŋ5"	"唪奉鳳𠤈"
"sɛ̃3"	"潸"
"pəʔ7"	"不"
"pʰəʔ7"	"馞䪬昢哱㛘孛悖誖𢠜荸䄶餑郣勃挬𡋯浡桲𣭷㪍脖㶿渤𦸦馞𩣡鵓𩱚艴"
"məʔ7"	"沒没𠬛𤣻歿殁莈𩑦#無"
"fəʔ7"	"𨚓鈈𤊸芾巿弗甶冹帗𡗻柫氟笰翇紱紼綍𩖼韍髴黻乀刜拂茀𢂀彿祓艴𧿳髴䭮嶏佛坲刜咈𡶒怫炥䞞𣀣"
"təʔ7"	"䙷得淂惪𢛳㥁𨁽德𠮊鍀𣌏鴏𧈱𧴮𧈩貣特𤙰𧎢螣棏樴咄𩢎柮𩨳"
"tʰəʔ7"	"𧊇匿㥾忑忒𢘋貣㧹脦㥂慝鋱𥊸特宊𠫓𡿮𣅝䠈㥆棁梲凸𡿮突堗葖𦩤鼵揬𣔻鈯腯𦔅鍎鶟吐"
"ləʔ7"	"#若（遠指 俗或書那 非）𣉘䘅䎪㔹仂阞扐艻叻玏泐竻勒𤨕鰳肋嘞朸疒眲䭆#搦蹃𥖪礐砳搦𣲷𦮾㵫㘝孨入肭抐㕯𣧍訥𨁸𠀽硉㪐𥓎𢂤㠴日馹衵臸矣"
"nəʔ8"	"#喏#諾"
"kʰuəʔ8"	"？塊"
"kəʔ7"	"#鴿#㠷#佮#匌#㭘#𢂷#𣭝#閤#鞈#韐#鮯#鉿#蛤#浩#合#㪉#頜#㧁#郃#噶#丐#匃#割𨞛#𩢛#䈓#㵧#輵#𥢸#葛#獦裓𢧧孂搹革鬲隔塥嗝槅膈𢡍𦑜𥉅諽䨣𥴩䪂𧈑𩹺𢡤挌茖𢓜格㦴𢼛蛒觡骼𪌣𩹿𩹺鉻㪾鵅"
"kʰəʔ7"	"#匌#歁#峇#𠩧#䆟#溘#𣩄#㧁#榼磕瞌𨍰㕎𧛾䶀#䯋#骹#䅥#䳚#磕#瞌#嵑#渴#𤸎#㵣咳克刻剋勀勊娔氪𡞢尅諽䙐緙礊罊𩱝喀揢客礊可"
"xəʔ7"	"#蓋#盍#𨜴#熆#篕#𧪞#闔#𨶩#嗑#㧁#㭘#搿#合#䢔#盒#𡇶#𦳬#詥耠#𩡔#𦤦#喝#㿣#䫘#𠿒#猲#暍#曷#毼#㮫#餲#鞨#䫘#𩩲#褐#鶡#骱#蝎#害黒黑嘿潶㱄劾赫爀𥋿𢅰嚇滆核𤈧㮝䃒翮覈繳蒚䞦楁𨍇垎淈𥝖紇齕麧#欱"
"ʔəʔ7"	"餩殕"
"tsəʔ7"	"則𠟭𠟻𣿐賊𧵪𦽒蠈鰂鱡𣮊𢕚稙陟𡮞直值値𡸜犆䐈萴𣅔稄夨仄𠨮㳁𣅦昃𣅳𢯩𥟔萴𡸦溭崱戠織𧄕+䐈樴𥋏職蟙軄嘀摘厇矺𡇠𤟍棏䊞謫讁嫡𪄱𩑒乇杔馲舴𤜤+虴磔𥧮𪐏𤁰𤂥檡擇澤襗䕪蠌鸅㡯宅翟𪀥𩏪𧐐咋責嘖幘嫧𦟜簀謮𩔳債迮笮舴㳻嘖諎蚱窄𪐏蹢𧓸躑䵂潪擿擲䨥𠪮適𩀝拓䘸這（俗用作近指字）䗪隻䞠跖墌摭蹠炙指熾𩅀𩢏縶𡂣譶俋㞏䐲蟄㙷戢㗊蕺𠿠濈𧤏𥊬𧥄霵𩒣霵䯂汁執瓡慹𡠗䥍㲳挃庢𥎹秷𦤻窒蛭㗧銍𨖹膣螲𪗻楖擳𥠈㘉瀄櫛侄郅桎晊蛭銍質劕𡂒懫櫍䑇騭礩鑕𪗨+膱？妷姪𧽮？柣袠？翐？紩𡙮𢧤𣗻豑指戠厔#祇（俗又音）#作"
"tsʰəʔ7"	"墄侙勅㽚恜敕飭遫慗𪀦趩鷘荲栻淔𡍫測惻䔴𦔎畟𦔫瀷拆坼𤖴㿭𡍩𩎚𧼳𩑒擇冊𠕋拺𣆩笧策𥬰㥽憡筴矠嫧𧶷皟䶦柵鰿矠嘖㣱耫賾葃咋泎齚齰岝𤭏彳䜺簎柵哧尺呎蚇斥赤𠧚㡿𠧵烾㚖郝滷湁雴漐𡍪㞚䙄𢕬卙斟抶跮眣咥秩廁（側也）䜉㓼𠞩𪘧叱側"
"səʔ7"	"塞𡫼㥶𢥛寨薔嬙色嗇銫𠢳濇懎㱇穡𧒗䉢繬轖𩍙𩕡遈湜寔埴植殖𢨀㨁鉽識𧄹式拭𢂑烒軾飾𥿮飠食蝕拺䪂㾊栜𣽤擌䨛摵愬索（山戟切 求也）𡩡溹虩𧈅㳻𥻨索䂹𡩡䞽溹哧郝㚒冟睗適奭螫檡𡣪䁺𥼶釋襫𩮜晹𦔥+射+䠶+麝雭歰澁㒊濇澀翜鈒什十拾褶溼濕䏉瑟璱𦆄飋虱蝨鯴蟋失室𩋡實石炻祏䄷鉐䲽鼫雫"
"iæʔ7"	"#𣡌#𣎴#歺歹𣦵屵#𠱥#㩵#頇#枿#嶭#蘖#櫱+䡾#𠲗#靄#胺#咹#遏𠥜#頞#餲#齃#堨#𢉥#閼#嬒#睕#䩊#𥄗#𣁳#捾#焥#䁊"
"ʔəʔ7"	"䁊頟額䩹䱮峉詻䩹㣂鳽虉砈厄戹阨扼苊呃阸㧖呝蚅軛軶豟𧠞𩚬啞搤貖𪕶𩚬啞"
"təɯ1"	"吺剅侸兜𧯠𥆖兠蔸篼𧢗𩮷郖"
"təɯ2"	"頭"
"təɯ3"	"阧抖枓陡蚪㪷斗襡"
"təɯ5"	"鬥䬦𧱓䛠𧱦斣闘鬭鬬襡噣𠁁䕆𨪐襡𩿢揄豆郖荳逗浢㛒梪毭酘脰䄈痘餖𩊪𤀨竇讀窬"
"tʰəɯ1"	"鋀偷偸鍮媮"
"tʰəɯ2"	"投𣪌㓱㢏緰頭𪁞𪎨䤅亠坄揄牏歈窬"
"tʰəɯ3"	"妵鈄斢黈𪌘𩿢䱏蘣飳𪌜"
"tʰəɯ5"	"咅透𧺢㰯䟝"
"ləɯ1"	"#鏤"
"ləɯ2"	"羺䨲獳䰰剅瞜婁𡝤𠞭䣚僂𨻻蔞遱嘍廔慺樓膢𤬏耬螻艛𦎹䝏謱𧁾鞻髏䱾摟簍鷜褸柔𨛶揉葇瑈䐓腬㽥蝚蹂鍒鞣䰆騥鰇鶔"
"ləɯ3"	"㝅𡭾啂㳶𡝦陾嘍謱𪍣塿嶁漊甊㪹䅹簍沑禸𠘯粈葇煣𥠊輮蹂韖楺縷"
"ləɯ5"	"𣫌槈耨鎒譳搙擩𠞭僂𧷡陋屚𦸢漏𣤋瘻瘺𧫞鏤𨫒蔄煣輮蹂鞣#肉#褥？露"
"kəɯ1"	"#歌#哥#謌勾𠛎冓𤫱䑦鈎鉤溝褠緱篝鞲𥴴韝枸夠㗕句𪓟軥鴝"
"kəɯ3"	"苟岣狗玽耇枸𦊒笱豿垢茩詬敂"
"kəɯ5"	"#箇#個#可冓𢄇姤够夠䝭遘搆彀㝅雊㝤媾𤚼構煹䃓覯購句怐軥究"
"kʰəɯ1"	"韝夠芤𢂁剾摳彄瞘䁱滱𣻎"
"kʰəɯ3"	"#可㸸口𨙫𤘘竘叩扣𧥣釦"
"kʰəɯ5"	"詬扣怐寇𡨥筘𡠆滱𣻎瞉䍍簆𥲃鷇㜌垢"
"xəɯ1"	"齁𪅺"
"xəɯ2"	"𥎦侯矦葔喉帿猴㮢𧮶睺銗瘊䙈䗔骺篌糇翭鍭餱䫛鯸鄇翵疣骰"
"xəɯ3"	"蚼吽吼㖃𤘽㸸呴"
"xəɯ5"	"佝訽詬吼㖃豞䪷怐蔻蔲㰯㖃后郈厚垕後𨒥訽𣣠睺鍭后厚逅後侯（閩~）矦（閩~）候𠋫鄇堠䞧䞀鮜鱟"
"ʔəɯ1"	"剾瞘䁱蓲漚甌歐膒䙔櫙謳鏂鷗嘔區醧"
"ʔəɯ3"	"㸸塸歐毆䙔𠙶嘔慪敺"
"ʔəɯ5"	"𠹝漚䙔𣓕慪"
"tsəɯ1"	"陬掫棷緅𣠏調侜啁矪𥎻𧻖輈𩢸盩譸咮齱𠿈䑼騶郰陬菆棷？鄒箃緅鄹𨃘黀舟州周洲郮週婤𥺝輖賙"
"tsəɯ3"	"走扭肘疛𤶡搊掫𧌗晭箒𧳜鯞帚"
"tsəɯ5"	"走奏揍楱㔌䠫晝噣咮𦡴鮦紂葤䈙棸懤㿒繇疛伷宙冑胄酎䛆𩊄駎籀甃㾭皺縐䐢𥣙㑳僽驟椆䯾呪咒祝#鄒"
"tsʰəɯ1"	"䜅抽𢭆㨨瘳惆𥈌婤妯𢬆搊㮲醔篘𥻤謅犨犫"
"tsʰəɯ2"	"鯫㔌𥲅抽紬菗𢃖椆𠷎稠裯綢𨞪儔薵幬𢤉懤𦡴燽疇籌躊𪆇𪇘檮䬞鯈怞鮋棸愁㵞酬詶𨞪雔𣀓𣀘𣫐醻讎魗鮋"
"tsʰəɯ3"	"趣棷丑吜杽杻瞅𩋄𩌄醜𧃝魗"
"tsʰəɯ5"	"湊楱腠輳𧱪𪉮蔟嗾畜俞兪遚䔏簉臭殠"
"səɯ1"	"鏉𠘂摗鎪䩳𩌱𩮶涑𡠼犙𦺋捜鄋𨜛搜𢯱蒐獀廋溲螋䗏𧽏醙䤇鎪䤹餿𩜯䐹颼䬒騪䮟𣸈𧼭犙收"
"səɯ3"	"操𥈃籔駷廋廀叟叜傁𠊯𠋢𠻛瞍嗾䏂𦖪謏擻藪𧩮棷溲𣸈手守𦣻首𩠐艏䭭扌"
"səɯ5"	"鏉漱嗾謏欶嗽瘶瘦𤸃鏉漱嗖𨞪受壽綬璹詶授㖟售壽綬收守首狩獸手"
"ʔəɯ2"	"齵聱牛"
"ʔəɯ3"	"偶㼴耦蕅藕髃"
"ʔəɯ5"	"偶𪖐"
"pɨ1"	"#婢"
"pɨ3"	"㗗佊彼柀𠐌匕比朼疕沘妣䃾秕舭髀俾𢔌𠬈𦸣𪐄𢳋鞞髀箄崥娝啚鄙痞𤽊㪏"
"pɨ5"	"陂藣賁佊貱詖跛比䃾𦸣庇畀𢌿㪏閉閇箅嬖𦸣𠈺陛㙄梐𤙞䯗髀鐾𣘥薜𥴬𨢡𨫔䥍庳婢牝比䃾坒䫁𤹝襣芘枇䑄泌"
"pʰɨ1"	"䪹呸怌丕㔻伾秠豾鉟髬駓魾䫠苤悂㩺+紕𢞗𦀘𧧺帔披狓㱟𤿎𤱍秛耚旇翍鈹鮍𤿎鈚𨻼批砒𠜱磇錍𪄆"
"pʰɨ2"	"罷犤皮郫疲㯅鈚比沘魮阰芘+枇肶毗毘𦊁蚍𣬈𨈚豼琵𦳈㮰膍貔𧑜𧖈仳鵧𪌈裨紕郫陴𡌨埤啤𦜉脾焷蜱㯅螷䴽𧓎蠯𩫫邳鉟魾䫠岯䲹鞞笓崥椑㼰膍鼙#痹"
"pʰɨ3"	"吡疕庀仳䚹諀疕𢻹秠𡺮嚭紴披㱟䫌圮𡉏"
"pʰɨ5"	"濞淠𦤢䑄㿙嚊屁䊧濞渒𠞇睥𣹮媲䠘#紕（俗又音）？髀"
"mɨ1"	"#謎#渳"
"mɨ2"	"𪎭𦗕糜縻蘼㸏醿䊳𪎕冞𢏏弥𥹄䍘𨤐擟麊彌𥎖獼㜷镾㣆鸍𥸀䥸瀰𥉓咪迷𡝡𡝠𧠠醚䤍麛𪓬謎"
"mɨ3"	"骳𦗕靡蘼𡬍𪎓𨇻咪芈羋侎弭敉葞㥝瞇濔瀰咩䦵䖹蝆眯𡬍米洣脒䋛蔝䱊"
"mɨ5"	"㩢"
"tɨ1"	"岻低奃袛䧑㓳羝隄𥿄趆堤䐎𡰖磾鍉鞮氐柢揥腣眡䬫䚣屜#地"
"tɨ2"	"？題"
"tɨ3"	"堤邸坻抵底弤柢牴㪆軧觝詆䏄"
"tɨ5"	"地墬弟娣㼵遞䑯媞悌逮軑髢杕弟娣第釱𢰂棣睇遞禘摕遰慸締#乄（しめ）#〆（しめ）踶𧫚𧡨題𪂿鯷𥶛鷤悌鬀㣇墆#屜"
"tʰɨ1"	"睇梯㔸𨁃䖙𩤽𠥸鷈謕"
"tʰɨ2"	"隄𡰄䐎𡰖詆締鼶銻䖙厗𦯔㖒提啼罤崹稊𢔭媞瑅𣖅𧋘嗁㡗䬫𣹲綈䨑褆蕛𥉘蝭䬾緹趧醍𧡨蹄䚣鴺蹏謕題𨪉鮷鵜騠𪂿鯷䱱鶙𥶛鷤荑桋銕鮧折禔"
"tʰɨ3"	"緹醍𣈡軆䪆體挮涕"
"tʰɨ5"	"啻达楴暜𣧂戻剃洟𥫵涕屜替𢝹𡲕𧛒𣤖殢𤾕㬱䎮鬀薙地遞䠠趆柢骶𤬵帝偙𦨢𢰂蒂䟡僀腣摕䩚蔕碲諦螮啑渧蝭嚏嚔疐蝃"
"nɨ1"	"#狸"
"nɨ2"	"呢妮尼怩蚭跜䝚鈮𩚯柅聻伲抳狔旎柅㷰攡黐离漓𢟢璃樆䅻褵罹篱縭醨謧離鵹蘺𪅆灕蠡㰚𢥗孋䍦𪖂劙矖𧕮穲籬𧕯驪鸝𣀷麗酈䕻倈厘𠩬狸𣮉喱剺𠭰筣艃孷嫠貍犛𣁟𢟤𩭇釐斄㾖氂梩刕梨棃犂蜊蔾蟍𠠍䴻𢤂鯬鑗秜泥屔埿兒𠆵郳倪猊婗棿㪒䘽蜺輗貎觬霓鯢麑齯𣕁犁犂筣盠蔾𨛫黎㦒𨿯𦃇謧藜邌𤛿鯬𥌛黧廲𩧋驪莉瓈#佴（氏也）"
"nɨ3"	"悝李里𨛋俚哩浬娌理㾖裡裏鋰鯉㸚峛邐薾檷禰瀰嬭坭苨𦰫𩋪䦵鑈𩍦𩯨㪒䘽觬掜晲堄盠蠡劙鱺礼豊澧禮𥴡醴欐𣀷鱧欚𦫈𩽵"
"nɨ5"	"䣵膩𦡸䁊琍利𥝤俐莅猁涖痢蒞䇐䬆鬁䚕𢟤吏離荔珕詈𥶾㿛例砅𢂥栵㾐厲勵巁癘濿𢤆櫔蠇犡禲礪蠣糲𩧃洌䅀䮋鮤𥣭𧸱𢤇泥埿迡濘霓堄睨𧡎甈盻𢏗離𠠫劙㸚欐丽沴戾荔珕栛㑦涖䓞唳悷蜧綟隷𣛒隸𩘡麗𤃀𣟌𥃏儷䕻𥶾㿛䚕𧢮捩蜦"
"ʔɨ1"	"㿄+噫毉醫譩犄猗欹㾨禕漪檹𩕲椅旖陭衤衣依䧇㛄郼㥋銥譩繶㐆伊咿𧉅蛜黟黝矣"
"ʔɨ2"	"拸袲鉹蛇箷詑虵𣣢歋匜杝䄬衪𠩗𤝻迻栘扅移暆𠗺㥴䔟𥠥䬁熪螔𠐀簃謻迆迤酏眱𡰥珆鴺洟羨夷䧅荑峓𢓡恞𡱐姨桋胰痍蛦羠跠鮧彞彝鏔𣟗㰘寅蔩#遺姬𦣝洍台圯沶怡瓵巸眙宧弬㺿㼢𣐵𦚟貽䬮詒媐飴𩛛頤𩠞𩠢䱌鏔异姬"
"ʔɨ3"	"僾㥋庡扆偯靉猗倚椅旖輢譩醷㰻矣𦮸肔孈匜衪㥴扡迆迤崺酏巳已以㠯苡佁攺苢綺#尾"
"ʔɨ5"	"衣倚輢陭𠃸䵝意鐿鷾欭亄㙪撎饐懿鷧㱲螠縊隶𥿫㣇貤殔肄勩㡼食巳已异異䔬廙潩㒾伿易貤㑥施"
"tɕɨ1"	"丌姬基稘䇫箕錤諅居朞期（同朞）諆其萁姬机肌飢虮刏僟𦺬嘰璣機禨𧗇磯䟇譏鐖饑鞿幾榿蘄攲畸躸羇羈掎妓㱦奇竒𧆌䂑隮賷櫅䪡躋齎𩐒齏𧅱擠齌𨥳𢥎麡啙卟𥝌乩枅笄㮷稽𨪴雞鷄䗗#墼#檵敧"
"tɕɨ2"	"？吱"
"tɕɨ3"	"庋剞攲踦掎㞆㱦机几䢳㞦𤜝㞛麂𪊨䂹己𠮯妀紀幾穖蟣𩴆枳䍤癠夘㧗擠"
"tɕɨ5"	"翨馶溉漑禨旡𣢆既旣蔇暨曁洎兾穊冀覬懻𩥉驥記徛寄䐀伎技妓徛䗁錡跽畁忌梞惎𥭜䋟誋諅鵋鱀𢍁帺𨙬𧳙幾䤒芰䛋䝸鬾騎輢汥㧘垍洎臮塈墍暨𣽍鱀曁季祭際穄穧鰶𩯰𩯷㦣彐𣯅罽蘮瀱𦇧訐猘偈隮躋擠䶓濟穧霽䰏𩶆癠鱭薺啙劑齌穧癠𨣧𪊆䶩嚌齊懠轚計𨜒㲅+髻薊檕+檵繫繼蘻係#紀#屐左㡭"
"tɕʰɨ1"	"攲踦觭䗁㩻㥓㱦𤘌𦖊榿崎碕䫥娸欺僛䫏魌𠐾𪅾𪀩䶞抾#期齌妻郪凄萋淒悽緀霋鶈檕𤳤嵠溪磎螇谿鸂#奚#蹊棲栖"
"tɕʰɨ2"	"畁錤期亓其𢍁𢃛萁淇琪棊棋祺碁蜝綦蜞䑴旗綨璂𧯯踑禥藄𦪆𤪌騏櫀䳢蘄鯕麒䶞翄伎𨙸芪岐忯歧祇𦭲𠁭疧蚑䉻𨱜䞚軝跂𩉬𢻚䲬示汥衹馶刏㙨畿𦠄幾蟣圻岓祈蚚旂崎碕頎𩴆𧰙玂𪙧俟弜鵸𢺷奇竒㩽琦碕鬾騎錡埼癠𨥦𨥳齊䶒懠臍蠐濟𪗍麡#畸𨵤"
"tɕʰɨ3"	"觭㥓䞚碕婍㾨跂邔芑屺玘杞起豈䔇亟䀈唭玼泚皉緀敧"
"tɕʰɨ5"	"掎㞆䀈气汽炁盵氣蚑跂企𢺵𨑤吱弃㞓夡棄蟿器揭愒𡳅甈䔾憩摖妻砌䀙𦕀𥉻䏅去（舊音）亟"
