"繁體"	"简体"	"聲韻"	"聲調"		"1：˦˦"	"2：˧˩"
"聰"	"聪"	"tsʰoŋ"	44			
"蒼"	"苍"	"tsʰo"	44			
"蔥"	"葱"	"tsʰoŋ"	44			
"親"	"亲"	"tsʰan"	44			
"診"	"诊"	"tsʰan"	44			
"謙"	"谦"	"tsʰe"	44			
"車"	"车"	"tsʰo"	44			
"遷"	"迁"	"tsʰe"	44			
"釵"	"钗"	"tsʰa"	44			
"鈔"	"钞"	"tsʰɔ"	44			
"雌"	"雌"	"tsʰɿ"	44			
"雛"	"雏"	"tsʰu"	44			
"餐"	"餐"	"tsʰɛ"	44			
"三"	"三"	"sɛ"	44			
"仙"	"仙"	"se"	44			
"傻"	"傻"	"so"	44			
"僧"	"僧"	"san"	44			
"先"	"先"	"se"	44			
"刪"	"删"	"sɛ"	44			
"參"	"参"	"san"	44			
"司"	"司"	"sɿ"	44			
"唆"	"唆"	"so"	44			
"喧"	"喧"	"sø"	44			
"喪"	"丧"	"so"	44			
"孫"	"孙"	"sø"	44			
"宣"	"宣"	"sø"	44			
"山"	"山"	"sɛ"	44			
"嵩"	"嵩"	"soŋ"	44			
"師"	"师"	"sɿ"	44			
"廝"	"厮"	"sɿ"	44			
"心"	"心"	"san"	44			
"思"	"思"	"sɿ"	44			
"拴"	"拴"	"sø"	44			
"捎"	"捎"	"sɔ"	44			
"搜"	"搜"	"sau"	44			
"摔"	"摔"	"sai"	44			
"撕"	"撕"	"sɿ"	44			
"斯"	"斯"	"sɿ"	44			
"新"	"新"	"san"	44			
"施"	"施"	"sɿ"	44			
"杉"	"杉"	"sɛ"	44			
"松"	"松"	"soŋ"	44			
"柵"	"栅"	"sa"	44			
"桑"	"桑"	"so"	44			
"梭"	"梭"	"so"	44			
"梳"	"梳"	"sɿ"	44			
"森"	"森"	"san"	44			
"沙"	"沙"	"so"	44			
"深"	"深"	"san"	44			
"牲"	"牲"	"sa"	44			
"獅"	"狮"	"sɿ"	44			
"珊"	"珊"	"sɛ"	44			
"琛"	"琛"	"san"	44			
"生"	"生"	"sa"	44			
"甥"	"甥"	"sa"	44			
"申"	"申"	"san"	44			
"疏"	"疏"	"su"	44			
"疝"	"疝"	"se"	44			
"私"	"私"	"sɿ"	44			
"稍"	"稍"	"sɔ"	44			
"笙"	"笙"	"sa"	44			
"篩"	"筛"	"sɿ"	44			
"紗"	"纱"	"so"	44			
"絲"	"丝"	"sɿ"	44			
"腮"	"腮"	"sɿ"	44			
"蔬"	"蔬"	"su"	44			
"薪"	"薪"	"san"	44			
"蘇"	"苏"	"su"	44			
"衰"	"衰"	"sai"	44			
"詩"	"诗"	"sɿ"	44			
"身"	"身"	"san"	44			
"軒"	"轩"	"se"	44			
"辛"	"辛"	"san"	44			
"送"	"送"	"soŋ"	44			
"酥"	"酥"	"su"	44			
"酸"	"酸"	"sø"	44			
"閂"	"闩"	"sø"	44			
"雖"	"虽"	"sai"	44			
"颼"	"飕"	"sau"	44			
"餿"	"馊"	"sau"	44			
"鮮"	"鲜"	"se"	44			
"鉗"	"钳"	"dze"	44			
"柴"	"柴"	"za"	44			
"中"	"中"	"tɕoŋ"	44			
"京"	"京"	"tɕan"	44			
"今"	"今"	"tɕan"	44			
"僵"	"僵"	"tɕa"	44			
"君"	"君"	"tɕøŋ"	44			
"周"	"周"	"tɕiu"	44			
"均"	"均"	"tɕøn"	44			
"基"	"基"	"tɕi"	44			
"嬌"	"娇"	"tɕiɔ"	44			
"州"	"州"	"tɕiu"	44			
"巾"	"巾"	"tɕan"	44			
"幾"	"几"	"tɕi"	44			
"張"	"张"	"tɕa"	44			
"征"	"征"	"tɕeŋ"	44			
"忠"	"忠"	"tɕoŋ"	44			
"招"	"招"	"tɕiɔ"	44			
"既"	"既"	"tɕi"	44			
"昭"	"昭"	"tɕiɔ"	44			
"晶"	"晶"	"tɕeŋ"	44			
"朝"	"朝"	"tɕiɔ"	44			
"朱"	"朱"	"tɕʉ"	44			
"株"	"株"	"tɕʉ"	44			
"椒"	"椒"	"tɕiɔ"	44			
"樁"	"桩"	"tɕo"	44			
"樟"	"樟"	"tɕa"	44			
"樵"	"樵"	"tɕiɔ"	44			
"機"	"机"	"tɕi"	44			
"洲"	"洲"	"tɕiu"	44			
"漿"	"浆"	"tɕa"	44			
"澆"	"浇"	"tɕiɔ"	44			
"焦"	"焦"	"tɕiɔ"	44			
"珠"	"珠"	"tɕʉ"	44			
"疆"	"疆"	"tɕa"	44			
"睛"	"睛"	"tɕeŋ"	44			
"瞧"	"瞧"	"tɕiɔ"	44			
"矯"	"矫"	"tɕiɔ"	44			
"硃"	"硃"	"tɕʉ"	44			
"祈"	"祈"	"tɕi"	44			
"禁"	"禁"	"tɕan"	44			
"稽"	"稽"	"tɕi"	44			
"章"	"章"	"tɕa"	44			
"精"	"精"	"tɕeŋ"	44			
"糾"	"纠"	"tɕau"	44			
"絹"	"绢"	"tɕø"	44			
"經"	"经"	"tɕan"	44			
"羈"	"羁"	"tɕi"	44			
"肌"	"肌"	"tɕi"	44			
"肫"	"肫"	"tɕøn"	44			
"舟"	"舟"	"tɕiu"	44			
"荊"	"荆"	"tɕan"	44			
"蒸"	"蒸"	"tɕiŋ"	44			
"薑"	"姜"	"tɕa"	44			
"蛆"	"蛆"	"tɕʉ"	44			
"蛛"	"蛛"	"tɕʉ"	44			
"襟"	"襟"	"tɕan"	44			
"規"	"规"	"tɕʉ"	44			
"誅"	"诛"	"tɕʉ"	44			
"諸"	"诸"	"tɕʉ"	44			
"譏"	"讥"	"tɕi"	44			
"軍"	"军"	"tɕøŋ"	44			
"遮"	"遮"	"tɕi"	44			
"金"	"金"	"tɕan"	44			
"鈞"	"钧"	"tɕøn"	44			
"錐"	"锥"	"tɕʉ"	44			
"錦"	"锦"	"tɕan"	44			
"鍾"	"锺"	"tɕo"	44			
"鐘"	"钟"	"tɕo"	44			
"鑄"	"铸"	"tɕʉ"	44			
"障"	"障"	"tɕa"	44			
"雞"	"鸡"	"tɕi"	44			
"飢"	"飢"	"tɕi"	44			
"饑"	"饥"	"tɕi"	44			
"驕"	"骄"	"tɕiɔ"	44			
"驚"	"惊"	"tɕan"	44			
"鳩"	"鸠"	"tɕau"	44			
"龜"	"龟"	"tɕʉ"	44			
"丘"	"丘"	"tɕʰau"	44			
"伸"	"伸"	"tɕʰøn"	44			
"充"	"充"	"tɕʰoŋ"	44			
"匡"	"匡"	"tɕʰo"	44			
"區"	"区"	"tɕʰʉ"	44			
"卿"	"卿"	"tɕʰan"	44			
"吹"	"吹"	"tɕʰʉ"	44			
"囪"	"囱"	"tɕʰoŋ"	44			
"奢"	"奢"	"tɕʰi"	44			
"妻"	"妻"	"tɕʰi"	44			
"抽"	"抽"	"tɕʰiu"	44			
"揪"	"揪"	"tɕʰiu"	44			
"昌"	"昌"	"tɕʰa"	44			
"春"	"春"	"tɕʰøn"	44			
"暢"	"畅"	"tɕʰa"	44			
"椿"	"椿"	"tɕʰøn"	44			
"槍"	"枪"	"tɕʰa"	44			
"樞"	"枢"	"tɕʰʉ"	44			
"欺"	"欺"	"tɕʰi"	44			
"欽"	"钦"	"tɕʰan"	44			
"沖"	"冲"	"tɕʰoŋ"	44			
"清"	"清"	"tɕʰeŋ"	44			
"溪"	"溪"	"tɕʰi"	44			
"炊"	"炊"	"tɕʰʉ"	44			
"秋"	"秋"	"tɕʰiu"	44			
"稱"	"称"	"tɕʰeŋ"	44			
"繰"	"缲"	"tɕʰiɔ"	44			
"羌"	"羌"	"tɕʰa"	44			
"腔"	"腔"	"tɕʰa"	44			
"舂"	"舂"	"tɕʰoŋ"	44			
"蜻"	"蜻"	"tɕʰeŋ"	44			
"蟶"	"蛏"	"tɕʰeŋ"	44			
"賒"	"赊"	"tɕʰi"	44			
"超"	"超"	"tɕʰiɔ"	44			
"趨"	"趋"	"tɕʰʉ"	44			
"車"	"车"	"tɕʰi"	44			
"輕"	"轻"	"tɕʰan"	44			
"鍬"	"锹"	"tɕʰiɔ"	44			
"青"	"青"	"tɕʰeŋ"	44			
"驅"	"驱"	"tɕʰʉ"	44			
"些"	"些"	"ɕa"	44			
"休"	"休"	"ɕau"	44			
"修"	"修"	"ɕiu"	44			
"傷"	"伤"	"ɕa"	44			
"兄"	"兄"	"ɕoŋ"	44			
"凶"	"凶"	"ɕan"	44			
"凶"	"凶"	"ɕoŋ"	44			
"勛"	"勛"	"ɕøn"	44			
"商"	"商"	"ɕa"	44			
"囂"	"嚣"	"ɕiɔ"	44			
"墟"	"墟"	"ɕʉ"	44			
"嬉"	"嬉"	"ɕi"	44			
"宵"	"宵"	"ɕiɔ"	44			
"尿"	"尿"	"ɕʉ"	44			
"希"	"希"	"ɕi"	44			
"庶"	"庶"	"ɕʉ"	44			
"廂"	"厢"	"ɕa"	44			
"悄"	"悄"	"ɕiɔ"	44			
"掀"	"掀"	"ɕan"	44			
"收"	"收"	"ɕiu"	44			
"旬"	"旬"	"ɕøn"	44			
"星"	"星"	"ɕeŋ"	44			
"曉"	"晓"	"ɕiɔ"	44			
"書"	"书"	"ɕʉ"	44			
"松"	"松"	"ɕo"	44			
"梢"	"梢"	"ɕiɔ"	44			
"棲"	"栖"	"ɕi"	44			
"欣"	"欣"	"ɕan"	44			
"消"	"消"	"ɕiɔ"	44			
"熙"	"熙"	"ɕi"	44			
"燒"	"烧"	"ɕiɔ"	44			
"犀"	"犀"	"ɕi"	44			
"犧"	"牺"	"ɕi"	44			
"皴"	"皴"	"ɕøn"	44			
"硝"	"硝"	"ɕiɔ"	44			
"稀"	"稀"	"ɕi"	44			
"箱"	"箱"	"ɕa"	44			
"簫"	"箫"	"ɕiɔ"	44			
"綏"	"绥"	"ɕʉ"	44			
"羞"	"羞"	"ɕiu"	44			
"聲"	"声"	"ɕeŋ"	44			
"胸"	"胸"	"ɕoŋ"	44			
"腥"	"腥"	"ɕeŋ"	44			
"舒"	"舒"	"ɕʉ"	44			
"荀"	"荀"	"ɕøn"	44			
"蕭"	"萧"	"ɕiɔ"	44			
"薰"	"薰"	"ɕøn"	44			
"虛"	"虚"	"ɕʉ"	44			
"襄"	"襄"	"ɕa"	44			
"西"	"西"	"ɕi"	44			
"詢"	"询"	"ɕøn"	44			
"輸"	"输"	"ɕʉ"	44			
"鄉"	"乡"	"ɕa"	44			
"銷"	"销"	"ɕiɔ"	44			
"雙"	"双"	"ɕo"	44			
"需"	"需"	"ɕʉ"	44			
"霜"	"霜"	"ɕo"	44			
"靴"	"靴"	"ɕʉ"	44			
"須"	"须"	"ɕʉ"	44			
"香"	"香"	"ɕa"	44			
"逞"	"逞"	"dʑeŋ"	44			
"償"	"偿"	"ʑa"	44			
"嘗"	"尝"	"ʑa"	44			
"裳"	"裳"	"ʑa"	44			
"亨"	"亨"	"ha"	44			
"呼"	"呼"	"hu"	44			
"婚"	"婚"	"huan"	44			
"徽"	"徽"	"huai"	44			
"慌"	"慌"	"ho"	44			
"揮"	"挥"	"huai"	44			
"昏"	"昏"	"huan"	44			
"歡"	"欢"	"hø"	44			
"灰"	"灰"	"huai"	44			
"烘"	"烘"	"hoŋ"	44			
"花"	"花"	"hua"	44			
"荒"	"荒"	"ho"	44			
"葷"	"荤"	"hø"	44			
"蒿"	"蒿"	"hɔ"	44			
"薅"	"薅"	"hɔ"	44			
"蚶"	"蚶"	"he"	44			
"蛤"	"蛤"	"he"	44			
"蝦"	"虾"	"ho"	44			
"謊"	"谎"	"ho"	44			
"輝"	"辉"	"huai"	44			
"轟"	"轰"	"hoŋ"	44			
"酣"	"酣"	"he"	44			
"馨"	"馨"	"han"	44			
"麾"	"麾"	"huai"	44			
"鼾"	"鼾"	"he"	44			
"幻"	"幻"	"ɦuɛ"	44			
"悠"	"悠"	"ɦiau"	44			
"淤"	"淤"	"ɦʉ"	44			
"媽"	"妈"	"ma"	44			
"南"	"南"	"ne"	44			
"黏"	"黏"	"ȵi"	44			
"崖"	"崖"	"ŋɛ"	44			
"涯"	"涯"	"ŋɛ"	44			
"拉"	"拉"	"ʔla"	44			
"彌"	"弥"	"ʔmi"	44			
"滿"	"满"	"ʔmø"	44			
"奶"	"奶"	"ʔnɛ"	44			
"挪"	"挪"	"ʔna"	44			
"櫻"	"樱"	"ʔna"	44			
"拈"	"拈"	"ʔȵi"	44			
"研"	"研"	"ʔȵi"	44			
"粘"	"粘"	"ʔȵi"	44			
"丫"	"丫"	"a"	44			
"亞"	"亚"	"a"	44			
"倭"	"倭"	"o"	44			
"冤"	"冤"	"ø"	44			
"哀"	"哀"	"ɛ"	44			
"嘔"	"呕"	"au"	44			
"坳"	"坳"	"ɔ"	44			
"埃"	"埃"	"ɛ"	44			
"塢"	"坞"	"u"	44			
"威"	"威"	"uai"	44			
"安"	"安"	"e"	44			
"庵"	"庵"	"e"	44			
"彎"	"弯"	"uɛ"	44			
"恩"	"恩"	"an"	44			
"慪"	"怄"	"au"	44			
"挨"	"挨"	"ɛ"	44			
"歐"	"欧"	"au"	44			
"歪"	"歪"	"ua"	44			
"毆"	"殴"	"au"	44			
"汙"	"污"	"u"	44			
"汪"	"汪"	"o"	44			
"淵"	"渊"	"e"	44			
"溫"	"温"	"uan"	44			
"漚"	"沤"	"au"	44			
"灣"	"湾"	"uɛ"	44			
"烏"	"乌"	"u"	44			
"焉"	"焉"	"e"	44			
"煙"	"烟"	"e"	44			
"煨"	"煨"	"uai"	44			
"燕"	"燕"	"e"	44			
"甕"	"瓮"	"oŋ"	44			
"瘟"	"瘟"	"uan"	44			
"窩"	"窝"	"u"	44			
"窪"	"洼"	"ua"	44			
"翁"	"翁"	"oŋ"	44			
"肮"	"肮"	"o"	44			
"蔫"	"蔫"	"e"	44			
"蛙"	"蛙"	"ua"	44			
"蝦"	"虾"	"o"	44			
"蝸"	"蜗"	"o"	44			
"豌"	"豌"	"ø"	44			
"迂"	"迂"	"ʉ"	44			
"阿"	"阿"	"a"	44			
"阿"	"阿"	"o"	44			
"鞍"	"鞍"	"e"	44			
"鴉"	"鸦"	"a"	44			
"伴"	"伴"	"pʰø"	24			
"並"	"并"	"beŋ"	24			
"伴"	"伴"	"bø"	24			
"倍"	"倍"	"bai"	24			
"培"	"培"	"bai"	24			
"抱"	"抱"	"bɔ"	24			
"棒"	"棒"	"bo"	24			
"棚"	"棚"	"ba"	24			
"棚"	"棚"	"boŋ"	24			
"簿"	"簿"	"bu"	24			
"罷"	"罢"	"ba"	24			
"脾"	"脾"	"bi"	24			
"蚌"	"蚌"	"ba"	24			
"被"	"被"	"bi"	24			
"辨"	"辨"	"be"	24			
"辮"	"辫"	"be"	24			
"辯"	"辩"	"be"	24			
"部"	"部"	"bu"	24			
"鮑"	"鲍"	"bɔ"	24			
"鰾"	"鳔"	"biɔ"	24			
"捅"	"捅"	"tʰoŋ"	24			
"動"	"动"	"doŋ"	24			
"斷"	"断"	"dan"	24			
"團"	"团"	"dan"	24			
"填"	"填"	"de"	24			
"宕"	"宕"	"do"	24			
"弟"	"弟"	"di"	24			
"待"	"待"	"dɛ"	24			
"怠"	"怠"	"de"	24			
"惰"	"惰"	"du"	24			
"杜"	"杜"	"du"	24			
"桶"	"桶"	"doŋ"	24			
"殆"	"殆"	"de"	24			
"沌"	"沌"	"dan"	24			
"淡"	"淡"	"dɛ"	24			
"稻"	"稻"	"dɔ"	24			
"肚"	"肚"	"du"	24			
"道"	"道"	"dɔ"	24			
"杆"	"杆"	"ke"	24			
"厚"	"厚"	"gau"	24			
"侮"	"侮"	"vu"	24			
"俸"	"俸"	"voŋ"	24			
"刎"	"刎"	"van"	24			
"吠"	"吠"	"vi"	24			
"吻"	"吻"	"van"	24			
"奉"	"奉"	"voŋ"	24			
"婦"	"妇"	"vu"	24			
"忿"	"忿"	"van"	24			
"憤"	"愤"	"van"	24			
"撫"	"抚"	"vu"	24			
"晚"	"晚"	"vɛ"	24			
"武"	"武"	"vu"	24			
"焚"	"焚"	"van"	24			
"父"	"父"	"vu"	24			
"犯"	"犯"	"va"	24			
"範"	"范"	"va"	24			
"舞"	"舞"	"vu"	24			
"負"	"负"	"vau"	24			
"朕"	"朕"	"tsan"	24			
"此"	"此"	"tsʰɿ"	24			
"屎"	"屎"	"sɿ"	24			
"矢"	"矢"	"sɿ"	24			
"件"	"件"	"dze"	24			
"漸"	"渐"	"dzɛ"	24			
"苧"	"苎"	"dzɿ"	24			
"似"	"似"	"zɿ"	24			
"俟"	"俟"	"zɿ"	24			
"冉"	"冉"	"ze"	24			
"冗"	"冗"	"zoŋ"	24			
"善"	"善"	"ze"	24			
"士"	"士"	"zɿ"	24			
"巳"	"巳"	"zɿ"	24			
"市"	"市"	"zɿ"	24			
"恃"	"恃"	"zɿ"	24			
"撰"	"撰"	"zø"	24			
"是"	"是"	"zɿ"	24			
"汝"	"汝"	"zʉ"	24			
"甚"	"甚"	"zan"	24			
"痔"	"痔"	"zɿ"	24			
"皂"	"皂"	"zɔ"	24			
"盡"	"尽"	"zan"	24			
"祀"	"祀"	"zɿ"	24			
"稚"	"稚"	"zɿ"	24			
"罪"	"罪"	"zai"	24			
"聚"	"聚"	"zʉ"	24			
"腎"	"肾"	"zan"	24			
"膳"	"膳"	"ze"	24			
"葚"	"葚"	"zan"	24			
"造"	"造"	"zɔ"	24			
"驟"	"骤"	"zau"	24			
"整"	"整"	"tɕeŋ"	24			
"矩"	"矩"	"tɕʉ"	24			
"丈"	"丈"	"dʑa"	24			
"兆"	"兆"	"dʑiɔ"	24			
"匠"	"匠"	"dʑa"	24			
"咎"	"咎"	"dʑau"	24			
"妓"	"妓"	"dʑi"	24			
"技"	"技"	"dʑi"	24			
"擾"	"扰"	"dʑiɔ"	24			
"杖"	"杖"	"dʑa"	24			
"柩"	"柩"	"dʑau"	24			
"柱"	"柱"	"dʑʉ"	24			
"窘"	"窘"	"dʑøn"	24			
"紂"	"纣"	"dʑiu"	24			
"紹"	"绍"	"dʑiɔ"	24			
"臼"	"臼"	"dʑau"	24			
"舅"	"舅"	"dʑau"	24			
"菌"	"菌"	"dʑøn"	24			
"趙"	"赵"	"dʑiɔ"	24			
"跪"	"跪"	"dʑʉ"	24			
"迥"	"迥"	"dʑoŋ"	24			
"重"	"重"	"dʑo"	24			
"乳"	"乳"	"ʑʉ"	24			
"受"	"受"	"ʑiu"	24			
"序"	"序"	"ʑʉ"	24			
"授"	"授"	"ʑiu"	24			
"敘"	"叙"	"ʑʉ"	24			
"盾"	"盾"	"ʑøn"	24			
"社"	"社"	"ʑi"	24			
"緒"	"绪"	"ʑʉ"	24			
"署"	"署"	"ʑʉ"	24			
"臍"	"脐"	"ʑi"	24			
"薺"	"荠"	"ʑi"	24			
"藉"	"藉"	"ʑi"	24			
"豎"	"竖"	"ʑʉ"	24			
"象"	"象"	"ʑa"	24			
"靜"	"静"	"ʑeŋ"	24			
"亥"	"亥"	"ɦɛ"	24			
"匯"	"汇"	"ɦuai"	24			
"宦"	"宦"	"ɦuɛ"	24			
"尹"	"尹"	"ɦiøn"	24			
"幸"	"幸"	"ɦa"	24			
"後"	"后"	"ɦau"	24			
"戶"	"户"	"ɦu"	24			
"撼"	"撼"	"ɦɛ"	24			
"旱"	"旱"	"ɦɛ"	24			
"杏"	"杏"	"ɦa"	24			
"橫"	"横"	"ɦua"	24			
"浩"	"浩"	"ɦɔ"	24			
"滬"	"沪"	"ɦu"	24			
"禍"	"祸"	"ɦu"	24			
"限"	"限"	"ɦɛ"	24			
"渺"	"渺"	"miɔ"	24			
"秒"	"秒"	"miɔ"	24			
"莽"	"莽"	"moŋ"	24			
"藐"	"藐"	"miɔ"	24			
"嶺"	"岭"	"neŋ"	24			
"曩"	"曩"	"no"	24			
"儼"	"俨"	"ȵi"	24			
"嚷"	"嚷"	"ȵa"	24			
"壤"	"壤"	"ȵa"	24			
"攘"	"攘"	"ȵa"	24			
"軟"	"软"	"ȵʉ"	24			
"兩"	"两"	"lia"	24			
"壘"	"垒"	"lai"	24			
"懶"	"懒"	"lɛ"	24			
"摟"	"搂"	"lau"	24			
"攬"	"揽"	"la"	24			
"朗"	"朗"	"lo"	24			
"櫓"	"橹"	"lu"	24			
"欖"	"榄"	"la"	24			
"燎"	"燎"	"liɔ"	24			
"理"	"理"	"li"	24			
"簍"	"篓"	"lau"	24			
"纜"	"缆"	"la"	24			
"裏"	"里"	"li"	24			
"魯"	"鲁"	"lu"	24			
"鯉"	"鲤"	"li"	24			
"斷"	"断"	"dø"	24			
"儡"	"儡"	"ʔlai"	24			
"履"	"履"	"ʔli"	24			
"李"	"李"	"ʔli"	24			
"禮"	"礼"	"ʔli"	24			
"累"	"累"	"ʔlai"	24			
"老"	"老"	"ʔlɔ"	24			
"虜"	"虏"	"ʔlu"	24			
"每"	"每"	"ʔmai"	24			
"米"	"米"	"ʔmi"	24			
"美"	"美"	"ʔmi"	24			
"買"	"买"	"ʔma"	24			
"靡"	"靡"	"ʔmi"	24			
"乃"	"乃"	"ʔnɛ"	24			
"惱"	"恼"	"ʔnɔ"	24			
"耳"	"耳"	"ʔn"	24			
"腦"	"脑"	"ʔnɔ"	24			
"餌"	"饵"	"ʔn"	24			
"五"	"五"	"ʔŋ"	24			
"伍"	"伍"	"ʔŋ"	24			
"午"	"午"	"ʔŋ"	24			
"與"	"与"	"ʉ"	24			
"並"	"并"	"peŋ"	42			
"半"	"半"	"pø"	42			
"報"	"报"	"pɔ"	42			
"壩"	"坝"	"po"	42			
"布"	"布"	"pu"	42			
"庇"	"庇"	"pi"	42			
"怖"	"怖"	"pu"	42			
"扮"	"扮"	"pɛ"	42			
"播"	"播"	"pu"	42			
"柄"	"柄"	"peŋ"	42			
"殯"	"殡"	"peŋ"	42			
"泌"	"泌"	"pi"	42			
"爆"	"爆"	"pɔ"	42			
"痹"	"痹"	"pi"	42			
"秘"	"秘"	"pi"	42			
"箅"	"箅"	"pi"	42			
"簸"	"簸"	"pai"	42			
"絆"	"绊"	"pɛ"	42			
"背"	"背"	"pai"	42			
"萌"	"萌"	"peŋ"	42			
"蔽"	"蔽"	"pi"	42			
"豹"	"豹"	"pɔ"	42			
"貝"	"贝"	"pai"	42			
"輩"	"辈"	"pai"	42			
"轡"	"辔"	"pi"	42			
"迸"	"迸"	"poŋ"	42			
"遍"	"遍"	"pe"	42			
"閉"	"闭"	"pi"	42			
"霸"	"霸"	"po"	42			
"判"	"判"	"pʰø"	42			
"叛"	"叛"	"pʰø"	42			
"噴"	"喷"	"pʰan"	42			
"姘"	"姘"	"pʰeŋ"	42			
"屁"	"屁"	"pʰi"	42			
"拚"	"拚"	"pʰeŋ"	42			
"拼"	"拼"	"pʰeŋ"	42			
"沛"	"沛"	"pʰai"	42			
"泡"	"泡"	"pʰɔ"	42			
"炮"	"炮"	"pʰɔ"	42			
"片"	"片"	"pʰe"	42			
"瓣"	"瓣"	"pʰɛ"	42			
"盼"	"盼"	"pʰɛ"	42			
"票"	"票"	"pʰiɔ"	42			
"聘"	"聘"	"pʰeŋ"	42			
"胖"	"胖"	"pʰø"	42			
"襻"	"襻"	"pʰɛ"	42			
"配"	"配"	"pʰai"	42			
"鋪"	"铺"	"pʰu"	42			
"騙"	"骗"	"pʰe"	42			
"倒"	"倒"	"tɔ"	42			
"凍"	"冻"	"toŋ"	42			
"凳"	"凳"	"tan"	42			
"到"	"到"	"tɔ"	42			
"吊"	"吊"	"tiɔ"	42			
"妒"	"妒"	"tu"	42			
"帝"	"帝"	"ti"	42			
"帶"	"带"	"ta"	42			
"店"	"店"	"te"	42			
"戴"	"戴"	"ta"	42			
"戴"	"戴"	"tɛ"	42			
"抵"	"抵"	"ti"	42			
"擔"	"担"	"tɛ"	42			
"斷"	"断"	"tø"	42			
"旦"	"旦"	"tɛ"	42			
"棟"	"栋"	"toŋ"	42			
"當"	"当"	"to"	42			
"訂"	"订"	"teŋ"	42			
"誕"	"诞"	"tɛ"	42			
"跳"	"跳"	"tiɔ"	42			
"釘"	"钉"	"teŋ"	42			
"釣"	"钓"	"tiɔ"	42			
"鍛"	"锻"	"tø"	42			
"頓"	"顿"	"tan"	42			
"鬥"	"斗"	"tau"	42			
"兔"	"兔"	"tʰu"	42			
"剃"	"剃"	"tʰi"	42			
"吐"	"吐"	"tʰu"	42			
"唾"	"唾"	"tʰai"	42			
"太"	"太"	"tʰa"	42			
"套"	"套"	"tʰɔ"	42			
"態"	"态"	"tʰɛ"	42			
"探"	"探"	"tʰɛ"	42			
"提"	"提"	"tʰi"	42			
"替"	"替"	"tʰi"	42			
"歎"	"叹"	"tʰɛ"	42			
"泰"	"泰"	"tʰa"	42			
"涕"	"涕"	"tʰi"	42			
"炭"	"炭"	"tʰɛ"	42			
"燙"	"烫"	"tʰo"	42			
"痛"	"痛"	"tʰoŋ"	42			
"瞪"	"瞪"	"tʰan"	42			
"糶"	"粜"	"tʰiɔ"	42			
"聽"	"听"	"tʰeŋ"	42			
"褪"	"褪"	"tʰan"	42			
"貸"	"贷"	"tʰe"	42			
"趟"	"趟"	"tʰo"	42			
"跳"	"跳"	"tʰiɔ"	42			
"退"	"退"	"tʰai"	42			
"透"	"透"	"tʰau"	42			
"丐"	"丐"	"ke"	42			
"介"	"介"	"ka"	42			
"供"	"供"	"koŋ"	42			
"個"	"个"	"kai"	42			
"價"	"价"	"ko"	42			
"劊"	"刽"	"kuai"	42			
"勾"	"勾"	"kau"	42			
"卦"	"卦"	"kua"	42			
"告"	"告"	"kɔ"	42			
"固"	"固"	"ku"	42			
"夠"	"够"	"kau"	42			
"嫁"	"嫁"	"ko"	42			
"尷"	"尴"	"kɛ"	42			
"屆"	"届"	"ka"	42			
"幹"	"干"	"ke"	42			
"幹"	"干"	"kiɛ"	42			
"彀"	"彀"	"kau"	42			
"怪"	"怪"	"kua"	42			
"慣"	"惯"	"kuɛ"	42			
"戒"	"戒"	"ka"	42			
"掛"	"挂"	"kua"	42			
"故"	"故"	"ku"	42			
"教"	"教"	"kɔ"	42			
"更"	"更"	"kan"	42			
"會"	"会"	"kuai"	42			
"架"	"架"	"ko"	42			
"校"	"校"	"kɔ"	42			
"桂"	"桂"	"kuai"	42			
"械"	"械"	"ka"	42			
"構"	"构"	"kau"	42			
"汞"	"汞"	"koŋ"	42			
"灌"	"灌"	"kø"	42			
"犒"	"犒"	"kɔ"	42			
"界"	"界"	"ka"	42			
"疥"	"疥"	"ka"	42			
"監"	"监"	"kiɛ"	42			
"窖"	"窖"	"kɔ"	42			
"繪"	"绘"	"kuai"	42			
"罐"	"罐"	"kø"	42			
"芥"	"芥"	"ka"	42			
"蓋"	"盖"	"ke"	42			
"觀"	"观"	"kø"	42			
"諫"	"谏"	"kɛ"	42			
"貢"	"贡"	"koŋ"	42			
"貫"	"贯"	"kø"	42			
"貴"	"贵"	"kuai"	42			
"購"	"购"	"kau"	42			
"酵"	"酵"	"kɔ"	42			
"鋸"	"锯"	"kɯ"	42			
"鋼"	"钢"	"ko"	42			
"鑒"	"鉴"	"kiɛ"	42			
"間"	"间"	"kɛ"	42			
"降"	"降"	"ko"	42			
"雇"	"雇"	"ku"	42			
"顧"	"顾"	"ku"	42			
"駕"	"驾"	"ko"	42			
"鱖"	"鳜"	"kuai"	42			
"丐"	"丐"	"kʰa"	42			
"叩"	"叩"	"kʰau"	42			
"困"	"困"	"kʰuan"	42			
"坎"	"坎"	"kʰe"	42			
"塊"	"块"	"kʰuai"	42			
"寇"	"寇"	"kʰau"	42			
"嵌"	"嵌"	"kʰiɛ"	42			
"庫"	"库"	"kʰu"	42			
"快"	"快"	"kʰua"	42			
"愧"	"愧"	"kʰuai"	42			
"慨"	"慨"	"kʰiɛ"	42			
"扣"	"扣"	"kʰau"	42			
"抗"	"抗"	"kʰo"	42			
"控"	"控"	"kʰoŋ"	42			
"擴"	"扩"	"kʰo"	42			
