"简体"	"繁體"	"音標"		"1：˧˧"	"2：˧˩"
"借"	"借"	"tɕi5"			
"锯"	"鋸"	"tɕi5"			
"祭"	"祭"	"tɕi5"			
"际"	"際"	"tɕi5"			
"穄"	"穄"	"tɕi5"			
"挤"	"擠"	"tɕi5"			
"济"	"濟"	"tɕi5"			
"制"	"制"	"tɕi5"			
"计"	"計"	"tɕi5"			
"继"	"繼"	"tɕi5"			
"系"	"系"	"tɕi5"			
"寄"	"寄"	"tɕi5"			
"冀"	"冀"	"tɕi5"			
"记"	"記"	"tɕi5"			
"蔗"	"蔗"	"tɕi5"			
"即"	"即"	"tɕi7"			
"鲫"	"鯽"	"tɕi7"			
"织"	"織"	"tɕi7"			
"职"	"職"	"tɕi7"			
"侧"	"側"	"tɕi7"			
"积"	"積"	"tɕi7"			
"迹"	"跡"	"tɕi7"			
"绩"	"績"	"tɕi7"			
"炙"	"炙"	"tɕi7"			
"笡"	"笡"	"tɕʰi1"			
"蛆"	"蛆"	"tɕʰi1"			
"栖"	"棲"	"tɕʰi1"			
"溪"	"溪"	"tɕʰi1"			
"欺"	"欺"	"tɕʰi1"			
"鼠"	"鼠"	"tɕʰi3"			
"杵"	"杵"	"tɕʰi3"			
"起"	"起"	"tɕʰi3"			
"杞"	"杞"	"tɕʰi3"			
"岂"	"豈"	"tɕʰi3"			
"启"	"啟"	"tɕʰi3"			
"且"	"且"	"tɕʰi5"			
"去"	"去"	"tɕʰi5"			
"契"	"契"	"tɕʰi5"			
"器"	"器"	"tɕʰi5"			
"弃"	"棄"	"tɕʰi5"			
"气"	"氣"	"tɕʰi5"			
"汽"	"汽"	"tɕʰi5"			
"赤"	"赤"	"tɕʰi7"			
"斥"	"斥"	"tɕʰi7"			
"尺"	"尺"	"tɕʰi7"			
"戚"	"戚"	"tɕʰi7"			
"佢"	"佢"	"dʑi2"			
"倮"	"倮"	"dʑi2"			
"也"	"也"	"dʑi2"			
"池"	"池"	"dʑi2"			
"奇"	"奇"	"dʑi2"			
"骑"	"騎"	"dʑi2"			
"歧"	"歧"	"dʑi2"			
"岐"	"岐"	"dʑi2"			
"企"	"企"	"dʑi2"			
"雉"	"雉"	"dʑi2"			
"祁"	"祁"	"dʑi2"			
"鳍"	"鰭"	"dʑi2"			
"其"	"其"	"dʑi2"			
"棋"	"棋"	"dʑi2"			
"旗"	"旗"	"dʑi2"			
"祈"	"祈"	"dʑi2"			
"苎"	"苧"	"dʑi4"			
"妓"	"妓"	"dʑi6"			
"技"	"技"	"dʑi6"			
"箸"	"箸"	"dʑi6"			
"忌"	"忌"	"dʑi6"			
"滞"	"滯"	"dʑi6"			
"值"	"值"	"dʑi8"			
"直"	"直"	"dʑi8"			
"殖"	"殖"	"dʑi8"			
"植"	"植"	"dʑi8"			
"希"	"希"	"ɕi1"			
"稀"	"稀"	"ɕi1"			
"牺"	"犧"	"ɕi1"			
"嬉"	"嬉"	"ɕi1"			
"熙"	"熙"	"ɕi1"			
"兮"	"兮"	"ɕi1"			
"喜"	"喜"	"ɕi5"			
"蟢"	"蟢"	"ɕi5"			
"戏"	"戲"	"ɕi5"			
"鱼"	"魚"	"ȵi2"			
"渔"	"漁"	"ȵi2"			
"泥"	"泥"	"ȵi2"			
"倪"	"倪"	"ȵi2"			
"宜"	"宜"	"ȵi2"			
"仪"	"儀"	"ȵi2"			
"尼"	"尼"	"ȵi2"			
"疑"	"疑"	"ȵi2"			
"沂"	"沂"	"ȵi2"			
"蚁"	"蟻"	"ȵi4"			
"谊"	"誼"	"ȵi4"			
"你"	"你"	"ȵi4"			
"拟"	"擬"	"ȵi4"			
"议"	"議"	"ȵi4"			
"艺"	"藝"	"ȵi6"			
"义"	"義"	"ȵi6"			
"毅"	"毅"	"ȵi6"			
"腻"	"膩"	"ȵi6"			
"衣"	"衣"	"i1"			
"依"	"依"	"i1"			
"医"	"醫"	"i1"			
"伊"	"伊"	"i1"			
"野"	"野"	"i3"			
"倚"	"倚"	"i3"			
"尹"	"尹"	"i3"			
"意"	"意"	"i5"			
"亿"	"億"	"i5"			
"忆"	"憶"	"i5"			
"医"	"醫"	"i5"			
"翳"	"翳"	"i5"			
"耶"	"耶"	"ji2"			
"爷"	"爺"	"ji2"			
"宜"	"宜"	"ji2"			
"移"	"移"	"ji2"			
"易"	"易"	"ji2"			
"夷"	"夷"	"ji2"			
"姨"	"姨"	"ji2"			
"矣"	"矣"	"ji2"			
"肆"	"肆"	"ji2"			
"拽"	"拽"	"ji2"			
"已"	"已"	"ji4"			
"以"	"以"	"ji4"			
"夜"	"夜"	"ji6"			
"系"	"系"	"ji6"			
"系"	"系"	"ji6"			
"异"	"異"	"ji6"			
"搣"	"搣"	"mi1"			
"波"	"波"	"pu1"			
"菠"	"菠"	"pu1"			
"坡"	"坡"	"pu1"			
"玻"	"玻"	"pu1"			
"跛"	"跛"	"pu1"			
"补"	"補"	"pu3"			
"布"	"布"	"pu5"			
"钸"	"鈽"	"pu5"			
"怖"	"怖"	"pu5"			
"颇"	"頗"	"pʰu1"			
"铺"	"鋪"	"pʰu1"			
"浦"	"浦"	"pʰu3"			
"普"	"普"	"pʰu3"			
"谱"	"譜"	"pʰu3"			
"脯"	"脯"	"pʰu3"			
"破"	"破"	"pʰu5"			
"铺"	"鋪"	"pʰu5"			
"婆"	"婆"	"bu2"			
"蒲"	"蒲"	"bu2"			
"菩"	"菩"	"bu2"			
"部"	"部"	"bu4"			
"簿"	"簿"	"bu4"			
"步"	"步"	"bu6"			
"捕"	"捕"	"bu6"			
"埠"	"埠"	"bu6"			
"孵"	"孵"	"bu6"			
"菢"	"菢"	"bu6"			
"夫"	"夫"	"fu1"			
"呼"	"呼"	"fu1"			
"肤"	"膚"	"fu1"			
"俘"	"俘"	"fu1"			
"麸"	"麩"	"fu1"			
"孵"	"孵"	"fu1"			
"呼"	"呼"	"fu1"			
"火"	"火"	"fu3"			
"府"	"府"	"fu3"			
"腑"	"腑"	"fu3"			
"斧"	"斧"	"fu3"			
"釜"	"釜"	"fu3"			
"甫"	"甫"	"fu3"			
"付"	"付"	"fu5"			
"傅"	"傅"	"fu5"			
"货"	"貨"	"fu5"			
"赋"	"賦"	"fu5"			
"伙"	"夥"	"fu5"			
"赴"	"赴"	"fu5"			
"讣"	"訃"	"fu5"			
"辅"	"輔"	"fu5"			
"富"	"富"	"fu5"			
"副"	"副"	"fu5"			
"和"	"和"	"vu2"			
"禾"	"禾"	"vu2"			
"胡"	"胡"	"vu2"			
"湖"	"湖"	"vu2"			
"狐"	"狐"	"vu2"			
"壶"	"壺"	"vu2"			
"沪"	"滬"	"vu2"			
"胡"	"胡"	"vu2"			
"抚"	"撫"	"vu2"			
"浮"	"浮"	"vu2"			
"巫"	"巫"	"vu2"			
"诬"	"誣"	"vu2"			
"无"	"無"	"vu2"			
"符"	"符"	"vu2"			
"户"	"戶"	"vu4"			
"祸"	"禍"	"vu4"			
"诬"	"誣"	"vu4"			
"父"	"父"	"vu4"			
"舞"	"舞"	"vu4"			
"武"	"武"	"vu4"			
"侮"	"侮"	"vu4"			
"鹉"	"鵡"	"vu4"			
"妇"	"婦"	"vu4"			
"负"	"負"	"vu4"			
"荷"	"荷"	"vu6"			
"互"	"互"	"vu6"			
"获"	"獲"	"vu6"			
"瓠"	"瓠"	"vu6"			
"扶"	"扶"	"vu6"			
"芙"	"芙"	"vu6"			
"附"	"附"	"vu6"			
"附"	"附"	"vu6"			
"务"	"務"	"vu6"			
"雾"	"霧"	"vu6"			
"腐"	"腐"	"vu6"			
"大"	"大"	"du6"			
"疏"	"疏"	"su1"			
"肃"	"肅"	"su7"			
"宿"	"宿"	"su7"			
"叔"	"叔"	"su7"			
"锅"	"鍋"	"ku1"			
"戈"	"戈"	"ku1"			
"裹"	"裹"	"ku1"			
"姑"	"姑"	"ku1"			
"孤"	"孤"	"ku1"			
"牯"	"牯"	"ku1"			
"箍"	"箍"	"ku1"			
"果"	"果"	"ku3"			
"固"	"固"	"ku3"			
"古"	"古"	"ku3"			
"股"	"股"	"ku3"			
"鼓"	"鼓"	"ku3"			
"馃"	"餜"	"ku3"			
"牯"	"牯"	"ku3"			
"敞"	"敞"	"ku5"			
"过"	"過"	"ku5"			
"雇"	"雇"	"ku5"			
"顾"	"顧"	"ku5"			
"谷"	"穀"	"ku7"			
"科"	"科"	"kʰu1"			
"窠"	"窠"	"kʰu1"			
"棵"	"棵"	"kʰu1"			
"颗"	"顆"	"kʰu1"			
"枯"	"枯"	"kʰu1"			
"估"	"估"	"kʰu1"			
"苦"	"苦"	"kʰu3"			
"库"	"庫"	"kʰu5"			
"课"	"課"	"kʰu5"			
"裤"	"褲"	"kʰu5"			
"哭"	"哭"	"kʰu7"			
"酷"	"酷"	"kʰu7"			
"乌"	"烏"	"ʔu1"			
"污"	"汙"	"ʔu1"			
"窝"	"窩"	"ʔu1"			
"蜗"	"蝸"	"ʔu1"			
"倭"	"倭"	"ʔu1"			
"恶"	"惡"	"ʔu5"			
"屙"	"屙"	"ʔu5"			
"沃"	"沃"	"ʔu5"			
"握"	"握"	"ʔu5"			
"屋"	"屋"	"ʔu7"			
"都"	"都"	"ty1"			
"肚"	"肚"	"ty3"			
"赌"	"賭"	"ty3"			
"妬"	"妬"	"ty5"			
"土"	"土"	"tʰy3"			
"吐"	"吐"	"tʰy3"			
"吐"	"吐"	"tʰy5"			
"兔"	"兔"	"tʰy5"			
"图"	"圖"	"dy2"			
"徒"	"徒"	"dy2"			
"屠"	"屠"	"dy2"			
"途"	"途"	"dy2"			
"涂"	"塗"	"dy2"			
"肚"	"肚"	"dy4"			
"杜"	"杜"	"dy4"			
"度"	"度"	"dy6"			
"渡"	"渡"	"dy6"			
"镀"	"鍍"	"dy6"			
"卢"	"盧"	"ly2"			
"炉"	"爐"	"ly2"			
"芦"	"蘆"	"ly2"			
"庐"	"廬"	"ly2"			
"鸬"	"鸕"	"ly2"			
"颅"	"顱"	"ly2"			
"鲈"	"鱸"	"ly2"			
"吕"	"呂"	"ly4"			
"屡"	"屢"	"ly4"			
"履"	"履"	"ly4"			
"旅"	"旅"	"ly4"			
"路"	"路"	"ly6"			
"露"	"露"	"ly6"			
"鹭"	"鷺"	"ly6"			
"滤"	"濾"	"ly6"			
"虑"	"慮"	"ly6"			
"类"	"類"	"ly6"			
"裸"	"裸"	"ly6"			
"苏"	"蘇"	"sy1"			
"酥"	"酥"	"sy1"			
"书"	"書"	"sy1"			
"舒"	"舒"	"sy1"			
"须"	"須"	"sy1"			
"需"	"需"	"sy1"			
"输"	"輸"	"sy1"			
"虽"	"雖"	"sy1"			
"绥"	"綏"	"sy1"			
"数"	"數"	"sy3"			
"水"	"水"	"sy3"			
"诉"	"訴"	"sy5"			
"塑"	"塑"	"sy5"			
"曙"	"曙"	"sy5"			
"絮"	"絮"	"sy5"			
"黍"	"黍"	"sy5"			
"岁"	"歲"	"sy5"			
"税"	"稅"	"sy5"			
"薯"	"薯"	"zy2"			
"如"	"如"	"zy2"			
"汝"	"汝"	"zy2"			
"殊"	"殊"	"zy2"			
"儒"	"儒"	"zy2"			
"附"	"附"	"zy2"			
"瑞"	"瑞"	"zy2"			
"谁"	"誰"	"zy2"			
"序"	"序"	"zy4"			
"署"	"署"	"zy4"			
"聚"	"聚"	"zy4"			
"竖"	"豎"	"zy4"			
"乳"	"乳"	"zy4"			
"揣"	"揣"	"zy4"			
"叙"	"敘"	"zy4"			
"树"	"樹"	"zy6"			
"穗"	"穗"	"zy6"			
"术"	"術"	"zy8"			
"述"	"述"	"zy8"			
"秫"	"秫"	"zy8"			
"遂"	"遂"	"zy8"			
"隧"	"隧"	"zy8"			
"租"	"租"	"tɕy1"			
"诸"	"諸"	"tɕy1"			
"居"	"居"	"tɕy1"			
"车"	"車"	"tɕy1"			
"诛"	"誅"	"tɕy1"			
"蛛"	"蛛"	"tɕy1"			
"株"	"株"	"tɕy1"			
"殊"	"殊"	"tɕy1"			
"珠"	"珠"	"tɕy1"			
"朱"	"朱"	"tɕy1"			
"拘"	"拘"	"tɕy1"			
"驹"	"駒"	"tɕy1"			
"规"	"規"	"tɕy1"			
"锥"	"錐"	"tɕy1"			
"龟"	"龜"	"tɕy1"			
"轨"	"軌"	"tɕy1"			
"圭"	"圭"	"tɕy1"			
"闺"	"閨"	"tɕy1"			
"祖"	"祖"	"tɕy3"			
"举"	"舉"	"tɕy3"			
"主"	"主"	"tɕy3"			
"矩"	"矩"	"tɕy3"			
"嘴"	"嘴"	"tɕy3"			
"愧"	"愧"	"tɕy3"			
"鬼"	"鬼"	"tɕy3"			
"诡"	"詭"	"tɕy3"			
"据"	"據"	"tɕy5"			
"锯"	"鋸"	"tɕy5"			
"拄"	"拄"	"tɕy5"			
"驻"	"駐"	"tɕy5"			
"注"	"注"	"tɕy5"			
"铸"	"鑄"	"tɕy5"			
"蛀"	"蛀"	"tɕy5"			
"注"	"注"	"tɕy5"			
"句"	"句"	"tɕy5"			
"贵"	"貴"	"tɕy5"			
"醉"	"醉"	"tɕy5"			
"季"	"季"	"tɕy5"			
"着"	"著"	"tɕy5"			
"粗"	"粗"	"tɕʰy1"			
"趋"	"趨"	"tɕʰy1"			
"区"	"區"	"tɕʰy1"			
"枢"	"樞"	"tɕʰy1"			
"驱"	"驅"	"tɕʰy1"			
"吹"	"吹"	"tɕʰy1"			
"炊"	"炊"	"tɕʰy1"			
"取"	"取"	"tɕʰy3"			
"娶"	"娶"	"tɕʰy3"			
"醋"	"醋"	"tɕʰy5"			
"处"	"處"	"tɕʰy5"			
"去"	"去"	"tɕʰy5"			
"趣"	"趣"	"tɕʰy5"			
"除"	"除"	"dʑy2"			
"储"	"儲"	"dʑy2"			
"渠"	"渠"	"dʑy2"			
"厨"	"廚"	"dʑy2"			
"瞿"	"瞿"	"dʑy2"			
"惧"	"懼"	"dʑy2"			
"葵"	"葵"	"dʑy2"			
"绪"	"緒"	"dʑy4"			
"叵"	"叵"	"dʑy4"			
"拒"	"拒"	"dʑy4"			
"距"	"距"	"dʑy4"			
"柱"	"柱"	"dʑy4"			
"跪"	"跪"	"dʑy4"			
"住"	"住"	"dʑy6"			
"具"	"具"	"dʑy6"			
"垂"	"垂"	"dʑy6"			
"俱"	"俱"	"dʑy6"			
"穗"	"穗"	"dʑy6"			
"逵"	"逵"	"dʑy6"			
"柜"	"櫃"	"dʑy6"			
"坠"	"墜"	"dʑy6"			
"术"	"術"	"dʑy8"			
"愚"	"愚"	"ȵy2"			
"虞"	"虞"	"ȵy2"			
"危"	"危"	"ȵy2"			
"伪"	"偽"	"ȵy2"			
"渔"	"漁"	"ȵy2"			
"女"	"女"	"ȵy4"			
"语"	"語"	"ȵy4"			
"御"	"禦"	"ȵy4"			
"遇"	"遇"	"ȵy4"			
"寓"	"寓"	"ȵy4"			
"蕊"	"蕊"	"ȵy4"			
"虚"	"虛"	"ɕy1"			
"嘘"	"噓"	"ɕy1"			
"麾"	"麾"	"ɕy1"			
"挥"	"揮"	"ɕy1"			
"辉"	"輝"	"ɕy1"			
"许"	"許"	"ɕy3"			
"庶"	"庶"	"ɕy5"			
"恕"	"恕"	"ɕy5"			
"纬"	"緯"	"ɕy5"			
"毁"	"毀"	"ɕy5"			
"于"	"於"	"ʔy1"			
"淤"	"淤"	"ʔy1"			
"吁"	"籲"	"ʔy1"			
"迁"	"遷"	"ʔy1"			
"于"	"於"	"ʔy1"			
"宇"	"宇"	"ʔy1"			
"萎"	"萎"	"ʔy1"			
"威"	"威"	"ʔy1"			
"椅"	"椅"	"ʔy3"			
"委"	"委"	"ʔy3"			
"慰"	"慰"	"ʔy3"			
"畏"	"畏"	"ʔy5"			
"倭"	"倭"	"ʔy5"			
"余"	"餘"	"jy2"			
"与"	"與"	"jy2"			
"誉"	"譽"	"jy2"			
"预"	"預"	"jy2"			
"盂"	"盂"	"jy2"			
"榆"	"榆"	"jy2"			
"逾"	"逾"	"jy2"			
"愈"	"愈"	"jy2"			
"为"	"為"	"jy2"			
"维"	"維"	"jy2"			
"惟"	"惟"	"jy2"			
"遗"	"遺"	"jy2"			
"唯"	"唯"	"jy2"			
"违"	"違"	"jy2"			
"围"	"圍"	"jy2"			
"伟"	"偉"	"jy2"			
"苇"	"葦"	"jy2"			
"讳"	"諱"	"jy2"			
"雨"	"雨"	"jy4"			
"禹"	"禹"	"jy4"			
"羽"	"羽"	"jy4"			
"宇"	"宇"	"jy4"			
"豫"	"豫"	"jy6"			
"芋"	"芋"	"jy6"			
"喻"	"喻"	"jy6"			
"裕"	"裕"	"jy6"			
"惠"	"惠"	"jy6"			
"慧"	"慧"	"jy6"			
"卫"	"衛"	"jy6"			
"位"	"位"	"jy6"			
"胃"	"胃"	"jy6"			
"谓"	"謂"	"jy6"			
"猬"	"蝟"	"jy6"			
"杯"	"杯"	"pai1"			
"碑"	"碑"	"pai1"			
"卑"	"卑"	"pai1"			
"悲"	"悲"	"pai1"			
"辈"	"輩"	"pai5"			
"背"	"背"	"pai5"			
"贝"	"貝"	"pai5"			
"褙"	"褙"	"pai5"			
"坯"	"坯"	"pʰai1"			
"胚"	"胚"	"pʰai1"			
"沛"	"沛"	"pʰai5"			
"配"	"配"	"pʰai5"			
"陪"	"陪"	"bai2"			
"赔"	"賠"	"bai2"			
"裴"	"裴"	"bai2"			
"俳"	"俳"	"bai2"			
"培"	"培"	"bai4"			
"倍"	"倍"	"bai4"			
"佩"	"佩"	"bia6"			
"背"	"背"	"bia6"			
"焙"	"焙"	"bia6"			
"梅"	"梅"	"mai2"			
"枚"	"枚"	"mai2"			
"媒"	"媒"	"mai2"			
"煤"	"煤"	"mai2"			
"莓"	"莓"	"mai2"			
"每"	"每"	"mai4"			
"妹"	"妹"	"mai6"			
"昧"	"昧"	"mai6"			
"烛"	"燭"	"mai6"			
"灰"	"灰"	"fai1"			
"挥"	"揮"	"fai1"			
"徽"	"徽"	"fai1"			
"磨"	"磨"	"fai1"			
"贿"	"賄"	"fai3"			
"悔"	"悔"	"fai3"			
"晦"	"晦"	"fai5"			
"悔"	"悔"	"fai5"			
"回"	"回"	"vai2"			
"茴"	"茴"	"vai2"			
"桅"	"桅"	"vai2"			
"汇"	"匯"	"vai4"			
"窠"	"窠"	"vai6"			
"汇"	"匯"	"vai6"			
"会"	"會"	"vai6"			
"魏"	"魏"	"vai6"			
"堆"	"堆"	"tai1"			
"䦾"	"䦾"	"tai3"			
"对"	"對"	"tai5"			
"碓"	"碓"	"tai5"			
"推"	"推"	"tʰai1"			
"退"	"退"	"tʰai1"			
"腿"	"腿"	"tʰai3"			
"唾"	"唾"	"tʰai5"			
"退"	"退"	"tʰai5"			
"蜕"	"蛻"	"tʰai5"			
"颓"	"頹"	"dai2"			
"兑"	"兌"	"dai6"			
"队"	"隊"	"dai6"			
"枘"	"枘"	"nai2"			
"内"	"內"	"nai6"			
"耐"	"耐"	"nai6"			
"雷"	"雷"	"lai2"			
"擂"	"擂"	"lai2"			
"索"	"索"	"lai4"			
"垒"	"壘"	"lai4"			
"儡"	"儡"	"lai4"			
"瘰"	"瘰"	"lai4"			
"磊"	"磊"	"lai4"			
"泪"	"淚"	"lai6"			
"睐"	"睞"	"lai6"			
"銇"	"銇"	"lai6"			
"戾"	"戾"	"lai6"			
"衰"	"衰"	"sai1"			
"琐"	"瑣"	"sai3"			
"岁"	"歲"	"sai5"			
"税"	"稅"	"sai5"			
"碎"	"碎"	"sai5"			
"罪"	"罪"	"zai4"			
"锐"	"銳"	"zai6"			
"睡"	"睡"	"zai6"			
"瑞"	"瑞"	"zai6"			
"粹"	"粹"	"zai6"			
"悴"	"悴"	"zai6"			
"颤"	"顫"	"tɕiai3"			
"醉"	"醉"	"tɕiai5"			
"崔"	"崔"	"tɕʰiai1"			
"催"	"催"	"tɕʰiai1"			
"摧"	"摧"	"tɕʰiai1"			
"脆"	"脆"	"tɕʰiai3"			
"翠"	"翠"	"tɕiai5"			
"个"	"個"	"kai5"			
"概"	"概"	"kai5"			
"归"	"歸"	"kuai1"			
"规"	"規"	"kuai1"			
"乖"	"乖"	"kuai1"			
"垝"	"垝"	"kuai3"			
"会"	"會"	"kuai5"			
"绘"	"繪"	"kuai5"			
"脍"	"膾"	"kuai5"			
"桧"	"檜"	"kuai5"			
"侩"	"儈"	"kuai5"			
"刽"	"劊"	"kuai5"			
"刿"	"劌"	"kuai5"			
"瑰"	"瑰"	"kuai5"			
"桂"	"桂"	"kuai5"			
"国"	"國"	"Kuai7"			
"蝤"	"蝤"	"jiu2"			
"帼"	"幗"	"Kuai7"			
"掴"	"摑"	"Kuai7"			
"亏"	"虧"	"kʰuai1"			
"魁"	"魁"	"kʰuai1"			
"奎"	"奎"	"kʰuai1"			
"恢"	"恢"	"kʰuai1"			
"盔"	"盔"	"kʰuai1"			
"窥"	"窺"	"kʰuai1"			
"傀"	"傀"	"kʰuai1"			
"傀"	"傀"	"kʰuai3"			
"块"	"塊"	"kʰuai5"			
"刽"	"劊"	"kʰuai5"			
"喟"	"喟"	"kʰuai5"			
"煨"	"煨"	"ʔuai1"			
"隈"	"隈"	"ʔuai1"			
"溃"	"潰"	"ʔuai3"			
"秽"	"穢"	"ʔuai3"			
"萎"	"萎"	"ʔuai5"			
"秽"	"穢"	"ʔuai5"			
"□"	"□"	"ʔuai5"			
"兜"	"兜"	"tau1"			
"斗"	"鬥"	"tau3"			
"抖"	"抖"	"tau3"			
"陡"	"陡"	"tau3"			
"斗"	"鬥"	"tau5"			
"笃"	"篤"	"tau7"			
"督"	"督"	"tau7"			
"偷"	"偷"	"tʰau1"			
"㪗"	"㪗"	"tʰau3"			
"透"	"透"	"tʰau5"			
"投"	"投"	"dau2"			
"逗"	"逗"	"dua4"			
"毒"	"毒"	"dua4"			
"独"	"獨"	"dau8"			
"渎"	"瀆"	"dau8"			
"犊"	"犢"	"dau8"			
"牍"	"牘"	"dau8"			
"毒"	"毒"	"dau8"			
"楼"	"樓"	"lau2"			
"篓"	"簍"	"lau4"			
"搂"	"摟"	"lau4"			
"漏"	"漏"	"lau6"			
"陋"	"陋"	"lau6"			
"鹿"	"鹿"	"lau8"			
"搜"	"搜"	"sau1"			
"馊"	"餿"	"sau1"			
"飕"	"颼"	"sau1"			
"叟"	"叟"	"sau3"			
"瘦"	"瘦"	"sau3"			
"嗽"	"嗽"	"sau5"			
"速"	"速"	"sau7"			
"愁"	"愁"	"zau2"			
"族"	"族"	"zau8"			
"纠"	"糾"	"tɕiau1"			
"邹"	"鄒"	"tɕiau1"			
"阉"	"閹"	"tɕiau1"			
"九"	"九"	"tɕiau3"			
"久"	"久"	"tɕiau3"			
"韭"	"韭"	"tɕiau3"			
"皱"	"皺"	"tɕiau5"			
"绉"	"縐"	"tɕiau5"			
"炙"	"炙"	"tɕiau5"			
"救"	"救"	"tɕiau5"			
"究"	"究"	"tɕiau5"			
"菊"	"菊"	"tɕiau7"			
"掬"	"掬"	"tɕiau7"			
"丘"	"丘"	"tɕʰiau1"			
"勼"	"勼"	"tɕʰiau1"			
"搝"	"搝"	"tɕʰiau3"			
"曲"	"曲"	"tɕʰiau7"			
"求"	"求"	"dʑiau2"			
"球"	"球"	"dʑiau2"			
"仇"	"仇"	"dʑiau2"			
"臼"	"臼"	"dʑiau4"			
"舅"	"舅"	"dʑiau4"			
"柩"	"柩"	"dʑiau4"			
"旧"	"舊"	"dʑiau6"			
"休"	"休"	"ɕiau1"			
"朽"	"朽"	"ɕiau3"			
"嗅"	"嗅"	"ɕiau5"			
"优"	"優"	"ʔiau1"			
"悠"	"悠"	"ʔiau1"			
"幼"	"幼"	"ʔiau1"			
"幽"	"幽"	"ʔiau1"			
"忧"	"憂"	"ʔiau1"			
"尤"	"尤"	"jau2"			
"邮"	"郵"	"jau2"			
"由"	"由"	"jau2"			
"油"	"油"	"jau2"			
"游"	"遊"	"jau2"			
"游"	"遊"	"jau2"			
"犹"	"猶"	"jau2"			
"友"	"友"	"jau4"			
"有"	"有"	"jau4"			
"酉"	"酉"	"jau4"			
"诱"	"誘"	"jau6"			
"又"	"又"	"jau6"			
"右"	"右"	"jau6"			
"蚰"	"蚰"	"jau6"			
"莠"	"莠"	"jau6"			
"柏"	"柏"	"jau6"			
"釉"	"釉"	"jau6"			
"鼬"	"鼬"	"jau6"			
"勾"	"勾"	"kau1"			
"钩"	"鉤"	"kau1"			
"沟"	"溝"	"kau1"			
"狗"	"狗"	"kau3"			
"苟"	"苟"	"kau3"			
"够"	"夠"	"kau5"			
"枸"	"枸"	"kau5"			
"购"	"購"	"kau5"			
"勾"	"勾"	"kau5"			
"抠"	"摳"	"kʰau1"			
"口"	"口"	"kʰau3"			
"叩"	"叩"	"kʰau5"			
"扣"	"扣"	"kʰau5"			
"寇"	"寇"	"kʰau5"			
"蔻"	"蔻"	"kʰau5"			
"䞤"	"䞤"	"gau2"			
"臼"	"臼"	"gau4"			
"厚"	"厚"	"gau4"			
"佝"	"佝"	"hau1"			
"吼"	"吼"	"hau3"			
"吼"	"吼"	"hau5"			
"鲎"	"鱟"	"hau5"			
"侯"	"侯"	"ɦau2"			
"喉"	"喉"	"ɦau2"			
"猴"	"猴"	"ɦau2"			
"后"	"後"	"ɦau4"			
"厚"	"厚"	"ɦau4"			
"候"	"候"	"ɦau6"			
"欧"	"歐"	"ʔau1"			
"瓯"	"甌"	"ʔau1"			
"殴"	"毆"	"ʔau1"			
"呕"	"嘔"	"ʔau3"			
"沤"	"漚"	"ʔau5"			
"怄"	"慪"	"ʔau5"			
"丢"	"丟"	"tiu1"			
"头"	"頭"	"diu2"			
"豆"	"豆"	"dou6"			
"流"	"流"	"liu2"			
"刘"	"劉"	"liu2"			
"留"	"留"	"liu2"			
"榴"	"榴"	"liu2"			
"硫"	"硫"	"liu2"			
"琉"	"琉"	"liu2"			
"柳"	"柳"	"liu4"			
"㧕"	"㧕"	"liu4"			
"绺"	"綹"	"liu4"			
"掳"	"擄"	"liu4"			
"橹"	"櫓"	"liu4"			
"溜"	"溜"	"liu6"			
"修"	"修"	"siu1"			
"羞"	"羞"	"siu1"			
"收"	"收"	"siu1"			
"手"	"手"	"siu3"			
"首"	"首"	"siu3"			
"守"	"守"	"siu3"			
"秀"	"秀"	"siu5"			
"绣"	"繡"	"siu5"			
"锈"	"鏽"	"siu5"			
"兽"	"獸"	"siu5"			
"泅"	"泅"	"ziu2"			
"柔"	"柔"	"ziu2"			
"揉"	"揉"	"ziu2"			
"受"	"受"	"ziu4"			
"授"	"授"	"ziu4"			
"柚"	"柚"	"ziu6"			
"寿"	"壽"	"ziu6"			
"就"	"就"	"ziu6"			
"楸"	"楸"	"tɕiu1"			
"周"	"周"	"tɕiu1"			
"舟"	"舟"	"tɕiu1"			
"州"	"州"	"tɕiu1"			
"洲"	"洲"	"tɕiu1"			
"鸠"	"鳩"	"tɕiu1"			
"酒"	"酒"	"tɕiu3"			
"肘"	"肘"	"tɕiu3"			
"帚"	"帚"	"tɕiu3"			
"昼"	"晝"	"tɕiu5"			
"咒"	"咒"	"tɕiu5"			
"秋"	"秋"	"tɕʰiu1"			
"鳅"	"鰍"	"tɕʰiu1"			
"抽"	"抽"	"tɕʰiu1"			
"锹"	"鍬"	"tɕʰiu1"			
"丑"	"醜"	"tɕʰiu3"			
"臭"	"臭"	"tɕʰiu5"			
"仇"	"仇"	"dʑiu2"			
"囚"	"囚"	"dʑiu2"			
"绸"	"綢"	"dʑiu2"			
"酬"	"酬"	"dʑiu2"			
"售"	"售"	"dʑiu2"			
"筹"	"籌"	"dʑiu2"			
"稠"	"稠"	"dʑiu2"			
"纣"	"紂"	"dʑiu4"			
"宙"	"宙"	"dʑiu6"			
"奔"	"奔"	"paŋ1"			
"本"	"本"	"paŋ3"			
"畚"	"畚"	"paŋ3"			
"逩"	"逩"	"paŋ5"			
