"简体"	"繁體"	"音標"		"1：˧˧"	"2：˧˩"
"妈"	"媽"	"mɯʌ1"			
"麻"	"麻"	"mɯʌ2"			
"痳"	"痳"	"mɯʌ2"			
"擵"	"擵"	"mɯʌ2"			
"马"	"馬"	"mɯʌ4"			
"码"	"碼"	"mɯʌ4"			
"袜"	"襪"	"mɯʌ8"			
"花"	"花"	"fɯʌ1"			
"化"	"化"	"fɯʌ5"			
"华"	"華"	"vɯʌ2"			
"榫"	"榫"	"vɯʌ2"			
"铧"	"鏵"	"vɯʌ2"			
"划"	"劃"	"vɯʌ2"			
"画"	"畫"	"vɯʌ6"			
"话"	"話"	"vɯʌ6"			
"刁"	"刁"	"tɯʌ1"			
"貂"	"貂"	"tɯʌ1"			
"雕"	"雕"	"tɯʌ1"			
"挑"	"挑"	"tʰɯʌ1"			
"帖"	"帖"	"tʰɯʌ7"			
"贴"	"貼"	"tʰɯʌ7"			
"条"	"條"	"dɯʌ2"			
"趒"	"趒"	"dɯʌ2"			
"迭"	"迭"	"dɯʌ8"			
"碟"	"碟"	"dɯʌ8"			
"牒"	"牒"	"dɯʌ8"			
"蝶"	"蝶"	"dɯʌ8"			
"谍"	"諜"	"dɯʌ8"			
"良"	"良"	"lɯʌ2"			
"凉"	"涼"	"lɯʌ2"			
"量"	"量"	"lɯʌ2"			
"粮"	"糧"	"lɯʌ2"			
"粱"	"粱"	"lɯʌ2"			
"聊"	"聊"	"lɯʌ2"			
"辽"	"遼"	"lɯʌ2"			
"撩"	"撩"	"lɯʌ2"			
"寥"	"寥"	"lɯʌ2"			
"燎"	"燎"	"lɯʌ2"			
"疗"	"療"	"lɯʌ2"			
"瞟"	"瞟"	"lɯʌ2"			
"两"	"兩"	"lɯʌ4"			
"辆"	"輛"	"lɯʌ4"			
"亮"	"亮"	"lɯʌ6"			
"谅"	"諒"	"lɯʌ6"			
"量"	"量"	"lɯʌ6"			
"猎"	"獵"	"lɯʌ8"			
"略"	"略"	"lɯʌ8"			
"掠"	"掠"	"lɯʌ8"			
"相"	"相"	"siɯʌ1"			
"箱"	"箱"	"siɯʌ1"			
"厢"	"廂"	"siɯʌ1"			
"湘"	"湘"	"siɯʌ1"			
"襄"	"襄"	"siɯʌ1"			
"镶"	"鑲"	"siɯʌ1"			
"商"	"商"	"siɯʌ1"			
"伤"	"傷"	"siɯʌ1"			
"萧"	"蕭"	"siɯʌ1"			
"箫"	"簫"	"siɯʌ1"			
"想"	"想"	"siɯʌ3"			
"鲞"	"鯗"	"siɯʌ3"			
"相"	"相"	"siɯʌ5"			
"闪"	"閃"	"siɯʌ7"			
"削"	"削"	"siɯʌ7"			
"屑"	"屑"	"siɯʌ7"			
"摄"	"攝"	"siɯʌ7"			
"墙"	"牆"	"ziɯʌ2"			
"详"	"詳"	"ziɯʌ2"			
"祥"	"祥"	"ziɯʌ2"			
