"聲母拼音"	"聲母IPA"	"韻母拼音"	"韻母IPA"	"拼音"	"IPA"	"聲調"	"單字"	"釋義"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𬘑"	"同「緇」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𬰫"	"同「緇」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𮖓"	"同「緇」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"鯔"	"魚名"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"鲻"	"「鯔」之簡體字"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𫙩"	"同「鯔」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𩞒"	"同「鯔」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𩞓"	"同「鯔」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𩞮"	"同「鯔」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𩸛"	"同「鯔」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𩺅"	"同「鯔」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𩻂"	"同「鯔」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𩻨"	"同「鯔」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𫚁"	"同「鯔」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𬵇"	"同「鯔」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"椔"	"木立死也"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"菑"	"一歲田也；木立死也，同「椔」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"葘"	"同「菑」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"䎩"	"同「菑」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𦵰"	"同「菑」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𦸜"	"同「菑」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𧀗"	"同「菑」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𮐎"	"同「菑」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𰱢"	"同「菑」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"吱"	"嗶～；～～：小聲也"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𭇅"	"同「吱」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"耔"	"俗音。壅苗本也"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"鄑"	"春秋地名"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𨝶"	"同「鄑」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𨟕"	"同「鄑」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"鼒"	"小鼎"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𪔄"	"同「鼒」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𬁱"	"同「鼒」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𮮥"	"同「鼒」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"齊"	"～衰，服名"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"齐"	"「齊」之簡體字"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𧞓"	"衣下縫也，～䙑"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𪗋"	"同「𧞓」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𧚵"	"同「𪗋」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𧛁"	"同「𪗋」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𧜍"	"同「𪗋」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𱌙"	"「𪗋」之類推簡化字"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"齍"	"黍稷器"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"璾"	"同「齍」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𫞦"	"「璾」之類推簡化字"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𪗐"	"同「齍」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𬐢"	"同「齍」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𱌘"	"「齍」之類推簡化字"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"子"	"破讀。後綴也"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"㜽"	"破讀。同「子」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𠙭"	"破讀。同「子」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𡿹"	"破讀。同「子」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𢀇"	"破讀。同「子」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𢀈"	"破讀。同「子」"
