"#符号说明：-白=文/书*俗?待考"	
"t"	"[1]呆1[2]□{肉~~的：形容人或動物的脂肪或肉質豐腴}[3]□{~應}歹逮[5]代帶戴袋貸待黛呔殆怠大2"
"tʰ"	"[1]苔1胎台[2]臺檯抬苔2颱[5]太泰汰態"
"n"	"[1]奶1{乳汁；~子：乳房}[3]奶2乃[5]奈耐鼐"
"l"	"[1]褦{~襶襯：反應遲鈍，不聰明}[2]來萊徠[3]兩1{數詞}□{抓住成把的條狀物體使勁摘取：~麥穗子}[5]睞賴癩籟"
"ts"	"[1]災栽哉齋階皆[3]宰載崽者赭解=[5]在再債戒=界=屆誡械芥=介寨"
"tsʰ"	"[1]差3{出~}釵[2]才材財裁柴豺儕纔[3]采彩踩睬䜺[5]菜蔡□{~掉了：因過分纏蠻而失去威信者常被人斥之}"
"s"	"[1]塞1腮鰓篩[2]諧偕[5]賽曬寨?懈=塞2"
"k"	"[1]該賅秸街□{撥：~掉一些飯}[3]改解=□{~氣}[5]蓋丐概溉芥-戒-界-{~址}疥鈣"
"kʰ"	"[1]開揩[3]慨楷愷凱[5]愾愒{嗇~：小氣；儉省}"
"ŋ"	"[1]挨1哀[2]岸挨2呆2埃皚□{將物休研碎叫}□{~頭~：物體數量成體積等剛好符合某種特定的需要}癌捱[3]矮[5]愛媛隘礙艾瑷"
"x"	"[1]嗨懈1{~怠：拖拉}□{~煞：許多，大量}□{撞擊：頭在牆上一~}□{偷}[2]孩鞋還1[3]海蟹1□{了結，完結}[5]害亥駭解2{姓}蟹2{一種小螃蟹}"
"Ø"	"[1]唉1[2]唉2[3]靄藹也[5]哎"
	
"#ue"	
"ts"	"[2]跩[5]拽"
"tsʰ"	"[1]揣猜[2]□{~責：責備}[5]踹膪"
"s"	"[1]衰[3]甩摔□{~子、~大料：沒出息、沒骨氣的人}[5]帥"
"k"	"[1]乖□{碰撞}[3]拐[5]怪"
"kʰ"	"[3]蒯擓□{嫌三~四：表面上不喜歡，內心喜歡}[5]會1儈膾塊快筷"
"ŋ"	"[2]淮懷槐踝徊1[3]□{摔}[5]壞"
"Ø"	"[1]歪[2]蛙-{~子：青蛙}□{語氣詞，含輕蔑的反責意}[3]崴□{搖擺、搖晃}[5]外"
	
"#əi"	
"p"	"[1]杯悲背1卑碑婢[5]倍備被貝狽憊悖避辟{~邪}陛臂焙敝背2幣-蓓鋇"
"pʰ"	"[1]呸[2]培賠陪裴[5]沛配佩轡譬旆"
"m"	"[2]糜煤媒玫枚黴梅眉鶥迷謎麋郿[3]靡美每[5]妹媚昧2寐魅袂未?"
"f"	"[1]飛妃非蜚緋霏啡扉[2]肥淝腓[3]匪悱菲斐翡誹[5]吠肺費痱廢"
"t"	"[1]堆[5]對=隊兌碓懟"
"tʰ"	"[1]推[3]腿[5]退蛻褪頹"
"n"	"[3]餒[5]內"
"l"	"[1]□{打~~：趕牛的號子}[2]雷羸纍累離漓籬厘狸梨黎罹璃蕾藜[3]耒誄磊壘禮娌儡累1裏里離裡[5]淚類累2蒞麗吏厲勵利例痢隸荔銳睿芮礪唳擂"
"ts"	"[1]遮[2]賊*[3]嘴[5]最罪醉"
"tsʰ"	"[1]車1崔摧催[2]隨-{~便}[3]扯璀[5]淬瘁悴啐翠脆□{碎}"
"s"	"[1]雖睢尿-奢[2]隨-髓蛇佘□{~頭：自鳴得意或充能}[3]捨□{~子：裝在彩旗或帳幕等邊沿上的穗狀飾物}□{小孩撒嬌並且不聽勸哄}[5]誶碎遂邃歲燧隧穗社赦舍射麝"
"x"	"[1]嘿[2]□{幹活用力時發出的拉的聲音}"
	
"#uəi"	
"ts"	"[1]追锥隹椎 [4]惴赘缒坠缀 "
"tsʰ"	"[1]炊吹[2]垂=槌捶錘陲"
"s"	"[2]誰垂-[3]水[5]稅睡瑞"
"k"	"[1]規歸皈龜閨[3]鬼宄軌詭姽癸[5]瑰桂櫃跪劊檜鱖貴閨"
"kʰ"	"[1]窺虧盔巋[2]逵奎喹魁葵睽揆馗傀[5]愧潰饋憒聵喟匱"
"x"	"[1]揮輝暉灰恢詼麾隳琿[2]回洄茴蛔徊2[3]悔毀[5]匯會2諱慧卉恚惠穢喙賄薈燴繪誨晦彙"
"Ø"	"[1]威煨萎1偎畏[2]微危為1爲1偉緯違闈圍瑋圩惟唯嵬巍維帷桅喂1{打招呼}[3]委尾2痿萎2□{尋找}[5]為2爲2未胃魏位衛尉蔚慰謂蝟偽喂2"
	
"#u"	
"p"	"[1]般-波玻菠搬[3]跛播簸1[5]簸2半拌伴畔"
"pʰ"	"[1]坡陂潘拚{~命}[2]婆皤蹣蟠盤磐[3]頗叵笸[5]破剖泮判叛"
"m"	"[1]劘□{移動沉重的物體，使之改變方向或位置}□{次數}[2]磨1蘑摩魔謨模饃饅瞞謀[3]抹1滿麼1{什~}畝=某母=拇=姆[5]磨2陌=茂貿懋墓暮慕募牟眸牡漫-"
"t"	"[1]多哆跺端□{油~子：用以舀油的形狀近似飯勺兒的用具}[2]□{~~：喚雞聲}[3]朵躲短[5]掇舵惰墮剁斷籪段煆鍛緞"
"tʰ"	"[1]拖湍[2]沱坨跎鴕駝陀馱團砣糰[3]橢妥□{睡，~屍：睡懶覺，罵人的話}[5]□{將物體或人體從繩結中慢慢解脫}□拖{踏~子：一種用來堆放割下來的稻秸的農具}"
"n"	"[2]奴努弩挪娜1[3]暖櫓[5]怒懦糯"
"l"	"[1]啰{~唆}螺1[2]螺2騾羅籮蘿鑼玀欒巒攣孿鑾攔-{攔截}[3]虜擄裸卵軟阮[5]摞亂"
"ts"	"[1]鑽1專騰顓磚[3]左纂攥轉1[5]坐座做鑽2轉2傳1篆"
"tsʰ"	"[1]初磋搓蹉攛躥汆穿川[2]矬傳2船椽遄[3]喘舛[5]輟啜錯銼挫攢竄串篡釧"
"s"	"[1]娑嗦梭唆酸狻痠[3]瑣嗩鎖所蓑[5]蒜算"
"k"	"[1]過1鍋哥歌戈官棺倌冠{衣~；~軍}觀綸1撾[3]果裹馃莞1管館[5]過2灌罐鸛貫□{將蘆葦或茅草等紮成的小捆子}"
"kʰ"	"[1]屙珂苛柯窠棵顆稞科蝌騍寬髖[3]可1坷款[5]課嗑*"
"ŋ"	"[1]我="
"x"	"[1]呵呵歡獾[2]和1河菏何禾[3]火夥□{高興：～煞了}伙[5]禍貨賀和2奐渙瘓煥換喚"
"Ø"	"[1]屙婀渦窩萵蝸倭豌剜蜿斡[2]哦峨俄鵝娥訛完丸紈桓硪[3]莞2皖宛惋琬碗婉腕[5]緩餓臥"
	
"#yi"	
"tɕ"	"[1]蠲涓捐鵑娟鐫[3]捲□{罵}[5]券毽-圈1眷卷倦狷絹雋2□{踢}"
"tɕʰ"	"[1]悛圈2銓[2]拳顴權全痊詮泉[3]犬畎綣[5]勸"
"ɕ"	"[1]秈宣喧暄軒[2]舷弦玄旋漩懸眩[3]選癬[5]羨揎渲楦镟泫炫絢旋"
"Ø"	"[1]淵冤鳶鴛眢[2]元園黿轅袁猿垣原員圓爰媛緣[3]遠[5]院願怨苑"
	
"#ɛ"	
"p"	"[1]班斑扳頒般=瘢[3]阪板版舨闆[5]辦扮絆瓣爿"
"pʰ"	"[1]攀[2]□{大腿~子：大腿外側}□{涉水}[5]盼襻"
"m"	"[1]慢-[2]蠻[5]慢=蔓曼漫=鰻[5]泛範販飯范"
"f"	"[1]帆番幡翻[2]煩樊繁凡礬藩[3]返反畈[5]泛範販飯犯嬎"
"t"	"[1]單2殫簞鄲眈擔1丹坍1{北～：地名}但-[3]撣疸膽賧□{觸及、碰到：~火、~水}[5]淡憚彈1啖誕旦擔2蛋氮但="
"tʰ"	"[1]坍2貪灘癱攤[2]檀彈2郯痰談壇曇覃1潭譚罈曇罎[3]忐袒坦毯[5]探歎炭碳"
"n"	"[2]南男楠喃難1[3]赧蝻腩罱[5]難2按*1"
"l"	"[2]闌瀾讕斕蘭欄攔=婪襤藍籃嵐[3]懶覽欖攬纜1[5]爛濫纜2"
"ts"	"[1]簪糌□{用刀子將物體連續砍碎的動作，~肉團子}[3]攢盞斬嶄[5]暫鏨贊贊湛站戰=綻濺蘸棧"
"tsʰ"	"[1]餐餐參攙摻[2]慚蠶殘讒饞[3]䅟產鏟□{~子：稗子}[5]燦粲璨□{單獨：~穿單衣裳恐怕能冷呢吧？}"
"s"	"[1]三三山潸舢衫杉汕[3]散1饊傘[5]散2"
"k"	"[1]乾肝甘泔疳柑尷間1-干[3]趕杆竿稈擀感敢橄揀=[5]幹間-2贛幹淦"
"kʰ"	"[1]刊堪戡龕鉛看1勘鹐[3]侃坎砍□{把器皿倒扣下去}[5]檻瞰看2嵌"
"ŋ"	"[1]安鞍桉氨庵鵪淹*2[2]顏岩□{嚴實或稠密：~之合縫；~~蔽蔽}□{被夾住或卡住}□{螃蟹等節肢動物的螯}[3]眼[5]諳案按暗黯岸雁"
