"繁"	"簡"	"IPA"	"IPA無調"	"拼音"	"調值"	"解釋"
"鳩"	"鸠"	"tɕie̠ɪ⁴⁴"	"tɕie̠ɪ"	"ciei1"	44	
"糾"	"纠"	"tɕie̠ɪ⁴⁴"	"tɕie̠ɪ"	"ciei1"	44	
"丩"	"丩"	"tɕie̠ɪ⁴⁴"	"tɕie̠ɪ"	"ciei1"	44	
"赳"	"赳"	"tɕie̠ɪ⁴⁴"	"tɕie̠ɪ"	"ciei1"	44	
"鬮"	"阄"	"tɕie̠ɪ⁴⁴"	"tɕie̠ɪ"	"ciei1"	44	
"揫"	"揪"	"tɕie̠ɪ⁴⁴"	"tɕie̠ɪ"	"ciei1"	44	"~頭帨巾"
"啾"	"啾"	"tɕie̠ɪ⁴⁴"	"tɕie̠ɪ"	"ciei1"	44	
"鬏"	"鬏"	"tɕie̠ɪ⁴⁴"	"tɕie̠ɪ"	"ciei1"	44	
"湫"	"湫"	"tɕie̠ɪ⁴⁴"	"tɕie̠ɪ"	"ciei1"	44	
"酒"	"酒"	"tɕie̠ɪ⁵¹ "	"tɕie̠ɪ"	"ciei3"	51	
"九"	"九"	"tɕie̠ɪ⁵¹ "	"tɕie̠ɪ"	"ciei3"	51	
"玖"	"玖"	"tɕie̠ɪ⁵¹ "	"tɕie̠ɪ"	"ciei3"	51	
"久"	"久"	"tɕie̠ɪ⁵¹ "	"tɕie̠ɪ"	"ciei3"	51	
"韭"	"韭"	"tɕie̠ɪ⁵¹ "	"tɕie̠ɪ"	"ciei3"	51	
"糾"	"纠"	"tɕie̠ɪ⁵¹ "	"tɕie̠ɪ"	"ciei3"	51	"~合"
"灸"	"灸"	"tɕie̠ɪ⁵¹ "	"tɕie̠ɪ"	"ciei3"	51	
"救"	"救"	"tɕie̠ɪ³³⁴"	"tɕie̠ɪ"	"ciei5"	334	
"究"	"究"	"tɕie̠ɪ³³⁴"	"tɕie̠ɪ"	"ciei5"	334	
"疚"	"疚"	"tɕie̠ɪ³³⁴"	"tɕie̠ɪ"	"ciei5"	334	
"廐"	"厩"	"tɕie̠ɪ³³⁴"	"tɕie̠ɪ"	"ciei5"	334	"馬~"
"廄"	"厩"	"tɕie̠ɪ³³⁴"	"tɕie̠ɪ"	"ciei5"	334	"廐異體"
"㾭"	"㾭"	"tɕie̠ɪ³³⁴"	"tɕie̠ɪ"	"ciei5"	334	"~筋"
"皺"	"皱"	"tɕie̠ɪ³³⁴"	"tɕie̠ɪ"	"ciei5"	44	"又音"
"縐"	"绉"	"tɕie̠ɪ³³⁴"	"tɕie̠ɪ"	"ciei5"	44	"又音"
"秋"	"秋"	"tɕʰieɪ⁴⁴"	"tɕʰieɪ"	"chiei1"	44	
"鞦"	"秋"	"tɕʰieɪ⁴⁴"	"tɕʰieɪ"	"chiei1"	44	
"湫"	"湫"	"tɕʰieɪ⁴⁴"	"tɕʰieɪ"	"chiei1"	44	
"丘"	"丘"	"tɕʰieɪ⁴⁴"	"tɕʰieɪ"	"chiei1"	44	
"㐀"	"丘"	"tɕʰie̠ɪ⁴⁴"	"tɕʰieɪ"	"chiei1"	44	"丘隸定又作"
"丠"	"丘"	"tɕʰie̠ɪ⁴⁴"	"tɕʰieɪ"	"chiei1"	44	"丘隸定又作"
"㘳"	"丘"	"tɕʰie̠ɪ⁴⁴"	"tɕʰieɪ"	"chiei1"	44	"說文載「丘古文」"
"鰍"	"鳅"	"tɕʰie̠ɪ⁴⁴"	"tɕʰieɪ"	"chiei1"	44	
"邱"	"邱"	"tɕʰie̠ɪ⁴⁴"	"tɕʰieɪ"	"chiei1"	44	
"蚯"	"蚯"	"tɕʰie̠ɪ⁴⁴"	"tɕʰieɪ"	"chiei1"	44	
"蓲"	"蓲"	"tɕʰie̠ɪ⁴⁴"	"tɕʰieɪ"	"chiei1"	44	"烏~"
"揪"	"揪"	"tɕʰie̠ɪ⁵¹"	"tɕʰieɪ"	"chiei3"	51	"~住他不放"
"囚"	"囚"	"dʑie̠ɪ¹¹³"	"dʑie̠ɪ"	"jiei2"	113	"又音"
"泅"	"泅"	"dʑie̠ɪ¹¹³"	"dʑie̠ɪ"	"jiei2"	113	"又音"
"求"	"求"	"dʑie̠ɪ¹¹³"	"dʑie̠ɪ"	"jiei2"	113	
"球"	"球"	"dʑie̠ɪ¹¹³"	"dʑie̠ɪ"	"jiei2"	113	
"毬"	"球"	"dʑie̠ɪ¹¹³"	"dʑie̠ɪ"	"jiei2"	113	
"仇"	"仇"	"dʑie̠ɪ¹¹³"	"dʑie̠ɪ"	"jiei2"	113	"姓氏"
"裘"	"裘"	"dʑie̠ɪ¹¹³"	"dʑie̠ɪ"	"jiei2"	113	
"酋"	"酋"	"dʑie̠ɪ¹¹³"	"dʑie̠ɪ"	"jiei2"	113	
"遒"	"遒"	"dʑie̠ɪ¹¹³"	"dʑie̠ɪ"	"jiei2"	113	
"𧚍"	"裘"	"dʑie̠ɪ¹¹³"	"dʑie̠ɪ"	"jiei2"	113	"裘本字"
"虯"	"虬"	"dʑie̠ɪ¹¹³"	"dʑie̠ɪ"	"jiei2"	113	
"巰"	"巯"	"dʑie̠ɪ¹¹³"	"dʑie̠ɪ"	"jiei2"	113	
"逑"	"逑"	"dʑie̠ɪ¹¹³"	"dʑie̠ɪ"	"jiei2"	113	
"就"	"就"	"dʑie̠ɪ²¹³"	"dʑie̠ɪ"	"jiei6"	213	"動詞"
"臼"	"臼"	"dʑie̠ɪ²¹³"	"dʑie̠ɪ"	"jiei6"	213	"~潭"
"舅"	"舅"	"dʑie̠ɪ²¹³"	"dʑie̠ɪ"	"jiei6"	213	
"咎"	"咎"	"dʑie̠ɪ²¹³"	"dʑie̠ɪ"	"jiei6"	213	
"舊"	"旧"	"dʑie̠ɪ²¹³"	"dʑie̠ɪ"	"jiei6"	213	
"匶"	"柩"	"dʑie̠ɪ²¹³"	"dʑie̠ɪ"	"jiei6"	213	
"匛"	"柩"	"dʑie̠ɪ²¹³"	"dʑie̠ɪ"	"jiei6"	213	
"柩"	"柩"	"dʑie̠ɪ²¹³"	"dʑie̠ɪ"	"jiei6"	213	
"桕"	"桕"	"dʑie̠ɪ²¹³"	"dʑie̠ɪ"	"jiei6"	213	
"□"		"dʑie̠ɪ²¹³"	"dʑie̠ɪ"	"jiei6"	213	"疉，補丁~補丁，~被子"
"妞"	"妞"	"ʔȵie̠ɪ⁴⁴"	"ʔȵie̠ɪ"	"gniei1"	44	
"扭"	"扭"	"ʔȵie̠ɪ⁵¹"	"ʔȵie̠ɪ"	"gniei3"	51	
"紐"	"纽"	"ʔȵie̠ɪ⁵¹"	"ʔȵie̠ɪ"	"gniei3"	51	
"鈕"	"钮"	"ʔȵie̠ɪ⁵¹"	"ʔȵie̠ɪ"	"gniei3"	51	"姓"
"忸"	"忸"	"ʔȵie̠ɪ⁵¹"	"ʔȵie̠ɪ"	"gniei3"	51	
"揉"	"揉"	"ʔȵie̠ɪ³³⁴"	"ʔȵie̠ɪ"	"gniei5"	334	
"牛"	"牛"	"ʔȵie̠ɪ³³⁴"	"ʔȵie̠ɪ"	"gniei5"	334	"文"
"修"	"修"	"ɕie̠ɪ⁴⁴"	"ɕie̠ɪ"	"shiei1"	44	"又音"
"脩"	"修"	"ɕie̠ɪ⁴⁴"	"ɕie̠ɪ"	"shiei1"	44	"又音"
"羞"	"羞"	"ɕie̠ɪ⁴⁴"	"ɕie̠ɪ"	"shiei1"	44	
"饈"	"馐"	"ɕie̠ɪ⁴⁴"	"ɕie̠ɪ"	"shiei1"	44	
"休"	"休"	"ɕie̠ɪ⁴⁴"	"ɕie̠ɪ"	"shiei1"	44	
"貅"	"貅"	"ɕie̠ɪ⁴⁴"	"ɕie̠ɪ"	"shiei1"	44	
"□"		"ɕie̠ɪ⁴⁴"	"ɕie̠ɪ"	"shiei3"	51	"頑皮：箇小安（官）忒~"
"朽"	"朽"	"ɕie̠ɪ⁵¹"	"ɕie̠ɪ"	"shiei5"	51	
"羞"	"羞"	"ɕie̠ɪ³³⁴"	"ɕie̠ɪ"	"shiei5"	334	"清~；麥~穗頭"
"繡"	"绣"	"ɕie̠ɪ³³⁴"	"ɕie̠ɪ"	"shiei5"	334	
"銹"	"锈"	"ɕie̠ɪ³³⁴"	"ɕie̠ɪ"	"shiei5"	334	
"秀"	"秀"	"ɕie̠ɪ³³⁴"	"ɕie̠ɪ"	"shiei5"	334	"又音"
"鏽"	"锈"	"ɕie̠ɪ³³⁴"	"ɕie̠ɪ"	"shiei5"	334	
"宿"	"宿"	"ɕie̠ɪ³³⁴"	"ɕie̠ɪ"	"shiei5"	334	"星~"
"臭"	"臭"	"ɕie̠ɪ³³⁴"	"ɕie̠ɪ"	"shiei5"	334	"味"
"嗅"	"嗅"	"ɕie̠ɪ³³⁴"	"ɕie̠ɪ"	"shiei5"	334	"~覺"
"齅"	"嗅"	"ɕie̠ɪ³³⁴"	"ɕie̠ɪ"	"shiei5"	334	"嗅本字"
"溴"	"溴"	"ɕie̠ɪ³³⁴"	"ɕie̠ɪ"	"shiei5"	334	
"朽"	"朽"	"ɕie̠ɪ³³⁴"	"ɕie̠ɪ"	"shiei5"	334	
"□"		"ʑie̠ɪ²³¹"	"ʑie̠ɪ"	"zhiei4"	231	"掙扎"
"就"	"就"	"ʑie̠ɪ²¹³"	"ʑie̠ɪ"	"zhiei6"	213	
"袖"	"袖"	"ʑie̠ɪ²¹³"	"ʑie̠ɪ"	"zhiei6"	213	"又音"
"囚"	"囚"	"ʑie̠ɪ²¹³"	"ʑie̠ɪ"	"zhiei6"	213	
"泅"	"泅"	"ʑie̠ɪ²¹³"	"ʑie̠ɪ"	"zhiei6"	213	
"憂"	"忧"	"Ǿie̠ɪ⁴⁴"	"Ǿie̠ɪ"	"iei1"	44	
"優"	"优"	"Ǿie̠ɪ⁴⁴"	"Ǿie̠ɪ"	"iei1"	44	
"幽"	"幽"	"Ǿie̠ɪ⁴⁴"	"Ǿie̠ɪ"	"iei1"	44	
"悠"	"悠"	"Ǿie̠ɪ⁴⁴"	"Ǿie̠ɪ"	"iei1"	44	
"攸"	"攸"	"Ǿie̠ɪ⁴⁴"	"Ǿie̠ɪ"	"iei1"	44	
"有"	"有"	"Ǿie̠ɪ⁵¹"	"Ǿie̠ɪ"	"iei3"	51	
"銪"	"铕"	"Ǿie̠ɪ⁵¹"	"Ǿie̠ɪ"	"iei3"	51	
"友"	"友"	"Ǿie̠ɪ⁵¹"	"Ǿie̠ɪ"	"iei3"	51	
"莠"	"莠"	"Ǿie̠ɪ⁵¹"	"Ǿie̠ɪ"	"iei3"	51	
"誘"	"诱"	"Ǿie̠ɪ⁵¹"	"Ǿie̠ɪ"	"iei3"	51	
"酉"	"酉"	"Ǿie̠ɪ⁵¹"	"Ǿie̠ɪ"	"iei3"	51	
"黝"	"黝"	"Ǿie̠ɪ⁵¹"	"Ǿie̠ɪ"	"iei3"	51	
"幼"	"幼"	"Ǿie̠ɪ³³⁴"	"Ǿie̠ɪ"	"iei5"	334	
"尤"	"尤"	"Ǿie̠ɪ³³⁴"	"Ǿie̠ɪ"	"iei5"	334	
"疣"	"疣"	"Ǿie̠ɪ³³⁴"	"Ǿie̠ɪ"	"iei5"	334	
"郵"	"邮"	"Ǿie̠ɪ³³⁴"	"Ǿie̠ɪ"	"iei5"	334	
"莜"	"莜"	"Ǿie̠ɪ³³⁴"	"Ǿie̠ɪ"	"iei5"	334	
"由"	"由"	"Ǿie̠ɪ³³⁴"	"Ǿie̠ɪ"	"iei5"	334	
"鈾"	"铀"	"Ǿie̠ɪ³³⁴"	"Ǿie̠ɪ"	"iei5"	334	
"油"	"油"	"Ǿie̠ɪ³³⁴"	"Ǿie̠ɪ"	"iei5"	334	
"蚰"	"蚰"	"Ǿie̠ɪ³³⁴"	"Ǿie̠ɪ"	"iei5"	334	
"遊"	"游"	"Ǿie̠ɪ³³⁴"	"Ǿie̠ɪ"	"iei5"	334	
"游"	"游"	"Ǿie̠ɪ³³⁴"	"Ǿie̠ɪ"	"iei5"	334	
"蝣"	"蝣"	"Ǿie̠ɪ³³⁴"	"Ǿie̠ɪ"	"iei5"	334	
"魷"	"鱿"	"Ǿie̠ɪ³³⁴"	"Ǿie̠ɪ"	"iei5"	334	
"猶"	"犹"	"Ǿie̠ɪ³³⁴"	"Ǿie̠ɪ"	"iei5"	334	
"猷"	"猷"	"Ǿie̠ɪ³³⁴"	"Ǿie̠ɪ"	"iei5"	334	
"又"	"又"	"ɦie̠ɪ²¹³"	"ɦie̠ɪ"	"yei6"	213	
"右"	"右"	"ɦie̠ɪ²¹³"	"ɦie̠ɪ"	"yei6"	213	
"佑"	"佑"	"ɦie̠ɪ²¹³"	"ɦie̠ɪ"	"yei6"	213	
"祐"	"祐"	"ɦie̠ɪ²¹³"	"ɦie̠ɪ"	"yei6"	213	
"宥"	"宥"	"ɦie̠ɪ²¹³"	"ɦie̠ɪ"	"yei6"	213	
"鼬"	"鼬"	"ɦie̠ɪ²¹³"	"ɦie̠ɪ"	"yei6"	213	
"柚"	"柚"	"ɦie̠ɪ²¹³"	"ɦie̠ɪ"	"yei6"	213	
"釉"	"釉"	"ɦie̠ɪ²¹³"	"ɦie̠ɪ"	"yei6"	213	
"圭"	"圭"	"kue̠ɪ⁴⁴"	"kue̠ɪ"	"kuei1"	44	
"閨"	"闺"	"kue̠ɪ⁴⁴"	"kue̠ɪ"	"kuei1"	44	
"規"	"规"	"kue̠ɪ⁴⁴"	"kue̠ɪ"	"kuei1"	44	
"龜"	"龟"	"kue̠ɪ⁴⁴"	"kue̠ɪ"	"kuei1"	44	
"歸"	"归"	"kue̠ɪ⁴⁴"	"kue̠ɪ"	"kuei1"	44	
"軌"	"轨"	"kue̠ɪ⁴⁴"	"kue̠ɪ"	"kuei1"	44	"鐵~"
"傀"	"傀"	"kue̠ɪ⁴⁴"	"kue̠ɪ"	"kuei1"	44	
"瑰"	"瑰"	"kue̠ɪ⁴⁴"	"kue̠ɪ"	"kuei1"	44	
"皈"	"皈"	"kue̠ɪ⁴⁴"	"kue̠ɪ"	"kuei1"	44	
"硅"	"硅"	"kue̠ɪ⁴⁴"	"kue̠ɪ"	"kuei1"	44	
"詭"	"诡"	"kue̠ɪ⁵¹"	"kue̠ɪ"	"kuei3"	51	
"匭"	"匦"	"kue̠ɪ⁵¹"	"kue̠ɪ"	"kuei3"	51	
"鬼"	"鬼"	"kue̠ɪ⁵¹"	"kue̠ɪ"	"kuei3"	51	
"癸"	"癸"	"kue̠ɪ⁵¹"	"kue̠ɪ"	"kuei3"	51	
"晷"	"晷"	"kue̠ɪ⁵¹"	"kue̠ɪ"	"kuei3"	51	
"簋"	"簋"	"kue̠ɪ⁵¹"	"kue̠ɪ"	"kuei3"	51	
"會"	"会"	"kue̠ɪ³³⁴"	"kue̠ɪ"	"kuei5"	334	"~計"
"劊"	"刽"	"kue̠ɪ³³⁴"	"kue̠ɪ"	"kuei5"	334	
"膾"	"脍"	"kue̠ɪ³⁴⁴"	"kue̠ɪ"	"kuei5"	334	
"儈"	"侩"	"kue̠ɪ³⁴⁴"	"kue̠ɪ"	"kuei5"	334	
"獪"	"狯"	"kue̠ɪ³⁴⁴"	"kue̠ɪ"	"kuei5"	334	
"檜"	"桧"	"kue̠ɪ³³⁴"	"kue̠ɪ"	"kuei5"	334	"~樹"
"鱖"	"鳜"	"kue̠ɪ³³⁴"	"kue̠ɪ"	"kuei5"	334	"~魚"
"桂"	"桂"	"kue̠ɪ³³⁴"	"kue̠ɪ"	"kuei5"	334	
"貴"	"贵"	"kue̠ɪ³³⁴"	"kue̠ɪ"	"kuei5"	334	
"繪"	"绘"	"kue̠ɪ³³⁴"	"kue̠ɪ"	"kuei5"	334	
"愧"	"愧"	"kue̠ɪ³³⁴"	"kue̠ɪ"	"kuei5"	334	
"媿"	"愧"	"kue̠ɪ³³⁴"	"kue̠ɪ"	"kuei5"	334	
"盔"	"盔"	"kʰue̠ɪ⁴⁴"	"kʰue̠ɪ"	"khuei1"	44	
"恢"	"恢"	"kʰue̠ɪ⁴⁴"	"kʰue̠ɪ"	"khuei1"	44	"舊讀書音"
"詼"	"诙"	"kʰue̠ɪ⁴⁴"	"kʰue̠ɪ"	"khuei1"	44	"舊讀書音"
"巋"	"岿"	"kʰue̠ɪ⁴⁴"	"kʰue̠ɪ"	"khuei1"	44	" "
"魁"	"魁"	"kʰue̠ɪ⁴⁴"	"kʰue̠ɪ"	"khuei1"	44	
"奎"	"奎"	"kʰue̠ɪ⁴⁴"	"kʰue̠ɪ"	"khuei1"	44	
"虧"	"亏"	"kʰue̠ɪ⁴⁴"	"kʰue̠ɪ"	"khuei1"	44	
"窺"	"窥"	"kʰue̠ɪ⁴⁴"	"kʰue̠ɪ"	"khuei1"	44	
"闚"	"窥"	"kʰue̠ɪ⁴⁴"	"kʰue̠ɪ"	"khuei1"	44	
"蝰"	"蝰"	"kʰue̠ɪ⁴⁴"	"kʰue̠ɪ"	"khuei1"	44	
"睽"	"睽"	"kʰue̠ɪ⁴⁴"	"kʰue̠ɪ"	"khuei1"	44	
"跬"	"跬"	"kʰue̠ɪ⁵¹"	"kʰue̠ɪ"	"khuei3"	51	
"傀"	"傀"	"kʰue̠ɪ⁵¹"	"kʰue̠ɪ"	"khuei3"	51	
"喟"	"喟"	"kʰue̠ɪ³³⁴"	"kʰue̠ɪ"	"khuei5"	334	
"逵"	"逵"	"ɡue̠ɪ¹¹³"	"ɡue̠ɪ"	"guei2"	113	
"葵"	"葵"	"ɡue̠ɪ¹¹³"	"ɡue̠ɪ"	"guei2"	113	
"夔"	"夔"	"ɡue̠ɪ¹¹³"	"ɡue̠ɪ"	"guei2"	113	
"犪"	"犪"	"ɡue̠ɪ¹¹³"	"ɡue̠ɪ"	"guei2"	113	
"騤"	"骙"	"ɡue̠ɪ¹¹³"	"ɡue̠ɪ"	"guei2"	113	
"馗"	"馗"	"ɡue̠ɪ¹¹³"	"ɡue̠ɪ"	"guei2"	113	
"戣"	"戣"	"ɡue̠ɪ¹¹³"	"ɡue̠ɪ"	"guei2"	113	
"揆"	"揆"	"ɡue̠ɪ¹¹³"	"ɡue̠ɪ"	"guei2"	113	
"躨"	"躨"	"ɡue̠ɪ¹¹³"	"ɡue̠ɪ"	"guei2"	113	
"頯"	"頯"	"ɡue̠ɪ¹¹³"	"ɡue̠ɪ"	"guei2"	113	
"跪"	"跪"	"ɡue̠ɪ²³¹"	"ɡue̠ɪ"	"guei4"	231	
"跪"	"跪"	"ɡue̠ɪ²¹³"	"ɡue̠ɪ"	"guei6"	213	"又音"
"潰"	"溃"	"ɡue̠ɪ²¹³"	"ɡue̠ɪ"	"guei6"	213	
"聵"	"聩"	"ɡue̠ɪ²¹³"	"ɡue̠ɪ"	"guei6"	213	
"匱"	"匮"	"ɡue̠ɪ²¹³"	"ɡue̠ɪ"	"guei6"	213	
"櫃"	"柜"	"ɡue̠ɪ²¹³"	"ɡue̠ɪ"	"guei6"	213	
"樻"	"柜"	"ɡue̠ɪ²¹³"	"ɡue̠ɪ"	"guei6"	213	
"簣"	"篑"	"ɡue̠ɪ²¹³"	"ɡue̠ɪ"	"guei6"	213	
"蕢"	"蒉"	"ɡue̠ɪ²¹³"	"ɡue̠ɪ"	"guei6"	213	
"饋"	"馈"	"ɡue̠ɪ²¹³"	"ɡue̠ɪ"	"guei6"	213	
"餽"	"馈"	"ɡue̠ɪ²¹³"	"ɡue̠ɪ"	"guei6"	213	
"愧"	"愧"	"ɡue̠ɪ²¹³"	"ɡue̠ɪ"	"guei6"	213	
"媿"	"愧"	"ɡue̠ɪ²¹³"	"ɡue̠ɪ"	"guei6"	213	
"灰"	"灰"	"xue̠ɪ⁴⁴"	"xue̠ɪ"	"huei1"	44	
"恢"	"恢"	"xue̠ɪ⁴⁴"	"xue̠ɪ"	"huei1"	44	"~復，新文讀"
"詼"	"诙"	"xue̠ɪ⁴⁴"	"xue̠ɪ"	"huei1"	44	"新文讀"
"麾"	"麾"	"xue̠ɪ⁴⁴"	"xue̠ɪ"	"huei1"	44	
"揮"	"挥"	"xue̠ɪ⁴⁴"	"xue̠ɪ"	"huei1"	44	
"輝"	"辉"	"xue̠ɪ⁴⁴"	"xue̠ɪ"	"huei1"	44	
"徽"	"徽"	"xue̠ɪ⁴⁴"	"xue̠ɪ"	"huei1"	44	
"暉"	"晖"	"xue̠ɪ⁴⁴"	"xue̠ɪ"	"huei1"	44	
"賄"	"贿"	"xue̠ɪ⁵¹"	"xue̠ɪ"	"huei3"	51	
"悔"	"悔"	"xue̠ɪ⁵¹"	"xue̠ɪ"	"huei3"	51	
"毀"	"毁"	"xue̠ɪ⁵¹"	"xue̠ɪ"	"huei3"	51	"~壞"
"誨"	"诲"	"xue̠ɪ⁵¹"	"xue̠ɪ"	"huei3"	51	
"虫"	"虺"	"xue̠ɪ⁵¹"	"xue̠ɪ"	"huei3"	51	"~蛇"
"虺"	"虺"	"xue̠ɪ⁵¹"	"xue̠ɪ"	"huei3"	51	"虫又作此"
"彗"	"彗"	"xue̠ɪ³³⁴"	"xue̠ɪ"	"huei5"	334	
"慧"	"慧"	"xue̠ɪ³³⁴"	"xue̠ɪ"	"huei5"	334	
"晦"	"晦"	"xue̠ɪ³³⁴"	"xue̠ɪ"	"huei5"	334	
"穢"	"秽"	"xue̠ɪ³³⁴"	"xue̠ɪ"	"huei5"	334	
"諱"	"讳"	"xue̠ɪ³³⁴"	"xue̠ɪ"	"huei5"	334	
"喙"	"喙"	"xue̠ɪ³³⁴"	"xue̠ɪ"	"huei5"	334	
"頮"	"颒"	"xue̠ɪ³³⁴"	"xue̠ɪ"	"huei5"	334	
"靧"	"颒"	"xue̠ɪ³³⁴"	"xue̠ɪ"	"huei5"	334	
"威"	"威"	"Ǿue̠ɪ⁴⁴"	"Ǿue̠ɪ"	"uei1"	44	
"葳"	"葳"	"Ǿue̠ɪ⁴⁴"	"Ǿue̠ɪ"	"uei1"	44	
"委"	"委"	"Ǿue̠ɪ⁴⁴"	"Ǿue̠ɪ"	"uei1"	44	"~蛇"
"逶"	"逶"	"Ǿue̠ɪ⁴⁴"	"Ǿue̠ɪ"	"uei1"	44	"~迤"
"萎"	"萎"	"Ǿue̠ɪ⁴⁴"	"Ǿue̠ɪ"	"uei1"	44	
"偎"	"偎"	"Ǿue̠ɪ⁴⁴"	"Ǿue̠ɪ"	"uei1"	44	
"煨"	"煨"	"Ǿue̠ɪ⁴⁴"	"Ǿue̠ɪ"	"uei1"	44	"~罐"
"隈"	"隈"	"Ǿue̠ɪ⁴⁴"	"Ǿue̠ɪ"	"uei1"	44	
"巍"	"巍"	"Ǿue̠ɪ⁴⁴"	"Ǿue̠ɪ"	"uei1"	44	"又音"
"微"	"微"	"Ǿue̠ɪ⁴⁴"	"Ǿue̠ɪ"	"uei1"	44	"稍~"
"□"		"Ǿue̠ɪ⁴⁴"	"Ǿue̠ɪ"	"uei1"	44	"~草，水草"
"委"	"委"	"Ǿue̠ɪ⁵¹"	"Ǿue̠ɪ"	"uei3"	51	
"痿"	"痿"	"Ǿue̠ɪ⁵¹"	"Ǿue̠ɪ"	"uei3"	51	
"萎"	"萎"	"Ǿue̠ɪ⁵¹"	"Ǿue̠ɪ"	"uei3"	51	
"偉"	"伟"	"Ǿue̠ɪ⁵¹"	"Ǿue̠ɪ"	"uei3"	51	
"葦"	"苇"	"Ǿue̠ɪ⁵¹"	"Ǿue̠ɪ"	"uei3"	51	
"韙"	"韪"	"Ǿue̠ɪ⁵¹"	"Ǿue̠ɪ"	"uei3"	51	
"緯"	"纬"	"Ǿue̠ɪ⁵¹"	"Ǿue̠ɪ"	"uei3"	51	"文"
"尾"	"尾"	"Ǿue̠ɪ⁵¹"	"Ǿue̠ɪ"	"uei3"	51	"新文讀"
"僞"	"伪"	"Ǿue̠ɪ⁵¹"	"Ǿue̠ɪ"	"uei3"	51	
"偽"	"伪"	"Ǿue̠ɪ⁵¹"	"Ǿue̠ɪ"	"uei3"	51	"僞俗字"
"喂"	"喂"	"Ǿue̠ɪ⁵¹"	"Ǿue̠ɪ"	"uei3"	51	"招呼聲"
"猥"	"猥"	"Ǿue̠ɪ⁵¹"	"Ǿue̠ɪ"	"uei3"	51	
"唯"	"唯"	"Ǿue̠ɪ⁵¹"	"Ǿue̠ɪ"	"uei3"	51	"~~諾諾"
"餵"	"喂"	"Ǿue̠ɪ³³⁴"	"Ǿue̠ɪ"	"uei5"	334	"文"
"韋"	"韦"	"Ǿue̠ɪ³³⁴"	"Ǿue̠ɪ"	"uei5"	334	"姓氏"
"違"	"违"	"Ǿue̠ɪ³³⁴"	"Ǿue̠ɪ"	"uei5"	334	
"危"	"危"	"Ǿue̠ɪ³³⁴"	"Ǿue̠ɪ"	"uei5"	334	
"回"	"回"	"Ǿue̠ɪ³³⁴"	"Ǿue̠ɪ"	"uei5"	334	"~門，~嘴"
"穢"	"秽"	"Ǿue̠ɪ³³⁴"	"Ǿue̠ɪ"	"uei5"	334	"又音"
"桅"	"桅"	"Ǿue̠ɪ³³⁴"	"Ǿue̠ɪ"	"uei5"	334	"~門艙，帆船桅杆下的船艙"
"茴"	"茴"	"Ǿue̠ɪ³³⁴"	"Ǿue̠ɪ"	"uei5"	334	
"蛔"	"蛔"	"Ǿue̠ɪ³³⁴"	"Ǿue̠ɪ"	"uei5"	334	
"違"	"违"	"Ǿue̠ɪ³³⁴"	"Ǿue̠ɪ"	"uei5"	334	
"爲"	"为"	"Ǿue̠ɪ³³⁴"	"Ǿue̠ɪ"	"uei5"	334	"行~"
"為"	"为"	"Ǿue̠ɪ³³⁴"	"Ǿue̠ɪ"	"uei5"	334	"爲俗字"
"巍"	"巍"	"Ǿue̠ɪ³³⁴"	"Ǿue̠ɪ"	"uei5"	334	
"微"	"微"	"Ǿue̠ɪ³³⁴"	"Ǿue̠ɪ"	"uei5"	334	"稍~"
"嵬"	"嵬"	"Ǿue̠ɪ³³⁴"	"Ǿue̠ɪ"	"uei5"	334	
"圍"	"围"	"Ǿue̠ɪ³³⁴"	"Ǿue̠ɪ"	"uei5"	334	"文，包~"
"囗"	"围"	"Ǿue̠ɪ³³⁴"	"Ǿue̠ɪ"	"uei5"	334	"圍異體"
"幃"	"帏"	"Ǿue̠ɪ³³⁴"	"Ǿue̠ɪ"	"uei5"	334	
"薈"	"荟"	"Ǿue̠ɪ³³⁴"	"Ǿue̠ɪ"	"uei5"	334	
"闈"	"闱"	"Ǿue̠ɪ³³⁴"	"Ǿue̠ɪ"	"uei5"	334	
"畏"	"畏"	"Ǿue̠ɪ³³⁴"	"Ǿue̠ɪ"	"uei5"	334	
"帷"	"帷"	"Ǿue̠ɪ³³⁴"	"Ǿue̠ɪ"	"uei5"	334	"桌~"
"餵"	"喂"	"Ǿue̠ɪ³³⁴"	"Ǿue̠ɪ"	"uei5"	334	"文"
"匯"	"汇"	"ɦue̠ɪ²¹³"	"ɦue̠ɪ"	"wei6"	213	
"彙"	"汇"	"ɦue̠ɪ²¹³"	"ɦue̠ɪ"	"wei6"	213	"詞~"
"會"	"会"	"ɦue̠ɪ²¹³"	"ɦue̠ɪ"	"wei6"	213	
"衛"	"卫"	"ɦue̠ɪ²¹³"	"ɦue̠ɪ"	"wei6"	213	
"惠"	"惠"	"ɦue̠ɪ²¹³"	"ɦue̠ɪ"	"wei6"	213	
"蕙"	"蕙"	"ɦue̠ɪ²¹³"	"ɦue̠ɪ"	"wei6"	213	
"慧"	"慧"	"ɦue̠ɪ²¹³"	"ɦue̠ɪ"	"wei6"	213	
"彗"	"彗"	"ɦue̠ɪ²¹³"	"ɦue̠ɪ"	"wei6"	213	
"尉"	"尉"	"ɦue̠ɪ²¹³"	"ɦue̠ɪ"	"wei6"	213	
