"繁體"	"简体"	"音標"		"1：˧˧"	"2：˧˩"
"鱔"	"鳝"	"ji3"			
"上"	"上"	"ji3"			
"象"	"象"	"ji3"			
"像"	"像"	"ji3"			
"橡"	"橡"	"ji3"			
"衍"	"衍"	"ji3"			
"演"	"演"	"ji3"			
"冶"	"冶"	"ji3"			
"已"	"已"	"ji3"			
"以"	"以"	"ji3"			
"矣"	"矣"	"ji3"			
"禪"	"禅"	"ji6"			
"單"	"单"	"ji6"			
"賤"	"贱"	"ji6"			
"踐"	"践"	"ji6"			
"匠"	"匠"	"ji6"			
"壤"	"壤"	"ji6"			
"攘"	"攘"	"ji6"			
"嚷"	"嚷"	"ji6"			
"擅"	"擅"	"ji6"			
"贍"	"赡"	"ji6"			
"上"	"上"	"ji6"			
"尚"	"尚"	"ji6"			
"射"	"射"	"ji6"			
"系"	"系"	"ji6"			
"現"	"现"	"ji6"			
"羨"	"羡"	"ji6"			
"鹽"	"盐"	"ji6"			
"焰"	"焰"	"ji6"			
"豔"	"艳"	"ji6"			
"養"	"养"	"ji6"			
"樣"	"样"	"ji6"			
"夜"	"夜"	"ji6"			
"易"	"易"	"ji6"			
"異"	"异"	"ji6"			
"肄"	"肄"	"ji6"			
"懿"	"懿"	"ji6"			
"仗"	"仗"	"ji6"			
"捷"	"捷"	"ji7"			
"截"	"截"	"ji7"			
"舌"	"舌"	"ji7"			
"涉"	"涉"	"ji7"			
"俠"	"侠"	"ji7"			
"協"	"协"	"ji7"			
"挾"	"挟"	"ji7"			
"葉"	"叶"	"ji7"			
"折"	"折"	"ji7"			
"該"	"该"	"ki1"			
"幾"	"几"	"ki3"			
"改"	"改"	"ki3"			
"蓋"	"盖"	"ki5"			
"概"	"概"	"ki5"			
"居"	"居"	"ki7"			
"開"	"开"	"kʰi1"			
"去"	"去"	"kʰi5"			
"渠"	"渠"	"ɡi2"			
"徛"	"徛"	"gi3"			
"隑"	"隑"	"gi6"			
"許"	"许"	"hi3"			
"波"	"波"	"pu1"			
"玻"	"玻"	"pu1"			
"菠"	"菠"	"pu1"			
"播"	"播"	"pu1"			
"簸"	"簸"	"pu1"			
"坡"	"坡"	"pu1"			
"跛"	"跛"	"pu3"			
"圃"	"圃"	"pu3"			
"播"	"播"	"pu3"			
"簸"	"簸"	"pu3"			
"陂"	"陂"	"pu3"			
"坡"	"坡"	"pu3"			
"頗"	"颇"	"pu3"			
"頗"	"颇"	"pʰu3"			
"埔"	"埔"	"pʰu3"			
"圃"	"圃"	"pʰu3"			
"浦"	"浦"	"pʰu3"			
"普"	"普"	"pʰu3"			
"覆"	"覆"	"pʰu7"			
"撲"	"扑"	"pʰu7"			
"樸"	"朴"	"pʰu7"			
"薄"	"薄"	"pʰu7"			
"莆"	"莆"	"pʰu7"			
"菩"	"菩"	"pʰu7"			
"脯"	"脯"	"pʰu7"			
"蒲"	"蒲"	"pʰu7"			
"部"	"部"	"bu3"			
"簿"	"簿"	"bu3"			
"菢"	"菢"	"bu3"			
"捕"	"捕"	"bu3"			
"哺"	"哺"	"bu3"			
"蔔"	"卜"	"bu7"			
"栿"	"栿"	"bu7"			
"僕"	"仆"	"bu7"			
"瀑"	"瀑"	"bu7"			
"曝"	"曝"	"bu7"			
"模"	"模"	"mu2"			
"膜"	"膜"	"mu2"			
"摩"	"摩"	"mu2"			
"姥"	"姥"	"mu2"			
"某"	"某"	"mu2"			
"母"	"母"	"mu2"			
"拇"	"拇"	"mu2"			
"姆"	"姆"	"mu2"			
"募"	"募"	"mu6"			
"墓"	"墓"	"mu6"			
"幕"	"幕"	"mu6"			
"慕"	"慕"	"mu6"			
"暮"	"暮"	"mu6"			
"莫"	"莫"	"mu7"			
"漠"	"漠"	"mu7"			
"木"	"木"	"mu7"			
"目"	"目"	"mu7"			
"沐"	"沐"	"mu7"			
"牧"	"牧"	"mu7"			
"睦"	"睦"	"mu7"			
"穆"	"穆"	"mu7"			
"夫"	"夫"	"fu1"			
"跗"	"跗"	"fu1"			
"孵"	"孵"	"fu1"			
"麩"	"麸"	"fu1"			
"敷"	"敷"	"fu1"			
"膚"	"肤"	"fu1"			
"俘"	"俘"	"fu1"			
"呼"	"呼"	"fu1"			
"滹"	"滹"	"fu1"			
"不"	"不"	"fu3"			
"甫"	"甫"	"fu3"			
"斧"	"斧"	"fu3"			
"俯"	"俯"	"fu3"			
"釜"	"釜"	"fu3"			
"輔"	"辅"	"fu3"			
"撫"	"抚"	"fu3"			
"父"	"父"	"fu3"			
"虎"	"虎"	"fu3"			
"滸"	"浒"	"fu3"			
"火"	"火"	"fu3"			
"夥"	"伙"	"fu3"			
"脯"	"脯"	"fu3"			
"咐"	"咐"	"fu5"			
"赴"	"赴"	"fu5"			
"訃"	"讣"	"fu5"			
"荷"	"荷"	"fu5"			
"戽"	"戽"	"fu5"			
"貨"	"货"	"fu5"			
"幅"	"幅"	"fu7"			
"福"	"福"	"fu7"			
"蝠"	"蝠"	"fu7"			
"輻"	"辐"	"fu7"			
"腹"	"腹"	"fu7"			
"複"	"复"	"fu7"			
"蝮"	"蝮"	"fu7"			
"覆"	"覆"	"fu7"			
"阿"	"阿"	"ʔvu1"			
"威"	"威"	"ʔvu1"			
"倭"	"倭"	"ʔvu1"			
"萵"	"莴"	"ʔvu1"			
"渦"	"涡"	"ʔvu1"			
"窩"	"窝"	"ʔvu1"			
"蝸"	"蜗"	"ʔvu1"			
"踒"	"踒"	"ʔvu1"			
"烏"	"乌"	"ʔvu1"			
"嗚"	"呜"	"ʔvu1"			
"塢"	"坞"	"ʔvu1"			
"迂"	"迂"	"ʔvu1"			
"於"	"于"	"ʔvu1"			
"淤"	"淤"	"ʔvu1"			
"委"	"委"	"ʔvu3"			
"萎"	"萎"	"ʔvu3"			
"惡"	"恶"	"ʔvu3"			
"穢"	"秽"	"ʔvu3"			
"畏"	"畏"	"ʔvu3"			
"尉"	"尉"	"ʔvu3"			
"喂"	"喂"	"ʔvu3"			
"蔚"	"蔚"	"ʔvu3"			
"慰"	"慰"	"ʔvu3"			
"屋"	"屋"	"ʔvu7"			
"夫"	"夫"	"vu2"			
"扶"	"扶"	"vu2"			
"禾"	"禾"	"vu2"			
"何"	"何"	"vu2"			
"和"	"和"	"vu2"			
"河"	"河"	"vu2"			
"荷"	"荷"	"vu2"			
"乎"	"乎"	"vu2"			
"狐"	"狐"	"vu2"			
"弧"	"弧"	"vu2"			
"胡"	"胡"	"vu2"			
"壺"	"壶"	"vu2"			
"葫"	"葫"	"vu2"			
"湖"	"湖"	"vu2"			
"瑚"	"瑚"	"vu2"			
"蝴"	"蝴"	"vu2"			
"糊"	"糊"	"vu2"			
"胡"	"胡"	"vu2"			
"圩"	"圩"	"vu2"			
"為"	"为"	"vu2"			
"韋"	"韦"	"vu2"			
"唯"	"唯"	"vu2"			
"帷"	"帷"	"vu2"			
"惟"	"惟"	"vu2"			
"圍"	"围"	"vu2"			
"為"	"为"	"vu2"			
"違"	"违"	"vu2"			
"維"	"维"	"vu2"			
"濰"	"潍"	"vu2"			
"偉"	"伟"	"vu2"			
"葦"	"苇"	"vu2"			
"巫"	"巫"	"vu2"			
"誣"	"诬"	"vu2"			
"梧"	"梧"	"vu2"			
"無"	"无"	"vu2"			
"蕪"	"芜"	"vu2"			
"遺"	"遗"	"vu2"			
"盂"	"盂"	"vu2"			
"舁"	"舁"	"vu2"			
"俞"	"俞"	"vu2"			
"逾"	"逾"	"vu2"			
"渝"	"渝"	"vu2"			
"愉"	"愉"	"vu2"			
"榆"	"榆"	"vu2"			
"餘"	"余"	"vu2"			
"輿"	"舆"	"vu2"			
"負"	"负"	"vu3"			
"戶"	"户"	"vu3"			
"滬"	"沪"	"vu3"			
"禍"	"祸"	"vu3"			
"唯"	"唯"	"vu3"			
"武"	"武"	"vu3"			
"侮"	"侮"	"vu3"			
"舞"	"舞"	"vu3"			
"鵡"	"鹉"	"vu3"			
"予"	"予"	"vu3"			
"宇"	"宇"	"vu3"			
"羽"	"羽"	"vu3"			
"雨"	"雨"	"vu3"			
"禹"	"禹"	"vu3"			
"與"	"与"	"vu3"			
"愈"	"愈"	"vu3"			
"過"	"过"	"vu6"			
"和"	"和"	"vu6"			
"荷"	"荷"	"vu6"			
"賀"	"贺"	"vu6"			
"糊"	"糊"	"vu6"			
"互"	"互"	"vu6"			
"瓠"	"瓠"	"vu6"			
"護"	"护"	"vu6"			
"惠"	"惠"	"vu6"			
"慧"	"慧"	"vu6"			
"為"	"为"	"vu6"			
"為"	"为"	"vu6"			
"位"	"位"	"vu6"			
"胃"	"胃"	"vu6"			
"渭"	"渭"	"vu6"			
"衛"	"卫"	"vu6"			
"謂"	"谓"	"vu6"			
"遺"	"遗"	"vu6"			
"逾"	"逾"	"vu6"			
"與"	"与"	"vu6"			
"芋"	"芋"	"vu6"			
"喻"	"喻"	"vu6"			
"裕"	"裕"	"vu6"			
"預"	"预"	"vu6"			
"豫"	"豫"	"vu6"			
"譽"	"誉"	"vu6"			
"籲"	"吁"	"vu6"			
"伏"	"伏"	"vu7"			
"服"	"服"	"vu7"			
"栿"	"栿"	"vu7"			
"複"	"复"	"vu7"			
"複"	"复"	"vu7"			
"袱"	"袱"	"vu7"			
"斛"	"斛"	"vu7"			
"戈"	"戈"	"ku1"			
"哥"	"哥"	"ku1"			
"歌"	"歌"	"ku1"			
"估"	"估"	"ku1"			
"咕"	"咕"	"ku1"			
"沽"	"沽"	"ku1"			
"孤"	"孤"	"ku1"			
"姑"	"姑"	"ku1"			
"菇"	"菇"	"ku1"			
"辜"	"辜"	"ku1"			
"箍"	"箍"	"ku1"			
"蠱"	"蛊"	"ku1"			
"鍋"	"锅"	"ku1"			
"裹"	"裹"	"ku1"			
"堝"	"埚"	"ku1"			
"古"	"古"	"ku3"			
"股"	"股"	"ku3"			
"牯"	"牯"	"ku3"			
"鼓"	"鼓"	"ku3"			
"盬"	"盬"	"ku3"			
"蠱"	"蛊"	"ku3"			
"剮"	"剐"	"ku3"			
"果"	"果"	"ku3"			
"裹"	"裹"	"ku3"			
"賈"	"贾"	"ku3"			
"攪"	"搅"	"ku3"			
"固"	"固"	"ku5"			
"故"	"故"	"ku5"			
"崮"	"崮"	"ku5"			
"雇"	"雇"	"ku5"			
"錮"	"锢"	"ku5"			
"顧"	"顾"	"ku5"			
"過"	"过"	"ku5"			
"鋸"	"锯"	"ku5"			
"穀"	"谷"	"ku7"			
"估"	"估"	"kʰu1"			
"苛"	"苛"	"kʰu1"			
"柯"	"柯"	"kʰu1"			
"科"	"科"	"kʰu1"			
"棵"	"棵"	"kʰu1"			
"窠"	"窠"	"kʰu1"			
"蝌"	"蝌"	"kʰu1"			
"顆"	"颗"	"kʰu1"			
"坷"	"坷"	"kʰu1"			
"枯"	"枯"	"kʰu1"			
"苦"	"苦"	"kʰu3"			
"課"	"课"	"kʰu5"			
"庫"	"库"	"kʰu5"			
"褲"	"裤"	"kʰu5"			
"哭"	"哭"	"kʰu5"			
"酷"	"酷"	"kʰu5"			
"跔"	"跔"	"ɡu2"			
"車"	"车"	"tɕy1"			
"圭"	"圭"	"tɕy1"			
"規"	"规"	"tɕy1"			
"閨"	"闺"	"tɕy1"			
"龜"	"龟"	"tɕy1"			
"歸"	"归"	"tɕy1"			
"軌"	"轨"	"tɕy1"			
"拘"	"拘"	"tɕy1"			
"居"	"居"	"tɕy1"			
"裾"	"裾"	"tɕy1"			
"駒"	"驹"	"tɕy1"			
"俱"	"俱"	"tɕy1"			
"捐"	"捐"	"tɕy1"			
"娟"	"娟"	"tɕy1"			
"鵑"	"鹃"	"tɕy1"			
"矽"	"硅"	"tɕy1"			
"專"	"专"	"tɕy1"			
"磚"	"砖"	"tɕy1"			
"軌"	"轨"	"tɕy3"			
"鬼"	"鬼"	"tɕy3"			
"癸"	"癸"	"tɕy3"			
"詭"	"诡"	"tɕy3"			
"矩"	"矩"	"tɕy3"			
"舉"	"举"	"tɕy3"			
"卷"	"卷"	"tɕy3"			
"愧"	"愧"	"tɕy3"			
"轉"	"转"	"tɕy3"			
"桂"	"桂"	"tɕy5"			
"貴"	"贵"	"tɕy5"			
"鱖"	"鳜"	"tɕy5"			
"季"	"季"	"tɕy5"			
"句"	"句"	"tɕy5"			
"據"	"据"	"tɕy5"			
"鋸"	"锯"	"tɕy5"			
"卷"	"卷"	"tɕy5"			
"眷"	"眷"	"tɕy5"			
"絹"	"绢"	"tɕy5"			
"轉"	"转"	"tɕy5"			
"訣"	"诀"	"tɕy7"			
"厥"	"厥"	"tɕy7"			
"蕨"	"蕨"	"tɕy7"			
"綴"	"缀"	"tɕy7"			
"拙"	"拙"	"tɕy7"			
"茁"	"茁"	"tɕy7"			
"川"	"川"	"tɕʰy1"			
"穿"	"穿"	"tɕʰy1"			
"窺"	"窥"	"tɕʰy1"			
"虧"	"亏"	"tɕʰy1"			
"區"	"区"	"tɕʰy1"			
"嶇"	"岖"	"tɕʰy1"			
"軀"	"躯"	"tɕʰy1"			
"驅"	"驱"	"tɕʰy1"			
"圈"	"圈"	"tɕʰy1"			
"痊"	"痊"	"tɕʰy1"			
"樞"	"枢"	"tɕʰy1"			
"揣"	"揣"	"tɕʰy3"			
"喘"	"喘"	"tɕʰy3"			
"犬"	"犬"	"tɕʰy3"			
"串"	"串"	"tɕʰy3"			
"去"	"去"	"tɕʰy3"			
"券"	"券"	"tɕʰy3"			
"勸"	"劝"	"tɕʰy3"			
"出"	"出"	"tɕʰy7"			
"焌"	"焌"	"tɕʰy7"			
"屈"	"屈"	"tɕʰy7"			
"黢"	"黢"	"tɕʰy7"			
"缺"	"缺"	"tɕʰy7"			
"纏"	"缠"	"dʑy2"			
"椽"	"椽"	"dʑy2"			
"傳"	"传"	"dʑy2"			
"逵"	"逵"	"dʑy2"			
"馗"	"馗"	"dʑy2"			
"葵"	"葵"	"dʑy2"			
"渠"	"渠"	"dʑy2"			
"瞿"	"瞿"	"dʑy2"			
"衢"	"衢"	"dʑy2"			
"拳"	"拳"	"dʑy2"			
"權"	"权"	"dʑy2"			
"顴"	"颧"	"dʑy2"			
"瘸"	"瘸"	"dʑy2"			
"跪"	"跪"	"dʑy7"			
"拒"	"拒"	"dʑy7"			
"苣"	"苣"	"dʑy7"			
"炬"	"炬"	"dʑy7"			
"距"	"距"	"dʑy7"			
"篆"	"篆"	"dʑy7"			
"傳"	"传"	"dʑy6"			
"櫃"	"柜"	"dʑy6"			
"巨"	"巨"	"dʑy6"			
"具"	"具"	"dʑy6"			
"懼"	"惧"	"dʑy6"			
"倦"	"倦"	"dʑy6"			
"饋"	"馈"	"dʑy6"			
"掘"	"掘"	"dʑy7"			
"崛"	"崛"	"dʑy7"			
"橛"	"橛"	"dʑy7"			
"倔"	"倔"	"dʑy7"			
"拙"	"拙"	"dʑy7"			
"危"	"危"	"ȵy2"			
"隅"	"隅"	"ȵy2"			
"虞"	"虞"	"ȵy2"			
"愚"	"愚"	"ȵy2"			
"元"	"元"	"ȵy2"			
"原"	"原"	"ȵy2"			
"源"	"源"	"ȵy2"			
"女"	"女"	"ȵy3"			
"阮"	"阮"	"ȵy3"			
"軟"	"软"	"ȵy3"			
"語"	"语"	"ȵy3"			
"謎"	"谜"	"ȵy6"			
"蕊"	"蕊"	"ȵy6"			
"偽"	"伪"	"ȵy6"			
"偽"	"伪"	"ȵy6"			
"遇"	"遇"	"ȵy6"			
"寓"	"寓"	"ȵy6"			
"禦"	"御"	"ȵy6"			
"月"	"月"	"ȵy7"			
"鼾"	"鼾"	"ɕy1"			
"歡"	"欢"	"ɕy1"			
"揮"	"挥"	"ɕy1"			
"輝"	"辉"	"ɕy1"			
"麾"	"麾"	"ɕy1"			
"昏"	"昏"	"ɕy1"			
"婚"	"婚"	"ɕy1"			
"葷"	"荤"	"ɕy1"			
"虛"	"虚"	"ɕy1"			
"墟"	"墟"	"ɕy1"			
"噓"	"嘘"	"ɕy1"			
"宣"	"宣"	"ɕy1"			
"喧"	"喧"	"ɕy1"			
"儇"	"儇"	"ɕy1"			
"懸"	"悬"	"ɕy1"			
"靴"	"靴"	"ɕy1"			
"許"	"许"	"ɕy3"			
"毀"	"毁"	"ɕy3"			
"選"	"选"	"ɕy3"			
"漢"	"汉"	"ɕy3"			
"喚"	"唤"	"ɕy3"			
"渙"	"涣"	"ɕy3"			
"煥"	"焕"	"ɕy3"			
"瘓"	"痪"	"ɕy3"			
"毀"	"毁"	"ɕy3"			
"卉"	"卉"	"ɕy3"			
"諱"	"讳"	"ɕy3"			
"緯"	"纬"	"ɕy3"			
"酗"	"酗"	"ɕy3"			
"渲"	"渲"	"ɕy3"			
"絢"	"绚"	"ɕy3"			
"楦"	"楦"	"ɕy3"			
"楦"	"楦"	"ɕy3"			
"忽"	"忽"	"ɕy7"			
"笏"	"笏"	"ɕy7"			
"說"	"说"	"ɕy7"			
"說"	"说"	"ɕy7"			
"戌"	"戌"	"ɕy7"			
"恤"	"恤"	"ɕy7"			
"雪"	"雪"	"ɕy7"			
"血"	"血"	"ɕy7"			
"安"	"安"	"ʔjy1"			
"鞍"	"鞍"	"ʔjy1"			
"溫"	"温"	"ʔjy1"			
"瘟"	"瘟"	"ʔjy1"			
"冤"	"冤"	"ʔjy1"			
"淵"	"渊"	"ʔjy1"			
"鴛"	"鸳"	"ʔjy1"			
"豌"	"豌"	"ʔjy3"			
"宛"	"宛"	"ʔjy3"			
"婉"	"婉"	"ʔjy3"			
"碗"	"碗"	"ʔjy3"			
"腕"	"腕"	"ʔjy3"			
"穩"	"稳"	"ʔjy3"			
"苑"	"苑"	"ʔjy3"			
"按"	"按"	"ʔjy5"			
"案"	"案"	"ʔjy5"			
"怨"	"怨"	"ʔjy5"			
"船"	"船"	"ʔjy5"			
"寒"	"寒"	"ʔjy5"			
"韓"	"韩"	"ʔjy5"			
"桓"	"桓"	"ʔjy5"			
"魂"	"魂"	"ʔjy5"			
"全"	"全"	"ʔjy5"			
"泉"	"泉"	"ʔjy5"			
"丸"	"丸"	"ʔjy5"			
"完"	"完"	"ʔjy5"			
"紈"	"纨"	"ʔjy5"			
"玄"	"玄"	"ʔjy5"			
"旋"	"旋"	"ʔjy5"			
"懸"	"悬"	"ʔjy5"			
"垣"	"垣"	"ʔjy5"			
"袁"	"袁"	"ʔjy5"			
"員"	"员"	"ʔjy5"			
"援"	"援"	"ʔjy5"			
"園"	"园"	"ʔjy5"			
"圓"	"圆"	"ʔjy5"			
"猿"	"猿"	"ʔjy5"			
"緣"	"缘"	"ʔjy5"			
"轅"	"辕"	"ʔjy5"			
"旱"	"旱"	"jy3"			
"緩"	"缓"	"jy3"			
"遠"	"远"	"jy3"			
"岸"	"岸"	"jy3"			
"汗"	"汗"	"jy3"			
"翰"	"翰"	"jy3"			
"縣"	"县"	"jy3"			
"旋"	"旋"	"jy3"			
"眩"	"眩"	"jy3"			
"旋"	"旋"	"jy3"			
"院"	"院"	"jy3"			
"核"	"核"	"jy7"			
"絕"	"绝"	"jy7"			
"絕"	"绝"	"jy7"			
"秫"	"秫"	"jy7"			
"述"	"述"	"jy7"			
"術"	"术"	"jy7"			
"穴"	"穴"	"jy7"			
"役"	"役"	"jy7"			
"疫"	"疫"	"jy7"			
"域"	"域"	"jy7"			
"悅"	"悦"	"jy7"			
"越"	"越"	"jy7"			
"粵"	"粤"	"jy7"			
"閱"	"阅"	"jy7"			
"閱"	"阅"	"jy7"			
"甘"	"甘"	"ky1"			
"肝"	"肝"	"ky1"			
"泔"	"泔"	"ky1"			
"柑"	"柑"	"ky1"			
"竿"	"竿"	"ky1"			
"杆"	"杆"	"ky1"			
"根"	"根"	"ky1"			
"跟"	"跟"	"ky1"			
"官"	"官"	"ky1"			
"棺"	"棺"	"ky1"			
"觀"	"观"	"ky1"			
"冠"	"冠"	"ky1"			
"昆"	"昆"	"ky1"			
"幹"	"干"	"ky1"			
"敢"	"敢"	"ky3"			
"稈"	"秆"	"ky3"			
"感"	"感"	"ky3"			
"趕"	"赶"	"ky3"			
"橄"	"橄"	"ky3"			
"擀"	"擀"	"ky3"			
"管"	"管"	"ky3"			
"館"	"馆"	"ky3"			
"幹"	"干"	"ky5"			
"艮"	"艮"	"ky5"			
"觀"	"观"	"ky5"			
"冠"	"冠"	"ky5"			
"貫"	"贯"	"ky5"			
"灌"	"灌"	"ky5"			
"罐"	"罐"	"ky5"			
"蓋"	"盖"	"ky7"			
"割"	"割"	"ky7"			
"鴿"	"鸽"	"ky7"			
"合"	"合"	"ky7"			
"葛"	"葛"	"ky7"			
"骨"	"骨"	"ky7"			
"蛤"	"蛤"	"ky7"			
"合"	"合"	"ky7"			
"困"	"困"	"kʰy5"			
"窟"	"窟"	"kʰy7"			
"橛"	"橛"	"ɡy7"			
"叭"	"叭"	"pa1"			
"爸"	"爸"	"pa1"			
"扳"	"扳"	"pa1"			
"班"	"班"	"pa1"			
"般"	"般"	"pa1"			
"斑"	"斑"	"pa1"			
"頒"	"颁"	"pa1"			
"菠"	"菠"	"pa1"			
"擺"	"摆"	"pa3"			
"阪"	"阪"	"pa3"			
"板"	"板"	"pa3"			
"版"	"版"	"pa3"			
"反"	"反"	"pa3"			
"爸"	"爸"	"pa5"			
"欛"	"欛"	"pa5"			
"拜"	"拜"	"pa5"			
"絆"	"绊"	"pa5"			
"扮"	"扮"	"pa5"			
"湃"	"湃"	"pa5"			
"百"	"百"	"pa7"			
"柏"	"柏"	"pa7"			
"伯"	"伯"	"pa7"			
"檗"	"檗"	"pa7"			
"擘"	"擘"	"pa7"			
"迫"	"迫"	"pa7"			
"迫"	"迫"	"pa7"			
"攀"	"攀"	"pʰa1"			
"拌"	"拌"	"pʰa5"			
"瓣"	"瓣"	"pʰa5"			
"派"	"派"	"pʰa5"			
"湃"	"湃"	"pʰa5"			
"盼"	"盼"	"pʰa5"			
"襻"	"襻"	"pʰa5"			
"破"	"破"	"pʰa5"			
"霸"	"霸"	"pʰa7"			
"擘"	"擘"	"pʰa7"			
"拍"	"拍"	"pʰa7"			
"珀"	"珀"	"pʰa7"			
"魄"	"魄"	"pʰa7"			
"排"	"排"	"ba2"			
"牌"	"牌"	"ba2"			
"爿"	"爿"	"ba2"			
"罷"	"罢"	"ba2"			
"敗"	"败"	"ba2"			
"稗"	"稗"	"ba2"			
"辦"	"办"	"ba2"			
"憊"	"惫"	"ba2"			
"白"	"白"	"ba7"			
"帛"	"帛"	"ba7"			
"媽"	"妈"	"ma1"			
"蠻"	"蛮"	"ma1"			
"媽"	"妈"	"ma1"			
"媽"	"妈"	"ma1"			
"埋"	"埋"	"ma1"			
"蠻"	"蛮"	"ma1"			
"曼"	"曼"	"ma1"			
"蔓"	"蔓"	"ma1"			
"買"	"买"	"ma3"			
"挽"	"挽"	"ma3"			
"晚"	"晚"	"ma3"			
"罵"	"骂"	"ma3"			
"罵"	"骂"	"ma3"			
"賣"	"卖"	"ma3"			
"邁"	"迈"	"ma3"			
"蔓"	"蔓"	"ma3"			
"漫"	"漫"	"ma3"			
"慢"	"慢"	"ma3"			
"萬"	"万"	"ma3"			
"埋"	"埋"	"ma7"			
"脈"	"脉"	"ma7"			
"麥"	"麦"	"ma7"			
"陌"	"陌"	"ma7"			
"番"	"番"	"fa1"			
"藩"	"藩"	"fa1"			
"翻"	"翻"	"fa1"			
"反"	"反"	"fa1"			
"返"	"返"	"fa1"			
"番"	"番"	"fa5"			
"泛"	"泛"	"fa5"			
"販"	"贩"	"fa5"			
"㽹"	"㽹"	"fa5"			
"豁𩝨"	"豁𩝨"	"fa7"			
"歪"	"歪"	"ʔva1"			
"彎"	"弯"	"ʔva1"			
"灣"	"湾"	"ʔva1"			
"幻"	"幻"	"ʔva1"			
"皖"	"皖"	"ʔva1"			
"腕"	"腕"	"ʔva1"			
"挖"	"挖"	"ʔva7"			
"帆"	"帆"	"va2"			
"藩"	"藩"	"va2"			
"凡"	"凡"	"va2"			
"煩"	"烦"	"va2"			
"繁"	"繁"	"va2"			
"礬"	"矾"	"va2"			
"梵"	"梵"	"va2"			
"還"	"还"	"va2"			
"淮"	"淮"	"va2"			
"槐"	"槐"	"va2"			
"懷"	"怀"	"va2"			
"圜"	"圜"	"va2"			
"環"	"环"	"va2"			
"頑"	"顽"	"va2"			
"樊"	"樊"	"va3"			
"犯"	"犯"	"va3"			
"範"	"范"	"va3"			
"範"	"范"	"va3"			
"挽"	"挽"	"va3"			
"晚"	"晚"	"va3"			
"皖"	"皖"	"va3"			
"梵"	"梵"	"va6"			
"飯"	"饭"	"va6"			
"壞"	"坏"	"va6"			
"宦"	"宦"	"va6"			
"患"	"患"	"va6"			
"換"	"换"	"va6"			
"外"	"外"	"va6"			
"萬"	"万"	"va6"			
"畫"	"画"	"va7"			
"劃"	"划"	"va7"			
"或"	"或"	"va7"			
"惑"	"惑"	"va7"			
"獲"	"获"	"va7"			
"丹"	"丹"	"ta1"			
"耽"	"耽"	"ta1"			
"單"	"单"	"ta1"			
"擔"	"担"	"ta1"			
"歹"	"歹"	"ta3"			
"疸"	"疸"	"ta3"			
"膽"	"胆"	"ta3"			
"帶"	"带"	"ta3"			
"戴"	"戴"	"ta3"			
"擔"	"担"	"ta3"			
"旦"	"旦"	"ta3"			
"誕"	"诞"	"ta3"			
"石"	"石"	"ta3"			
"搭"	"搭"	"ta7"			
"笪"	"笪"	"ta7"			
"答"	"答"	"ta7"			
"瘩"	"瘩"	"ta7"			
"他"	"他"	"tʰa1"			
"它"	"它"	"tʰa1"			
"她"	"她"	"tʰa1"			
"坍"	"坍"	"tʰa1"			
"攤"	"摊"	"tʰa1"			
"灘"	"滩"	"tʰa1"			
"癱"	"瘫"	"tʰa1"			
"拖"	"拖"	"tʰa1"			
"坦"	"坦"	"tʰa3"			
"袒"	"袒"	"tʰa3"			
"毯"	"毯"	"tʰa3"			
"太"	"太"	"tʰa3"			
"汰"	"汰"	"tʰa3"			
"泰"	"泰"	"tʰa3"			
"炭"	"炭"	"tʰa3"			
"碳"	"碳"	"tʰa3"			
"歎"	"叹"	"tʰa3"			
"歎"	"叹"	"tʰa3"			
"漯"	"漯"	"tʰa7"			
"塌"	"塌"	"tʰa7"			
"遢"	"遢"	"tʰa7"			
"溻"	"溻"	"tʰa7"			
"塔"	"塔"	"tʰa7"			
"獺"	"獭"	"tʰa7"			
"拓"	"拓"	"tʰa7"			
"拓"	"拓"	"tʰa7"			
"榻"	"榻"	"tʰa7"			
"蹋"	"蹋"	"tʰa7"			
"拓"	"拓"	"tʰa7"			
"汏"	"汏"	"da2"			
"彈"	"弹"	"da2"			
"痰"	"痰"	"da2"			
"談"	"谈"	"da2"			
"壇"	"坛"	"da2"			
"檀"	"檀"	"da2"			
"譚"	"谭"	"da2"			
"淡"	"淡"	"da3"			
"氮"	"氮"	"da3"			
"袒"	"袒"	"da3"			
"大"	"大"	"da3"			
"埭"	"埭"	"da3"			
"但"	"但"	"da3"			
"蛋"	"蛋"	"da3"			
"彈"	"弹"	"da3"			
"壇"	"坛"	"da3"			
"坦"	"坦"	"da3"			
"達"	"达"	"da7"			
"踏"	"踏"	"da7"			
"奶"	"奶"	"da7"			
"南"	"南"	"da7"			
"哪"	"哪"	"da7"			
"那"	"那"	"da7"			
"娜"	"娜"	"da7"			
"難"	"难"	"na2"			
"乃"	"乃"	"na3"			
"奶"	"奶"	"na3"			
"女"	"女"	"na3"			
"奈"	"奈"	"na3"			
"難"	"难"	"na3"			
"拿"	"拿"	"na7"			
"呐"	"呐"	"na7"			
"捺"	"捺"	"na7"			
"垃"	"垃"	"na7"			
"拉"	"拉"	"na7"			
"啦"	"啦"	"na7"			
"喇"	"喇"	"na7"			
"賴"	"赖"	"na7"			
"嵐"	"岚"	"la2"			
"藍"	"蓝"	"la2"			
"攔"	"拦"	"la2"			
"蘭"	"兰"	"la2"			
"籃"	"篮"	"la2"			
