"声母"	"韵母"	"声调"	"字"	"注释"
"tɕʰ"	"iŋ"	"5"	"称"	"相〜"
"dʑ"	"iŋ"	"2"	"沉"	"文"
"dʑ"	"iŋ"	"2"	"勤"	"文"
"dʑ"	"iŋ"	"2"	"塍"	"文"
"dʑ"	"iŋ"	"6"	"郑"	"〜家楼；地名,～重，～州"
"ȵ"	"iŋ"	"6"	"壬"	"〜午"
"ȵ"	"iŋ"	"6"	"任"	"姓"
"ɕ"	"iŋ"	"1"	"伸"	"文"
"ɕ"	"iŋ"	"1"	"声"	"〜望"
"ɕ"	"iŋ"	"3"	"省"	"反〜,又"
"ɕ"	"iŋ"	"5"	"性"	"〜命"
"零"	"iŋ"	"1"	"烟"	"〜囱"
"零"	"iŋ"	"3"	"饮"	"冷〜,〜酒"
"零"	"iŋ"	"3"	"影"	"文"
"p"	"oŋ"	"5"	"放"	"～开"
"pʰ"	"oŋ"	"3"	"纺"	"～纱"
"t"	"oŋ"	"1"	"中"	"正〜梁"
"d"	"oŋ"	"2"	"重"	"〜新，〜五"
"ts"	"oŋ"	"1"	"踪"	"跟〜"
"ts"	"oŋ"	"5"	"中"	"〜状元"
"tsʰ"	"oŋ"	"5"	"铳"	"拍〜"
"s"	"oŋ"	"1"	"松"	"又"
"z"	"oŋ"	"2"	"重"	"〜新"
"k"	"oŋ"	"3"	"拱"	"文"
"k"	"oŋ"	"3"	"巩"	"文"
"g"	"oŋ"	"6"	"共"	"文"
"h"	"oŋ"	"1"	"哄"	"〜堂大笑"
"h"	"oŋ"	"1"	"蜂"	"文"
"ɦ"	"oŋ"	"2"	"缝"	"裁〜"
"零"	"oŋ"	"1"	"翁"	"祖〜"
"tɕ"	"ioŋ"	"5"	"供"	"献～"
"tɕʰ"	"ioŋ"	"3"	"顷"	"〜刻"
"dʑ"	"ioŋ"	"2"	"裙"	"文"
"ɕ"	"ioŋ"	"1"	"熏"	"文"
"ɦ"	"ioŋ"	"2"	"云"	"〜南"
"ɦ"	"ioŋ"	"2"	"晕"	"名词"
"零"	"ioŋ"	"3"	"允"	"〜许"
"零"	"ioŋ"	"3"	"尹"	"府〜"
"零"	"aʔ"	"7"	"阿"	"〜弥陀佛，～胶，〜妹,〜+人名"
"零"	"aʔ"	"7"	"轧"	"～路"
"p"	"əʔ"	"7"	"拨"	"泼〜"
"p"	"əʔ"	"7"	"驳"	"反〜,辩〜"
"pʰ"	"əʔ"	"7"	"泼"	"〜水"
"pʰ"	"əʔ"	"7"	"泊"	"水〜"
"pʰ"	"əʔ"	"7"	"泊"	"〜船"
"b"	"əʔ"	"8"	"别"	"〜侬"
"b"	"əʔ"	"8"	"泊"	"落〜"
"b"	"əʔ"	"8"	"雹"	"龙〜"
"m"	"əʔ"	"7"	"望"	"介词"
"m"	"əʔ"	"8"	"没"	"文"
"m"	"əʔ"	"8"	"物"	"〜事"
"f"	"əʔ"	"7"	"覆"	"文"
"f"	"əʔ"	"7"	"腹"	"文"
"f"	"əʔ"	"7"	"復"	"〜员"
"v"	"əʔ"	"8"	"活"	"生～，〜动"
"v"	"əʔ"	"8"	"物"	"动〜"
"v"	"əʔ"	"8"	"復"	"恢〜"
"v"	"əʔ"	"8"	"服"	"舒〜"
"t"	"əʔ"	"7"	"筑"	"～泥墙"
"l"	"əʔ"	"8"	"律"	"〜条"
"l"	"əʔ"	"8"	"落"	"文"
"ts"	"əʔ"	"7"	"执"	"〜行"
"ts"	"əʔ"	"7"	"汁"	"墨〜"
"ts"	"əʔ"	"7"	"轧"	"〜钢厂"
"ts"	"əʔ"	"7"	"节"	"过〜"
"ts"	"əʔ"	"7"	"摘"	"文"
"tsʰ"	"əʔ"	"7"	"察"	"现〜,～看"
"tsʰ"	"əʔ"	"7"	"切"	"〜肉"
"s"	"əʔ"	"7"	"舍"	"农〜"
"s"	"əʔ"	"7"	"叔"	"〜伯"
"s"	"əʔ"	"7"	"畜"	"〜牧,六〜"
"z"	"əʔ"	"8"	"集"	"〜中,〜合"
"z"	"əʔ"	"8"	"习"	"〜惯、学〜"
"z"	"əʔ"	"8"	"石"	"〜部"
"k"	"əʔ"	"7"	"峡"	"三〜"
"k"	"əʔ"	"7"	"括"	"包〜，〜号"
"k"	"əʔ"	"7"	"阁"	"〜楼"
"kʰ"	"əʔ"	"7"	"磕"	"〜头"
"kʰ"	"əʔ"	"7"	"窟"	"〜隆"
"g"	"əʔ"	"8"	"何"	"〜物"
"g"	"əʔ"	"8"	"夹"	"名词"
"g"	"əʔ"	"8"	"峡"	"山〜"
"p"	"ieʔ"	"7"	"秘"	"〜室,〜书"
"p"	"ieʔ"	"7"	"辟"	"复〜"
"pʰ"	"ieʔ"	"7"	"辟"	"开〜"
"b"	"ieʔ"	"8"	"别"	"区～，分〜"
"m"	"ieʔ"	"7"	"泌"	"分〜"
"l"	"ieʔ"	"8"	"律"	"法～"
"l"	"ieʔ"	"8"	"勒"	"文"
"tɕ"	"ieʔ"	"7"	"者"	"记〜，学〜,之乎〜也"
"tɕ"	"ieʔ"	"7"	"折"	"〜扣"
"tɕ"	"ieʔ"	"7"	"揭"	"在〜"
"tɕ"	"ieʔ"	"7"	"节"	"～省"
"tɕ"	"ieʔ"	"7"	"着"	"衣〜,〜棋"
"tɕ"	"ieʔ"	"7"	"着"	"〜地"
"tɕ"	"ieʔ"	"7"	"祝"	"姓"
"tɕ"	"ieʔ"	"7"	"积"	"〜极，〜累"
"tɕ"	"ieʔ"	"7"	"迹"	"事〜"
"tɕʰ"	"ieʔ"	"7"	"处"	"〜底（家里）"
"tɕʰ"	"ieʔ"	"7"	"蹶"	"文"
"tɕʰ"	"ieʔ"	"7"	"切"	"一〜"
"tɕʰ"	"ieʔ"	"7"	"雀"	"孔〜"
"dʑ"	"ieʔ"	"8"	"直"	"文"
"dʑ"	"ieʔ"	"8"	"值"	"文"
"dʑ"	"ieʔ"	"8"	"剧"	"〜烈,〜团"
"ɕ"	"ieʔ"	"7"	"戍"	"卫～"
"ɕ"	"ieʔ"	"7"	"事"	"做～"
"ɕ"	"ieʔ"	"7"	"吸"	"～牢(吸住),～收"
"ɕ"	"ieʔ"	"7"	"设"	"建〜，〜计"
"ɕ"	"ieʔ"	"7"	"适"	"〜当"
"ɕ"	"ieʔ"	"7"	"释"	"解〜"
"ʑ"	"ieʔ"	"8"	"惹"	"～是生非"
"ʑ"	"ieʔ"	"8"	"捷"	"〜报"
"ʑ"	"ieʔ"	"8"	"袭"	"〜击"
"ʑ"	"ieʔ"	"8"	"入"	"出〜,收〜"
"ʑ"	"ieʔ"	"8"	"实"	"文"
"ʑ"	"ieʔ"	"8"	"石"	"姓，一〜米"
"ɦ"	"ieʔ"	"8"	"也"	"文"
"ɦ"	"ieʔ"	"8"	"耀"	"训读"
"ɦ"	"ieʔ"	"8"	"翼"	"文"
"k"	"uəʔ"	"7"	"括"	"包〜,又"
"kʰ"	"uəʔ"	"7"	"窟"	"眼珠〜"
"h"	"ɔʔ"	"8"	"服"	"佩〜"
"零"	"ɔʔ"	"7"	"恶"	"厌〜,可〜"
"零"	"ɔʔ"	"7"	"握"	"掌〜"
"ŋ"	"oʔ"	"8"	"雅"	"文〜,地名"
"零"	"m̩"	"3"	"母"	"阿〜"
"零"	"m̩"	"6"	"伓"	"不"
"零"	"ŋ̍"	"6"	"午"	"〜时，过〜"
"零"	"l̩"	"3"	"尔"	"文"
"零"	"l̩"	"3"	"耳"	"文"
"ts"	"ɿ"	"3"	"姊"	""
"ts"	"ɿ"	"3"	"紫"	""
"ts"	"ɿ"	"3"	"纸"	""
"ts"	"ɿ"	"3"	"只"	""
"ts"	"ɿ"	"3"	"姊"	""
"ts"	"ɿ"	"3"	"旨"	""
"ts"	"ɿ"	"3"	"指"	""
"ts"	"ɿ"	"3"	"子"	""
"ts"	"ɿ"	"3"	"梓"	""
"ts"	"ɿ"	"3"	"滓"	""
"ts"	"ɿ"	"3"	"止"	""
"ts"	"ɿ"	"3"	"趾"	""
"ts"	"ɿ"	"3"	"址"	""
"ts"	"ɿ"	"3"	"已"	""
"ts"	"ɿ"	"3"	"纪"	""
"ts"	"ɿ"	"3"	"麂"	""
"ts"	"ɿ"	"3"	"既"	""
"ts"	"ɿ"	"5"	"祭"	""
"ts"	"ɿ"	"5"	"际"	""
"ts"	"ɿ"	"5"	"脐"	""
"ts"	"ɿ"	"5"	"挤"	""
"ts"	"ɿ"	"5"	"剂"	""
"ts"	"ɿ"	"5"	"制"	""
"ts"	"ɿ"	"5"	"製"	""
"ts"	"ɿ"	"5"	"计"	""
"ts"	"ɿ"	"5"	"继"	""
"ts"	"ɿ"	"5"	"智"	""
"ts"	"ɿ"	"5"	"寄"	""
"ts"	"ɿ"	"5"	"致"	""
"ts"	"ɿ"	"5"	"至"	""
"ts"	"ɿ"	"5"	"置"	""
"ts"	"ɿ"	"5"	"志"	""
"ts"	"ɿ"	"5"	"誌"	""
"ts"	"ɿ"	"5"	"痣"	""
"ts"	"ɿ"	"5"	"记"	""
"ts"	"ɿ"	"5"	"屐"	""
"tsʰ"	"ɿ"	"1"	"粗"	""
"tsʰ"	"ɿ"	"1"	"蛆"	""
"tsʰ"	"ɿ"	"1"	"溪"	""
"tsʰ"	"ɿ"	"1"	"雌"	""
"tsʰ"	"ɿ"	"1"	"疵"	""
"tsʰ"	"ɿ"	"1"	"嗤"	""
"tsʰ"	"ɿ"	"1"	"欺"	""
"tsʰ"	"ɿ"	"3"	"扯"	""
"tsʰ"	"ɿ"	"3"	"训"	""
"tsʰ"	"ɿ"	"3"	"读"	""
"tsʰ"	"ɿ"	"3"	"启"	""
"tsʰ"	"ɿ"	"3"	"此"	""
"tsʰ"	"ɿ"	"3"	"企"	""
"tsʰ"	"ɿ"	"3"	"耻"	""
"tsʰ"	"ɿ"	"3"	"齿"	""
"tsʰ"	"ɿ"	"3"	"起"	""
"tsʰ"	"ɿ"	"3"	"岂"	""
"tsʰ"	"ɿ"	"5"	"醋"	""
"tsʰ"	"ɿ"	"5"	"刺"	""
"tsʰ"	"ɿ"	"5"	"侈"	""
"tsʰ"	"ɿ"	"5"	"翅"	""
"tsʰ"	"ɿ"	"5"	"次"	""
"tsʰ"	"ɿ"	"5"	"器"	""
"tsʰ"	"ɿ"	"5"	"弃"	""
"tsʰ"	"ɿ"	"5"	"气"	""
"tsʰ"	"ɿ"	"5"	"汽"	""
"dz"	"ɿ"	"2"	"池"	""
"dz"	"ɿ"	"2"	"驰"	""
"dz"	"ɿ"	"2"	"奇"	""
"dz"	"ɿ"	"2"	"骑"	""
"dz"	"ɿ"	"2"	"祁"	""
"dz"	"ɿ"	"2"	"鳍"	""
"dz"	"ɿ"	"2"	"持"	""
"dz"	"ɿ"	"2"	"其"	""
"dz"	"ɿ"	"2"	"棋"	""
"dz"	"ɿ"	"2"	"期"	""
"dz"	"ɿ"	"2"	"旗"	""
"dz"	"ɿ"	"2"	"祈"	""
"dz"	"ɿ"	"6"	"技"	""
"dz"	"ɿ"	"6"	"妓"	""
"dz"	"ɿ"	"6"	"雉"	""
"dz"	"ɿ"	"6"	"稚"	""
"dz"	"ɿ"	"6"	"痔"	""
"dz"	"ɿ"	"6"	"治"	""
"dz"	"ɿ"	"6"	"忌"	""
"s"	"ɿ"	"1"	"斯"	""
"s"	"ɿ"	"1"	"厮"	""
"s"	"ɿ"	"1"	"私"	""
"s"	"ɿ"	"1"	"师"	""
"s"	"ɿ"	"1"	"狮"	""
"s"	"ɿ"	"1"	"尸"	""
"s"	"ɿ"	"1"	"屍"	""
"s"	"ɿ"	"1"	"司"	""
"s"	"ɿ"	"1"	"丝"	""
"s"	"ɿ"	"1"	"思"	""
"s"	"ɿ"	"1"	"思"	""
"s"	"ɿ"	"1"	"诗"	""
"s"	"ɿ"	"1"	"嬉"	""
"s"	"ɿ"	"1"	"希"	""
"s"	"ɿ"	"1"	"稀"	""
"s"	"ɿ"	"3"	"死"	""
"s"	"ɿ"	"3"	"使"	""
"s"	"ɿ"	"3"	"史"	""
"s"	"ɿ"	"3"	"始"	""
"s"	"ɿ"	"5"	"世"	""
"s"	"ɿ"	"5"	"势"	""
"s"	"ɿ"	"5"	"赐"	""
"s"	"ɿ"	"5"	"戏"	""
"s"	"ɿ"	"5"	"四"	""
"s"	"ɿ"	"5"	"肆"	""
"s"	"ɿ"	"5"	"矢"	""
"s"	"ɿ"	"5"	"试"	""
"z"	"ɿ"	"2"	"匙"	""
"z"	"ɿ"	"2"	"瓷"	""
"z"	"ɿ"	"2"	"餐"	""
"z"	"ɿ"	"2"	"慈"	""
"z"	"ɿ"	"2"	"磁"	""
"z"	"ɿ"	"2"	"辞"	""
"z"	"ɿ"	"2"	"词"	""
"z"	"ɿ"	"2"	"祠"	""
"z"	"ɿ"	"2"	"时"	""
"z"	"ɿ"	"2"	"鲥"	""
"z"	"ɿ"	"6"	"誓"	""
"z"	"ɿ"	"6"	"是"	""
"z"	"ɿ"	"6"	"氏"	""
"z"	"ɿ"	"6"	"自"	""
"z"	"ɿ"	"6"	"示"	""
"z"	"ɿ"	"6"	"视"	""
"z"	"ɿ"	"6"	"嗜"	""
"z"	"ɿ"	"6"	"似"	""
"z"	"ɿ"	"6"	"祀"	""
"z"	"ɿ"	"6"	"巳"	""
"z"	"ɿ"	"6"	"字"	""
"z"	"ɿ"	"6"	"伺"	""
"z"	"ɿ"	"6"	"寺"	""
"z"	"ɿ"	"6"	"嗣"	""
"z"	"ɿ"	"6"	"饲"	""
"z"	"ɿ"	"6"	"士"	""
"z"	"ɿ"	"6"	"仕"	""
"z"	"ɿ"	"6"	"柿"	""
"z"	"ɿ"	"6"	"市"	""
"z"	"ɿ"	"6"	"恃"	""
"z"	"ɿ"	"6"	"侍"	""
"p"	"i"	"3"	"陛"	""
"p"	"i"	"3"	"比"	""
"p"	"i"	"3"	"秕"	""
"p"	"i"	"5"	"闭"	""
"p"	"i"	"5"	"臂"	""
"p"	"i"	"5"	"庇"	""
"pʰ"	"i"	"1"	"批"	""
"pʰ"	"i"	"1"	"披"	""
"pʰ"	"i"	"1"	"篇"	""
"pʰ"	"i"	"3"	"丕"	""
"pʰ"	"i"	"5"	"譬"	""
"pʰ"	"i"	"5"	"屁"	""
"pʰ"	"i"	"5"	"鼻"	""
"b"	"i"	"2"	"疲"	""
"b"	"i"	"2"	"脾"	""
"b"	"i"	"2"	"彼"	""
"b"	"i"	"2"	"琵"	""
"b"	"i"	"2"	"枇"	""
"b"	"i"	"2"	"便"	""
"b"	"i"	"6"	"敝"	""
"b"	"i"	"6"	"弊"	""
"b"	"i"	"6"	"币"	""
"b"	"i"	"6"	"毙"	""
"b"	"i"	"6"	"鐾"	""
"b"	"i"	"6"	"被"	""
"b"	"i"	"6"	"避"	""
"b"	"i"	"6"	"备"	""
"b"	"i"	"6"	"篦"	""
"m"	"i"	"2"	"眉"	""
"m"	"i"	"2"	"楣"	""
"m"	"i"	"2"	"媚"	""
"m"	"i"	"3"	"免"	""
"m"	"i"	"3"	"勉"	""
"m"	"i"	"3"	"娩"	""
"m"	"i"	"3"	"缅"	""
"m"	"i"	"6"	"寐"	""
"m"	"i"	"6"	"饵"	""
"f"	"i"	"1"	"非"	""
"f"	"i"	"3"	"榧"	""
"f"	"i"	"5"	"废"	""
"f"	"i"	"5"	"肺"	""
"f"	"i"	"5"	"费"	""
"f"	"i"	"5"	"翡"	""
"t"	"i"	"1"	"低"	""
"t"	"i"	"5"	"帝"	""
"t"	"i"	"5"	"蒂"	""
"tʰ"	"i"	"1"	"撕"	""
"tʰ"	"i"	"5"	"替"	""
"tʰ"	"i"	"5"	"涕"	""
"tʰ"	"i"	"5"	"剃"	""
"d"	"i"	"2"	"啼"	""
"d"	"i"	"2"	"迟"	""
"d"	"i"	"6"	"弟"	""
"d"	"i"	"6"	"地"	""
"l"	"i"	"2"	"来"	""
"l"	"i"	"2"	"黎"	""
"l"	"i"	"2"	"离"	""
"l"	"i"	"2"	"篱"	""
"l"	"i"	"2"	"璃"	""
"l"	"i"	"2"	"梨"	""
"l"	"i"	"2"	"厘"	""
"l"	"i"	"2"	"狸"	""
"l"	"i"	"2"	"廉"	""
"l"	"i"	"2"	"镰"	""
"l"	"i"	"2"	"莲"	""
"l"	"i"	"2"	"楝"	""
"l"	"i"	"2"	"恋"	""
"l"	"i"	"3"	"礼"	""
"l"	"i"	"3"	"李"	""
"l"	"i"	"3"	"里"	""
"l"	"i"	"3"	"裏"	""
"l"	"i"	"3"	"理"	""
"l"	"i"	"3"	"鲤"	""
"l"	"i"	"3"	"敛"	""
"l"	"i"	"3"	"脸"	""
"l"	"i"	"6"	"厉"	""
"l"	"i"	"6"	"励"	""
"l"	"i"	"6"	"丽"	""
"l"	"i"	"6"	"隸"	""
"l"	"i"	"6"	"利"	""
"l"	"i"	"6"	"痢"	""
"l"	"i"	"6"	"吏"	""
"tɕ"	"i"	"1"	"遮"	""
"tɕ"	"i"	"5"	"借"	""
"tɕ"	"i"	"5"	"蔗"	""
"tɕ"	"i"	"5"	"隻"	""
"tɕ"	"i"	"5"	"脊"	""
"tɕʰ"	"i"	"1"	"妻"	""
"tɕʰ"	"i"	"1"	"栖"	""
"tɕʰ"	"i"	"3"	"扯"	""
"tɕʰ"	"i"	"3"	"杞"	""
"tɕʰ"	"i"	"5"	"妾"	""
"tɕʰ"	"i"	"5"	"讫"	""
"ȵ"	"i"	"2"	"倪"	""
"ȵ"	"i"	"2"	"宜"	""
"ȵ"	"i"	"2"	"谊"	""
"ȵ"	"i"	"3"	"蚁"	""
"ȵ"	"i"	"3"	"耳"	""
"ȵ"	"i"	"6"	"仪"	""
"ȵ"	"i"	"6"	"义"	""
"ȵ"	"i"	"6"	"议"	""
"ȵ"	"i"	"6"	"毅"	""
"ɕ"	"i"	"1"	"些"	""
"ɕ"	"i"	"1"	"奢"	""
"ɕ"	"i"	"1"	"赊"	""
"ɕ"	"i"	"1"	"犀"	""
"ɕ"	"i"	"1"	"兮"	""
"ɕ"	"i"	"1"	"牺"	""
"ɕ"	"i"	"1"	"熙"	""
"ɕ"	"i"	"3"	"洗"	""
"ɕ"	"i"	"3"	"文"	""
"ɕ"	"i"	"3"	"喜"	""
"ɕ"	"i"	"5"	"泻"	""
"ɕ"	"i"	"5"	"卸"	""
"ɕ"	"i"	"5"	"赦"	""
"ɕ"	"i"	"5"	"细"	""
"ɕ"	"i"	"5"	"携"	""
"ʑ"	"i"	"2"	"邪"	""
"ʑ"	"i"	"2"	"斜"	""
"ʑ"	"i"	"2"	"佘"	""
"ʑ"	"i"	"2"	"畲"	""
"ʑ"	"i"	"6"	"谢"	""
"ʑ"	"i"	"6"	"社"	""
"ʑ"	"i"	"6"	"射"	""
"ʑ"	"i"	"6"	"麝"	""
"ʑ"	"i"	"6"	"逝"	""
"ʑ"	"i"	"6"	"食"	""
"ʑ"	"i"	"6"	"蚀"	""
"ɦ"	"i"	"2"	"耶"	""
"ɦ"	"i"	"2"	"爷"	""
"ɦ"	"i"	"2"	"奚"	""
"ɦ"	"i"	"2"	"移"	""
"ɦ"	"i"	"2"	"倚"	""
"ɦ"	"i"	"2"	"夷"	""
"ɦ"	"i"	"2"	"姨"	""
"ɦ"	"i"	"2"	"肄"	""
"ɦ"	"i"	"2"	"饴"	""
"ɦ"	"i"	"2"	"异"	""
"ɦ"	"i"	"6"	"夜"	""
"ɦ"	"i"	"6"	"艳"	""
"ɦ"	"i"	"6"	"焰"	""
"ɦ"	"i"	"6"	"盐"	""
"ɦ"	"i"	"6"	"谚"	""
"零"	"i"	"1"	"瞖"	""
"零"	"i"	"1"	"伊"	""
"零"	"i"	"1"	"医"	""
"零"	"i"	"1"	"矣"	""
"零"	"i"	"1"	"依"	""
"零"	"i"	"3"	"野"	""
"零"	"i"	"3"	"椅"	""
"零"	"i"	"3"	"已"	""
"零"	"i"	"3"	"淹"	""
"零"	"i"	"3"	"宴"	""
"零"	"i"	"5"	"刈"	""
"零"	"i"	"5"	"易"	""
"零"	"i"	"5"	"以"	""
"零"	"i"	"5"	"意"	""
"零"	"i"	"5"	"燕"	""
"零"	"i"	"5"	"燕"	""
"零"	"i"	"5"	"忆"	""
"零"	"i"	"5"	"亿"	""
"零"	"i"	"5"	"抑"	""
"p"	"u"	"1"	"波"	""
"p"	"u"	"1"	"菠"	""
"p"	"u"	"1"	"颇"	""
"p"	"u"	"1"	"玻"	""
"p"	"u"	"3"	"补"	""
"p"	"u"	"5"	"布"	""
"p"	"u"	"5"	"佈"	""
"p"	"u"	"5"	"怖"	""
"pʰ"	"u"	"1"	"坡"	""
"pʰ"	"u"	"1"	"铺"	""
"pʰ"	"u"	"3"	"普"	""
"pʰ"	"u"	"3"	"浦"	""
"pʰ"	"u"	"3"	"斧"	""
"pʰ"	"u"	"3"	"醭"	""
"pʰ"	"u"	"5"	"铺"	""
"b"	"u"	"2"	"婆"	""
"b"	"u"	"2"	"蒲"	""
"b"	"u"	"2"	"菩"	""
"b"	"u"	"2"	"脯"	""
"b"	"u"	"2"	"浮"	""
"b"	"u"	"6"	"部"	""
"b"	"u"	"6"	"簿"	""
"b"	"u"	"6"	"步"	""
"b"	"u"	"6"	"捕"	""
"b"	"u"	"6"	"埠"	""
"b"	"u"	"6"	"妇"	""
"b"	"u"	"6"	"缚"	""
"m"	"u"	"3"	"某"	""
"m"	"u"	"3"	"拇"	""
"m"	"u"	"6"	"雾"	""
"m"	"u"	"6"	"幕"	""
"m"	"u"	"6"	"寞"	""
"f"	"u"	"1"	"呼"	""
"f"	"u"	"1"	"夫"	""
"f"	"u"	"1"	"肤"	""
"f"	"u"	"1"	"敷"	""
"f"	"u"	"1"	"俘"	""
"f"	"u"	"1"	"孵"	""
"f"	"u"	"1"	"麸"	""
"f"	"u"	"3"	"虎"	""
"f"	"u"	"3"	"浒"	""
"f"	"u"	"3"	"府"	""
"f"	"u"	"3"	"腑"	""
"f"	"u"	"3"	"俯"	""
"f"	"u"	"3"	"甫"	""
"f"	"u"	"3"	"辅"	""
"f"	"u"	"3"	"釜"	""
"f"	"u"	"5"	"货"	""
"f"	"u"	"5"	"戽"	""
"f"	"u"	"5"	"付"	""
"f"	"u"	"5"	"赋"	""
"f"	"u"	"5"	"傅"	""
"f"	"u"	"5"	"赴"	""
"f"	"u"	"5"	"讣"	""
"f"	"u"	"5"	"富"	""
"f"	"u"	"5"	"副"	""
"f"	"u"	"6"	"雨"	""
"v"	"u"	"2"	"何"	""
"v"	"u"	"2"	"荷"	""
"v"	"u"	"2"	"禾"	""
"v"	"u"	"2"	"胡"	""
"v"	"u"	"2"	"湖"	""
"v"	"u"	"2"	"狐"	""
"v"	"u"	"2"	"壶"	""
"v"	"u"	"2"	"瓠"	""
"v"	"u"	"2"	"鬍"	""
"v"	"u"	"2"	"符"	""
"v"	"u"	"2"	"扶"	""
"v"	"u"	"2"	"芙"	""
"v"	"u"	"2"	"无"	""
"v"	"u"	"2"	"巫"	""
"v"	"u"	"2"	"诬"	""
"v"	"u"	"2"	"抚"	""
"v"	"u"	"2"	"盂"	""
"v"	"u"	"2"	"负"	""
"v"	"u"	"2"	"阜"	""
"v"	"u"	"6"	"贺"	""
"v"	"u"	"6"	"户"	""
"v"	"u"	"6"	"沪"	""
"v"	"u"	"6"	"互"	""
"v"	"u"	"6"	"护"	""
"v"	"u"	"6"	"父"	""
"v"	"u"	"6"	"腐"	""
"v"	"u"	"6"	"侮"	""
"v"	"u"	"6"	"附"	""
"v"	"u"	"6"	"务"	""
"v"	"u"	"6"	"有"	""
"v"	"u"	"6"	"芋"	""
"t"	"u"	"1"	"多"	""
"t"	"u"	"2"	"徒"	""
"t"	"u"	"2"	"屠"	""
"t"	"u"	"2"	"途"	""
"t"	"u"	"2"	"涂"	""
"t"	"u"	"2"	"图"	""
"t"	"u"	"3"	"赌"	""
"t"	"u"	"3"	"肚"	""
"t"	"u"	"5"	"妬"	""
"tʰ"	"u"	"3"	"妥"	""
"tʰ"	"u"	"3"	"椭"	""
"tʰ"	"u"	"3"	"土"	""
"tʰ"	"u"	"5"	"吐"	""
"tʰ"	"u"	"5"	"吐"	""
"tʰ"	"u"	"5"	"兔"	""
"d"	"u"	"2"	"驮"	""
"d"	"u"	"2"	"驼"	""
"d"	"u"	"6"	"惰"	""
"d"	"u"	"6"	"杜"	""
"d"	"u"	"6"	"度"	""
"d"	"u"	"6"	"渡"	""
"d"	"u"	"6"	"镀"	""
"d"	"u"	"6"	"踱"	""
"n"	"u"	"2"	"奴"	""
"n"	"u"	"3"	"努"	""
"n"	"u"	"6"	"怒"	""
"l"	"u"	"1"	"啰"	""
"l"	"u"	"2"	"罗"	""
"l"	"u"	"2"	"骡"	""
"l"	"u"	"2"	"卢"	""
"l"	"u"	"2"	"炉"	""
"l"	"u"	"2"	"芦"	""
"l"	"u"	"2"	"庐"	""
"l"	"u"	"2"	"驴"	""
"l"	"u"	"3"	"裸"	""
"l"	"u"	"3"	"鲁"	""
"l"	"u"	"3"	"槽"	""
"l"	"u"	"3"	"虏"	""
"l"	"u"	"3"	"屡"	""
"l"	"u"	"6"	"路"	""
"l"	"u"	"6"	"露"	""
"l"	"u"	"6"	"鹭"	""
"l"	"u"	"6"	"虑"	""
"l"	"u"	"6"	"滤"	""
"ts"	"u"	"3"	"左"	""
"ts"	"u"	"3"	"组"	""
"ts"	"u"	"3"	"姐"	""
"ts"	"u"	"3"	"阻"	""
"tsʰ"	"u"	"1"	"初"	""
"tsʰ"	"u"	"1"	"雏"	""
"tsʰ"	"u"	"3"	"楚"	""
"tsʰ"	"u"	"3"	"礎"	""
"tsʰ"	"u"	"5"	"锉"	""
"tsʰ"	"u"	"5"	"措"	""
"tsʰ"	"u"	"5"	"错"	""
"tsʰ"	"u"	"5"	"错"	""
"s"	"u"	"1"	"唆"	""
"s"	"u"	"1"	"苏"	""
"s"	"u"	"1"	"酥"	""
"s"	"u"	"1"	"疏"	""
"s"	"u"	"1"	"蔬"	""
"s"	"u"	"1"	"疏"	""
"s"	"u"	"3"	"琐"	""
"s"	"u"	"5"	"素"	""
"s"	"u"	"5"	"诉"	""
"s"	"u"	"5"	"塑"	""
"s"	"u"	"5"	"嗦"	""
"s"	"u"	"5"	"数"	""
"z"	"u"	"6"	"助"	""
"k"	"u"	"1"	"姑"	""
"k"	"u"	"1"	"孤"	""
"k"	"u"	"3"	"果"	""
"k"	"u"	"3"	"馃"	""
"k"	"u"	"3"	"古"	""
"k"	"u"	"3"	"牯"	""
"k"	"u"	"3"	"股"	""
"k"	"u"	"3"	"鼓"	""
"k"	"u"	"3"	"搅"	""
"k"	"u"	"5"	"故"	""
"k"	"u"	"5"	"固"	""
"k"	"u"	"5"	"锢"	""
"k"	"u"	"5"	"雇"	""
"k"	"u"	"5"	"顾"	""
"kʰ"	"u"	"1"	"科"	""
"kʰ"	"u"	"1"	"窠"	""
"kʰ"	"u"	"1"	"棵"	""
"kʰ"	"u"	"1"	"颗"	""
"kʰ"	"u"	"1"	"估"	""
"kʰ"	"u"	"3"	"苦"	""
"kʰ"	"u"	"5"	"课"	""
"kʰ"	"u"	"5"	"库"	""
"kʰ"	"u"	"5"	"裤"	""
"g"	"u"	"2"	"糊"	""
"g"	"u"	"6"	"臼"	""
"g"	"u"	"6"	"舅"	""
"ŋ"	"u"	"2"	"蛾"	""
"ŋ"	"u"	"2"	"俄"	""
"ŋ"	"u"	"2"	"衙"	""
"ŋ"	"u"	"2"	"吴"	""
"ŋ"	"u"	"2"	"蜈"	""
"ŋ"	"u"	"2"	"吾"	""
"ŋ"	"u"	"2"	"梧"	""
"ŋ"	"u"	"6"	"饿"	""
"ŋ"	"u"	"6"	"卧"	""
"ŋ"	"u"	"6"	"误"	""
"ŋ"	"u"	"6"	"悟"	""
"ŋ"	"u"	"6"	"娱"	""
