"漢字"	"拼音"	"IPA"	"注釋"	"说明"
"態"	"thai3"	"tʰai˨˩˨"		
"貸"	"tai3"	"tai˨˩˨"		
"臺"	"thai5"	"tʰai˥˥"		
"苔"	"ti5"	"ti˥˥"		
"抬"	"thai5"	"tʰai˥˥"		
"殆"	"tai6"	"tai˧˥"		
"待"	"thai6"	"tʰai˧˥"		
"怠"	"tai6"	"tai˧˥"		
"代"	"to7"	"to˧˩"		
"代"	"thoi3"	"tʰoi˨˩˨"	"俗"	
"代"	"tai3"	"tai˨˩˨"	"文"	
"袋"	"to7"	"to˧˩"		
"乃"	"nai2"	"nai˥˨"		
"乃"	"nai6"	"nai˧˥"	"又"	
"耐"	"nai6"	"nai˧˥"		
"來"	"lai5"	"lai˥˥"		
"災"	"tsai1"	"tsai˧˧"		
"栽"	"tsai1"	"tsai˧˧"		
"宰"	"tsai2"	"tsai˥˨"		
"載"	"tsai2"	"tsai˥˨"		
"再"	"tsai3"	"tsai˨˩˨"		
"載"	"tsai3"	"tsai˨˩˨"		
"猜"	"tshai1"	"tsʰai˧˧"		
"采"	"tshai2"	"tsʰai˥˨"		
"睬"	"tshai2"	"tsʰai˥˨"		
"彩"	"tshai2"	"tsʰai˥˨"		
"菜"	"tshai3"	"tsʰai˨˩˨"		
"裁"	"tshai5"	"tsʰai˥˥"		
"材"	"tshai5"	"tsʰai˥˥"		
"才"	"tsai5"	"tsai˥˥"	"秀~"	
"才"	"tshai5"	"tsʰai˥˥"		
"纔"	"tshai5"	"tsʰai˥˥"		
"財"	"tshai5"	"tsʰai˥˥"		
"在"	"to6"	"to˧˥"	"俗"	
"在"	"tsai6"	"tsai˧˥"		
"腮"	"sai1"	"sai˧˧"		
"賽"	"sai3"	"sai˨˩˨"		
"該"	"kai1"	"kai˧˧"		
"改"	"koi2"	"koi˥˨"		
"溉"	"khai3"	"kʰai˨˩˨"		
"概"	"khai3"	"kʰai˨˩˨"		
"開"	"khui1"	"kʰui˧˧"		
"開"	"khai1"	"kʰai˧˧"	"文"	
"凱"	"khai2"	"kʰai˥˨"		
"愷"	"khai2"	"kʰai˥˨"		
"慨"	"khai2"	"kʰai˥˨"		
"慨"	"khai3"	"kʰai˨˩˨"	"又"	
"呆"	"tai1"	"tai˧˧"		
"礙"	"gai7"	"gai˧˩"		
"海"	"hai2"	"hai˥˨"		
"孩"	"hai5"	"hai˥˥"		
"亥"	"hai6"	"hai˧˥"		
"哀"	"ai1"	"ai˧˧"		
"埃"	"ai1"	"ai˧˧"		
"唉"	"ai1"	"ai˧˧"		
"唉"	"ai7"	"ai˧˩"		
"愛"	"ainn3"	"ai ̃˨˩˨"		
"貝"	"pue6"	"pue˧˥"		
"沛"	"phai3"	"pʰai˨˩˨"		
"帶"	"tua3"	"tua˨˩˨"		
"泰"	"hai3"	"hai˨˩˨"		
"太"	"thai3"	"tʰai˨˩˨"		
"大"	"tua7"	"tua˧˩"		
"大"	"tai6"	"tai˧˥"		
"奈"	"nai6"	"nai˧˥"		
"賴"	"lua7"	"lua˧˩"		
"賴"	"lai6"	"lai˧˥"		
"癩"	"nai6"	"nai˧˥"		
"蔡"	"tshuann3"	"tsʰua ̃˨˩˨"		
"蓋"	"khainn3"	"kʰai ̃˨˩˨"		
"蓋"	"kah4"	"kaʔ˨"		
"蓋"	"kua3"	"kua˨˩˨"		
"蓋"	"kai3"	"kai˨˩˨"	"文"	
"丐"	"kai3"	"kai˨˩˨"		
"艾"	"hia7"	"hia˧˩"		
"艾"	"ainn3"	"ai ̃˨˩˨"		
"艾"	"ngai3"	"ŋai˨˩˨"	"文"	
"害"	"hai7"	"hai˧˩"		
"藹"	"ai2"	"ai˥˨"		
"靄"	"ai2"	"ai˥˨"		
"拜"	"pai3"	"pai˨˩˨"		
"排"	"pai5"	"pai˥˥"		
"埋"	"mai5"	"mai˥˥"		
"齋"	"tse1"	"tse˧˧"		
"豺"	"sai5"	"sai˥˥"	"白"	
"豺"	"tshai5"	"tsʰai˥˥"		
"皆"	"kai1"	"kai˧˧"		
"偕"	"hai5"	"hai˥˥"		
"偕"	"kai1"	"kai˧˧"		
"稭"	"kai1"	"kai˧˧"		
"稭"	"kiak4"	"kiak˨"		
"街"	"koi1"	"koi˧˧"		
"階"	"kai1"	"kai˧˧"		
"戒"	"kai3"	"kai˨˩˨"		
"芥"	"kai3"	"kai˨˩˨"		
"尬"	"kai3"	"kai˨˩˨"		
"界"	"kai3"	"kai˨˩˨"		
"介"	"kai3"	"kai˨˩˨"		
"疥"	"koi3"	"koi˨˩˨"		
"屆"	"kai3"	"kai˨˩˨"		
"揩"	"khoi1"	"kʰoi˧˧"		
"揩"	"kai1"	"kai˧˧"	"文"	
"楷"	"khai2"	"kʰai˥˨"		
"諧"	"hai5"	"hai˥˥"		
"駭"	"hai6"	"hai˧˥"		
"械"	"hai6"	"hai˧˥"		
"挨"	"oi1"	"oi˧˧"		
"挨"	"ai1"	"ai˧˧"	"文"	
"擺"	"pai2"	"pai˥˨"		
"派"	"phai3"	"pʰai˨˩˨"		
"牌"	"pai5"	"pai˥˥"		
"罷"	"pa6"	"pa˧˥"		
"稗"	"phoi7"	"pʰoi˧˩"		
"稗"	"pi2"	"pi˥˨"	"文"	
"買"	"boi2"	"boi˥˨"		
"賣"	"boi7"	"boi˧˩"		
"奶"	"ni6"	"ni˧˥"		
"奶"	"nai2"	"nai˥˨"	"文"	
"債"	"tse3"	"tse˨˩˨"		
"釵"	"toi1"	"toi˧˧"		
"釵"	"tshe1"	"tsʰe˧˧"		
"差"	"tshe1"	"tsʰe˧˧"		
"柴"	"tsha5"	"tsʰa˥˥"		
"篩"	"thai1"	"tʰai˧˧"	"訓"	
"篩"	"sai1"	"sai˧˧"		
"灑"	"sa3"	"sa˨˩˨"		
"灑"	"sai3"	"sai˨˩˨"		
"曬"	"sai3"	"sai˨˩˨"		
"佳"	"kia1"	"kia˧˧"		
"街"	"koi1"	"koi˧˧"		
"解"	"koi2"	"koi˥˨"		
"解"	"koi3"	"koi˨˩˨"	"~元"	
"涯"	"ngai5"	"ŋai˥˥"		
"崖"	"ngai5"	"ŋai˥˥"		
"鞋"	"oi5"	"oi˥˥"		
"蟹"	"hoi6"	"hoi˧˥"		
"解"	"oi6"	"oi˧˥"		
"解"	"hai6"	"hai˧˥"	"文，姓氏"	
"懈"	"hai6"	"hai˧˥"		
"矮"	"oi2"	"oi˥˨"		
"隘"	"ai2"	"ai˥˨"		
"隘"	"ek4"	"ek˨"	"又"	
"敗"	"pai7"	"pai˧˩"		
"邁"	"mai6"	"mai˧˥"		
"寨"	"tse3"	"tse˨˩˨"		
"蔽"	"pi7"	"pi˧˩"		
"斃"	"pi7"	"pi˧˩"		
"敝"	"pi7"	"pi˧˩"		
"幣"	"pi6"	"pi˧˥"		
"弊"	"pi7"	"pi˧˩"		
"厲"	"li6"	"li˧˥"		
"勵"	"li6"	"li˧˥"		
"例"	"li7"	"li˧˩"		
"祭"	"tsi3"	"tɕi˨˩˨"		
"際"	"tsi3"	"tɕi˨˩˨"		
"穄"	"tsi3"	"tɕi˨˩˨"		
"滯"	"thi3"	"tʰi˨˩˨"		
"制"	"tsi3"	"tɕi˨˩˨"		
"勢"	"si3"	"ɕi˨˩˨"		
"世"	"si3"	"ɕi˨˩˨"		
"誓"	"si7"	"ɕi˧˩"		
"逝"	"si7"	"ɕi˧˩"		
"藝"	"goi7"	"goi˧˩"		
"囈"	"goi7"	"goi˧˩"		
"囈"	"ngi3"	"ŋi˨˩˨"	"文"	
"刈"	"ngai6"	"ŋai˧˥"		
"刈"	"ngi6"	"ŋi˧˥"	"文"	
"閉"	"pi6"	"pi˧˥"		
"箅"	"pi3"	"pi˨˩˨"		
"批"	"phoi"	"pʰoi"		
"陛"	"pi6"	"pi˧˥"		
"迷"	"mi5"	"mi˥˥"		
"米"	"bi2"	"bi˥˨"		
"謎"	"mi5"	"mi˥˥"		
"堤"	"toi1"	"toi˧˧"		
"低"	"ti1"	"ti˧˧"		
"底"	"toinn2"	"toi ̃˥˨"		
"底"	"ti2"	"ti˥˨"	"文"	
"底"	"ti7"	"ti˧˩"	"俗，疑問"	
"抵"	"ti2"	"ti˥˨"		
"渧"	"ti3"	"ti˨˩˨"		
"帝"	"ti3"	"ti˨˩˨"		
"梯"	"thui1"	"tʰui˧˧"		
"體"	"thi2"	"tʰi˥˨"		
"替"	"thi3"	"tʰi˨˩˨"		
"涕"	"thi3"	"tʰi˨˩˨"		
"剃"	"thi3"	"tʰi˨˩˨"		
"提"	"thi5"	"tʰi˥˥"		
"題"	"toi5"	"toi˥˥"		
"蹄"	"toi5"	"toi˥˥"		
"啼"	"thi5"	"tʰi˥˥"		
"弟"	"ti6"	"ti˧˥"		
"第"	"toi6"	"toi˧˥"		
"遞"	"ti5"	"ti˥˥"		
"泥"	"ni5"	"ni˥˥"		
"犁"	"loi5"	"loi˥˥"		
"黎"	"loi5"	"loi˥˥"		
"禮"	"loi2"	"loi˥˨"		
"麗"	"li6"	"li˧˥"		
"麗"	"li5"	"li˥˥"	"高~參"	
"隸"	"ti6"	"ti˧˥"		
"擠"	"tsinn3"	"tɕi ̃˨˩˨"		
"濟"	"tsi3"	"tɕi˨˩˨"		
"妻"	"tshi1"	"tɕʰi˧˧"		
"淒"	"tshi1"	"tɕʰi˧˧"		
"砌"	"kih4"	"kiʔ˨"		
"齊"	"tsoinn5"	"tsoi ̃˥˥"		
"齊"	"tshi5"	"tɕʰi˥˥"		
"臍"	"tsai5"	"tsai˥˥"		
"薺"	"tsinn5"	"tɕi ̃˥˥"	"白"	
"薺"	"tshi5"	"tɕʰi˥˥"		
"西"	"sai1"	"sai˧˧"		
"西"	"si1"	"ɕi˧˧"	"文"	
"棲"	"tshi1"	"tɕʰi˧˧"		
"棲"	"si1"	"ɕi˧˧"		
"犀"	"sai1"	"sai˧˧"		
"洗"	"soi2"	"soi˥˨"		
"細"	"soi3"	"soi˨˩˨"		
"婿"	"sai3"	"sai˨˩˨"		
"雞"	"koi1"	"koi˧˧"		
"稽"	"ki1"	"ki˧˧"		
"計"	"koi3"	"koi˨˩˨"		
"繼"	"ki3"	"ki˨˩˨"		
"繋"	"ki3"	"ki˨˩˨"		
"溪"	"khoi1"	"kʰoi˧˧"		
"啟"	"khi2"	"kʰi˥˨"		
"契"	"khoi3"	"kʰoi˨˩˨"		
"倪"	"goi7"	"goi˧˩"	"白，姓氏"	
"倪"	"ngi5"	"ŋi˥˥"		
"詣"	"tsi2"	"tɕi˥˨"		
"兮"	"hi1"	"hi˧˧"		
"奚"	"hi5"	"hi˥˥"		
"係"	"hi6"	"hi˧˥"		
"繋"	"ki3"	"ki˨˩˨"		
"縊"	"i3"	"i˨˩˨"		
"縊"	"ek4"	"ek˨"	"又"	
"杯"	"pue1"	"pue˧˧"		
"背"	"pue3"	"pue˨˩˨"		
"輩"	"pue3"	"pue˨˩˨"		
"背"	"pi3"	"pi˨˩˨"		
"坯"	"phue1"	"pʰue˧˧"		
"胚"	"phue1"	"pʰue˧˧"		
"配"	"phue3"	"pʰue˨˩˨"		
"培"	"pue5"	"pue˥˥"		
"陪"	"pue5"	"pue˥˥"		
"賠"	"pue5"	"pue˥˥"		
"倍"	"pue6"	"pue˧˥"		
"佩"	"pue6"	"pue˧˥"		
"媒"	"bue5"	"bue˥˥"		
"枚"	"bue5"	"bue˥˥"		
"玫"	"bung5"	"buŋ˥˥"		
"娒"	"bue5"	"bue˥˥"		
"梅"	"bue5"	"bue˥˥"		
"每"	"mue2"	"mue˥˨"		
"昧"	"mue6"	"mue˧˥"		
"妹"	"mue6"	"mue˧˥"		
"堆"	"tu1"	"tu˧˧"		
"堆"	"tui1"	"tui˧˧"	"文"	
"對"	"tui3"	"tui˨˩˨"		
"推"	"thui1"	"tʰui˧˧"		
"腿"	"thui2"	"tʰui˥˨"		
"退"	"tho3"	"tʰo˨˩˨"		
"頽"	"thue5"	"tʰue˥˥"		
"隊"	"tui7"	"tui˧˩"		
"餒"	"nue2"	"nue˥˨"		
"餒"	"nui2"	"nui˥˨"	"文"	
"內"	"lai6"	"lai˧˥"	"訓“裏”"	
"雷"	"lui5"	"lui˥˥"		
"儡"	"lui2"	"lui˥˨"		
"催"	"tshui1"	"tsʰui˧˧"		
"崔"	"tshui1"	"tsʰui˧˧"		
"罪"	"tsue6"	"tsue˧˥"		
"碎"	"tshui3"	"tsʰui˨˩˨"		
"瑰"	"kui3"	"kui˨˩˨"		
"盔"	"khue1"	"kʰue˧˧"		
"魁"	"khue1"	"kʰue˧˧"		
"魁"	"khui5"	"kʰui˥˥"	"又"	
"詼"	"khue1"	"kʰue˧˧"		
"詼"	"hui1"	"hui˧˧"	"又"	
"恢"	"khue1"	"kʰue˧˧"		
"傀"	"khui5"	"kʰui˥˥"		
"塊"	"ko3"	"ko˨˩˨"		
"桅"	"ui5"	"ui˥˥"		
"桅"	"ngui5"	"ŋui˥˥"	"又"	
"灰"	"hu1"	"hu˧˧"	"俗"	
"灰"	"hue1"	"hue˧˧"		
"灰"	"hui1"	"hui˧˧"	"文"	
"悔"	"hue3"	"hue˨˩˨"		
"賄"	"hue6"	"hue˧˥"		
"晦"	"hue3"	"hue˨˩˨"		
"回"	"hue5"	"hue˥˥"		
"匯"	"hue6"	"hue˧˥"		
"潰"	"khui6"	"kʰui˧˥"		
"煨"	"ui1"	"ui˧˧"		
"兌"	"tue6"	"tue˧˥"		
"最"	"tsue3"	"tsue˨˩˨"		
"劊"	"kuai3"	"kuai˨˩˨"		
"會"	"oi6"	"oi˧˥"	"俗"	
"會"	"hue6"	"hue˧˥"		
"外"	"gua7"	"gua˧˩"		
"會"	"kuai3"	"kuai˨˩˨"		
"繪"	"kuai3"	"kuai˨˩˨"		
"乖"	"kuai1"	"kuai˧˧"		
"怪"	"kuai3"	"kuai˨˩˨"		
"蒯"	"kuai3"	"kuai˨˩˨"		
"淮"	"huai5"	"huai˥˥"		
"懷"	"huai5"	"huai˥˥"		
"槐"	"huai5"	"huai˥˥"		
"壞"	"huai6"	"huai˧˥"		
"拐"	"kuai2"	"kuai˥˨"		
"掛"	"kua3"	"kua˨˩˨"		
"掛"	"kue3"	"kue˨˩˨"	"又"	
"掛"	"khua3"	"kʰua˨˩˨"	"又"	
"卦"	"kue3"	"kue˨˩˨"		
"卦"	"kua3"	"kua˨˩˨"	"文"	
"歪"	"uai1"	"uai˧˧"		
"畫"	"ue5"	"ue˥˥"		
"畫"	"ue7"	"ue˧˩"		
"蛙"	"ua1"	"ua˧˧"		
"快"	"khuai3"	"kʰuai˨˩˨"		
"筷"	"khuai3"	"kʰuai˨˩˨"		
"話"	"ue7"	"ue˧˩"		
"脆"	"tshui2"	"tsʰui˥˨"		
"脆"	"tshui3"	"tsʰui˨˩˨"	"又"	
"歲"	"hue3"	"hue˨˩˨"		
"歲"	"sue3"	"sue˨˩˨"	"文"	
"彗"	"hui6"	"hui˧˥"		
"綴"	"tue3"	"tue˨˩˨"		
"綴"	"tshuak4"	"tsʰuak˨"		
"贅"	"tsui6"	"tsui˧˥"		
"稅"	"sue3"	"sue˨˩˨"		
"說"	"sue3"	"sue˨˩˨"		
"鱖"	"kui3"	"kui˨˩˨"		
"衛"	"ue6"	"ue˧˥"		
"鋭"	"dzue6"	"dzue˧˥"		
"廢"	"hui3"	"hui˨˩˨"		
"肺"	"hui3"	"hui˨˩˨"		
"吠"	"bui7"	"bui˧˩"		
"吠"	"pui7"	"pui˧˩"	"又"	
"穢"	"ue3"	"ue˨˩˨"		
"圭"	"kui1"	"kui˧˧"		
"閨"	"kui1"	"kui˧˧"		
"桂"	"kui3"	"kui˨˩˨"		
"奎"	"kui1"	"kui˧˧"		
"攜"	"hi6"	"hi˧˥"		
"慧"	"hui6"	"hui˧˥"		
"惠"	"hui6"	"hui˧˥"		
"卑"	"pui1"	"pui˧˧"		
"碑"	"pi1"	"pi˧˧"		
"裨"	"pi1"	"pi˧˧"		
"裨"	"pi5"	"pi˥˥"	"又"	
"彼"	"hi2"	"hi˥˨"	"俗"	
"彼"	"pi2"	"pi˥˨"		
"俾"	"pi2"	"pi˥˨"		
"臂"	"pi3"	"pi˨˩˨"		
"披"	"phi1"	"pʰi˧˧"		
"譬"	"phi3"	"pʰi˨˩˨"		
"皮"	"phue5"	"pʰue˥˥"		
"疲"	"phi5"	"pʰi˥˥"		
"脾"	"pi5"	"pi˥˥"		
"脾"	"phi5"	"pʰi˥˥"	"又"	
"被"	"phue6"	"pʰue˧˥"		
"被"	"pi6"	"pi˧˥"	"文"	
"婢"	"pi6"	"pi˧˥"		
"避"	"pi7"	"pi˧˩"		
"糜"	"mue5"	"mue˥˥"		
"糜"	"mi5"	"mi˥˥"		
"彌"	"mi2"	"mi˥˨"		
"靡"	"mi2"	"mi˥˨"		
"籬"	"li5"	"li˥˥"		
"離"	"li5"	"li˥˥"		
"璃"	"li5"	"li˥˥"		
"荔"	"noi5"	"noi˥˥"		
"荔"	"li6"	"li˧˥"	"文"	
"紫"	"tsi2"	"tɕi˥˨"		
"雌"	"tshur5"	"tsʰɯ˥˥"		
"此"	"tshur2"	"tsʰɯ˥˨"		
"刺"	"tshi3"	"tɕʰi˨˩˨"		
"刺"	"tshng3"	"tsʰŋ˨˩˨"	"文"	
"刺"	"tshiah4"	"tɕʰiaʔ˨"	"俗"	
"疵"	"tshur5"	"tsʰɯ˥˥"		
"斯"	"sur1"	"sɯ˧˧"		
"撕"	"thi3"	"tʰi˨˩˨"	"俗"	
"撕"	"li3"	"li˨˩˨"	"俗"	
"撕"	"sur1"	"sɯ˧˧"		
"廝"	"sur1"	"sɯ˧˧"		
"璽"	"dzur2"	"dzɯ˥˨"		
"徙"	"sua2"	"sua˥˨"		
"賜"	"sur3"	"sɯ˨˩˨"		
"知"	"tsai1"	"tsai˧˧"		
"知"	"ti1"	"ti˧˧"	"文"	
"智"	"ti3"	"ti˨˩˨"		
"池"	"ti5"	"ti˥˥"		
"馳"	"tshi5"	"tɕʰi˥˥"		
"篩"	"thai1"	"tʰai˧˧"	"俗"	
"篩"	"sai1"	"sai˧˧"	"文"	
"支"	"ki2"	"ki˥˨"		
"支"	"tsi1"	"tɕi˧˧"	"文"	
"枝"	"ki1"	"ki˧˧"		
"肢"	"tsinn1"	"tɕi ̃˧˧"		
"只"	"tsi2"	"tɕi˥˨"		
"只"	"tsiah4"	"tɕiaʔ˨"	"又"	
"紙"	"tsua2"	"tsua˥˨"		
"侈"	"tshi2"	"tɕʰi˥˨"		
"施"	"si1"	"ɕi˧˧"		
"豕"	"si2"	"ɕi˥˨"		
"啻"	"thi3"	"tʰi˨˩˨"		
"翅"	"tshi3"	"tɕʰi˨˩˨"		
"匙"	"si5"	"ɕi˥˥"		
"是"	"si6"	"ɕi˧˥"		
"氏"	"si6"	"ɕi˧˥"		
"豉"	"si7"	"ɕi˧˩"		
"兒"	"dzi5"	"dzi˥˥"		
"爾"	"dzur2"	"dzɯ˥˨"		
"羈"	"ki6"	"ki˧˥"		
"寄"	"kia3"	"kia˨˩˨"		
"企"	"khia6"	"kʰia˧˥"	"俗"	
"企"	"ki6"	"ki˧˥"	"文"	
"奇"	"khia1"	"kʰia˧˧"	"白"	
"奇"	"ki1"	"ki˧˧"	"又"	
"奇"	"khi5"	"kʰi˥˥"	"文"	
"騎"	"khia5"	"kʰia˥˥"		
"岐"	"kia6"	"kia˧˥"	"~山（汕頭地名）"	
"岐"	"ki5"	"ki˥˥"	"文"	
"技"	"ki6"	"ki˧˥"		
"妓"	"ki6"	"ki˧˥"		
"宜"	"ngi5"	"ŋi˥˥"		
"儀"	"ngi5"	"ŋi˥˥"		
"蟻"	"ngi6"	"ŋi˧˥"	"文"	
"義"	"ngi6"	"ŋi˧˥"		
"議"	"ngi3"	"ŋi˨˩˨"		
"誼"	"ngi"	"ŋi"		
"犧"	"hi1"	"hi˧˧"		
"戲"	"hi3"	"hi˨˩˨"		
"戲"	"hi1"	"hi˧˧"	"又"	
"椅"	"inn2"	"i ̃˥˨"		
"移"	"i5"	"i˥˥"		
"易"	"i6"	"i˧˥"		
"悲"	"pui1"	"pui˧˧"		
"鄙"	"phi2"	"pʰi˥˨"		
"比"	"pi2"	"pi˥˨"		
"庇"	"pi3"	"pi˨˩˨"		
"痹"	"pi3"	"pi˨˩˨"		
"泌"	"pi3"	"pi˨˩˨"		
"秘"	"pi3"	"pi˨˩˨"		
"轡"	"pi3"	"pi˨˩˨"		
"丕"	"phi1"	"pʰi˧˧"		
"丕"	"phi2"	"pʰi˥˨"	"俗"	
"屁"	"phui3"	"pʰui˨˩˨"		
"琵"	"pi5"	"pi˥˥"		
"牝"	"phing2"	"pʰiŋ˥˨"		
"備"	"pi6"	"pi˧˥"		
"鼻"	"phinn7"	"pʰi ̃˧˩"		
"篦"	"pi3"	"pi˨˩˨"		
"眉"	"bai5"	"bai˥˥"		
"楣"	"bai5"	"bai˥˥"		
"黴"	"bue5"	"bue˥˥"		
"美"	"mui2"	"mui˥˨"		
"媚"	"mi6"	"mi˧˥"		
"寐"	"mue6"	"mue˧˥"		
"地"	"ti7"	"ti˧˩"		
"尼"	"ni5"	"ni˥˥"		
"呢"	"ni5"	"ni˥˥"		
"呢"	"ni1"	"ni˧˧"	"又"	
"呢"	"ne1"	"ne˧˧"	"又"	
"呢"	"ni7"	"ni˧˩"	"又"	
"膩"	"dzur6"	"dzɯ˧˥"		
"梨"	"lai5"	"lai˥˥"		
"履"	"li2"	"li˥˨"		
"利"	"lai7"	"lai˧˩"		
"利"	"li6"	"li˧˥"	"文"	
"痢"	"li6"	"li˧˥"		
"咨"	"tsur1"	"tsɯ˧˧"		
"資"	"tsur1"	"tsɯ˧˧"		
"姿"	"tsur1"	"tsɯ˧˧"		
"姊"	"tsi2"	"tɕi˥˨"		
"次"	"tshur3"	"tsʰɯ˨˩˨"		
"瓷"	"tshur5"	"tsʰɯ˥˥"		
"糍"	"tsinn5"	"tɕi ̃˥˥"		
"糍"	"tshur5"	"tsʰɯ˥˥"	"文"	
"自"	"tsur7"	"tsɯ˧˩"		
"私"	"sur1"	"sɯ˧˧"		
"死"	"si2"	"ɕi˥˨"		
"四"	"si3"	"ɕi˨˩˨"		
"肆"	"sur3"	"sɯ˨˩˨"		
"致"	"ti3"	"ti˨˩˨"		
"遲"	"tshi5"	"tɕʰi˥˥"		
"雉"	"ti6"	"ti˧˥"		
"稚"	"tsinn2"	"tɕi ̃˥˨"		
"師"	"sai1"	"sai˧˧"		
"師"	"sur1"	"sɯ˧˧"	"文"	
"獅"	"sai1"	"sai˧˧"		
"脂"	"tsinn1"	"tɕi ̃˧˧"		
"指"	"ki2"	"ki˥˨"		
"指"	"tsoinn2"	"tsoi ̃˥˨"	"又"	
"指"	"tsng2"	"tsŋ˥˨"	"又"	
"指"	"tsi2"	"tɕi˥˨"	"文"	
"旨"	"tsi2"	"tɕi˥˨"		
"至"	"tsi3"	"tɕi˨˩˨"		
"鴟"	"tshi1"	"tɕʰi˧˧"		
"示"	"si7"	"ɕi˧˩"		
"屍"	"si1"	"ɕi˧˧"		
"鈰"	"tshi6"	"tɕʰi˧˥"		
"矢"	"si2"	"ɕi˥˨"		
"屎"	"sai2"	"sai˥˨"		
"嗜"	"tshi1"	"tɕʰi˧˧"	"俗"	
"嗜"	"si7"	"ɕi˧˩"		
"視"	"si6"	"ɕi˧˥"		
"二"	"no6"	"no˧˥"	"訓“兩”"	
"二"	"dzi6"	"dzi˧˥"		
"貳"	"no6"	"no˧˥"		
"貳"	"dzur6"	"dzɯ˧˥"		
"肌"	"ki1"	"ki˧˧"		
"飢"	"ki1"	"ki˧˧"		
"幾"	"ki1"	"ki˧˧"		
"幾"	"kui2"	"kui˥˨"		
"幾"	"kua2"	"kua˥˨"	"又"	
"幾"	"ki2"	"ki˥˨"	"文"	
"冀"	"ki6"	"ki˧˥"		
"器"	"khi3"	"kʰi˨˩˨"		
"棄"	"khi3"	"kʰi˨˩˨"		
"祈"	"khi5"	"kʰi˥˥"		
"鰭"	"tshi1"	"tɕʰi˧˧"	"白"	
"鰭"	"khi5"	"kʰi˥˥"		
"耆"	"khi5"	"kʰi˥˥"		
"伊"	"i1"	"i˧˧"		
"懿"	"i3"	"i˨˩˨"		
"夷"	"i5"	"i˥˥"		
"姨"	"ai5"	"ai˥˥"	"俗"	
"姨"	"i5"	"i˥˥"		
"肄"	"i3"	"i˨˩˨"		
"你"	"lur2"	"lɯ˥˨"	"訓“汝”"	
"你"	"ni2"	"ni˥˨"		
"厘"	"li5"	"li˥˥"		
"李"	"li2"	"li˥˨"		
"理"	"li2"	"li˥˨"		
"裏"	"lai6"	"lai˧˥"		
"裏"	"li2"	"li˥˨"		
"鯉"	"li2"	"li˥˨"		
"吏"	"li7"	"li˧˩"		
"茲"	"tsur1"	"tsɯ˧˧"		
"茲"	"tshur5"	"tsʰɯ˥˥"	"龜兹"	
"滋"	"tsur1"	"tsɯ˧˧"		
"子"	"tsi2"	"tɕi˥˨"		
"子"	"tsur2"	"tsɯ˥˨"	"文"	
"梓"	"tsur2"	"tsɯ˥˨"		
"磁"	"tshur5"	"tsʰɯ˥˥"		
"慈"	"tshur5"	"tsʰɯ˥˥"		
"字"	"dzi7"	"dzi˧˩"		
"字"	"dzur6"	"dzɯ˧˥"	"文"	
"司"	"si1"	"ɕi˧˧"		
"絲"	"si1"	"ɕi˧˧"		
"思"	"sur1"	"sɯ˧˧"		
"伺"	"sur6"	"sɯ˧˥"		
"辭"	"sur5"	"sɯ˥˥"		
"詞"	"sur5"	"sɯ˥˥"		
"祠"	"sur5"	"sɯ˥˥"		
"巳"	"tsi6"	"tɕi˧˥"		
"祀"	"sur6"	"sɯ˧˥"		
"似"	"sur6"	"sɯ˧˥"		
"寺"	"dzi7"	"dzi˧˩"		
"嗣"	"sur6"	"sɯ˧˥"		
"嗣"	"sur5"	"sɯ˥˥"	"又"	
"飼"	"tshi7"	"tɕʰi˧˩"		
"置"	"ti3"	"ti˨˩˨"		
"癡"	"tshi1"	"tɕʰi˧˧"		
"恥"	"tshi3"	"tɕʰi˨˩˨"		
"持"	"thi5"	"tʰi˥˥"		
"峙"	"si6"	"ɕi˧˥"		
"峙"	"sur6"	"sɯ˧˥"	"文"	
"痔"	"thi6"	"tʰi˧˥"		
"治"	"ti7"	"ti˧˩"		
"輜"	"tsur1"	"tsɯ˧˧"		
"廁"	"tshe3"	"tsʰe˨˩˨"		
"俟"	"sur6"	"sɯ˧˥"		
"士"	"sur6"	"sɯ˧˥"		
"事"	"sur7"	"sɯ˧˩"		
"史"	"sai2"	"sai˥˨"		
"史"	"sur2"	"sɯ˥˨"		
"使"	"sai2"	"sai˥˨"		
"使"	"sai3"	"sai˨˩˨"		
"駛"	"sai2"	"sai˥˨"		
"芝"	"tsur1"	"tsɯ˧˧"		
"之"	"tsur1"	"tsɯ˧˧"		
"址"	"tsi2"	"tɕi˥˨"		
"止"	"tsi2"	"tɕi˥˨"		
"趾"	"tsoinn2"	"tsoi ̃˥˨"	"白"	
"趾"	"tsi2"	"tɕi˥˨"		
"志"	"tsi3"	"tɕi˨˩˨"		
"痣"	"ki3"	"ki˨˩˨"		
"嗤"	"tshi1"	"tɕʰi˧˧"		
"齒"	"khi2"	"kʰi˥˨"		
"齒"	"tshi2"	"tɕʰi˥˨"	"文"	
"詩"	"si1"	"ɕi˧˧"		
"始"	"si2"	"ɕi˥˨"		
"試"	"tshi3"	"tɕʰi˨˩˨"		
"時"	"si5"	"ɕi˥˥"		
"鰣"	"si5"	"ɕi˥˥"		
"市"	"tshi6"	"tɕʰi˧˥"		
"恃"	"si6"	"ɕi˧˥"		
"侍"	"si6"	"ɕi˧˥"		
"而"	"dzur5"	"dzɯ˥˥"		
