#符号说明：-白=文/书*俗?待考	
#调值	［1］⁵²［2］²⁵［3］²¹¹［5］³³⁴［7］⁴
#z̩	
m	[1]□{~呆：反应迟钝}[2]埋霾[3]买[5]卖迈
t	[1]呆1[2]□{肉~~的：形容人或动物的脂肪或肉质丰腴}[3]□{~应}歹逮[5]代带戴袋贷待黛呔殆怠大2
tʰ	[1]苔1胎台1[2]台2抬苔2[5]太泰汰态
n	[1]奶1{乳汁；~子：乳房}[3]奶2乃[5]奈耐鼐
l	[1]褦{~襶衬：反应迟钝，不聪明}[2]来莱徕[3]两1{数词}□{抓住成把的条状物体使劲摘取：~麦穗子}[5]睐赖癞籁
ts	[1]灾栽哉斋阶皆[3]宰载崽者赭解=[5]在再债戒=界=届诫械芥=介寨
tsʰ	[1]差3{出~}钗[2]才材财裁柴豺侪[3]采彩踩睬䜺[5]菜蔡□{~掉了：因过分缠蛮而失去威信者常被人斥之}
s	[1]塞1腮鳃筛[2]谐偕[5]赛晒寨?懈=塞2
k	[1]该赅秸街□{拨：~掉一些饭}[3]改解=□{~气}[5]盖丐概溉芥-戒-界-{~址}疥钙
kʰ	[1]开揩[3]慨楷恺凯[5]忾愒{啬~：小气；俭省}
ŋ	[1]挨1哀[2]岸挨2呆2埃皑□{将物休研碎叫}□{~头~：物体数量成体积等刚好符合某种特定的需要}癌捱[3]矮[5]爱媛隘碍艾
x	[1]嗨懈1{~怠：拖拉}□{~煞：许多，大量}□{撞击：头在墙上一~}□{偷}[2]孩鞋还1[3]海蟹1□{了结，完结}[5]害亥骇解2{姓}蟹2{一种小螃蟹}
Ø	[1]唉1[2]唉2[3]霭蔼也[5]哎
	
#ue	
ts	[2]跩[5]拽
tsʰ	[1]揣猜[2]□{~责：责备}[5]踹膪
s	[1]衰[3]甩摔□{~子、~大料：没出息、没骨气的人}[5]帅
k	[1]乖□{碰撞}[3]拐[5]怪
kʰ	[3]蒯擓[5]会1侩脍块快筷
ŋ	[2]淮怀槐踝徊1[3]□{摔}[5]坏
Ø	[1]歪[2]蛙-{~子：青蛙}□{语气词，含轻蔑的反责意}[3]崴□{摇摆、摇晃}[5]外
	
#əi	
p	[1]杯悲背1卑碑婢[5]倍备被贝狈惫悖避陛臂焙敝背2币-蓓钡
pʰ	[1]呸[2]培赔陪裴[5]沛配佩辔譬旆
m	[2]糜煤媒玫枚霉梅眉鹛迷谜麋[3]靡美每[5]妹媚昧2寐魅袂未?
f	[1]飞妃非蜚绯霏啡扉[2]肥淝腓[3]匪悱菲斐翡诽[5]吠肺费痱废
t	[1]堆[5]对=队兑碓怼
tʰ	[1]推[3]腿[5]退蜕褪颓
n	[3]馁[5]内
l	[1]□{打~~：赶牛的号子}[2]雷羸累1离漓篱厘狸梨黎罹璃蕾藜[3]耒诔磊垒礼娌儡[5]泪类累2莅丽吏厉励利例痢隶荔锐睿芮砺唳擂
ts	[1]遮[2]贼*[3]嘴[5]最罪醉
tsʰ	[1]车1崔摧催[2]随-{~便}[3]扯璀[5]淬瘁悴啐翠脆□{碎}
s	[1]虽睢尿-奢[2]随-髓蛇佘□{~头：自鸣得意或充能}[3]舍1□{~子：装在彩旗或帐幕等边沿上的穗状饰物}□{小孩撒娇并且不听劝哄}[5]谇碎遂邃岁燧隧穗社赦舍2射麝
x	[1]嘿[2]□{干活用力时发出的拉的声音}
Ø	[1]欸1
	
#uəi	
ts	[1]炊吹[2]垂=槌捶锤陲
tsʰ	[2]谁垂-[3]水[5]税睡瑞
s	[1]规归皈龟闺[3]鬼宄轨诡姽癸[5]瑰桂柜跪刽桧鳜贵闺
k	[1]窥亏盔岿[2]逵奎喹魁葵睽揆馗傀[5]愧溃馈愦聩喟匮
kʰ	[1]挥辉晖灰恢诙麾隳[2]回洄茴蛔[3]悔毁[5]汇会2讳慧卉恚惠秽喙贿荟烩绘诲晦
Ø	[1]威煨萎1偎畏[2]微危为1伟纬违闱围玮圩惟唯嵬巍维帷桅喂1{打招呼}[3]委尾2痿萎2□{寻找}[5]为2未胃魏位卫尉蔚慰谓猬伪喂2
	
#u	
p	[1]般-波玻菠搬[3]跛播簸1[5]簸2半拌伴畔
pʰ	[1]坡陂潘[2]婆皤蹒蟠盘磐[3]颇叵笸[5]破剖泮判叛
m	[1]劘□{移动沉重的物体，使之改变方向或位置}□{次数}[2]磨1蘑摩魔谟模馍馒瞒谋[3]抹1满么1{什~}亩=某母=拇=姆[5]磨2陌=茂贸懋墓暮慕募牟眸牡漫-
t	[1]多哆跺端□{油~子：用以舀油的形状近似饭勺儿的用具}[2]□{~~：唤鸡声}[3]朵躲短[5]掇舵惰堕剁断簖段煅锻缎
tʰ	[1]拖湍[2]沱坨跎鸵驼陀驮团砣[3]椭妥□{睡，~尸：睡懒觉，骂人的话}[5]□{将物体或人体从绳结中慢慢解脱}□拖{踏~子：一种用来堆放割下来的稻秸的农具}
n	[2]奴努弩挪娜1[3]暖橹[5]怒懦糯
l	[1]啰{~唆}螺1[2]螺2骡罗箩萝锣猡栾峦挛孪銮拦-{拦截}[3]虏掳裸卵软阮[5]摞乱
ts	[1]钻1专腾颛砖[3]左纂攥转1[5]坐座做钻2转2传1篆
tsʰ	[1]初磋搓蹉撺蹿汆穿川[2]矬传2船椽遄[3]喘舛[5]辍啜错锉挫攒窜串篡钏
