"ID"	"繁体"	"简体"	"拼音"	"注释"	""	"调值"	""
"194"	"家"	"家"	"kia阴平"	"文"	""	""	""
"195"	"傢"	"家"	"ke阴平"	"白"	""	""	""
"196"	"傢"	"家"	"kia阴平"	"文"	""	""	""
"197"	"加"	"加"	"ke阴平"	"白"	""	""	""
"198"	"加"	"加"	"kia阴平"	"文"	""	""	""
"199"	"假"	"假"	"ke阴上"	"白"	""	""	""
"200"	"假"	"假"	"ke去声"	"白"	""	""	""
"201"	"假"	"假"	"kia阴上"	"文"	""	""	""
"202"	"賈"	"贾"	"ku阴上"	"文"	""	""	""
"203"	"賈"	"贾"	"kia阴上"	"文"	""	""	""
"204"	"稼"	"稼"	"ke去声"	"白"	""	""	""
"205"	"稼"	"稼"	"kia去声"	"文"	""	""	""
"206"	"價"	"价"	"ke去声"	"白"	""	""	""
"207"	"價"	"价"	"kia去声"	"文"	""	""	""
"208"	"架"	"架"	"ke去声"	"白"	""	""	""
"209"	"架"	"架"	"kia去声"	"文"	""	""	""
"210"	"駕"	"驾"	"ke去声"	"白"	""	""	""
"211"	"駕"	"驾"	"kia去声"	"文"	""	""	""
"212"	"嫁"	"嫁"	"ke去声"	"白"	""	""	""
"213"	"嫁"	"嫁"	"kia去声"	"文"	""	""	""
"214"	"牙"	"牙"	"ge阳平"	"白"	""	""	""
"215"	"牙"	"牙"	"gia阳平"	"文"	""	""	""
"216"	"芽"	"芽"	"ge阳平"	""	""	""	""
"217"	"衙"	"衙"	"ge阳平"	"白"	""	""	""
"218"	"衙"	"衙"	"ŋia阳平"	"文"	""	""	""
"219"	"雅"	"雅"	"ŋia阴上"	""	""	""	""
"220"	"訝"	"讶"	"ŋa去声"	"文"	""	""	""
"221"	"訝"	"讶"	"ŋia去声"	"文"	""	""	""
"222"	"迓"	"迓"	"ŋia去声"	""	""	""	""
"223"	"蝦"	"虾"	"he阳平"	""	""	""	""
"224"	"嚇"	"吓"	"heʔ阴入"	"白"	""	""	""
"225"	"嚇"	"吓"	"hek阴入"	"文"	""	""	""
"226"	"霞"	"霞"	"hia阳平"	""	""	""	""
"227"	"遐"	"遐"	"hia阳平"	""	""	""	""
"228"	"瑕"	"瑕"	"hia阳平"	""	""	""	""
"229"	"下"	"下"	"hia阳上"	"文"	""	""	""
"230"	"下"	"下"	"e阳上"	"方位"	""	""	""
"231"	"下"	"下"	"e去声"	"一下"	""	""	""
"232"	"下"	"下"	"ke阳上"	"高低"	""	""	""
"233"	"下"	"下"	"he阳上"	""	""	""	""
"234"	"夏"	"夏"	"he去声"	""	""	""	""
"235"	"廈"	"厦"	"e阳上"	"厦门"	""	""	""
"236"	"廈"	"厦"	"he去声"	"大厦"	""	""	""
"237"	"暇"	"暇"	"hia去声"	""	""	""	""
"238"	"丫"	"丫"	"a阴平"	""	""	""	""
"239"	"鴉"	"鸦"	"a阴平"	"乌鸦"	""	""	""
"240"	"鴉"	"鸦"	"aʔ阴入"	"鸦片"	""	""	""
"241"	"啞"	"哑"	"e阴上"	"白"	""	""	""
"242"	"啞"	"哑"	"ia阴上"	"文"	""	""	""
"243"	"亞"	"亚"	"a去声"	""	""	""	""
"244"	"亞"	"亚"	"a阴平"	"又"	""	""	""
"245"	"嗟"	"嗟"	"tsia阴平"	""	""	""	""
"246"	"姐"	"姐"	"tsia阴上"	""	""	""	""
"247"	"姐"	"姐"	"tse阴上"	""	""	""	""
"248"	"借"	"借"	"tsioʔ阴入"	""	""	""	""
"249"	"借"	"借"	"tsia阳上"	"文"	""	""	""
"250"	"借"	"借"	"tsek阴入"	"文"	""	""	""
"251"	"且"	"且"	"tsʰiã阴上"	""	""	""	""
"252"	"藉"	"藉"	"tsia阳上"	""	""	""	""
"253"	"藉"	"藉"	"tsiak阳入"	""	""	""	""
"254"	"藉"	"藉"	"tsek阳入"	"文"	""	""	""
"255"	"褯"	"褯"	"tsia阳上"	""	""	""	""
"256"	"些"	"些"	"se阴平"	""	""	""	""
"257"	"些"	"些"	"sẽ阴平"	""	""	""	""
"258"	"寫"	"写"	"sia阴上"	""	""	""	""
"259"	"瀉"	"泻"	"sia去声"	""	""	""	""
"260"	"卸"	"卸"	"sia去声"	""	""	""	""
"261"	"邪"	"邪"	"sia阳平"	""	""	""	""
"262"	"邪"	"邪"	"ia阳平"	""	""	""	""
"263"	"斜"	"斜"	"sia阴平"	""	""	""	""
"264"	"斜"	"斜"	"sia阳平"	""	""	""	""
"265"	"謝"	"谢"	"sia去声"	"文"	""	""	""
"266"	"謝"	"谢"	"tsia去声"	"姓氏音"	""	""	""
"267"	"爹"	"爹"	"tia阴平"	""	""	""	""
"268"	"遮"	"遮"	"tsia阴平"	""	""	""	""
"269"	"者"	"者"	"tsia阴上"	"白"	""	""	""
"270"	"者"	"者"	"tse阴上"	"文"	""	""	""
"271"	"蔗"	"蔗"	"tsia去声"	""	""	""	""
"272"	"車"	"车"	"tsʰia阴平"	"文"	""	""	""
"273"	"車"	"车"	"ku阴平"	"文"	""	""	""
"274"	"扯"	"扯"	"tsʰe阴上"	""	""	""	""
"275"	"蛇"	"蛇"	"tsua阳平"	""	""	""	""
"276"	"射"	"射"	"sia去声"	""	""	""	""
"277"	"射"	"射"	"iaʔ阴入"	""	""	""	""
"278"	"射"	"射"	"ia去声"	""	""	""	""
"279"	"奢"	"奢"	"sia阴平"	""	""	""	""
"280"	"賒"	"赊"	"tsʰia阴平"	""	""	""	""
"281"	"捨"	"舍"	"sia阴上"	""	""	""	""
"282"	"赦"	"赦"	"sia去声"	""	""	""	""
"283"	"舍"	"舍"	"sia去声"	""	""	""	""
"284"	"社"	"社"	"sia阳上"	""	""	""	""
"285"	"惹"	"惹"	"dzia阴上"	""	""	""	""
"286"	"耶"	"耶"	"ia阳平"	""	""	""	""
"287"	"椰"	"椰"	"ia阳平"	""	""	""	""
"288"	"爺"	"爷"	"ia阳平"	""	""	""	""
"289"	"冶"	"冶"	"ia阴上"	""	""	""	""
"290"	"也"	"也"	"ia去声"	"文"	""	""	""
"291"	"也"	"也"	"lia去声"	""	""	""	""
"292"	"野"	"野"	"ia阴上"	""	""	""	""
"293"	"夜"	"夜"	"ia去声"	""	""	""	""
"294"	"夜"	"夜"	"me阳平"	"训"	""	""	""
"295"	"傻"	"傻"	"sa阳上"	""	""	""	""
"296"	"傻"	"傻"	"so阳平"	""	""	""	""
"297"	"耍"	"耍"	"sua阴上"	""	""	""	""
"298"	"瓜"	"瓜"	"kue阴平"	"白"	""	""	""
"299"	"瓜"	"瓜"	"kua阴平"	"文"	""	""	""
"300"	"蝸"	"蜗"	"ua阴平"	"白"	""	""	""
"301"	"蝸"	"蜗"	"ko阴平"	"文"	""	""	""
"302"	"寡"	"寡"	"kua阴上"	""	""	""	""
"303"	"剮"	"剐"	"kua阴上"	""	""	""	""
"304"	"咵"	"咵"	"kʰua阴平"	""	""	""	""
"305"	"垮"	"垮"	"kʰua阴平"	""	""	""	""
"306"	"跨"	"跨"	"kʰua阴平"	""	""	""	""
"307"	"娃"	"娃"	"ua阴平"	""	""	""	""
"308"	"瓦"	"瓦"	"hia阳上"	"白"	""	""	""
"309"	"瓦"	"瓦"	"ua阴上"	"文"	""	""	""
"310"	"花"	"花"	"hue阴平"	"白"	""	""	""
"311"	"花"	"花"	"hua阴平"	"文"	""	""	""
"312"	"化"	"化"	"hue去声"	"白"	""	""	""
"313"	"化"	"化"	"hua去声"	"文"	""	""	""
"314"	"華"	"华"	"hua阴平"	"文"	""	""	""
"315"	"華"	"华"	"hua阳平"	"文"	""	""	""
"316"	"華"	"华"	"hue阴平"	"白"	""	""	""
"317"	"華"	"华"	"e阳上"	"白"	""	""	""
"318"	"蛙"	"蛙"	"ua阴平"	""	""	""	""
"319"	"洼"	"洼"	"ua阴平"	""	""	""	""
"320"	"補"	"补"	"pou阴上"	""	""	""	""
"321"	"譜"	"谱"	"pʰou阴上"	""	""	""	""
"322"	"布"	"布"	"pou去声"	"白"	""	""	""
