"繁體"	"简体"	"拼音"	"音標"	"註釋"	"聲"	"韻"	"調"
"悲"	"悲"	"pei1"	"pei˦˦"		"p"	"ei"	"˦˦"
"鄙"	"鄙"	"pei3"	"pei˧˥"		"p"	"ei"	"˧˥"
"比"	"比"	"pei3"	"pei˧˥"		"p"	"ei"	"˧˥"
"庇"	"庇"	"pei5"	"pei˥˨"		"p"	"ei"	"˥˨"
"痹"	"痹"	"pei5"	"pei˥˨"		"p"	"ei"	"˥˨"
"泌"	"泌"	"mei6"	"mei˨˨"		"m"	"ei"	"˨˨"
"秘"	"秘"	"mei6"	"mei˨˨"		"m"	"ei"	"˨˨"
"轡"	"辔"	"pei5"	"pei˥˨"		"p"	"ei"	"˥˨"
"丕"	"丕"	"phei1"	"pʰei˦˦"		"pʰ"	"ei"	"˦˦"
"屁"	"屁"	"phei5"	"pʰei˥˨"		"pʰ"	"ei"	"˥˨"
"琵"	"琵"	"bei2"	"bei˧˩"		"b"	"ei"	"˧˩"
"牝"	"牝"	"bei4"	"bei˩˧"		"b"	"ei"	"˩˧"
"備"	"备"	"bei6"	"bei˨˨"		"b"	"ei"	"˨˨"
"鼻"	"鼻"	"bei8"	"bei˨˩˩"		"b"	"ei"	"˨˩˩"
"篦"	"篦"	"bei6"	"bei˨˨"		"b"	"ei"	"˨˨"
"眉"	"眉"	"mei2"	"mei˧˩"		"m"	"ei"	"˧˩"
"楣"	"楣"	"mei2"	"mei˧˩"		"m"	"ei"	"˧˩"
"黴"	"霉"	"mei2"	"mei˧˩"		"m"	"ei"	"˧˩"
"美"	"美"	"mei4"	"mei˩˧"		"m"	"ei"	"˩˧"
"媚"	"媚"	"mei6"	"mei˨˨"		"m"	"ei"	"˨˨"
"寐"	"寐"	"mei6"	"mei˨˨"		"m"	"ei"	"˨˨"
"地"	"地"	"dei6"	"dei˨˨"		"d"	"ei"	"˨˨"
"尼"	"尼"	"gni2"	"ȵi˧˩"		"ȵ"	"i"	"˧˩"
"呢"	"呢"	"nei1"	"nei˦˦"		"ʔn"	"ei"	"˦˦"
"呢"	"呢"	"gni2"	"ȵi˧˩"		"ȵ"	"i"	"˧˩"
"膩"	"腻"	"gni4"	"ȵi˩˧"		"ȵ"	"i"	"˩˧"
"梨"	"梨"	"lei2"	"lei˧˩"		"l"	"ei"	"˧˩"
"履"	"履"	"leu4"	"lɵʉ˩˧"		"l"	"ɵʉ"	"˩˧"
"利"	"利"	"lei6"	"lei˨˨"		"l"	"ei"	"˨˨"
"痢"	"痢"	"lei6"	"lei˨˨"		"l"	"ei"	"˨˨"
"咨"	"咨"	"sy1"	"sɿ˦˦"		"s"	"ɿ"	"˦˦"
"資"	"资"	"tsy1"	"tsɿ˦˦"		"ts"	"ɿ"	"˦˦"
"姿"	"姿"	"tsy1"	"tsɿ˦˦"		"ts"	"ɿ"	"˦˦"
"姊"	"姊"	"tsy3"	"tsɿ˧˥"		"ts"	"ɿ"	"˧˥"
"次"	"次"	"tshy5"	"tsʰɿ˥˨"		"tsʰ"	"ɿ"	"˥˨"
"瓷"	"瓷"	"zy2"	"zɿ˧˩"		"z"	"ɿ"	"˧˩"
"糍"	"糍"	"zy2"	"zɿ˧˩"		"z"	"ɿ"	"˧˩"
"自"	"自"	"zy6"	"zɿ˨˨"		"z"	"ɿ"	"˨˨"
"私"	"私"	"sy1"	"sɿ˦˦"		"s"	"ɿ"	"˦˦"
"死"	"死"	"sy3"	"sɿ˧˥"		"s"	"ɿ"	"˧˥"
"四"	"四"	"sy5"	"sɿ˥˨"		"s"	"ɿ"	"˥˨"
"肆"	"肆"	"sy5"	"sɿ˥˨"		"s"	"ɿ"	"˥˨"
"致"	"致"	"tsy5"	"tsɿ˥˨"		"ts"	"ɿ"	"˥˨"
"遲"	"迟"	"dzy2"	"dzɿ˧˩"		"z"	"ɿ"	"˧˩"
"雉"	"雉"	"dzy4"	"dzɿ˩˧"		"dz"	"ɿ"	"˩˧"
"稚"	"稚"	"dzy4"	"dzɿ˩˧"		"dz"	"ɿ"	"˩˧"
"師"	"师"	"sy1"	"sɿ˦˦"		"s"	"ɿ"	"˦˦"
"獅"	"狮"	"sy1"	"sɿ˦˦"		"s"	"ɿ"	"˦˦"
"脂"	"脂"	"tsei1"	"tsei˦˦"	"胭脂"	"ts"	"ei"	"˦˦"
"脂"	"脂"	"tsy3"	"tsɿ˧˥"		"ts"	"ɿ"	"˧˥"
"指"	"指"	"tsy3"	"tsɿ˧˥"		"ts"	"ɿ"	"˧˥"
"旨"	"旨"	"tsy3"	"tsɿ˧˥"		"ts"	"ɿ"	"˧˥"
"至"	"至"	"tsy5"	"tsɿ˥˨"		"ts"	"ɿ"	"˥˨"
"鴟"	"鸱"	"tsy1"	"tsɿ˦˦"		"ts"	"ɿ"	"˦˦"
"示"	"示"	"zy6"	"zɿ˨˨"		"z"	"ɿ"	"˨˨"
"屍"	"尸"	"sy1"	"sɿ˦˦"		"s"	"ɿ"	"˦˦"
"鈰"	"铈"	"zy4"	"zɿ˩˧"		"z"	"ɿ"	"˩˧"
"矢"	"矢"	"sy3"	"sɿ˧˥"		"s"	"ɿ"	"˧˥"
"屎"	"屎"	"sy3"	"sɿ˧˥"		"s"	"ɿ"	"˧˥"
"嗜"	"嗜"	"zy6"	"zɿ˨˨"		"z"	"ɿ"	"˨˨"
"視"	"视"	"zy6"	"zɿ˨˨"		"z"	"ɿ"	"˨˨"
"二"	"二"	"ng6"	"ŋ˨˨"		"Ø"	"ŋ"	"˨˨"
"貳"	"贰"	"ng6"	"ŋ˨˨"		"Ø"	"ŋ"	"˨˨"
"肌"	"肌"	"ci1"	"tɕi˦˦"		"tɕ"	"i"	"˦˦"
"飢"	"飢"	"ci1"	"tɕi˦˦"		"tɕ"	"i"	"˦˦"
"幾"	"几"	"ke3"	"ke˧˥"		"k"	"e"	"˧˥"
"幾"	"几"	"ci3"	"tɕi˧˥"		"tɕ"	"i"	"˧˥"
"冀"	"冀"	"ci5"	"tɕi˥˨"		"tɕ"	"i"	"˥˨"
"器"	"器"	"chi5"	"tɕʰi˥˨"		"tɕʰ"	"i"	"˥˨"
"棄"	"弃"	"chi5"	"tɕʰi˥˨"		"tɕʰ"	"i"	"˥˨"
"祈"	"祈"	"ji2"	"dʑi˧˩"		"dʑ"	"i"	"˧˩"
"鰭"	"鳍"	"ji2"	"dʑi˧˩"		"dʑ"	"i"	"˧˩"
"耆"	"耆"	"ji2"	"dʑi˧˩"		"dʑ"	"i"	"˧˩"
"伊"	"伊"	"i1"	"ʔi˦˦"		"ʔ"	"i"	"˦˦"
"懿"	"懿"	"yi2"	"ji˧˩"		"j"	"i"	"˧˩"
"懿"	"懿"	"yi6"	"ji˨˨"		"j"	"i"	"˨˨"
"夷"	"夷"	"yi2"	"ji˧˩"		"j"	"i"	"˧˩"
"姨"	"姨"	"yi2"	"ji˧˩"		"j"	"i"	"˧˩"
"肄"	"肄"	"yi6"	"ji˨˨"		"j"	"i"	"˨˨"
"你"	"你"	"gni4"	"ȵi˩˧"		"ȵ"	"i"	"˩˧"
"厘"	"厘"	"lei2"	"lei˧˩"		"l"	"ei"	"˧˩"
"李"	"李"	"lei4"	"lei˩˧"		"l"	"ei"	"˩˧"
"理"	"理"	"lei4"	"lei˩˧"		"l"	"ei"	"˩˧"
"裏"	"里"	"lei4"	"lei˩˧"		"l"	"ei"	"˩˧"
"裏"	"里"	"lei4"	"lei˩˧"		"l"	"ei"	"˩˧"
"鯉"	"鲤"	"lei4"	"lei˩˧"		"l"	"ei"	"˩˧"
"吏"	"吏"	"lei6"	"lei˨˨"		"l"	"ei"	"˨˨"
"茲"	"兹"	"tsy1"	"tsɿ˦˦"		"ts"	"ɿ"	"˦˦"
"滋"	"滋"	"tsy1"	"tsɿ˦˦"		"ts"	"ɿ"	"˦˦"
"子"	"子"	"tsy3"	"tsɿ˧˥"		"ts"	"ɿ"	"˧˥"
"梓"	"梓"	"tsy3"	"tsɿ˧˥"		"ts"	"ɿ"	"˧˥"
"磁"	"磁"	"zy2"	"zɿ˧˩"		"z"	"ɿ"	"˧˩"
"慈"	"慈"	"zy2"	"zɿ˧˩"		"z"	"ɿ"	"˧˩"
"字"	"字"	"zy6"	"zɿ˨˨"		"z"	"ɿ"	"˨˨"
"司"	"司"	"sy1"	"sɿ˦˦"		"s"	"ɿ"	"˦˦"
"絲"	"丝"	"sy1"	"sɿ˦˦"		"s"	"ɿ"	"˦˦"
"思"	"思"	"sy1"	"sɿ˦˦"		"s"	"ɿ"	"˦˦"
"伺"	"伺"	"zy6"	"zɿ˨˨"		"z"	"ɿ"	"˨˨"
"辭"	"辞"	"zy2"	"zɿ˧˩"		"z"	"ɿ"	"˧˩"
"詞"	"词"	"zy2"	"zɿ˧˩"		"z"	"ɿ"	"˧˩"
"祠"	"祠"	"zy2"	"zɿ˧˩"		"z"	"ɿ"	"˧˩"
"巳"	"巳"	"zy4"	"zɿ˩˧"		"z"	"ɿ"	"˩˧"
"祀"	"祀"	"zy4"	"zɿ˩˧"		"z"	"ɿ"	"˩˧"
"似"	"似"	"zy4"	"zɿ˩˧"		"z"	"ɿ"	"˩˧"
"寺"	"寺"	"zy6"	"zɿ˨˨"		"z"	"ɿ"	"˨˨"
"嗣"	"嗣"	"zy6"	"zɿ˨˨"		"z"	"ɿ"	"˨˨"
"飼"	"饲"	"zy6"	"zɿ˨˨"		"z"	"ɿ"	"˨˨"
"置"	"置"	"tsy5"	"tsɿ˥˨"		"ts"	"ɿ"	"˥˨"
"癡"	"痴"	"tshy1"	"tsʰɿ˦˦"		"tsʰ"	"ɿ"	"˦˦"
"恥"	"耻"	"tshy3"	"tsʰɿ˧˥"		"tsʰ"	"ɿ"	"˧˥"
"持"	"持"	"dzy2"	"dzɿ˧˩"		"z"	"ɿ"	"˧˩"
"峙"	"峙"	"dzy4"	"dzɿ˩˧"		"dz"	"ɿ"	"˩˧"
"痔"	"痔"	"dzy4"	"dzɿ˩˧"		"dz"	"ɿ"	"˩˧"
"治"	"治"	"dzy6"	"dzɿ˨˨"		"dz"	"ɿ"	"˨˨"
"輜"	"辎"	"tsy1"	"tsɿ˦˦"		"ts"	"ɿ"	"˦˦"
"廁"	"厕"	"tshei7"	"tsʰei˧˨˨"		"tsʰ"	"ei"	"˧˨˨"
"俟"	"俟"	"zy4"	"zɿ˩˧"		"z"	"ɿ"	"˩˧"
"士"	"士"	"zy4"	"zɿ˩˧"		"z"	"ɿ"	"˩˧"
"事"	"事"	"zy6"	"zɿ˨˨"		"z"	"ɿ"	"˨˨"
"史"	"史"	"sy4"	"sɿ˩˧"		"s"	"ɿ"	"˩˧"
"使"	"使"	"sy4"	"sɿ˩˧"		"s"	"ɿ"	"˩˧"
"駛"	"驶"	"sa3"	"sa˧˥"		"s"	"a"	"˧˥"
"芝"	"芝"	"tsy1"	"tsɿ˦˦"		"ts"	"ɿ"	"˦˦"
"之"	"之"	"tsy1"	"tsɿ˦˦"		"ts"	"ɿ"	"˦˦"
"址"	"址"	"tsy3"	"tsɿ˧˥"		"ts"	"ɿ"	"˧˥"
"止"	"止"	"tsy3"	"tsɿ˧˥"		"ts"	"ɿ"	"˧˥"
"趾"	"趾"	"tsy3"	"tsɿ˧˥"		"ts"	"ɿ"	"˧˥"
"志"	"志"	"tsy5"	"tsɿ˥˨"		"ts"	"ɿ"	"˥˨"
"誌"	"志"	"tsy5"	"tsɿ˥˨"		"ts"	"ɿ"	"˥˨"
"痣"	"痣"	"tsy5"	"tsɿ˥˨"		"ts"	"ɿ"	"˥˨"
"嗤"	"嗤"	"tshy1"	"tsʰɿ˦˦"		"tsʰ"	"ɿ"	"˦˦"
"□"	"□"	"tshei0"	"tsʰeiØ"	"語氣詞，我常讀tsʰei輕聲"	"tsʰ"	"ei"	"Ø"
"齒"	"齿"	"tsy3"	"tsɿ˧˥"		"ts"	"ɿ"	"˧˥"
"詩"	"诗"	"sy1"	"sɿ˦˦"		"s"	"ɿ"	"˦˦"
"始"	"始"	"sy3"	"sɿ˧˥"		"s"	"ɿ"	"˧˥"
"試"	"试"	"sy5"	"sɿ˥˨"		"s"	"ɿ"	"˥˨"
"時"	"时"	"zy2"	"zɿ˧˩"		"z"	"ɿ"	"˧˩"
"鰣"	"鲥"	"zy2"	"zɿ˧˩"		"z"	"ɿ"	"˧˩"
"市"	"市"	"zy4"	"zɿ˩˧"		"z"	"ɿ"	"˩˧"
"恃"	"恃"	"zy4"	"zɿ˩˧"		"z"	"ɿ"	"˩˧"
"侍"	"侍"	"zy6"	"zɿ˨˨"		"z"	"ɿ"	"˨˨"
"而"	"而"	"zy2"	"zɿ˧˩"		"z"	"ɿ"	"˧˩"
"耳"	"耳"	"zy4"	"zɿ˩˧"	"又讀，我無用"	"z"	"ɿ"	"˩˧"
"耳"	"耳"	"ng4"	"ŋ˩˧"		"Ø"	"ŋ"	"˩˧"
"餌"	"饵"	"zy4"	"zɿ˩˧"		"z"	"ɿ"	"˩˧"
"基"	"基"	"ci1"	"tɕi˦˦"		"tɕ"	"i"	"˦˦"
"姬"	"姬"	"ci1"	"tɕi˦˦"		"tɕ"	"i"	"˦˦"
"己"	"己"	"ci3"	"tɕi˧˥"		"tɕ"	"i"	"˧˥"
"紀"	"纪"	"ci3"	"tɕi˧˥"		"tɕ"	"i"	"˧˥"
"記"	"记"	"ci5"	"tɕi˥˨"		"tɕ"	"i"	"˥˨"
"欺"	"欺"	"chi1"	"tɕʰi˦˦"		"tɕʰ"	"i"	"˦˦"
"起"	"起"	"chi3"	"tɕʰi˧˥"		"tɕʰ"	"i"	"˧˥"
"杞"	"杞"	"chi3"	"tɕʰi˧˥"		"tɕʰ"	"i"	"˧˥"
"棋"	"棋"	"ji2"	"dʑi˧˩"		"dʑ"	"i"	"˧˩"
"其"	"其"	"ji2"	"dʑi˧˩"		"dʑ"	"i"	"˧˩"
"旗"	"旗"	"ji2"	"dʑi˧˩"		"dʑ"	"i"	"˧˩"
"期"	"期"	"ji2"	"dʑi˧˩"		"dʑ"	"i"	"˧˩"
"忌"	"忌"	"ji6"	"dʑi˨˨"		"dʑ"		"˨˨"
"疑"	"疑"	"gni2"	"ȵi˧˩"		"ȵ"	"i"	"˧˩"
"擬"	"拟"	"gni4"	"ȵi˩˧"		"ȵ"	"i"	"˩˧"
"嘻"	"嘻"	"shi1"	"ɕi˦˦"		"ɕ"	"i"	"˦˦"
"嬉"	"嬉"	"shi1"	"ɕi˦˦"		"ɕ"	"i"	"˦˦"
"禧"	"禧"	"shi1"	"ɕi˦˦"		"ɕ"	"i"	"˦˦"
"熙"	"熙"	"shi1"	"ɕi˦˦"		"ɕ"	"i"	"˦˦"
"喜"	"喜"	"shi3"	"ɕi˧˥"		"ɕ"	"i"	"˧˥"
"戲"	"戏"	"shi5"	"ɕi˥˨"		"ɕ"	"i"	"˥˨"
"醫"	"医"	"i1"	"ʔi˦˦"		"ʔ"	"i"	"˦˦"
"意"	"意"	"i5"	"ʔi˥˨"		"ʔ"	"i"	"˥˨"
"矣"	"矣"	"yi4"	"ji˩˧"		"j"	"i"	"˩˧"
"怡"	"怡"	"yi2"	"ji˧˩"		"j"	"i"	"˧˩"
"貽"	"贻"	"yi2"	"ji˧˩"		"j"	"i"	"˧˩"
"已"	"已"	"yi4"	"ji˩˧"		"j"	"i"	"˩˧"
"以"	"以"	"yi4"	"ji˩˧"		"j"	"i"	"˩˧"
"異"	"异"	"yi6"	"ji˨˨"		"j"	"i"	"˨˨"
"機"	"机"	"ci1"	"tɕi˦˦"		"tɕ"	"i"	"˦˦"
"鉿"	"铪"	"ke7"	"ke˧˨˨"		"k"	"e"	"˧˨˨"
"譏"	"讥"	"ci1"	"tɕi˦˦"		"tɕ"	"i"	"˦˦"
"饑"	"饥"	"ci1"	"tɕi˦˦"		"tɕ"	"i"	"˦˦"
"幾"	"几"	"ci3"	"tɕi˧˥"		"tɕ"	"i"	"˧˥"
"幾"	"几"	"ke3"	"ke˧˥"		"k"	"e"	"˧˥"
"既"	"既"	"ci5"	"tɕi˥˨"		"tɕ"	"i"	"˥˨"
"豈"	"岂"	"chi3"	"tɕʰi˧˥"		"tɕʰ"	"i"	"˧˥"
"氣"	"气"	"chi5"	"tɕʰi˥˨"		"tɕʰ"	"i"	"˥˨"
"汽"	"汽"	"chi5"	"tɕʰi˥˨"		"tɕʰ"	"i"	"˥˨"
"祈"	"祈"	"yi2"	"ji˧˩"		"j"	"i"	"˧˩"
"沂"	"沂"	"gni2"	"ȵi˧˩"		"ȵ"	"i"	"˧˩"
"毅"	"毅"	"gni6"	"ȵi˨˨"		"ȵ"	"i"	"˨˨"
"希"	"希"	"shi1"	"ɕi˦˦"		"ɕ"	"i"	"˦˦"
"稀"	"稀"	"shi1"	"ɕi˦˦"		"ɕ"	"i"	"˦˦"
"依"	"依"	"i1"	"ʔi˦˦"		"ʔ"	"i"	"˦˦"
"衣"	"衣"	"i1"	"ʔi˦˦"		"ʔ"	"i"	"˦˦"
"累"	"累"	"lai4"	"lai˩˧"		"l"	"ai"	"˩˧"
"嘴"	"嘴"	"tseu3"	"tsɵʉ˧˥"		"ts"	"ɵʉ"	"˧˥"
"髓"	"髓"	"shi3"	"ɕi˧˥"		"ɕ"	"i"	"˧˥"
"髓"	"髓"	"sei3"	"sei˧˥"		"s"	"ei"	"˧˥"
"隨"	"随"	"zei2"	"zei˧˩"		"z"	"ei"	"˧˩"
"揣"	"揣"	"chiu3"	"tɕʰy˧˥"		"tɕʰ"	"y"	"˧˥"
"吹"	"吹"	"tsheu1"	"tsʰɵʉ˦˦"		"tsʰ"	"ɵʉ"	"˦˦"
"炊"	"炊"	"tsheu1"	"tsʰɵʉ˦˦"		"tsʰ"	"ɵʉ"	"˦˦"
"垂"	"垂"	"dzeu2"	"dzɵʉ˧˩"		"dz"	"ɵʉ"	"˧˩"
"睡"	"睡"	"zai6"	"zai˨˨"		"z"	"ai"	"˨˨"
"瑞"	"瑞"	"zeu6"	"zɵʉ˨˨"		"z"	"ɵʉ"	"˨˨"
"蕊"	"蕊"	"zeu4"	"zɵʉ˩˧"		"z"	"ɵʉ"	"˩˧"
"規"	"规"	"kai1"	"kai˦˦"		"k"	"ai"	"˦˦"
"規"	"规"	"ciu1"	"tɕy˦˦"		"tɕ"	"y"	"˦˦"
"詭"	"诡"	"ciu3"	"tɕy˧˥"		"tɕ"	"y"	"˧˥"
"虧"	"亏"	"khai1"	"kʰai˦˦"		"kʰ"	"ai"	"˦˦"
"窺"	"窥"	"khai1"	"kʰai˦˦"		"kʰ"	"ai"	"˦˦"
"跪"	"跪"	"jiu4"	"dʑy˩˧"		"dʑ"	"y"	"˩˧"
"危"	"危"	"gniu2"	"ȵy˧˩"		"ȵ"	"y"	"˧˩"
"偽"	"伪"	"gniu6"	"ȵy˨˨"		"ȵ"	"y"	"˨˨"
"麾"	"麾"	"shiu1"	"ɕy˦˦"		"ɕ"	"y"	"˦˦"
"麾"	"麾"	"fai1"	"fai˦˦"		"f"	"ai"	"˦˦"
"毀"	"毁"	"fai3"	"fai˧˥"		"f"	"ai"	"˧˥"
"毀"	"毁"	"shiu3"	"ɕy˧˥"		"ɕ"	"y"	"˧˥"
"委"	"委"	"ueu3"	"ʔʋʉ˧˥"		"ʔʋ"	"ʉ"	"˧˥"
"喂"	"喂"	"ueu5"	"ʔʋʉ˥˨"		"ʔʋ"	"ʉ"	"˥˨"
"為"	"为"	"veu6"	"vʉ˨˨"		"v"	"ʉ"	"˨˨"
"為"	"为"	"veu2"	"vʉ˧˩"		"v"	"ʉ"	"˧˩"
"壘"	"垒"	"lai3"	"lai˧˥"		"l"	"ai"	"˧˥"
"類"	"类"	"lai6"	"lai˨˨"		"l"	"ai"	"˨˨"
"淚"	"泪"	"lai6"	"lai˨˨"		"l"	"ai"	"˨˨"
"醉"	"醉"	"tsai5"	"tsai˥˨"		"ts"	"ai"	"˥˨"
"醉"	"醉"	"tseu5"	"tsɵʉ˥˨"		"ts"	"ɵʉ"	"˥˨"
"翠"	"翠"	"tshai5"	"tsʰai˥˨"		"tsʰ"	"ai"	"˥˨"
"悴"	"悴"	"zai6"	"zai˨˨"		"z"	"ai"	"˨˨"
"綏"	"绥"	"seu1"	"sɵʉ˦˦"		"s"	"ɵʉ"	"˦˦"
"雖"	"虽"	"seu1"	"sɵʉ˦˦"		"s"	"ɵʉ"	"˦˦"
"粹"	"粹"	"zai6"	"zai˨˨"		"z"	"ai"	"˨˨"
"遂"	"遂"	"zeu2"	"zɵʉ˧˩"		"z"	"ɵʉ"	"˧˩"
"隧"	"隧"	"zeu6"	"zɵʉ˨˨"		"z"	"ɵʉ"	"˨˨"
"穗"	"穗"	"zeu6"	"zɵʉ˨˨"		"z"	"ɵʉ"	"˨˨"
"追"	"追"	"tseu1"	"tsɵʉ˦˦"		"ts"	"ɵʉ"	"˦˦"
"槌"	"槌"	"tseu1"	"tsɵʉ˦˦"		"ts"	"ɵʉ"	"˦˦"
"錘"	"锤"	"dzeu2"	"dzɵʉ˧˩"		"dz"	"ɵʉ"	"˧˩"
"墜"	"坠"	"dzeu6"	"dzɵʉ˨˨"		"dz"	"ɵʉ"	"˨˨"
"衰"	"衰"	"sai1"	"sai˦˦"		"s"	"ai"	"˦˦"
"摔"	"摔"	"sa1"	"sa˦˦"		"s"	"a"	"˦˦"
"帥"	"帅"	"sa5"	"sa˥˨"		"s"	"a"	"˥˨"
"率"	"率"	"sa5"	"sa˥˨"		"s"	"a"	"˥˨"
"錐"	"锥"	"tseu1"	"tsɵʉ˦˦"		"ts"	"ɵʉ"	"˦˦"
"水"	"水"	"seu3"	"sɵʉ˧˥"		"s"	"ɵʉ"	"˧˥"
"誰"	"谁"	"zeu2"	"zɵʉ˧˩"		"z"	"ɵʉ"	"˧˩"
"龜"	"龟"	"kai1"	"kai˦˦"		"k"	"ai"	"˦˦"
"龜"	"龟"	"ciu1"	"tɕy˦˦"		"tɕ"	"y"	"˦˦"
"軌"	"轨"	"ciu3"	"tɕy˧˥"		"tɕ"	"y"	"˧˥"
"癸"	"癸"	"ciu3"	"tɕy˧˥"		"tɕ"	"y"	"˧˥"
"晷"	"晷"	"ciu3"	"tɕy˧˥"		"tɕ"	"y"	"˧˥"
"愧"	"愧"	"khai5"	"kʰai˥˨"		"kʰ"	"ai"	"˥˨"
"愧"	"愧"	"ciu3"	"tɕy˧˥"		"tɕ"	"y"	"˧˥"
"季"	"季"	"ciu5"	"tɕy˥˨"		"tɕ"	"y"	"˥˨"
"葵"	"葵"	"jiu2"	"dʑy˧˩"		"dʑ"	"y"	"˧˩"
"逵"	"逵"	"jiu2"	"dʑy˧˩"		"dʑ"	"y"	"˧˩"
"夔"	"夔"	"jiu2"	"dʑy˧˩"		"dʑ"	"y"	"˧˩"
"揆"	"揆"	"jiu4"	"dʑy˩˧"		"dʑ"	"y"	"˩˧"
"櫃"	"柜"	"jiu6"	"dʑy˨˨"		"dʑ"	"y"	"˨˨"
"帷"	"帷"	"veu2"	"vʉ˧˩"		"v"	"ʉ"	"˧˩"
"位"	"位"	"veu6"	"vʉ˨˨"		"v"	"ʉ"	"˨˨"
"維"	"维"	"veu2"	"vʉ˧˩"		"v"	"ʉ"	"˧˩"
"惟"	"惟"	"veu2"	"vʉ˧˩"		"v"	"ʉ"	"˧˩"
"遺"	"遗"	"veu2"	"vʉ˧˩"		"v"	"ʉ"	"˧˩"
"遺"	"遗"	"veu6"	"vʉ˨˨"		"v"	"ʉ"	"˨˨"
"唯"	"唯"	"veu2"	"vʉ˧˩"		"v"	"ʉ"	"˧˩"
"唯"	"唯"	"veu4"	"vʉ˩˧"		"v"	"ʉ"	"˩˧"
"飛"	"飞"	"fei1"	"fei˦˦"		"f"	"ei"	"˦˦"
"非"	"非"	"fei1"	"fei˦˦"		"f"	"ei"	"˦˦"
"匪"	"匪"	"fei3"	"fei˧˥"		"f"	"ei"	"˧˥"
"沸"	"沸"	"fai5"	"fai˥˨"		"f"	"ai"	"˥˨"
"痱"	"痱"	"fei3"	"fei˧˥"		"f"	"ei"	"˧˥"
"痱"	"痱"	"fei5"	"fei˥˨"		"f"	"ei"	"˥˨"
"妃"	"妃"	"fei1"	"fei˦˦"		"f"	"ei"	"˦˦"
"菲"	"菲"	"fei1"	"fei˦˦"		"f"	"ei"	"˦˦"
"費"	"费"	"vei5"	"vei˥˨"		"v"	"ei"	"˥˨"
"肥"	"肥"	"vei2"	"vei˧˩"		"v"	"ei"	"˧˩"
"肥"	"肥"	"bei2"	"bei˧˩"	"肥拉肉"	"b"	"ei"	"˧˩"
"薇"	"薇"	"vei2"	"vei˧˩"		"v"	"ei"	"˧˩"
"微"	"微"	"vei2"	"vei˧˩"		"v"	"ei"	"˧˩"
"微"	"微"	"mei2"	"mei˧˩"		"m"	"ei"	"˧˩"
"溦"	"溦"	"mei2"	"mei˧˩"	"溦毛滋"	"m"	"ei"	"˧˩"
"尾"	"尾"	"mei4"	"mei˩˧"		"m"	"ei"	"˩˧"
"未"	"未"	"mei2"	"mei˧˩"		"m"	"ei"	"˧˩"
"味"	"味"	"mei6"	"mei˨˨"		"m"	"ei"	"˨˨"
"歸"	"归"	"ciu1"	"tɕy˦˦"	"當歸"	"tɕ"	"y"	"˦˦"
"歸"	"归"	"kai1"	"kai˦˦"	"日常音"	"k"	"ai"	"˦˦"
"鬼"	"鬼"	"ciu3"	"tɕy˧˥"		"tɕ"	"y"	"˧˥"
"貴"	"贵"	"ciu5"	"tɕy˥˨"		"tɕ"	"y"	"˥˨"
"巍"	"巍"	"ngai2"	"ŋai˧˩"		"ŋ"	"ai"	"˧˩"
"魏"	"魏"	"ngai6"	"ŋai˨˨"		"ŋ"	"ai"	"˨˨"
"揮"	"挥"	"fai1"	"fai˦˦"	"日常音"	"f"	"ai"	"˦˦"
"揮"	"挥"	"shiu1"	"ɕy˦˦"		"ɕ"	"y"	"˦˦"
"輝"	"辉"	"fai1"	"fai˦˦"	"日常音"	"f"	"ai"	"˦˦"
"輝"	"辉"	"shiu1"	"ɕy˦˦"		"ɕ"	"y"	"˦˦"
"徽"	"徽"	"fai1"	"fai˦˦"		"f"	"ai"	"˦˦"
"諱"	"讳"	"fai5"	"fai˥˨"	"日常音"	"f"	"ai"	"˥˨"
"諱"	"讳"	"shiu5"	"ɕy˥˨"		"ɕ"	"y"	"˥˨"
"卉"	"卉"	"fai5"	"fai˥˨"	"日常音"	"f"	"ai"	"˥˨"
"卉"	"卉"	"shiu5"	"ɕy˥˨"		"ɕ"	"y"	"˥˨"
"威"	"威"	"ueu1"	"ʔʋʉ˦˦"		"ʔʋ"	"ʉ"	"˦˦"
"畏"	"畏"	"ueu5"	"ʔʋʉ˥˨"		"ʔʋ"	"ʉ"	"˥˨"
"慰"	"慰"	"ueu1"	"ʔʋʉ˦˦"		"ʔʋ"	"ʉ"	"˦˦"
"違"	"违"	"veu2"	"vʉ˧˩"		"v"	"ʉ"	"˧˩"
"圍"	"围"	"veu2"	"vʉ˧˩"		"v"	"ʉ"	"˧˩"
"葦"	"苇"	"veu4"	"vʉ˩˧"		"v"	"ʉ"	"˩˧"
"偉"	"伟"	"veu4"	"vʉ˩˧"		"v"	"ʉ"	"˩˧"
"緯"	"纬"	"veu4"	"vʉ˩˧"		"v"	"ʉ"	"˩˧"
"胃"	"胃"	"veu6"	"vʉ˨˨"		"v"	"ʉ"	"˨˨"
"謂"	"谓"	"veu6"	"vʉ˨˨"		"v"	"ʉ"	"˨˨"
"蝟"	"猬"	"veu6"	"vʉ˨˨"		"v"	"ʉ"	"˨˨"
"匯"	"汇"	"veu6"	"vʉ˨˨"		"v"	"ʉ"	"˨˨"
"褒"	"褒"	"pae1"	"pɛ˦˦"		"p"	"ɛ"	"˦˦"
