"繁體"	"简体"	"聲韻"	"聲調"	"注釋"		"1：˧˧"	"2：˧˩"
"喀"	"喀"	"kʰa"	213				
"嚳"	"喾"	"kʰu"	213				
"客"	"客"	"kʰa"	213				
"廓"	"廓"	"kʰo"	213				
"恪"	"恪"	"kʰo"	213				
"恰"	"恰"	"kʰa"	213				
"愨"	"悫"	"kʰo"	213				
"掐"	"掐"	"kʰa"	213				
"搉"	"搉"	"kʰo"	213				
"搕"	"搕"	"kʰai"	213				
"朏"	"朏"	"kʰy"	213	"脚～頭"			
"梏"	"梏"	"kʰu"	213				
"榷"	"榷"	"kʰo"	213				
"榼"	"榼"	"kʰai"	213				
"殼"	"壳"	"kʰo"	213				
"氪"	"氪"	"kʰe"	213	"元素名"			
"渴"	"渴"	"kʰø"	213				
"瞌"	"瞌"	"kʰai"	213				
"確"	"确"	"kʰo"	213				
"磕"	"磕"	"kʰai"	213				
"窟"	"窟"	"kʰy"	213				
"緙"	"缂"	"kʰa"	213				
"酷"	"酷"	"kʰu"	213				
"鈣"	"钙"	"kʰø"	213				
"闊"	"阔"	"kʰo"	213				
"鞟"	"鞟"	"kʰo"	213				
"峽"	"峡"	"ga"	213				
"挾"	"挟"	"ga"	213				
"擱"	"搁"	"go"	213	"船擱淺"			
"橛"	"橛"	"gy"	213				
"觳"	"觳"	"gu"	213	"伏縮"			
"軋"	"轧"	"ga"	213	"～米"			
"閡"	"阂"	"gai"	213	"阻礙"			
"□"	"□"	"ʔvai"	213	"<殳頁>没入水中"			
"一"	"一"	"ʔjiai"	213				
"一"	"一"	"ʔji"	213				
"乙"	"乙"	"ʔjiai"	213				
"咽"	"咽"	"ʔji"	213	"嗚～"			
"噎"	"噎"	"ʔji"	213				
"噦"	"哕"	"ʔjio"	213				
"囿"	"囿"	"ʔjiɤu"	213				
"壹"	"壹"	"ʔjiai"	213				
"屋"	"屋"	"ʔvu"	213				
"弌"	"弌"	"ʔjiai"	213				
"悒"	"悒"	"ʔjiai"	213				
"抑"	"抑"	"ʔjiai"	213				
"挖"	"挖"	"ʔva"	213				
"挹"	"挹"	"ʔjiai"	213				
"揖"	"揖"	"ʔjiai"	213				
"毓"	"毓"	"ʔjiɤu"	213				
"浥"	"浥"	"ʔjiai"	213				
"溢"	"溢"	"ʔjiai"	213				
"煜"	"煜"	"ʔjiɤu"	213				
"益"	"益"	"ʔjiai"	213				
"約"	"约"	"ʔjia"	213				
"育"	"育"	"ʔjiɤu"	213				
"謁"	"谒"	"ʔji"	213				
"邑"	"邑"	"ʔjiai"	213				
"釔"	"钇"	"ʔjiai"	213	"元素名"			
"鎰"	"镒"	"ʔjiai"	213				
"靨"	"靥"	"ʔji"	213				
"頁"	"页"	"ʔji"	213				
"鬰"	"鬰"	"ʔjy"	213				
"鬱"	"郁"	"ʔjiɤu"	213				
"鬻"	"鬻"	"ʔjiɤu"	213				
"伏"	"伏"	"vu"	213				
"佛"	"佛"	"vai"	213				
"劃"	"划"	"va"	213	"計～"			
"匐"	"匐"	"vu"	213				
"惑"	"惑"	"vai"	213				
"惑"	"惑"	"va"	213				
"或"	"或"	"va"	213				
"斛"	"斛"	"vu"	213				
"服"	"服"	"vu"	213				
"栿"	"栿"	"vu"	213				
"洑"	"洑"	"vu"	213				
"物"	"物"	"vai"	213				
"獲"	"获"	"va"	213				
"畫"	"画"	"va"	213	"筆～"			
"縠"	"縠"	"vu"	213				
"茯"	"茯"	"vu"	213				
"菔"	"菔"	"vu"	213				
"袱"	"袱"	"vu"	213				
"復"	"复"	"vu"	213	"往～"			
"復"	"复"	"vu"	213	"重新，再"			
"觳"	"觳"	"vu"	213				
"馥"	"馥"	"vu"	213				
"鰒"	"鳆"	"vu"	213				
"仄"	"仄"	"tse"	213				
"作"	"作"	"tso"	213				
"側"	"侧"	"tsei"	213	"～轉"			
"側"	"侧"	"tse"	213				
"則"	"则"	"tse"	213				
"剳"	"剳"	"tsa"	213				
"劄"	"札"	"tsa"	213				
"匝"	"匝"	"tsø"	213				
"卒"	"卒"	"tsai"	213				
"只"	"只"	"tsei"	213				
"只"	"只"	"tsɿ"	213				
"咂"	"咂"	"tsø"	213				
"咋"	"咋"	"tsa"	213				
"咱"	"咱"	"tsa"	213				
"嘖"	"啧"	"tsa"	213				
"噆"	"噆"	"tsø"	213	"酸、堿剌痛傷口"			
"執"	"执"	"tsai"	213				
"幘"	"帻"	"tsa"	213				
"拃"	"拃"	"tsa"	213	"兩～闊"			
"拶"	"拶"	"tsø"	213				
"摘"	"摘"	"tsa"	213				
"摭"	"摭"	"tsei"	213				
"昃"	"昃"	"tse"	213				
"枳"	"枳"	"tsai"	213	"～殼"			
"柞"	"柞"	"tso"	213				
"桎"	"桎"	"tsai"	213				
"汁"	"汁"	"tsai"	213				
"浙"	"浙"	"tsei"	213				
"測"	"测"	"tse"	213				
"炙"	"炙"	"tsei"	213				
"炸"	"炸"	"tsa"	213	"油～餜"			
"瘠"	"瘠"	"tsei"	213				
"眨"	"眨"	"tsa"	213				
"砸"	"砸"	"tsa"	213				
"磔"	"磔"	"tsa"	213				
"磧"	"碛"	"tsei"	213				
"稷"	"稷"	"tsei"	213				
"積"	"积"	"tsei"	213				
"窄"	"窄"	"tsa"	213				
"窒"	"窒"	"tsai"	213				
"簀"	"箦"	"tsa"	213				
"紮"	"扎"	"tsa"	213				
"縶"	"絷"	"tsai"	213				
"績"	"绩"	"tsei"	213				
"織"	"织"	"tsei"	213				
"職"	"职"	"tsei"	213				
"脊"	"脊"	"tsei"	213				
"謫"	"谪"	"tsa"	213				
"責"	"责"	"tsa"	213				
"質"	"质"	"tsai"	213				
"賾"	"赜"	"tsa"	213				
"跡"	"迹"	"tsei"	213				
"軋"	"轧"	"tsa"	213	"～鋼"			
"載"	"载"	"tsei"	213	"一年半～"			
"載"	"载"	"tse"	213	"年載"			
"迮"	"迮"	"tso"	213				
"鑕"	"鑕"	"tsai"	213				
"騭"	"骘"	"tsai"	213	"過～：罪過"			
"鯽"	"鲫"	"tsei"	213				
"□"	"□"	"tsʰa"	213	"<斥皮>手裂"			
"七"	"七"	"tsʰai"	213				
"促"	"促"	"tsʰɤu"	213				
"側"	"侧"	"tsʰe"	213				
"冊"	"册"	"tsʰa"	213				
"刺"	"刺"	"tsʰei"	213	"刺絨衫"			
"勅"	"勅"	"tsʰei"	213				
"卒"	"卒"	"tsʰø"	213	"～中，中風"			
"厝"	"厝"	"tsʰo"	213				
"叱"	"叱"	"tsʰei"	213				
"吃"	"吃"	"tsʰɿ"	213				
"坼"	"坼"	"tsʰa"	213				
"察"	"察"	"tsʰa"	213				
"尺"	"尺"	"tsʰei"	213				
"廁"	"厕"	"tsʰe"	213				
"惻"	"恻"	"tsʰe"	213				
"戚"	"戚"	"tsʰei"	213				
"拆"	"拆"	"tsʰa"	213				
"措"	"措"	"tsʰo"	213				
"插"	"插"	"tsʰa"	213				
"撮"	"撮"	"tsʰai"	213				
"擦"	"擦"	"tsʰa"	213				
"斥"	"斥"	"tsʰei"	213				
"柒"	"柒"	"tsʰai"	213				
"檫"	"檫"	"tsʰa"	213				
"測"	"测"	"tsʰe"	213				
"漆"	"漆"	"tsʰai"	213				
"猝"	"猝"	"tsʰø"	213				
"砌"	"砌"	"tsʰei"	213				
"礤"	"礤"	"tsʰa"	213				
"策"	"策"	"tsʰa"	213				
"簇"	"簇"	"tsʰɤu"	213				
"緝"	"缉"	"tsʰai"	213				
"葺"	"葺"	"tsʰai"	213				
"赤"	"赤"	"tsʰei"	213				
"赤"	"赤"	"tsʰɿ"	213	"～膊大裸：赤裸"			
"蹙"	"蹙"	"tsʰɤu"	213				
"蹴"	"蹴"	"tsʰɤu"	213				
"輯"	"辑"	"tsʰai"	213				
"錯"	"错"	"tsʰo"	213				
"鍤"	"锸"	"tsʰa"	213				
"鑔"	"镲"	"tsʰa"	213				
"顣"	"顣"	"tsʰɤu"	213				
"飭"	"饬"	"tsʰei"	213				
"□"	"□"	"sa"	213	"<尸@臿>插塞"			
"刷"	"刷"	"sø"	213				
"剎"	"剎"	"sa"	213				
"卅"	"卅"	"sa"	213				
"唼"	"唼"	"sa"	213				
"嗇"	"啬"	"se"	213				
"噻"	"噻"	"se"	213				
"塞"	"塞"	"se"	213	"塞住"			
"失"	"失"	"sai"	213				
"媳"	"媳"	"sei"	213				
"室"	"室"	"sai"	213				
"式"	"式"	"sei"	213				
"息"	"息"	"sei"	213				
"悉"	"悉"	"sei"	213				
"惜"	"惜"	"sei"	213				
"懾"	"慑"	"sei"	213				
"拭"	"拭"	"sei"	213				
"摔"	"摔"	"sai"	213				
"撒"	"撒"	"sa"	213	"～種"			
"攝"	"摄"	"sei"	213				
"昔"	"昔"	"sei"	213				
"晰"	"晰"	"sei"	213				
"析"	"析"	"sei"	213				
"柵"	"栅"	"sa"	213				
"歃"	"歃"	"sa"	213				
"殺"	"杀"	"sa"	213				
"泄"	"泄"	"sei"	213				
"淅"	"淅"	"sei"	213				
"澀"	"涩"	"se"	213				
"濕"	"湿"	"sai"	213				
"煞"	"煞"	"sa"	213				
"熄"	"熄"	"sei"	213				
"爕"	"爕"	"sei"	213				
"獅"	"狮"	"sai"	213	"～子"			
"率"	"率"	"sai"	213				
"瑟"	"瑟"	"sai"	213				
"穡"	"穑"	"se"	213				
"糝"	"糁"	"sø"	213	"飯～，飯屑"			
"索"	"索"	"so"	213				
"膝"	"膝"	"sai"	213				
"色"	"色"	"se"	213				
"葉"	"叶"	"sei"	213	"～公，姓"			
"薛"	"薛"	"sei"	213				
"薩"	"萨"	"sa"	213				
"虱"	"虱"	"sai"	213				
"蜥"	"蜥"	"sei"	213				
"螫"	"螫"	"sei"	213				
"蟀"	"蟀"	"sai"	213				
"褻"	"亵"	"sei"	213				
"設"	"设"	"sei"	213				
"識"	"识"	"sei"	213				
"軾"	"轼"	"sei"	213				
"速"	"速"	"sɤu"	213				
"釋"	"释"	"sei"	213				
"銫"	"铯"	"se"	213	"元素名"			
"錫"	"锡"	"sei"	213				
"鎩"	"铩"	"sa"	213				
"霎"	"霎"	"sa"	213				
"颯"	"飒"	"sa"	213				
"飾"	"饰"	"sei"	213				
"侄"	"侄"	"dzai"	213				
"值"	"值"	"dzei"	213				
"偈"	"偈"	"dzɿ"	213				
"宅"	"宅"	"dza"	213				
"帙"	"帙"	"dzai"	213				
"擇"	"择"	"dza"	213				
"擲"	"掷"	"dzei"	213	"擲骰子"			
"植"	"植"	"dzei"	213				
"極"	"极"	"dzɿ"	213	"苦極"			
"殖"	"殖"	"dzei"	213				
"湜"	"湜"	"dzei"	213				
"澤"	"泽"	"dza"	213				
"煠"	"煠"	"dza"	213	"油煠"			
"直"	"直"	"dzei"	213				
"秩"	"秩"	"dzai"	213				
"笮"	"笮"	"dzo"	213	"～橋，竹索橋"			
"翟"	"翟"	"dza"	213				
"著"	"着"	"dza"	213	"～色"			
"蟄"	"蛰"	"dzei"	213				
"□"	"□"	"zo"	213	"罵"			
"什"	"什"	"zai"	213				
"入"	"入"	"zai"	213				
"十"	"十"	"zai"	213				
"喋"	"喋"	"za"	213	"唼～"			
"夕"	"夕"	"zei"	213				
"嫉"	"嫉"	"zai"	213				
"寂"	"寂"	"zei"	213				
"實"	"实"	"zai"	213				
"射"	"射"	"zei"	213				
"席"	"席"	"zei"	213				
"拾"	"拾"	"zai"	213				
"日"	"日"	"zai"	213				
"汐"	"汐"	"zei"	213				
"煠"	"煠"	"za"	213	"水煠"			
"疾"	"疾"	"zai"	213				
"石"	"石"	"zei"	213				
"碩"	"硕"	"zei"	213				
"穸"	"穸"	"zei"	213				
"籍"	"籍"	"zei"	213				
"習"	"习"	"zai"	213				
"蒺"	"蒺"	"zai"	213				
"藉"	"藉"	"zei"	213				
"蚻"	"蚻"	"za"	213	"膠～，蟑螂"			
"蝕"	"蚀"	"zei"	213				
"襲"	"袭"	"zai"	213				
"賊"	"贼"	"ze"	213				
"輯"	"辑"	"zai"	213				
"鍘"	"铡"	"za"	213				
"鑿"	"凿"	"zø"	213				
"閘"	"闸"	"za"	213				
"隰"	"隰"	"zai"	213	"濕地"			
"集"	"集"	"zai"	213				
"雜"	"杂"	"zø"	213				
"食"	"食"	"zei"	213				
"驲"	"驲"	"zai"	213				
"鲗"	"鲗"	"ze"	213				
"亟"	"亟"	"tɕai"	213				
"伋"	"伋"	"tɕai"	213				
"佶"	"佶"	"tɕai"	213				
"倬"	"倬"	"tɕo"	213				
"劚"	"劚"	"tɕo"	213				
"劫"	"劫"	"tɕi"	213				
"卓"	"卓"	"tɕo"	213				
"即"	"即"	"tɕi"	213				
"卻"	"却"	"tɕa"	213				
"厥"	"厥"	"tɕy"	213				
"吉"	"吉"	"tɕai"	213				
"哲"	"哲"	"tɕi"	213				
"啄"	"啄"	"tɕo"	213				
"啜"	"啜"	"tɕy"	213				
"噘"	"噘"	"tɕy"	213				
"囑"	"嘱"	"tɕo"	213				
"妁"	"妁"	"tɕa"	213				
"孑"	"孑"	"tɕi"	213				
"孓"	"孓"	"tɕy"	213				
"屩"	"屩"	"tɕa"	213	"草鞋"			
"屬"	"属"	"tɕo"	213	"～文；～意"			
"急"	"急"	"tɕai"	213				
"怯"	"怯"	"tɕa"	213				
"惙"	"惙"	"tɕy"	213				
"戟"	"戟"	"tɕai"	213				
"抉"	"抉"	"tɕy"	213				
"折"	"折"	"tɕi"	213				
"拙"	"拙"	"tɕy"	213				
"拮"	"拮"	"tɕi"	213				
"捉"	"捉"	"tɕo"	213				
"接"	"接"	"tɕi"	213				
"掬"	"掬"	"tɕɤu"	213				
"揭"	"揭"	"tɕi"	213				
"摺"	"摺"	"tɕi"	213				
"撅"	"撅"	"tɕy"	213				
"擊"	"击"	"tɕai"	213				
"斫"	"斫"	"tɕa"	213				
"斮"	"斮"	"tɕo"	213				
"斲"	"斲"	"tɕo"	213				
"桌"	"桌"	"tɕo"	213				
"桔"	"桔"	"tɕai"	213				
"棘"	"棘"	"tɕai"	213				
"楫"	"楫"	"tɕi"	213				
"橘"	"橘"	"tɕai"	213				
"櫛"	"栉"	"tɕi"	213				
"殛"	"殛"	"tɕai"	213				
"汲"	"汲"	"tɕai"	213				
"決"	"决"	"tɕy"	213				
"潔"	"洁"	"tɕi"	213				
"激"	"激"	"tɕai"	213				
"灼"	"灼"	"tɕa"	213				
"焯"	"焯"	"tɕa"	213	"焯菜，炒菜"			
"焯"	"焯"	"tɕo"	213				
"燭"	"烛"	"tɕo"	213				
"爝"	"爝"	"tɕa"	213				
"爵"	"爵"	"tɕa"	213				
"玦"	"玦"	"tɕy"	213				
"琢"	"琢"	"tɕo"	213				
"瘃"	"瘃"	"tɕo"	213				
"癤"	"疖"	"tɕi"	213				
"矚"	"瞩"	"tɕo"	213				
"祝"	"祝"	"tɕɤu"	213				
"竹"	"竹"	"tɕɤu"	213				
"笈"	"笈"	"tɕai"	213				
"節"	"节"	"tɕi"	213				
"築"	"筑"	"tɕɤu"	213				
"粥"	"粥"	"tɕɤu"	213				
"級"	"级"	"tɕai"	213				
"絀"	"绌"	"tɕy"	213				
"結"	"结"	"tɕi"	213				
"給"	"给"	"tɕai"	213				
"綴"	"缀"	"tɕy"	213				
"綽"	"绰"	"tɕa"	213				
"腳"	"脚"	"tɕa"	213				
"茁"	"茁"	"tɕy"	213				
"菊"	"菊"	"tɕɤu"	213				
"著"	"着"	"tɕa"	213	"著衣裳"			
"蕨"	"蕨"	"tɕy"	213				
"訣"	"诀"	"tɕy"	213				
"詰"	"诘"	"tɕai"	213				
"詰"	"诘"	"tɕi"	213				
"諑"	"诼"	"tɕo"	213				
"譎"	"谲"	"tɕy"	213				
"足"	"足"	"tɕo"	213				
"蹶"	"蹶"	"tɕy"	213				
"輒"	"辄"	"tɕi"	213				
"輟"	"辍"	"tɕy"	213				
"郤"	"郄"	"tɕa"	213	"姓"			
"酌"	"酌"	"tɕa"	213				
"醊"	"醊"	"tɕy"	213				
"鍥"	"锲"	"tɕi"	213	"割稻鐮刀"			
"隙"	"隙"	"tɕa"	213				
"雀"	"雀"	"tɕa"	213				
"革"	"革"	"tɕai"	213	"病～：病危"			
"鞠"	"鞠"	"tɕɤu"	213				
"駃"	"駃"	"tɕy"	213				
"鴂"	"鴂"	"tɕy"	213				
"鵲"	"鹊"	"tɕa"	213				
"乞"	"乞"	"tɕʰai"	213				
"亍"	"亍"	"tɕʰo"	213				
"出"	"出"	"tɕʰy"	213				
"切"	"切"	"tɕʰi"	213				
"吃"	"吃"	"tɕʰai"	213	"口～"			
"妾"	"妾"	"tɕʰi"	213				
"屈"	"屈"	"tɕʰy"	213				
"怯"	"怯"	"tɕʰi"	213				
"愜"	"惬"	"tɕʰi"	213				
"戳"	"戳"	"tɕʰo"	213				
"挈"	"挈"	"tɕʰi"	213				
"斶"	"斶"	"tɕʰo"	213				
"曲"	"曲"	"tɕʰo"	213				
"曲"	"曲"	"tɕʰɤu"	213				
"歜"	"歜"	"tɕʰo"	213				
"泣"	"泣"	"tɕʰai"	213				
"炔"	"炔"	"tɕʰy"	213				
"焌"	"焌"	"tɕʰy"	213				
"畜"	"畜"	"tɕʰɤu"	213	"～生"			
"矗"	"矗"	"tɕʰo"	213				
"缺"	"缺"	"tɕʰy"	213				
"蛐"	"蛐"	"tɕʰo"	213				
"觸"	"触"	"tɕʰo"	213				
"訖"	"讫"	"tɕʰai"	213				
"迄"	"迄"	"tɕʰai"	213				
"闋"	"阕"	"tɕʰy"	213				
"闕"	"阙"	"tɕʰy"	213				
"隙"	"隙"	"tɕʰai"	213				
"黜"	"黜"	"tɕʰy"	213				
"黢"	"黢"	"tɕʰy"	213				
"□"	"□"	"ɕai"	213	"<扌穴>擲"			
"僳"	"僳"	"ɕo"	213				
"削"	"削"	"ɕa"	213				
"叔"	"叔"	"ɕɤu"	213				
"吸"	"吸"	"ɕai"	213				
"夙"	"夙"	"ɕɤu"	213				
"宿"	"宿"	"ɕɤu"	213				
"屑"	"屑"	"ɕa"	213				
"屑"	"屑"	"ɕi"	213				
"忽"	"忽"	"ɕy"	213				
"恤"	"恤"	"ɕy"	213				
"惚"	"惚"	"ɕy"	213				
"戌"	"戌"	"ɕy"	213				
"搠"	"搠"	"ɕo"	213				
"數"	"数"	"ɕo"	213	"密"			
"朔"	"朔"	"ɕo"	213				
"束"	"束"	"ɕo"	213				
"槊"	"槊"	"ɕo"	213				
"歇"	"歇"	"ɕi"	213				
"歙"	"歙"	"ɕai"	213				
"洫"	"洫"	"ɕy"	213				
"爍"	"烁"	"ɕa"	213				
"畜"	"畜"	"ɕɤu"	213	"畜牧"			
"笏"	"笏"	"ɕy"	213				
"粟"	"粟"	"ɕo"	213				
"縮"	"缩"	"ɕo"	213				
"翕"	"翕"	"ɕai"	213				
"肅"	"肃"	"ɕɤu"	213				
"脅"	"胁"	"ɕi"	213				
"蒴"	"蒴"	"ɕo"	213				
"蓄"	"蓄"	"ɕɤu"	213				
"蓿"	"蓿"	"ɕɤu"	213				
"蠍"	"蝎"	"ɕi"	213				
"血"	"血"	"ɕy"	213				
"說"	"说"	"ɕy"	213				
"閃"	"闪"	"ɕa"	213	"～电"			
"雪"	"雪"	"ɕy"	213				
"侷"	"侷"	"dʑo"	213				
"倔"	"倔"	"dʑy"	213				
"傑"	"杰"	"dʑi"	213				
"劇"	"剧"	"dʑai"	213				
"及"	"及"	"dʑai"	213				
"噱"	"噱"	"dʑa"	213	"～頭"			
"圾"	"圾"	"dʑai"	213				
"局"	"局"	"dʑo"	213				
"屐"	"屐"	"dʑai"	213				
"屬"	"属"	"dʑo"	213				
"崛"	"崛"	"dʑy"	213				
"徹"	"彻"	"dʑi"	213				
"怵"	"怵"	"dʑy"	213				
"拙"	"拙"	"dʑy"	213				
"掘"	"掘"	"dʑai"	213	"白"			
"掘"	"掘"	"dʑy"	213				
"搩"	"搩"	"dʑi"	213	"抱"			
"撤"	"撤"	"dʑi"	213				
"擢"	"擢"	"dʑo"	213				
"擲"	"掷"	"dʑi"	213	"～鐵餅"			
"桀"	"桀"	"dʑi"	213				
"極"	"极"	"dʑai"	213				
"橛"	"橛"	"dʑy"	213				
"濁"	"浊"	"dʑo"	213				
"濯"	"濯"	"dʑo"	213				
"瘚"	"瘚"	"dʑy"	213				
"碣"	"碣"	"dʑi"	213				
"竭"	"竭"	"dʑi"	213				
"舳"	"舳"	"dʑɤu"	213				
"芨"	"芨"	"dʑai"	213				
"若"	"若"	"dʑa"	213	"～是，假使～"			
"著"	"着"	"dʑa"	213	"～重"			
"蜀"	"蜀"	"dʑo"	213				
"蠋"	"蠋"	"dʑo"	213				
"術"	"术"	"dʑy"	213	"白～"			
"跼"	"跼"	"dʑo"	213				
"躅"	"躅"	"dʑo"	213				
"軸"	"轴"	"dʑɤu"	213				
"轍"	"辙"	"dʑi"	213				
"逐"	"逐"	"dʑɤu"	213				
"鐯"	"鐯"	"dʑa"	213	"剪"			
"鐲"	"镯"	"dʑo"	213				
"□"	"□"	"ha"	213	"撒謊"			
"□"	"□"	"ha"	213	"凹進"			
"劐"	"劐"	"ho"	213				
"呷"	"呷"	"ha"	213	"～水"			
"哈"	"哈"	"ha"	213	"～尔蟆；～腰；～巴狗"			
"哈"	"哈"	"hø"	213	"～氣"			
"喝"	"喝"	"hø"	213				
"嚇"	"吓"	"ha"	213	"恐～"			
"嚇"	"吓"	"ho"	213				
"壑"	"壑"	"ho"	213				
"攉"	"攉"	"ho"	213				
"法"	"法"	"ho"	213				
"琺"	"珐"	"ho"	213				
"發"	"发"	"ho"	213				
"瞎"	"瞎"	"ha"	213				
"矐"	"矐"	"ho"	213				
"砝"	"砝"	"ho"	213				
"翯"	"翯"	"ho"	213				
"藿"	"藿"	"ho"	213				
"蠚"	"蠚"	"ho"	213				
"豁"	"豁"	"ho"	213	"～然"			
"赫"	"赫"	"ha"	213				
"郝"	"郝"	"ha"	213				
"霍"	"霍"	"ho"	213				
"黑"	"黑"	"he"	213				
"乏"	"乏"	"ɦo"	213				
"也"	"也"	"ɦa"	213	"副词"			
"亦"	"亦"	"ɦiai"	213				
"伐"	"伐"	"ɦo"	213				
"佚"	"佚"	"ɦiai"	213				
"佾"	"佾"	"ɦiai"	213				
"俗"	"俗"	"ɦio"	213				
"俠"	"侠"	"ɦi"	213				
"劾"	"劾"	"ɦø"	213				
"勺"	"勺"	"ɦia"	213				
"匣"	"匣"	"ɦa"	213				
"協"	"协"	"ɦi"	213				
"合"	"合"	"ɦø"	213				
"嗑"	"嗑"	"ɦø"	213				
"嚼"	"嚼"	"ɦia"	213				
"垡"	"垡"	"ɦo"	213				
"域"	"域"	"ɦy"	213				
"埸"	"埸"	"ɦiai"	213				
"塾"	"塾"	"ɦiɤu"	213				
"奕"	"奕"	"ɦiai"	213				
"孰"	"孰"	"ɦiɤu"	213				
"學"	"学"	"ɦo"	213				
"就"	"就"	"ɦiɤu"	213				
"峪"	"峪"	"ɦio"	213				
"嶨"	"嶨"	"ɦo"	213				
"弋"	"弋"	"ɦiai"	213				
"弱"	"弱"	"ɦia"	213				
"役"	"役"	"ɦy"	213				
"悅"	"悦"	"ɦy"	213				
"懌"	"怿"	"ɦiai"	213				
"截"	"截"	"ɦi"	213				
"折"	"折"	"ɦi"	213	"折本"			
"挾"	"挟"	"ɦi"	213				
"捷"	"捷"	"ɦi"	213				
"掖"	"掖"	"ɦiai"	213				
"族"	"族"	"ɦiɤu"	213				
"易"	"易"	"ɦiai"	213				
"昳"	"昳"	"ɦiai"	213				
"柙"	"柙"	"ɦa"	213				
"核"	"核"	"ɦy"	213				
"樾"	"樾"	"ɦy"	213				
"欲"	"欲"	"ɦio"	213				
"泆"	"泆"	"ɦiai"	213				
"活"	"活"	"ɦo"	213				
"洽"	"洽"	"ɦa"	213				
"浴"	"浴"	"ɦio"	213				
"涉"	"涉"	"ɦi"	213				
"液"	"液"	"ɦiai"	213				
"涸"	"涸"	"ɦo"	213				
"淑"	"淑"	"ɦiɤu"	213				
"溘"	"溘"	"ɦø"	213				
"滑"	"滑"	"ɦo"	213				
"瀹"	"瀹"	"ɦia"	213				
"熟"	"熟"	"ɦiɤu"	213				
"爚"	"爚"	"ɦia"	213				
"狎"	"狎"	"ɦa"	213				
"狹"	"狭"	"ɦa"	213				
"猾"	"猾"	"ɦo"	213				
"獲"	"获"	"ɦo"	213				
"疫"	"疫"	"ɦy"	213				
"盍"	"盍"	"ɦø"	213				
"盒"	"盒"	"ɦø"	213				
"硤"	"硖"	"ɦa"	213	"～石，地名"			
"礿"	"礿"	"ɦia"	213				
"秫"	"秫"	"ɦy"	213				
"穀"	"谷"	"ɦio"	213	"吐～渾"			
"穴"	"穴"	"ɦy"	213				
"筏"	"筏"	"ɦo"	213				
"籥"	"籥"	"ɦia"	213				
"粵"	"粤"	"ɦy"	213				
"紇"	"纥"	"ɦø"	213				
"絕"	"绝"	"ɦy"	213				
"縛"	"缚"	"ɦo"	213				
"縟"	"缛"	"ɦiɤu"	213				
"繹"	"绎"	"ɦiai"	213				
"續"	"续"	"ɦio"	213				
"罰"	"罚"	"ɦo"	213				
"翊"	"翊"	"ɦiai"	213				
"翌"	"翌"	"ɦiai"	213				
"翮"	"翮"	"ɦa"	213				
"翼"	"翼"	"ɦiai"	213				
"腋"	"腋"	"ɦiai"	213				
"舌"	"舌"	"ɦi"	213				
"艧"	"艧"	"ɦo"	213				
"芍"	"芍"	"ɦia"	213				
"若"	"若"	"ɦia"	213				
"菽"	"菽"	"ɦiɤu"	213				
"葉"	"叶"	"ɦi"	213				
"蒻"	"蒻"	"ɦia"	213				
"蓐"	"蓐"	"ɦiɤu"	213				
"藥"	"药"	"ɦia"	213				
"蜮"	"蜮"	"ɦy"	213				
"蜴"	"蜴"	"ɦiai"	213				
"蠖"	"蠖"	"ɦo"	213				
"術"	"术"	"ɦy"	213				
"褥"	"褥"	"ɦiɤu"	213				
"覈"	"覈"	"ɦy"	213				
"譯"	"译"	"ɦiai"	213				
"貉"	"貉"	"ɦo"	213				
"贖"	"赎"	"ɦio"	213				
"越"	"越"	"ɦy"	213				
"躍"	"跃"	"ɦia"	213				
"軼"	"轶"	"ɦiai"	213				
"轄"	"辖"	"ɦa"	213				
"辱"	"辱"	"ɦiɤu"	213				
"述"	"述"	"ɦy"	213				
"逸"	"逸"	"ɦiai"	213				
"鉞"	"钺"	"ɦy"	213				
"鑊"	"镬"	"ɦo"	213				
"鑰"	"钥"	"ɦia"	213				
"閥"	"阀"	"ɦo"	213				
"閲"	"閲"	"ɦy"	213				
"闔"	"阖"	"ɦø"	213				
"頜"	"颌"	"ɦø"	213				
"驛"	"驿"	"ɦiai"	213				
"鵒"	"鹆"	"ɦio"	213				
"鷽"	"鷽"	"ɦo"	213				
"黠"	"黠"	"ɦa"	213				
"龠"	"龠"	"ɦia"	213				
"冪"	"幂"	"mi"	213				
"埋"	"埋"	"ma"	213				
"墨"	"墨"	"mai"	213				
"妺"	"妺"	"mø"	213	"～喜，古人名"			
"密"	"密"	"mi"	213				
"寞"	"寞"	"mo"	213				
"抹"	"抹"	"mø"	213				
"搣"	"搣"	"mi"	213	"～螺絲"			
"摸"	"摸"	"mo"	213				
"木"	"木"	"mo"	213				
"木"	"木"	"mu"	213				
"末"	"末"	"mø"	213				
"歿"	"殁"	"mø"	213				
"汨"	"汨"	"mi"	213				
"沐"	"沐"	"mo"	213				
"沐"	"沐"	"mu"	213				
"沒"	"没"	"mø"	213				
"沫"	"沫"	"mø"	213				
"泌"	"泌"	"mi"	213				
"滅"	"灭"	"mi"	213				
"漠"	"漠"	"mo"	213	"～不關心"			
"漠"	"漠"	"mu"	213	"～不關心"			
"牧"	"牧"	"mo"	213				
"牧"	"牧"	"mu"	213				
"物"	"物"	"mai"	213	"原～，原貌"			
"瘼"	"瘼"	"mo"	213				
