"流水序"	"常用字"	"简体"	"声母"	"韵母"	"声调"	"例词"	"备注"
"00327"	"函"		"gh"	"ae"	1	"書函，函件，函谷關"	
	"函"		"gh"	"ee"	1		"表示舌头，包容，铠甲"
"00328"	"刀"		"t"	"au"	1		
"00329"	"刁"		"t"	"iau"	1		
"00330"	"刃"		"n"	"in"	3		
"00331"	"分"		"f"	"en"	1	"分開"	
	"分"		"v"	"en"	3	"過分"	
"00332"	"切"		"tsh"	"ieh"		"切割"	
	"切"		"tsh"	"i"	3	"一切"	
"00333"	"刈"		"ng"	"i"	3		
"00334"	"刊"		"kh"	"oe"	1		
"00335"	"列"		"l"	"ieh"			
"00336"	"刑"		"gh"	"ieon"	1		
"00337"	"划"		"gh"	"uo"	1	"划船，划水"	
"00338"	"刎"		"v"	"en"	2		
"00339"	"別"	"别"	"b"	"ieh"		"別離，分別"	
	"別"	"别"	"p"	"ieh"		"別針"	
"00340"	"判"		"ph"	"oe"	3		
"00341"	"利"		"l"	"i"	3		
"00342"	"刪"	"删"	"s"	"ae"	1		
"00343"	"刨"		"b"	"au"	1	"刨根問底"	
	"刨"		"b"	"au"	3	"刨子，刨花"	
"00344"	"刻"		"kh"	"eoh"			
"00345"	"券"		"kh"	"ioe"	3		
"00346"	"刷"		"s"	"oeh"			
"00347"	"刺"		"tsh"	"y"	3		
"00348"	"到"		"t"	"au"	3		
"00349"	"刮"		"k"	"uaeh"			
"00350"	"制"		"c"	"i"	3	"制度，管制"	
"00351"	"剁"		"t"	"ou"	3		
"00352"	"剎"	"刹"	"s"	"aeh"		"剎車"	
	"剎"	"刹"	"tsh"	"aeh"		"古剎，剎那"	
"00353"	"剃"		"th"	"i"	3		
"00354"	"削"		"s"	"iah"			
"00355"	"前"		"z"	"iae"	1		
"00356"	"剌"		"l"	"aeh"			
"00357"	"剋"	"克"	"kh"	"eoh"		"剋星"	
"00358"	"則"	"则"	"ts"	"eoh"			
"00359"	"剖"		"ph"	"eu"	2		
"00360"	"剜"			"uoe"	1		
"00361"	"剔"		"th"	"ieoh"			
"00362"	"剛"	"刚"	"k"	"aon"	1		
