"流水序"	"常用字"	"简体"	"声母"	"韵母"	"声调"	"例词"	"备注"
"01669"	"撩"		"l"	"iau"	1	"撩撥"	
	"撩"		"l"	"iau"	3	"撩弗着（够不到）"	
"01670"	"撒"		"s"	"aeh"			
"01671"	"撮"		"tsh"	"oeh"			
"01672"	"播"		"p"	"ou"	1		
"01673"	"撫"	"抚"	"f"	"u"	2		
"01674"	"撚"		"n"	"iae"	2		
							
"01676"	"擅"		"zh"	"ie"	3		
"01677"	"擁"			"ion"	2		
"01678"	"擋"	"挡"	"t"	"aon"	2		
"01679"	"撻"	"挞"	"t"	"aeh"			
"01680"	"撼"		"gh"	"ee"	2		
"01681"	"據"	"据"	"k"	"ei"	3		
"01682"	"擄"	"掳"	"l"	"u"	2		
"01683"	"擇"	"择"	"dz"	"ah"			
"01684"	"擂"		"l"	"ei"	1	"擂鼓"	
	"擂"		"l"	"ei"	3	"擂臺"	
"01685"	"操"		"tsh"	"au"	1	"操持，早操"	"姓氏，动词"
	"操"		"tsh"	"au"	3	"節操，操守，情操"	"名词"
"01686"	"撿"	"捡"	"k"	"ie"	2		
"01687"	"擒"		"g"	"in"	1		
"01688"	"擔"	"担"	"t"	"ae"	1	"擔心，負擔"	
	"擔"	"担"	"t"	"ae"	3	"重擔"	
"01689"	"擎"		"g"	"ieon"	1		
"01690"	"擊"	"击"	"k"	"ieoh"			
"01691"	"擘"		"p"	"ah"			
"01692"	"擠"	"挤"	"ts"	"i"	2		
							
"01694"	"擦"		"tsh"	"aeh"			
"01695"	"擬"	"拟"	"ng"	"i"	2		
"01696"	"擱"	"搁"	"k"	"aoh"			
"01697"	"擴"	"扩"	"k"	"uaoh"			
"01698"	"擲"	"掷"	"j"	"ieoh"			
"01699"	"擾"	"扰"	"n"	"iau"	2		
							
"01701"	"擺"	"摆"	"p"	"a"	2		
"01702"	"擻"	"擞"	"s"	"eu"	2		
"01703"	"攀"		"ph"	"ae"	1		
"01704"	"攏"	"拢"	"l"	"on"	2		
"01705"	"攘"		"n"	"ian"	2		
"01706"	"攔"	"拦"	"l"	"ae"			
"01707"	"攙"	"搀"	"tsh"	"ae"	1	"攙扶"	
"01708"	"攝"	"摄"	"sh"	"ieh"			
"01709"	"攜"	"携"	"gh"	"uei"	1		
	"攜"	"携"	"gh"	"i"	1		"惯用音"
"01710"	"攤"	"摊"	"th"	"ae"	1		
"01711"	"攣"	"孪"	"l"	"ioe"	1		"可念作lie或loe"
"01712"	"攫"	"攫"	"k"	"iaoh"			
"01713"	"攪"	"搅"	"k"	"au"	2		
"01714"	"攬"	"揽"	"l"	"ae"	2		
"01715"	"支"		"ts"	"y"	1		
"01716"	"收"		"sh"	"ieu"	1		
"01717"	"改"		"k"	"ai"	2		
"01718"	"攻"		"k"	"on"	1		
"01719"	"放"		"f"	"aon"	3		
"01720"	"政"		"c"	"ieon"	3		
"01721"	"故"		"k"	"u"	3		
"01722"	"效"		"gh"	"au"	3		
"01723"	"敝"		"b"	"i"	3		
"01724"	"敖"		"ng"	"au"	1		
"01725"	"救"		"k"	"ieu"	3		
"01726"	"教"		"k"	"au"	3		
"01727"	"敗"	"败"	"b"	"a"	3		
"01728"	"啟"	"启"	"kh"	"i"	2		
"01729"	"敏"		"m"	"in"	2		
"01730"	"敘"	"叙"	"z"	"i"	2		
"01731"	"敞"		"ch"	"ian"	2		
"01732"	"敦"		"t"	"en"	1		
"01733"	"敢"	"敢"	"k"	"ee"	2		
"01734"	"散"		"s"	"ae"	2	"鬆散，散文"	
	"散"		"s"	"ae"	3	"散步，分散"	
"01735"	"敬"		"k"	"ieon"	3		
"01736"	"敲"		"kh"	"au"	1		
"01737"	"敵"	"敌"	"d"	"ieoh"			
"01738"	"敷"		"f"	"u"	1		
"01739"	"數"	"数"	"s"	"u"	2	"數一數二"	"动词"
	"數"	"数"	"s"	"u"	3	"數學"	"名词"
"01740"	"整"		"c"	"ieon"	2		
"01741"	"斂"	"敛"	"l"	"ie"	2		
"01742"	"斃"	"毙"	"b"	"i"	3		
"01743"	"文"		"v"	"en"	1		
"01744"	"斑"		"p"	"ae"	1		
"01745"	"斐"		"f"	"i"	2		
"01746"	"斗"		"t"	"eu"	2	"星斗"	
"01747"	"料"		"l"	"iau"	3		
"01748"	"斜"		"z"	"ia"	1		
"01749"	"斟"		"c"	"in"	1		
"01750"	"斡"			"uoeh"			
"01751"	"斤"		"k"	"in"	1		
"01752"	"斥"		"ch"	"ieoh"			
"01753"	"斧"		"f"	"u"	2		
"01754"	"斫"		"c"	"iah"			
"01755"	"斬"	"斩"	"ts"	"ae"	2		
"01756"	"斯"		"s"	"y"	1		
"01757"	"新"		"s"	"in"	1		
"01758"	"斷"	"断"	"d"	"oe"	2	"斷絕，隔斷"	
	"斷"	"断"	"t"	"oe"	3	"判斷，斷定，斷案"	
"01759"	"方"		"f"	"aon"	1		
"01760"	"於"	"于"		"i"		"大於，等於，於此"	"介词"
"01761"	"施"		"s"	"y"	1		
"01762"	"旁"		"b"	"aon"	1		
"01763"	"旅"		"l"	"i"	2		
"01764"	"族"		"z"	"oh"			
"01765"	"旋"		"z"	"ioe"	3		
"01766"	"旌"		"ts"	"ieon"	1		
"01767"	"旎"		"n"	"i"	2		
"01768"	"旗"		"gh"	"i"	1		
"01769"	"旖"			"i"	2		
"01770"	"既"		"k"	"i"	3		
"01771"	"日"		"n"	"ih"			
"01772"	"旦"		"t"	"ae"	3		
"01773"	"早"		"ts"	"au"	2		
"01774"	"旨"		"ts"	"y"	2		
"01775"	"旬"		"z"	"iuin"	1		
"01776"	"旭"		"h"	"ioh"			
"01777"	"旱"		"gh"	"oe"	2		
"01778"	"旺"		"gh"	"iaon"	3		
"01779"	"昔"		"s"	"ieoh"			
"01780"	"易"		"gh"	"i"	3	"容易"	
	"易"		"gh"	"ieoh"		"易經，世易時移"	"姓氏"
"01781"	"昌"		"ch"	"ian"	1		
"01782"	"昆"		"kh"	"uen"	1	"昆明"	
"01783"	"昂"		"ng"	"aon"	1		
"01784"	"明"		"m"	"ieon"	1		
"01785"	"昀"		"gh"	"iuin"	1		
"01786"	"昏"		"h"	"uen"	1		
"01787"	"春"		"ch"	"iuin"	1		
"01788"	"昭"		"c"	"iau"	1		
"01789"	"映"			"ieon"	3		
"01790"	"昧"		"m"	"ei"	3		
"01791"	"是"		"z"	"y"	2		
"01792"	"星"		"s"	"ieon"	1		
"01793"	"昨"		"z"	"aoh"			
"01794"	"時"	"时"	"z"	"y"	1		
"01795"	"晉"	"晋"	"ts"	"in"	3		
"01796"	"晏"			"ae"	3		
"01797"	"晃"		"gh"	"uaon"	2		
	"晃"		"h"	"uaon"	2		"惯用音"
"01798"	"曬"	"晒"	"s"	"a"	3		
	"曬"	"晒"	"s"	"o"	3		"又音"
"01799"	"晌"		"sh"	"ian"	2		
"01800"	"晝"	"昼"	"c"	"ieu"	3		
"01801"	"晚"		"m"	"ae"	2		
"01802"	"晤"		"ng"	"u"	3		
"01803"	"晨"		"zh"	"in"	1		
"01804"	"晦"		"h"	"uei"	3		
"01805"	"普"		"ph"	"u"	2		
"01806"	"晰"		"s"	"ieoh"			
"01807"	"晴"		"z"	"ieon"	1		
"01808"	"晶"		"ts"	"ieon"	1		
"01809"	"景"		"k"	"ieon"	2		
"01810"	"暑"		"s"	"y"	2		
"01811"	"智"		"ts"	"y"	3		
"01812"	"暗"			"ee"	3		
"01813"	"暉"	"晖"	"h"	"iu"	1		
"01814"	"暇"		"gh"	"o"	3		
"01815"	"暈"	"晕"	"gh"	"iuin"	3		
"01816"	"暖"		"n"	"oe"	2		
"01817"	"暢"	"畅"	"ch"	"ian"	3		
"01818"	"暨"		"k"	"i"	3		
"01819"	"暮"		"m"	"u"	3		
"01820"	"暫"	"暂"	"z"	"ae"	3		
"01821"	"暴"		"b"	"au"	3		
"01822"	"曆"	"历"	"l"	"ieoh"		"日曆，曆法"	
"01823"	"曉"	"晓"	"h"	"iau"	2		
"01824"	"暹"		"s"	"ie"	1		
"01825"	"曙"		"z"	"y"	3		
"01826"	"曖"	"暧"		"ai"	3		
"01827"	"曠"	"旷"	"kh"	"uaon"	3		
"01828"	"曝"		"b"	"oh"	3	"曝光，暴曬"	
	"曝"		"b"	"au"	3		"惯用音"
"01829"	"曦"		"h"	"i"	1		
"01830"	"曰"		"gh"	"ioeh"			
"01831"	"曲"		"kh"	"ioh"			
"01832"	"曳"		"gh"	"i"	3		
"01833"	"更"		"k"	"an"	1	"更新，更正"	
	"更"		"k"	"an"	3	"更上一層樓，更加"	
"01834"	"曷"		"gh"	"oeh"			
"01835"	"書"	"书"	"s"	"y"	1		
"01836"	"曹"		"z"	"au"	1		
							
"01838"	"曾"		"z"	"eon"	1	"曾經"	
	"曾"		"ts"	"eon"	1		"姓氏"
"01839"	"替"		"th"	"i"	3		
"01840"	"會"	"会"	"gh"	"uei"	3	"會議，機會"	
	"會"	"会"	"k"	"uei"	3	"會計，財會"	
"01841"	"月"		"ng"	"ioeh"			
"01842"	"有"		"gh"	"ieu"	2		
"01843"	"服"		"v"	"oh"			
"01844"	"朋"		"b"	"eon"	1		
	"朋"		"b"	"an"	1		"又音"
"01845"	"朔"		"s"	"iaoh"			
"01846"	"朕"		"j"	"in"	2		
"01847"	"朗"		"l"	"aon"	2		
"01848"	"望"		"m"	"aon"	3		
	"望"		"v"	"aon"	3		
"01849"	"期"		"g"	"i"	1		
"01850"	"朝"		"c"	"iau"	1	"今朝，朝夕，朝鲜"	
	"朝"		"j"	"iau"	1	"朝拜，朝代"	
"01851"	"朦"		"m"	"on"	1		
"01852"	"朧"	"胧"	"l"	"on"	1		
"01853"	"木"		"m"	"oh"			
"01854"	"朮"	"术"	"j"	"iuih"		"白朮"	
"01855"	"本"		"p"	"en"	2		
"01856"	"未"		"v"	"i"	3		
	"未"		"m"	"i"	3		"口语音"
"01857"	"末"		"m"	"oeh"			
"01858"	"札"		"ts"	"aeh"		"信札"	
"01859"	"朽"		"h"	"ieu"	2		
"01860"	"朴"		"ph"	"aoh"		"朴樹"	"姓氏"
"01861"	"朱"		"c"	"iu"	1		
"01862"	"朵"		"t"	"ou"	2		
"01863"	"束"		"sh"	"ioh"			
"01864"	"李"		"l"	"i"	2		
"01865"	"杏"		"gh"	"an"	2		
"01866"	"材"		"z"	"ai"	1		
"01867"	"村"		"tsh"	"en"	1		
"01868"	"杜"		"d"	"u"	2		
"01869"	"杖"		"j"	"ian"	2		
"01870"	"杞"		"kh"	"i"	2		
"01871"	"杉"		"s"	"ae"	1		
"01872"	"杭"		"gh"	"aon"	1		
"01873"	"枋"		"f"	"aon"	1		
"01874"	"枕"		"c"	"in"	2		
"01875"	"東"	"东"	"t"	"on"	1		
"01876"	"果"		"k"	"ou"	2		
"01877"	"杳"			"iau"	2		
"01878"	"杷"		"b"	"o"	1		
"01879"	"枇"		"b"	"i"	1		
"01880"	"枝"		"ts"	"y"	1		
"01881"	"林"		"l"	"in"	1		
"01882"	"杯"		"p"	"ei"	1		
"01883"	"杰"		"g"	"ieh"			
"01884"	"板"		"p"	"ae"	2		
"01885"	"枉"			"iaon"	2		
"01886"	"松"		"z"	"ion"	1	"松樹，青松"	
	"松"		"s"	"ion"	1		"惯用音"
"01887"	"析"		"s"	"ieoh"			
"01888"	"杵"		"tsh"	"y"	2		
"01889"	"枚"		"m"	"ei"	1		
"01890"	"柿"		"z"	"y"	2		
"01891"	"染"		"n"	"ie"	2		
"01892"	"柱"		"j"	"iu"	2		
"01893"	"柔"		"n"	"ieu"	1		
"01894"	"某"		"m"	"eu"	2		
"01895"	"柬"		"k"	"ae"	2		
"01896"	"架"		"k"	"o"	3		
"01897"	"枯"		"kh"	"u"	1		
"01898"	"柵"	"栅"	"s"	"ah"			
"01899"	"柩"		"g"	"ieu"	3		
"01900"	"柯"		"k"	"ou"	1		
	"柯"		"kh"	"ou"	1		"惯用音"
"01901"	"柄"		"p"	"ieon"	3		
"01902"	"柑"		"k"	"ee"	1		
"01903"	"枴"	"拐"	"k"	"ua"	2	"柺杖"	
"01904"	"柚"		"gh"	"ieu"	3		
"01905"	"查"		"z"	"o"	1	"檢查"	
	"查"		"ts"	"o"	1		"姓氏"
"01906"	"枸"		"k"	"eu"	2		
"01907"	"柏"		"p"	"ah"			
"01908"	"柞"		"ts"	"aoh"			
"01909"	"柳"		"l"	"ieu"	2		
"01910"	"校"		"gh"	"au"	3	"学校"	
	"校"		"k"	"au"	3	"校对"	
"01911"	"核"		"gh"	"ah"		"核心，核桃"	
	"𣝗"	"核"	"gh"	"ueh"			
"01912"	"案"			"oe"	3		
"01913"	"框"		"kh"	"iaon"	1		
"01914"	"桓"		"gh"	"uoe"	1		
"01915"	"根"		"k"	"en"	1		
"01916"	"桂"		"k"	"uei"	3		
"01917"	"桔"		"k"	"iaeh"		"桔梗"	
"01918"	"栩"		"h"	"iu"	2		
"01919"	"梳"		"s"	"u"	1	"梳理"	
	"梳"		"s"	"y"	1		"口语音"
"01920"	"栗"		"l"	"ih"			
"01921"	"桌"		"ts"	"iaoh"			
"01922"	"桑"		"s"	"aon"	1		
"01923"	"栽"		"ts"	"ai"	1		
"01924"	"柴"		"z"	"a"	1		
"01925"	"桐"		"d"	"on"	1		
"01926"	"桀"		"g"	"ieh"			
"01927"	"格"		"k"	"ah"			
"01928"	"桃"		"d"	"au"	1		
"01929"	"株"		"c"	"iu"	1		
"01930"	"桅"		"ng"	"uei"	1	"桅杆"	
"01931"	"栓"		"s"	"oe"	1		
"01932"	"梁"		"l"	"ian"	1		
"01933"	"梯"		"th"	"i"	1		
"01934"	"梢"		"s"	"au"	1		
"01935"	"梓"		"ts"	"y"	2		
"01936"	"梵"		"v"	"ae"	3		
"01937"	"桿"	"杆"	"k"	"oe"	2		
"01938"	"桶"		"d"	"on"	2		
"01939"	"梱"		"kh"	"uen"	2		
"01940"	"梧"		"ng"	"u"	1		
"01941"	"梗"		"k"	"an"	2		
	"梗"		"k"	"uan"	2		
"01942"	"械"		"gh"	"a"	3		
"01943"	"梃"		"d"	"ieon"	2		
"01944"	"棄"	"弃"	"kh"	"i"	3		
"01945"	"梭"		"s"	"ou"	1		
"01946"	"梆"		"p"	"aon"	1		
"01947"	"梅"		"m"	"ei"	1		
"01948"	"梔"	"栀"	"ts"	"y"	1		
"01949"	"條"	"条"	"d"	"iau"	1		
"01950"	"梨"		"l"	"i"	1		
"01951"	"梟"	"枭"	"h"	"iau"	1		
"01952"	"棺"		"k"	"uoe"	1		
"01953"	"棕"		"ts"	"on"	1		
"01954"	"棠"		"d"	"aon"	1		
"01955"	"棘"		"k"	"ieoh"			
"01956"	"棗"	"枣"	"ts"	"au"	2		
"01957"	"椅"			"i"	2		
"01958"	"棟"	"栋"	"t"	"on"	3		
"01959"	"棵"		"kh"	"ou"	1		
"01960"	"森"		"s"	"en"	1		
"01961"	"棧"	"栈"	"z"	"ae"	3		
"01962"	"棹"		"dz"	"au"	3		
"01963"	"棒"		"b"	"aon"	2		
"01964"	"棲"	"栖"	"s"	"i"	1		
"01965"	"棣"		"d"	"i"	3		
"01966"	"棋"		"g"	"i"	1		
"01967"	"棍"		"k"	"uen"	3		
"01968"	"植"		"j"	"ieoh"			
"01969"	"椒"		"ts"	"iau"	1		
"01970"	"椎"		"j"	"iu"	1		"同“槌”"
	"椎"		"c"	"iu"	1	"頸椎"	
"01971"	"棉"		"m"	"ie"	1		
"01972"	"棚"		"b"	"an"	1		
"01973"	"榔"		"l"	"aon"	1		
"01974"	"業"	"业"	"ng"	"ieh"			
"01975"	"楚"		"tsh"	"u"	2		
"01976"	"楷"		"kh"	"a"	2		
"01977"	"楠"		"n"	"ee"	1		
"01978"	"楔"		"s"	"iaeh"			
"01979"	"極"	"极"	"g"	"ieoh"			
"01980"	"椰"		"gh"	"ia"	1		
"01981"	"概"		"k"	"ai"	3		
"01982"	"楊"	"杨"	"gh"	"ian"	1		
"01983"	"楨"	"桢"	"c"	"ieon"	1		
"01984"	"楫"		"ts"	"ieh"			
"01985"	"楞"		"l"	"eon"	1		
"01986"	"楓"	"枫"	"f"	"on"	1		
"01987"	"楹"		"gh"	"ieon"	1		
"01988"	"榆"		"gh"	"iu"	1		
"01989"	"榜"		"p"	"aon"	2		
"01990"	"榨"		"ts"	"o"	3		
"01991"	"榕"		"gh"	"ion"	1		
"01992"	"槁"		"k"	"au"	2		
"01993"	"榮"	"荣"	"gh"	"ion"	1		
"01994"	"槓"	"杠"	"k"	"aon"	3		
"01995"	"構"	"构"	"k"	"eu"	1		
"01996"	"榛"		"ts"	"en"	1		
"01997"	"榷"		"kh"	"aoh"			
"01998"	"榻"		"th"	"aeh"			
"01999"	"榫"		"s"	"iuin"	2		
"02000"	"榴"		"l"	"ieu"	1		
"02001"	"槐"		"gh"	"ua"	1		
"02002"	"槍"	"枪"	"tsh"	"ian"	1		
"02003"	"榭"		"z"	"ia"	3		
"02004"	"槌"		"j"	"iu"	1		
"02005"	"樣"	"样"	"gh"	"ian"	3		
"02006"	"樟"		"c"	"ian"	1		
"02007"	"槨"	"椁"	"k"	"uaoh"			
"02008"	"樁"	"桩"	"ts"	"iaon"	1		
"02009"	"樞"	"枢"	"ch"	"iu"	1		
"02010"	"標"	"标"	"p"	"iau"	1		
"02011"	"槽"		"z"	"au"	1		
"02012"	"模"		"m"	"u"	1		
"02013"	"樓"	"楼"	"l"	"eu"	1		
"02014"	"樊"		"v"	"ae"	1		
"02015"	"槳"	"桨"	"ts"	"ian"	2		
"02016"	"樂"	"乐"	"l"	"aoh"		"快樂，喜樂"	
	"樂"	"乐"	"ng"	"aoh"		"音樂，樂器"	
	"樂"	"乐"	"ng"	"au"	3	"仁者樂山"	"以……为乐，动词"
"02017"	"樅"	"枞"	"tsh"	"ion"	1	"樅樹"	"姓氏"
	"樅"	"枞"	"ts"	"ion"	1	"樅陽"	"地名"
"02018"	"樽"		"ts"	"en"	1		
"02019"	"樸"	"朴"	"ph"	"oh"		"樸素"	
"02020"	"樺"	"桦"	"gh"	"uo"	3		
"02021"	"橙"		"j"	"ieon"	1		
"02022"	"橫"	"横"	"gh"	"uan"	1	"橫豎，縱橫"	
	"橫"	"横"	"gh"	"uan"	3	"橫逆"	
"02023"	"橘"		"k"	"iuih"			
"02024"	"樹"	"树"	"zh"	"iu"	3	"樹枝，樹葉"	"名词"
	"樹"	"树"	"zh"	"iu"	2		"动词，种树"
"02025"	"橄"		"k"	"ee"	2		
"02026"	"橢"	"椭"	"th"	"ou"	2		
"02027"	"橡"		"z"	"ian"	2		
"02028"	"橋"	"桥"	"g"	"iau"	1		
"02029"	"橇"		"kh"	"iau"	1		
"02030"	"樵"		"z"	"iau"	1		
"02031"	"機"	"机"	"k"	"i"	1	"機器"	
"02032"	"檀"		"d"	"ae"	1		
"02033"	"檔"	"档"	"t"	"aon"	3		
"02034"	"檄"		"gh"	"iaeh"			
"02035"	"檢"	"检"	"k"	"ie"	2		
"02036"	"檜"	"桧"	"k"	"uei"	3		
"02037"	"櫛"	"栉"	"ts"	"eh"			
"02038"	"檳"	"槟"	"p"	"in"	1		
"02039"	"檬"		"m"	"on"	1		
"02040"	"櫃"	"柜"	"g"	"iu"	3		
"02041"	"檻"	"槛"	"kh"	"ae"	2		
"02042"	"檸"	"柠"	"n"	"ieon"	1		
"02043"	"櫂"		"dz"	"au"	3		
"02044"	"櫥"	"橱"	"j"	"iu"	1		
"02045"	"櫝"	"椟"	"d"	"oh"			
"02046"	"櫚"	"榈"	"l"	"i"	1		
"02047"	"櫓"	"橹"	"l"	"u"	2		
"02048"	"櫻"	"樱"		"an"	1		
"02049"	"欄"	"栏"	"l"	"ae"	1		
"02050"	"權"	"权"	"g"	"ioe"	1		
"02051"	"欖"	"榄"	"l"	"ae"	2		
"02052"	"欠"		"kh"	"ie"	3		
"02053"	"次"	"次"	"tsh"	"y"	3		
"02054"	"欣"		"h"	"in"	1		
"02055"	"欲"		"gh"	"ioh"			
"02056"	"款"		"kh"	"uoe"	2		
"02057"	"欺"		"kh"	"i"	1		
"02058"	"欽"	"钦"	"kh"	"in"	1		
"02059"	"歇"		"h"	"ieh"			
"02060"	"歉"		"kh"	"iae"	3		
"02061"	"歌"		"k"	"ou"	1		
"02062"	"歐"	"欧"		"eu"	1		
"02063"	"歙"		"sh"	"ieh"		"歙縣"	
	"歙"		"h"	"ih"			"吸入，收敛"
"02064"	"歟"	"欤"	"gh"	"i"	1		
"02065"	"歡"	"欢"	"h"	"uoe"	1		
"02066"	"止"		"ts"	"y"	2		
"02067"	"正"		"c"	"ieon"	1	"正月"	
	"正"		"c"	"ieon"	3	"公正"	
"02068"	"此"		"tsh"	"y"	2		
"02069"	"步"		"b"	"u"	3		
"02070"	"武"		"v"	"u"	2		
	"武"		"m"		2		"口语音"
"02071"	"歧"		"g"	"i"	1		
"02072"	"歪"		"h"	"ua"	1	"歪曲"	"本字为“竵”"
"02073"	"歲"	"岁"	"s"	"ei"	3		
"02074"	"歷"	"历"	"l"	"ieoh"		"歷史"	
"02075"	"歸"	"归"	"k"	"iu"	1		
"02076"	"歹"		"t"	"ai"	2		
"02077"	"死"		"s"	"y"	2	"死亡"	
	"死"		"s"	"i"	2	"死人"	"北吴口语音"
"02078"	"歿"		"m"	"eh"			
"02079"	"殃"			"ian"	1		
"02080"	"殆"		"d"	"ai"	2		
"02081"	"殊"		"zh"	"iu"	1		
"02082"	"殉"		"z"	"iuin"	3		
"02083"	"殘"	"残"	"z"	"ae"	1		
"02084"	"殖"		"j"	"ieoh"			
"02085"	"殤"		"sh"	"ian"	1		
"02086"	"殮"	"殓"	"l"	"ie"	3		
"02087"	"殯"	"殡"	"p"	"in"	3		
"02088"	"殲"	"歼"	"ts"	"ie"	1		
"02089"	"段"		"d"	"oe"	3		
"02090"	"殷"			"in"	1	"殷勤"	"姓氏"
	"殷"			"in"	2	"殷殷（雷聲）"	
	"殷"			"ae"	1	"殷紅"	"赤黑色"
"02091"	"殺"	"杀"	"s"	"aeh"			
"02092"	"殼"	"壳"	"kh"	"aoh"			
"02093"	"毀"	"毁"	"h"	"iu"	2		
"02094"	"殿"		"d"	"iae"	3		
"02095"	"毅"		"ng"	"i"	3		
"02096"	"毆"	"殴"		"eu"	1		
"02097"	"毋"		"v"	"u"	1		
"02098"	"母"		"m"	"eu"	2	"母親"	
	"母"		"m"		2	"丈母娘"	"口语音"
"02099"	"每"		"m"	"ei"	2		
"02100"	"毒"	"毒"	"d"	"oh"			
"02101"	"毓"		"gh"	"ioh"			
"02102"	"比"		"p"	"i"	2		
"02103"	"毗"		"b"	"i"	1		
"02104"	"毛"		"m"	"au"	1		
"02105"	"毫"		"gh"	"au"	1		
"02106"	"毯"		"th"	"ae"	2		
"02107"	"毽"		"k"	"iae"	3		
"02108"	"氏"		"z"	"y"	2	"姓氏"	
	"氏"		"ts"	"y"	1	"月氏"	
"02109"	"民"		"m"	"in"	1		
"02110"	"氐"		"t"	"i"	1		
	"氐"		"t"	"i"	2		"根本"
"02111"	"氓"		"m"	"an"	1		
"02112"	"氖"		"n"	"a"	2		
"02113"	"氛"		"v"	"en"	1		
"02114"	"氟"		"f"	"eh"	1		
"02115"	"氣"	"气"	"kh"	"i"	3		
"02116"	"氧"		"gh"	"ian"	2		
"02117"	"氨"			"oe"	1		
"02118"	"氦"		"gh"	"ai"	2		
"02119"	"氤"			"in"	1		
"02120"	"氫"	"氢"	"kh"	"ieon"	1		
"02121"	"氮"		"d"	"ae"	2		
"02122"	"氯"	"氯"	"l"	"oh"			
"02123"	"氳"			"iuin"	1		
"02124"	"水"		"sh"	"iu"	2		
"02125"	"永"		"gh"	"ion"	2		
"02126"	"汁"		"c"	"ih"			
"02127"	"汀"		"th"	"ieon"	1		
"02128"	"氾"	"泛"	"v"	"ae"	3	"氾濫"	
"02129"	"求"		"g"	"ieu"	1		
"02130"	"汝"		"n"	"i"	2		
"02131"	"汗"		"gh"	"oe"	3		
"02132"	"汙"	"污"		"u"			
"02133"	"江"		"k"	"aon"	1		
"02134"	"池"		"dz"	"y"	1		
"02135"	"汐"		"z"	"ieoh"			
"02136"	"汕"		"s"	"ae"	3		
"02137"	"汞"		"k"	"on"	2		
"02138"	"沙"		"s"	"o"	1		
"02139"	"沁"		"tsh"	"in"	3		
"02140"	"沈"		"sh"	"in"	2		"姓氏"
"02141"	"沉"	"沉"	"j"	"in"	1		
"02142"	"沅"		"ng"	"ioe"	1		
"02143"	"沛"		"ph"	"ei"	3		
"02144"	"汪"			"uan"	1		
"02145"	"決"	"决"	"k"	"ioeh"			
"02146"	"沐"		"m"	"oh"			
"02147"	"汰"		"th"	"a"	3		
"02148"	"沌"		"d"	"en"	2		
"02149"	"汨"		"m"	"ieoh"			
"02150"	"沖"	"冲"	"ch"	"ion"	1	"沖洗"	
"02151"	"沒"	"没"	"m"	"eh"			
"02152"	"汽"		"kh"	"i"	3		
"02153"	"沃"			"oh"			
"02154"	"汲"		"k"	"ih"			
"02155"	"汾"		"v"	"en"	1		
"02156"	"泣"		"kh"	"ih"			
"02157"	"注"		"c"	"iu"	3	"注意"	
"02158"	"泳"		"gh"	"ion"	3		
"02159"	"沱"		"d"	"ou"	1		
"02160"	"泌"		"p"	"i"	3		
"02161"	"泥"		"n"	"i"	1	"泥漿"	
	"泥"		"n"	"i"	3	"拘泥"	"涂抹，动词"
"02162"	"河"		"gh"	"ou"	1		
"02163"	"沽"		"k"	"u"	1		
"02164"	"沾"		"c"	"ie"	1		
"02165"	"沼"		"c"	"iau"	2		
"02166"	"波"		"p"	"ou"	1		
"02167"	"沫"		"m"	"oeh"			
"02168"	"法"		"f"	"aeh"			
"02169"	"泓"			"uan"	1		
"02170"	"沸"		"f"	"i"	3		
"02171"	"泄"		"s"	"ieh"		"排泄"	"姓氏"
	"泄"		"gh"	"i"	3		"古汉语音"
"02172"	"油"		"gh"	"ieu"	1		
"02173"	"況"		"h"	"iaon"	3		
"02174"	"沮"		"z"	"i"	2	"沮喪"	
	"沮"		"ts"	"i"	3	"沮洳"	
"02175"	"泗"		"s"	"y"	3		
"02176"	"泅"		"z"	"ieu"	1		
"02177"	"泱"			"ian"	1		
"02178"	"沿"		"gh"	"ie"	1		
"02179"	"治"		"dz"	"y"	3		
"02180"	"泡"		"ph"	"au"	3		
"02181"	"泛"		"f"	"ae"	3	"浮泛，空泛"	
"02182"	"泊"		"b"	"aoh"		"停泊"	
	"泊"		"ph"	"ah"		"湖泊"	
"02183"	"泉"		"z"	"ioe"	1		
"02184"	"泰"		"th"	"a"	3		
"02185"	"洋"		"gh"	"ian"	1		
"02186"	"洲"		"c"	"ieu"	1		
"02187"	"洪"		"gh"	"on"	1		
"02188"	"流"		"l"	"ieu"	1		
"02189"	"津"		"ts"	"in"	1		
"02190"	"洌"		"l"	"ieh"			
"02191"	"洱"		"n"	"i"	2		
"02192"	"洞"		"d"	"on"	3	"山洞"	
	"洞"		"d"	"on"	1	"洪洞县"	
"02193"	"洗"		"s"	"i"	2		
"02194"	"活"		"gh"	"uoeh"			
"02195"	"洽"		"gh"	"aeh"			
"02196"	"派"		"ph"	"a"	3		
"02197"	"洶"	"汹"	"h"	"ion"	1		
"02198"	"洛"		"l"	"aoh"			
"02199"	"浪"		"l"	"aon"	3		
"02200"	"涕"		"th"	"i"	3		
"02201"	"消"		"s"	"iau"	1		
"02202"	"涇"	"泾"	"k"	"ieon"	1		
"02203"	"浦"		"ph"	"u"	2		
"02204"	"浸"		"ts"	"in"	3		
"02205"	"海"		"h"	"ai"	2		
"02206"	"浙"		"c"	"ieh"			
"02207"	"涓"		"k"	"ioe"	1		
"02208"	"浬"		"l"	"i"	2		
"02209"	"涉"		"zh"	"ieh"			
"02210"	"浮"		"v"	"u"	1		
	"浮"		"v"	"eu"	1		"又音"
