"汉字"	"拼音"	"IPA"	"注释"
"代"	"thoi5"	"tʰoi˨˩˨"	"訓“替”"
"袋"	"to6"	"to˨˨"	
"埭"	"to6"	"to˨˨"	
"乃"	"nai3"	"nai˥˨"	
"耐"	"nai4"	"nai˨˥"	
"來"	"lai2"	"lai˥˥"	
"災"	"tsai1"	"tsai˧˦"	
"栽"	"tsai1"	"tsai˧˦"	
"宰"	"tsai3"	"tsai˥˨"	
"載"	"tsai3"	"tsai˥˨"	
"再"	"tsai5"	"tsai˨˩˨"	
"載"	"tsai5"	"tsai˨˩˨"	
"載"	"tsai6"	"tsai˨˨"	
"猜"	"tshai1"	"tsʰai˧˦"	
"采"	"tshai3"	"tsʰai˥˨"	
"睬"	"tshai3"	"tsʰai˥˨"	
"彩"	"tshai3"	"tsʰai˥˨"	
"菜"	"tshai5"	"tsʰai˨˩˨"	
"裁"	"tshai2"	"tsʰai˥˥"	
"材"	"tshai2"	"tsʰai˥˥"	
"才"	"tshai2"	"tsʰai˥˥"	
"才"	"tsai2"	"tsai˥˥"	"秀~"
"纔"	"tshai2"	"tsʰai˥˥"	
"財"	"tshai2"	"tsʰai˥˥"	
"在"	"tsai4"	"tsai˨˥"	
"在"	"to4"	"to˨˥"	"訓"
"腮"	"sai1"	"sai˧˦"	"文"
"腮"	"tshi1"	"tsʰi˧˦"	"白"
"鰓"	"sai1"	"sai˧˦"	"文"
"鰓"	"tshi1"	"tsʰi˧˦"	"白"
"賽"	"sai5"	"sai˨˩˨"	
"該"	"kai1"	"kai˧˦"	
"改"	"koi3"	"koi˥˨"	
"溉"	"khai5"	"kʰai˨˩˨"	
"概"	"khai5"	"kʰai˨˩˨"	
"開"	"khai1"	"kʰai˧˦"	"文"
"開"	"khui1"	"kʰui˧˦"	"白"
"凱"	"khai3"	"kʰai˥˨"	
"愷"	"khai3"	"kʰai˥˨"	
"慨"	"khai5"	"kʰai˨˩˨"	
"呆"	"ngai2"	"ŋai˥˥"	
"礙"	"gai6"	"gai˨˨"	
"海"	"hai3"	"hai˥˨"	
"孩"	"hai2"	"hai˥˥"	
"亥"	"hai4"	"hai˨˥"	
"哀"	"ai1"	"ai˧˦"	
"埃"	"ai1"	"ai˧˦"	
"唉"	"ai1"	"ai˧˦"	
"愛"	"ainn5"	"ãi˨˩˨"	
"貝"	"pue4"	"puɛ˨˥"	
"貝"	"pue5"	"puɛ˨˩˨"	"寶~"
"沛"	"phai5"	"pʰai˨˩˨"	
"帶"	"tua5"	"tua˨˩˨"	
"泰"	"thai5"	"tʰai˨˩˨"	
"太"	"thai5"	"tʰai˨˩˨"	
"大"	"tai4"	"tai˨˥"	"文"
"大"	"tua6"	"tua˨˨"	"白"
"奈"	"nai4"	"nai˨˥"	
"賴"	"nai4"	"nai˨˥"	"文"
"賴"	"lua6"	"lua˨˨"	"白"
"癩"	"nai4"	"nai˨˥"	
"蔡"	"tshua5"	"tsʰua˨˩˨"	
"蓋"	"kai5"	"kai˨˩˨"	"文"
"蓋"	"kua5"	"kua˨˩˨"	"白"
"丐"	"kai5"	"kai˨˩˨"	
"艾"	"ngai4"	"ŋai˨˥"	"文"
"艾"	"hiann6"	"hiã˨˨"	"白"
"害"	"hai6"	"hai˨˨"	
"藹"	"ai3"	"ai˥˨"	
"靄"	"ai3"	"ai˥˨"	
"拜"	"pai5"	"pai˨˩˨"	
"排"	"phai2"	"pʰai˥˥"	"~場"
"排"	"pai2"	"pai˥˥"	
"埋"	"mai2"	"mai˥˥"	
"齋"	"tse1"	"tsɛ˧˦"	
"豺"	"tshai2"	"tsʰai˥˥"	
"皆"	"kai1"	"kai˧˦"	
"偕"	"kai1"	"kai˧˦"	
"稭"	"kai1"	"kai˧˦"	
"街"	"koi1"	"koi˧˦"	
"階"	"kai1"	"kai˧˦"	
"戒"	"kai5"	"kai˨˩˨"	
"芥"	"kai5"	"kai˨˩˨"	"文"
"芥"	"kua5"	"kua˨˩˨"	"白，~菜"
"芥"	"keh7"	"kɛʔ˧˨"	"替，~藍"
"尬"	"kai5"	"kai˨˩˨"	
"界"	"kai5"	"kai˨˩˨"	"文"
"界"	"koi5"	"koi˨˩˨"	"白，地名"
"介"	"kai5"	"kai˨˩˨"	
"疥"	"koi5"	"koi˨˩˨"	
"届"	"kai5"	"kai˨˩˨"	
"揩"	"khoi1"	"kʰoi˧˦"	
"楷"	"khai3"	"kʰai˥˨"	
"諧"	"hai2"	"hai˥˥"	
"駭"	"hai4"	"hai˨˥"	
"械"	"hai4"	"hai˨˥"	
"挨"	"ai1"	"ai˧˦"	"文"
"挨"	"oi1"	"oi˧˦"	"白"
"擺"	"pai3"	"pai˥˨"	
"派"	"phai5"	"pʰai˨˩˨"	
"牌"	"pai2"	"pai˥˥"	
"罷"	"pa4"	"pa˨˥"	
"稗"	"phuenn6"	"pʰuɛ̃˨˨"	
"買"	"bue3"	"buɛ˥˨"	
"賣"	"bue6"	"buɛ˨˨"	
"奶"	"nai3"	"nai˥˨"	"文"
"奶"	"ni4"	"ni˨˥"	"訓"
"奶"	"ni1"	"ni˧˦"	"訓"
"債"	"tse5"	"tsɛ˨˩˨"	
"釵"	"thoi1"	"tʰoi˧˦"	
"差"	"tshe1"	"tsʰɛ˧˦"	
"柴"	"tsha2"	"tsʰa˥˥"	"訓"
"篩"	"sai1"	"sai˧˦"	"文，~酒"
"篩"	"thai1"	"tʰai˧˦"	"白"
"灑"	"sai5"	"sai˨˩˨"	
"灑"	"sa5"	"sa˨˩˨"	"又，瀟~"
"曬"	"sai5"	"sai˨˩˨"	
"佳"	"kia1"	"kia˧˦"	
"街"	"koi1"	"koi˧˦"	
"涯"	"ngai2"	"ŋai˥˥"	
"崖"	"ngai2"	"ŋai˥˥"	
"鞋"	"oi2"	"oi˥˥"	
"蟹"	"hoi4"	"hoi˨˥"	
"解"	"hai4"	"hai˨˥"	"文"
"解"	"koi3"	"koi˥˨"	"白"
"解"	"koi5"	"koi˨˩˨"	"白"
"解"	"oi4"	"oi˨˥"	"白，會"
"懈"	"hai4"	"hai˨˥"	
"矮"	"oi3"	"oi˥˨"	
"隘"	"ai3"	"ai˥˨"	
"敗"	"pai6"	"pai˨˨"	
"邁"	"mai4"	"mai˨˥"	
"寨"	"tse6"	"tsɛ˨˨"	
"蔽"	"pi6"	"pi˨˨"	
"斃"	"pi6"	"pi˨˨"	
"敝"	"pi6"	"pi˨˨"	
"幣"	"pi4"	"pi˨˥"	
"弊"	"pi6"	"pi˨˨"	
"厲"	"li4"	"li˨˥"	
"勵"	"li4"	"li˨˥"	
"例"	"li6"	"li˨˨"	
"祭"	"tsi5"	"tsi˨˩˨"	
"際"	"tsi5"	"tsi˨˩˨"	
"穄"	"tsi5"	"tsi˨˩˨"	
"滯"	"thi5"	"tʰi˨˩˨"	
"制"	"tsi5"	"tsi˨˩˨"	
"製"	"tsi5"	"tsi˨˩˨"	
"勢"	"si5"	"si˨˩˨"	
"世"	"si5"	"si˨˩˨"	"文"
"世"	"sua5"	"sua˨˩˨"	"白，續"
"誓"	"si6"	"si˨˨"	"文"
"誓"	"tsua6"	"tsua˨˨"	"白，咒~"
"逝"	"si6"	"si˨˨"	"文"
"逝"	"tsua6"	"tsua˨˨"	"白，次"
"藝"	"goi6"	"goi˨˨"	
"刈"	"ngi4"	"ŋi˨˥"	
"閉"	"pi6"	"pi˨˨"	
"批"	"phue1"	"pʰuɛ˧˦"	
"陛"	"pi4"	"pi˨˥"	
"迷"	"mi2"	"mi˥˥"	
"米"	"bi3"	"bi˥˨"	
"謎"	"mi4"	"mi˨˥"	
"堤"	"toi1"	"toi˧˦"	
"低"	"ti1"	"ti˧˦"	
"底"	"ti3"	"ti˥˨"	"文"
"底"	"toi3"	"toi˥˨"	"白"
"抵"	"ti3"	"ti˥˨"	"文"
"抵"	"toi3"	"toi˥˨"	"白"
"帝"	"ti5"	"ti˨˩˨"	
"梯"	"thui1"	"tʰui˧˦"	
"體"	"thi3"	"tʰi˥˨"	"文"
"體"	"thoinn3"	"tʰõi˥˨"	"白"
"替"	"thi5"	"tʰi˨˩˨"	"文"
"替"	"thoi5"	"tʰoi˨˩˨"	"白"
"涕"	"thi5"	"tʰi˨˩˨"	
"剃"	"thi5"	"tʰi˨˩˨"	
"提"	"thi2"	"tʰi˥˥"	
"題"	"toi2"	"toi˥˥"	
"蹄"	"toi2"	"toi˥˥"	
"啼"	"thi2"	"tʰi˥˥"	
"弟"	"ti4"	"ti˨˥"	
"第"	"ti4"	"ti˨˥"	"文"
"第"	"toinn4"	"tõi˨˥"	"白"
"遞"	"ti2"	"ti˥˥"	
"遞"	"ti4"	"ti˨˥"	
"泥"	"ni2"	"ni˥˥"	
"犁"	"li2"	"li˥˥"	"文"
"犁"	"loi2"	"loi˥˥"	"白"
"黎"	"li2"	"li˥˥"	"文"
"黎"	"loi2"	"loi˥˥"	"白，姓氏"
"禮"	"li3"	"li˥˨"	"文，少~"
"禮"	"loi3"	"loi˥˨"	"白"
"麗"	"li4"	"li˨˥"	
"隸"	"ti4"	"ti˨˥"	
"擠"	"tsinn5"	"tsĩ˨˩˨"	
"濟"	"tsi5"	"tsi˨˩˨"	
"濟"	"tsoi6"	"tsoi˨˨"	"替"
"妻"	"tshi1"	"tsʰi˧˦"	
"凄"	"tshi1"	"tsʰi˧˦"	
"砌"	"kih7"	"kiʔ˧˨"	"訓"
"齊"	"tshi2"	"tsʰi˥˥"	"文"
"齊"	"tsoi2"	"tsoi˥˥"	"白"
"臍"	"tsai2"	"tsai˥˥"	
"薺"	"tshi2"	"tsʰi˥˥"	
"薺"	"tsinn2"	"tsĩ˥˥"	"~葱，荸薺"
"西"	"si1"	"si˧˦"	"文"
"西"	"sai1"	"sai˧˦"	"白"
"棲"	"tshi1"	"tsʰi˧˦"	
"犀"	"sai1"	"sai˧˦"	
"洗"	"soi3"	"soi˥˨"	
"細"	"soi5"	"soi˨˩˨"	
"婿"	"sai5"	"sai˨˩˨"	
"雞"	"koi1"	"koi˧˦"	
"稽"	"ki1"	"ki˧˦"	
"計"	"ki5"	"ki˨˩˨"	"文，夥~"
"計"	"koi5"	"koi˨˩˨"	"白"
"繼"	"ki5"	"ki˨˩˨"	
"溪"	"khoi1"	"kʰoi˧˦"	
"啟"	"khi3"	"kʰi˥˨"	
"契"	"khoi5"	"kʰoi˨˩˨"	
"倪"	"goi2"	"goi˥˥"	
"詣"	"tsi3"	"tsi˥˨"	"俗"
"兮"	"hi1"	"hi˧˦"	
"奚"	"hi2"	"hi˥˥"	
"蹊"	"khi1"	"kʰi˧˦"	"俗"
"系"	"hi4"	"hi˨˥"	
"繫"	"hi4"	"hi˨˥"	
"係"	"hi4"	"hi˨˥"	
"縊"	"i5"	"i˨˩˨"	
"杯"	"pue1"	"puɛ˧˦"	
"輩"	"pue5"	"puɛ˨˩˨"	
"背"	"pue4"	"puɛ˨˥"	"文，動詞"
"背"	"pue5"	"puɛ˨˩˨"	"文，名詞"
"背"	"pi5"	"pi˨˩˨"	"替，動詞"
"坯"	"phue1"	"pʰuɛ˧˦"	
"胚"	"phue1"	"pʰuɛ˧˦"	
"配"	"phue5"	"pʰuɛ˨˩˨"	
"培"	"pue2"	"puɛ˥˥"	
"陪"	"pue2"	"puɛ˥˥"	
"賠"	"pue2"	"puɛ˥˥"	
"倍"	"pue4"	"puɛ˨˥"	
"佩"	"pue4"	"puɛ˨˥"	
"媒"	"bue2"	"buɛ˥˥"	
"枚"	"bue2"	"buɛ˥˥"	
"玫"	"bun2"	"bun˥˥"	"俗"
"梅"	"bue2"	"buɛ˥˥"	
"莓"	"bue2"	"buɛ˥˥"	
"莓"	"m6"	"m˨˨"	"覆盆子"
"每"	"mue3"	"muɛ˥˨"	
"昧"	"mue4"	"muɛ˨˥"	
"妹"	"mue4"	"muɛ˨˥"	"小稱"
"妹"	"mue6"	"muɛ˨˨"	
"堆"	"tui1"	"tui˧˦"	
"堆"	"tu1"	"tu˧˦"	"口語"
"對"	"tui5"	"tui˨˩˨"	
"推"	"thui1"	"tʰui˧˦"	"新"
"推"	"tshui1"	"tsʰui˧˦"	"文"
"推"	"tho1"	"tʰo˧˦"	"白"
"腿"	"thui3"	"tʰui˥˨"	
"退"	"tho5"	"tʰo˨˩˨"	
"頽"	"thue2"	"tʰuɛ˥˥"	
"隊"	"tui6"	"tui˨˨"	
"餒"	"nue3"	"nuɛ˥˨"	
"内"	"lai4"	"lai˨˥"	"訓“裏”"
"雷"	"lui2"	"lui˥˥"	
"儡"	"lui3"	"lui˥˨"	
"催"	"tshui1"	"tsʰui˧˦"	
"崔"	"tshui1"	"tsʰui˧˦"	
"罪"	"tsue4"	"tsuɛ˨˥"	
"罪"	"tso4"	"tso˨˥"	"白，得~"
"碎"	"tshui5"	"tsʰui˨˩˨"	
"瑰"	"kui5"	"kui˨˩˨"	
"盔"	"khue1"	"kʰuɛ˧˦"	
"魁"	"khue2"	"kʰuɛ˥˥"	
"詼"	"khue1"	"kʰuɛ˧˦"	
"恢"	"hue1"	"huɛ˧˦"	
"傀"	"kui3"	"kui˥˨"	
"塊"	"ko5"	"ko˨˩˨"	
"灰"	"hui1"	"hui˧˦"	"新"
"灰"	"hue1"	"huɛ˧˦"	
"灰"	"hu1"	"hu˧˦"	"替"
"悔"	"hue5"	"huɛ˨˩˨"	
"賄"	"iu4"	"iu˨˥"	"俗"
"晦"	"hue5"	"huɛ˨˩˨"	
"回"	"hue2"	"huɛ˥˥"	
"匯"	"hue4"	"huɛ˨˥"	
"潰"	"khui4"	"kʰui˨˥"	
"兑"	"tue4"	"tuɛ˨˥"	
"最"	"tsue5"	"tsuɛ˨˩˨"	
"劊"	"kuai5"	"kuai˨˩˨"	
"會"	"kuai5"	"kuai˨˩˨"	
"外"	"gua6"	"gua˨˨"	
"會"	"hue4"	"huɛ˨˥"	
"會"	"oi4"	"oi˨˥"	"訓“解”"
"繪"	"kuai5"	"kuai˨˩˨"	
"乖"	"kuai1"	"kuai˧˦"	
"怪"	"kuai5"	"kuai˨˩˨"	"文"
"怪"	"kue5"	"kuɛ˨˩˨"	"白，無~"
"淮"	"huai2"	"huai˥˥"	
"懷"	"huai2"	"huai˥˥"	
"槐"	"huai2"	"huai˥˥"	
"壞"	"huai4"	"huai˨˥"	
"拐"	"kuai3"	"kuai˥˨"	
"掛"	"khua5"	"kʰua˨˩˨"	"文"
"掛"	"kua5"	"kua˨˩˨"	"佩戴"
"掛"	"kui5"	"kui˨˩˨"	"白，~紙"
"卦"	"kua5"	"kua˨˩˨"	"文"
"卦"	"kue5"	"kuɛ˨˩˨"	"白"
"歪"	"uai1"	"uai˧˦"	
"畫"	"ue6"	"uɛ˨˨"	"名詞"
"畫"	"ueh8"	"uɛʔ˥˦"	"動詞"
"快"	"khuai5"	"kʰuai˨˩˨"	"文"
"快"	"khue5"	"kʰuɛ˨˩˨"	"白"
"筷"	"khuai5"	"kʰuai˨˩˨"	
"話"	"ue6"	"uɛ˨˨"	
"脆"	"tshui5"	"tsʰui˨˩˨"	
"脆"	"tshui3"	"tsʰui˥˨"	"又"
"歲"	"sue5"	"suɛ˨˩˨"	
"歲"	"hue5"	"huɛ˨˩˨"	"白"
"彗"	"hui4"	"hui˨˥"	
"綴"	"tshuak7"	"tsʰuat˧˨"	
"綴"	"tue5"	"tuɛ˨˩˨"	
"贅"	"tsui4"	"tsui˨˥"	
"税"	"sue5"	"suɛ˨˩˨"	
"説"	"sueh7"	"suɛʔ˧˨"	
"衛"	"ue4"	"uɛ˨˥"	
"鋭"	"jue4"	"dzuɛ˨˥"	
"廢"	"hui5"	"hui˨˩˨"	
"肺"	"hui5"	"hui˨˩˨"	
"吠"	"pui6"	"pui˨˨"	
"穢"	"ue5"	"uɛ˨˩˨"	
"圭"	"kui1"	"kui˧˦"	
"閨"	"kui1"	"kui˧˦"	
"桂"	"kui5"	"kui˨˩˨"	
"奎"	"khui2"	"kʰui˥˥"	
"携"	"hi4"	"hi˨˥"	
"慧"	"hui4"	"hui˨˥"	
"惠"	"hui4"	"hui˨˥"	
"卑"	"pi1"	"pi˧˦"	
"碑"	"pi1"	"pi˧˦"	
"彼"	"pi3"	"pi˥˨"	
"俾"	"pi3"	"pi˥˨"	
"臂"	"pi5"	"pi˨˩˨"	
"披"	"phi1"	"pʰi˧˦"	
"譬"	"phi5"	"pʰi˨˩˨"	
"皮"	"phi2"	"pʰi˥˥"	"文"
"皮"	"phue2"	"pʰuɛ˥˥"	"白"
"疲"	"phi2"	"pʰi˥˥"	
"脾"	"phi2"	"pʰi˥˥"	
"被"	"pi4"	"pi˨˥"	"文"
"被"	"phue4"	"pʰuɛ˨˥"	"白，名詞"
"婢"	"pi4"	"pi˨˥"	
"避"	"pi6"	"pi˨˨"	
"糜"	"mi2"	"mi˥˥"	"文"
"糜"	"mue2"	"muɛ˥˥"	"白，粥"
"彌"	"ni3"	"ni˥˨"	
"靡"	"mi2"	"mi˥˥"	
"籬"	"li2"	"li˥˥"	
"離"	"li2"	"li˥˥"	
"離"	"li6"	"li˨˨"	
"璃"	"li2"	"li˥˥"	
"麗"	"li2"	"li˥˥"	
"荔"	"li4"	"li˨˥"	"文"
"荔"	"noinn6"	"nõi˨˨"	"白，~果，荔枝"
"紫"	"tsi3"	"tsi˥˨"	
"雌"	"tshur2"	"tsʰɯ˥˥"	
"此"	"tshur3"	"tsʰɯ˥˨"	
"刺"	"tshng5"	"tsʰŋ˨˩˨"	
"刺"	"tshi5"	"tsʰi˨˩˨"	"名詞"
"刺"	"tshiah7"	"tsʰiaʔ˧˨"	"白"
"疵"	"tshur1"	"tsʰɯ˧˦"	
"斯"	"sur1"	"sɯ˧˦"	
"撕"	"sur1"	"sɯ˧˦"	
"厮"	"sur1"	"sɯ˧˦"	
"璽"	"jur3"	"dzɯ˥˨"	"俗"
"徙"	"sua3"	"sua˥˨"	
"賜"	"sur5"	"sɯ˨˩˨"	
"知"	"ti1"	"ti˧˦"	"文"
"知"	"ti5"	"ti˨˩˨"	"~識"
"知"	"tsai1"	"tsai˧˦"	"白"
"智"	"ti5"	"ti˨˩˨"	
"池"	"ti2"	"ti˥˥"	
"馳"	"tshi2"	"tsʰi˥˥"	
"支"	"tsinn1"	"tsĩ˧˦"	
"支"	"ki1"	"ki˧˦"	"白"
"枝"	"ki1"	"ki˧˦"	
"肢"	"tsinn1"	"tsĩ˧˦"	
"肢"	"ki1"	"ki˧˦"	"白"
"梔"	"ki1"	"ki˧˦"	
"只"	"tsi3"	"tsi˥˨"	
"紙"	"tsua3"	"tsua˥˨"	
"侈"	"tshi3"	"tsʰi˥˨"	
"施"	"si1"	"si˧˦"	
"豕"	"si3"	"si˥˨"	
"翅"	"tshi5"	"tsʰi˨˩˨"	"魚~"
"翅"	"thi5"	"tʰi˨˩˨"	
"匙"	"si2"	"si˥˥"	
"是"	"si4"	"si˨˥"	
"氏"	"si4"	"si˨˥"	
"豉"	"si6"	"si˨˨"	
"兒"	"ji2"	"dzi˥˥"	
"兒"	"ni1"	"ni˧˦"	"白"
"爾"	"jur3"	"dzɯ˥˨"	
"羈"	"ki1"	"ki˧˦"	
"寄"	"kia5"	"kia˨˩˨"	
"企"	"ki4"	"ki˨˥"	
"企"	"khia4"	"kʰia˨˥"	"訓，~鵝"
"奇"	"khi2"	"kʰi˥˥"	
"奇"	"khia1"	"kʰia˧˦"	
"騎"	"khia2"	"kʰia˥˥"	
"歧"	"khi2"	"kʰi˥˥"	
"歧"	"ki2"	"ki˥˥"	
"技"	"ki4"	"ki˨˥"	
"妓"	"ki4"	"ki˨˥"	
"徛"	"khia4"	"kʰia˨˥"	
"宜"	"ngi2"	"ŋi˥˥"	
"儀"	"ngi2"	"ŋi˥˥"	
"蟻"	"hiann4"	"hiã˨˥"	
"義"	"ngi4"	"ŋi˨˥"	
"議"	"ngi3"	"ŋi˥˨"	
"誼"	"ngi5"	"ŋi˨˩˨"	
"犧"	"hi1"	"hi˧˦"	
"桸"	"hia1"	"hia˧˦"	
"戲"	"hi5"	"hi˨˩˨"	
"椅"	"inn3"	"ĩ˥˨"	
"倚"	"i3"	"i˥˨"	"文"
"倚"	"ua3"	"ua˥˨"	"白"
"移"	"i2"	"i˥˥"	
"易"	"i4"	"i˨˥"	"文"
"易"	"ek8"	"ɛk˥˦"	"文"
"易"	"iah8"	"iaʔ˥˦"	"白，~經"
"易"	"goi6"	"goi˨˨"	"訓"
"悲"	"pui1"	"pui˧˦"	
"鄙"	"phi3"	"pʰi˥˨"	
"比"	"pi3"	"pi˥˨"	
"庇"	"pi5"	"pi˨˩˨"	
"痹"	"pi5"	"pi˨˩˨"	
"泌"	"pi5"	"pi˨˩˨"	
"秘"	"pi5"	"pi˨˩˨"	
"痞"	"phi3"	"pʰi˥˨"	"文"
"痞"	"phai3"	"pʰai˥˨"	"白"
"丕"	"phi3"	"pʰi˥˨"	
"屁"	"phui5"	"pʰui˨˩˨"	
"琵"	"pi2"	"pi˥˥"	
"備"	"pi4"	"pi˨˥"	
"鼻"	"phinn6"	"pʰĩ˨˨"	
"篦"	"pin5"	"pin˨˩˨"	
"眉"	"bai2"	"bai˥˥"	
"楣"	"bai2"	"bai˥˥"	
"霉"	"bue2"	"buɛ˥˥"	
"美"	"mui3"	"mui˥˨"	
"媚"	"mi4"	"mi˨˥"	
"寐"	"mue4"	"muɛ˨˥"	
"地"	"ti6"	"ti˨˨"	
"地"	"to5"	"to˨˩˨"	"替，口語"
"尼"	"ni2"	"ni˥˥"	
"呢"	"ni1"	"ni˧˦"	
"呢"	"ni2"	"ni˥˥"	
"呢"	"ne1"	"nɛ˧˦"	"替"
"膩"	"jur4"	"dzɯ˨˥"	"文"
"膩"	"ji6"	"dzi˨˨"	"白，小~"
"梨"	"lai2"	"lai˥˥"	
"履"	"li3"	"li˥˨"	
"利"	"li4"	"li˨˥"	"文"
"利"	"lai6"	"lai˨˨"	"白"
"咨"	"tsur1"	"tsɯ˧˦"	
"資"	"tsur1"	"tsɯ˧˦"	
"姿"	"tsur1"	"tsɯ˧˦"	
"姊"	"tsi3"	"tsi˥˨"	
"次"	"tshur5"	"tsʰɯ˨˩˨"	
"瓷"	"tshur2"	"tsʰɯ˥˥"	
"糍"	"tsi2"	"tsi˥˥"	
"自"	"tsur6"	"tsɯ˨˨"	
"私"	"sur1"	"sɯ˧˦"	"文"
"私"	"si1"	"si˧˦"	"白，家~"
"私"	"sai1"	"sai˧˦"	"白"
"死"	"si3"	"si˥˨"	
"四"	"si5"	"si˨˩˨"	
"肆"	"sur5"	"sɯ˨˩˨"	"文"
"肆"	"si5"	"si˨˩˨"	"白"
"致"	"ti5"	"ti˨˩˨"	
"遲"	"tshi2"	"tsʰi˥˥"	
"稚"	"tsinn3"	"tsĩ˥˨"	"訓"
"師"	"sur1"	"sɯ˧˦"	"文"
"師"	"sai1"	"sai˧˦"	"白"
"獅"	"sai1"	"sai˧˦"	
"柿"	"sai4"	"sai˨˥"	
"脂"	"tsinn1"	"tsĩ˧˦"	
"指"	"tsng3"	"tsŋ˥˨"	"~甲"
"指"	"tsi3"	"tsi˥˨"	
"指"	"tsoinn3"	"tsõi˥˨"	"白，手~"
"指"	"ki3"	"ki˥˨"	"白，動詞"
"旨"	"tsi3"	"tsi˥˨"	
"至"	"tsi5"	"tsi˨˩˨"	
"示"	"si6"	"si˨˨"	
"尸"	"si1"	"si˧˦"	
"矢"	"si3"	"si˥˨"	
"屎"	"sai3"	"sai˥˨"	
"視"	"si4"	"si˨˥"	
"視"	"si6"	"si˨˨"	
"二"	"ji4"	"dzi˨˥"	"文"
"二"	"ji6"	"dzi˨˨"	
"貳"	"ji4"	"dzi˨˥"	"文"
"貳"	"ji6"	"dzi˨˨"	
"肌"	"ki1"	"ki˧˦"	
"飢"	"ki1"	"ki˧˦"	
"几"	"ki3"	"ki˥˨"	
"冀"	"ki5"	"ki˨˩˨"	
"器"	"khi5"	"kʰi˨˩˨"	
"棄"	"khi5"	"kʰi˨˩˨"	
"祈"	"khi2"	"kʰi˥˥"	
"伊"	"i1"	"i˧˦"	
"懿"	"i4"	"i˨˥"	
"夷"	"i2"	"i˥˥"	
"姨"	"i2"	"i˥˥"	
"肄"	"i5"	"i˨˩˨"	
"你"	"lur3"	"lɯ˥˨"	
"厘"	"li2"	"li˥˥"	
"李"	"li3"	"li˥˨"	
"理"	"li3"	"li˥˨"	
"里"	"li3"	"li˥˨"	
"裏"	"li3"	"li˥˨"	"文"
"裏"	"lai4"	"lai˨˥"	"白"
"鯉"	"li3"	"li˥˨"	
"吏"	"li6"	"li˨˨"	
"兹"	"tsur1"	"tsɯ˧˦"	
"滋"	"tsur1"	"tsɯ˧˦"	
"子"	"tsur3"	"tsɯ˥˨"	"文"
"子"	"tsi3"	"tsi˥˨"	"白"
"仔"	"tsur3"	"tsɯ˥˨"	
"仔"	"tsai3"	"tsai˥˨"	
"仔"	"kiann3"	"kiã˥˨"	"訓"
"梓"	"tsur3"	"tsɯ˥˨"	
"磁"	"tshur2"	"tsʰɯ˥˥"	
"慈"	"tshur2"	"tsʰɯ˥˥"	
"字"	"jur4"	"dzɯ˨˥"	"文"
"字"	"ji6"	"dzi˨˨"	"白"
"司"	"sur1"	"sɯ˧˦"	"文"
"司"	"si1"	"si˧˦"	"白"
"絲"	"si1"	"si˧˦"	
"思"	"sur1"	"sɯ˧˦"	"文"
"思"	"sur5"	"sɯ˨˩˨"	"文，意~"
"思"	"si1"	"si˧˦"	"白，相~"
"伺"	"sur4"	"sɯ˨˥"	
"辭"	"sur2"	"sɯ˥˥"	"文"
"辭"	"si2"	"si˥˥"	"白"
"詞"	"sur2"	"sɯ˥˥"	
"祠"	"sur2"	"sɯ˥˥"	
"巳"	"sur4"	"sɯ˨˥"	
"祀"	"sur4"	"sɯ˨˥"	
"似"	"sur4"	"sɯ˨˥"	
"寺"	"si6"	"si˨˨"	
"嗣"	"sur2"	"sɯ˥˥"	
"飼"	"sur4"	"sɯ˨˥"	"文"
"飼"	"tshi6"	"tsʰi˨˨"	"白"
"置"	"ti5"	"ti˨˩˨"	
"痴"	"tshi1"	"tsʰi˧˦"	
"耻"	"tshinn3"	"tsʰĩ˥˨"	
"持"	"thi2"	"tʰi˥˥"	
"持"	"ti2"	"ti˥˥"	"记~"
"峙"	"sur4"	"sɯ˨˥"	
"痔"	"thi4"	"tʰi˨˥"	
"治"	"ti6"	"ti˨˨"	
"治"	"ti2"	"ti˥˥"	
"治"	"thai2"	"tʰai˥˥"	"白"
"輜"	"tsur1"	"tsɯ˧˦"	
"廁"	"tshe5"	"tsʰɛ˨˩˨"	
"俟"	"sur4"	"sɯ˨˥"	
"士"	"sur4"	"sɯ˨˥"	
"事"	"sur6"	"sɯ˨˨"	"文"
"事"	"tai6"	"tai˨˨"	"白"
"史"	"sur3"	"sɯ˥˨"	"文"
"史"	"sai3"	"sai˥˨"	"白，姓氏"
"使"	"sai3"	"sai˥˨"	
"使"	"sai5"	"sai˨˩˨"	
"駛"	"sai3"	"sai˥˨"	
"芝"	"tsur1"	"tsɯ˧˦"	
"之"	"tsur1"	"tsɯ˧˦"	
"址"	"tsi3"	"tsi˥˨"	
"止"	"tsi3"	"tsi˥˨"	
"趾"	"tsi3"	"tsi˥˨"	
"志"	"tsi5"	"tsi˨˩˨"	
"誌"	"tsi5"	"tsi˨˩˨"	
"痣"	"ki5"	"ki˨˩˨"	
"齒"	"tshi3"	"tsʰi˥˨"	"文，不~"
"齒"	"khi3"	"kʰi˥˨"	"白"
"詩"	"si1"	"si˧˦"	
"始"	"sur3"	"sɯ˥˨"	
"試"	"tshi5"	"tsʰi˨˩˨"	
"時"	"si2"	"si˥˥"	
"市"	"tshi4"	"tsʰi˨˥"	
"恃"	"si4"	"si˨˥"	
"侍"	"si4"	"si˨˥"	
