"简体"	"繁體"	"拼音"	"音標"
"勇"	"勇"	"iao3"	"ʔyɔ˦˥"
"湧"	"湧"	"iao3"	"ʔyɔ˦˥"
"壅"	"壅"	"iao5"	"ʔyɔ˥˨"
"王"	"王"	"yao2"	"jyɔ˧˩"
"用"	"用"	"yao6"	"jyɔ˨˨"
"光"	"光"	"kao1"	"kɔ˦˦"
"江"	"江"	"kao1"	"kɔ˦˦"
"缸"	"缸"	"kao1"	"kɔ˦˦"
"岡"	"岡"	"kao1"	"kɔ˦˦"
"崗"	"崗"	"kao1"	"kɔ˦˦"
"剛"	"剛"	"kao1"	"kɔ˦˦"
"綱"	"綱"	"kao1"	"kɔ˦˦"
"鋼"	"鋼"	"kao1"	"kɔ˦˦"
"罡"	"罡"	"kao1"	"kɔ˦˦"
"廣"	"廣"	"kao3"	"kɔ˦˥"
"講"	"講"	"kao3"	"kɔ˦˥"
"港"	"港"	"kao3"	"kɔ˦˥"
"杠"	"杠"	"kao5"	"kɔ˥˨"
"扛"	"扛"	"kao5"	"kɔ˥˨"
"降"	"降"	"kao5"	"kɔ˥˨"
"康"	"康"	"khao1"	"kʰɔ˦˦"
"糠"	"糠"	"khao1"	"kʰɔ˦˦"
"慷"	"慷"	"khao3"	"kʰɔ˦˥"
"抗"	"抗"	"khao5"	"kʰɔ˥˨"
"炕"	"炕"	"khao5"	"kʰɔ˥˨"
"團"	"團"	"khao5"	"kʰɔ˥˨"
"曠"	"曠"	"khao5"	"kʰɔ˥˨"
"抗"	"抗"	"khao5"	"kʰɔ˥˨"
"荒"	"荒"	"hao1"	"hɔ˦˦"
"慌"	"慌"	"hao1"	"hɔ˦˦"
"謊"	"謊"	"hao3"	"hɔ˦˥"
"晃"	"晃"	"hao3"	"hɔ˦˥"
"行"	"行"	"ghao2"	"ɦɔ˧˩"
"航"	"航"	"ghao2"	"ɦɔ˧˩"
"杭"	"杭"	"ghao2"	"ɦɔ˧˩"
"黃"	"黃"	"ghao2"	"ɦɔ˧˩"
"簧"	"簧"	"ghao2"	"ɦɔ˧˩"
"皇"	"皇"	"ghao2"	"ɦɔ˧˩"
"蝗"	"蝗"	"ghao2"	"ɦɔ˧˩"
"項"	"項"	"ghao4"	"ɦɔ˧˦"
"旺"	"旺"	"ghao6"	"ɦɔ˨˨"
"巷"	"巷"	"ghao6"	"ɦɔ˨˨"
"汪"	"汪"	"ao1"	"ʔɔ˦˦"
"骯"	"骯"	"ao1"	"ʔɔ˦˦"
"坳"	"坳"	"ao1"	"ʔɔ˦˦"
"凹"	"凹"	"ao1"	"ʔɔ˦˦"
"博"	"博"	"po7"	"po˧˨˧"
"剝"	"剝"	"po7"	"po˧˨˧"
"駁"	"駁"	"po7"	"po˧˨˧"
"蔔"	"蔔"	"po7"	"po˧˨˧"
"薄"	"薄"	"bo8"	"bo˨˩˨"
"莫"	"莫"	"mo8"	"mo˨˩˨"
"寞"	"寞"	"mo8"	"mo˨˩˨"
"摸"	"摸"	"mo8"	"mo˨˩˨"
"多"	"多"	"to1"	"to˦˦"
"朵"	"朵"	"to3"	"to˦˥"
"躲"	"躲"	"to3"	"to˦˥"
"剁"	"剁"	"to5"	"to˥˨"
"拖"	"拖"	"tho1"	"tʰo˦˦"
"橢"	"橢"	"tho1"	"tʰo˦˦"
"妥"	"妥"	"tho3"	"tʰo˦˥"
"唾"	"唾"	"tho5"	"tʰo˥˨"
"禿"	"禿"	"tho7"	"tʰo˧˨˧"
"駝"	"駝"	"do2"	"do˧˩"
"馱"	"馱"	"do2"	"do˧˩"
"舵"	"舵"	"do4"	"do˧˦"
"鐸"	"鐸"	"do8"	"do˨˩˨"
"奴"	"奴"	"no6"	"no˨˨"
"努"	"努"	"no6"	"no˨˨"
"怒"	"怒"	"no6"	"no˨˨"
"糯"	"糯"	"no6"	"no˨˨"
"羅"	"羅"	"lo2"	"lo˧˩"
"鑼"	"鑼"	"lo2"	"lo˧˩"
"籮"	"籮"	"lo2"	"lo˧˩"
"騾"	"騾"	"lo2"	"lo˧˩"
"螺"	"螺"	"lo2"	"lo˧˩"
"腡"	"腡"	"lo2"	"lo˧˩"
"魯"	"魯"	"lo4"	"lo˧˦"
"虜"	"虜"	"lo4"	"lo˧˦"
"櫓"	"櫓"	"lo4"	"lo˧˦"
"棵"	"棵"	"lo4"	"lo˧˦"
"摞"	"摞"	"lo6"	"lo˨˨"
"洛"	"洛"	"lo8"	"lo˨˩˨"
"落"	"落"	"lo8"	"lo˨˩˨"
"烙"	"烙"	"lo8"	"lo˨˩˨"
"駱"	"駱"	"lo8"	"lo˨˩˨"
"絡"	"絡"	"lo8"	"lo˨˩˨"
"酪"	"酪"	"lo8"	"lo˨˩˨"
"樂"	"樂"	"lo8"	"lo˨˩˨"
"錄"	"錄"	"lo8"	"lo˨˩˨"
"綠"	"綠"	"lo8"	"lo˨˩˨"
"操"	"操"	"lo8"	"lo˨˩˨"
"搓"	"搓"	"so1"	"so˦˦"
"蓑"	"蓑"	"so1"	"so˦˦"
"梭"	"梭"	"so1"	"so˦˦"
"唆"	"唆"	"so1"	"so˦˦"
"莎"	"莎"	"so1"	"so˦˦"
"沙"	"沙"	"so1"	"so˦˦"
"紗"	"紗"	"so1"	"so˦˦"
"蔬"	"蔬"	"so1"	"so˦˦"
"漱"	"漱"	"so1"	"so˦˦"
"疏"	"疏"	"so1"	"so˦˦"
"鎖"	"鎖"	"so3"	"so˦˥"
"瑣"	"瑣"	"so3"	"so˦˥"
"所"	"所"	"so3"	"so˦˥"
"素"	"素"	"so5"	"so˥˨"
"嗉"	"嗉"	"so5"	"so˥˨"
"索"	"索"	"so7"	"so˧˨˧"
"朔"	"朔"	"so7"	"so˧˨˧"
"粟"	"粟"	"so7"	"so˧˨˧"
"束"	"束"	"so7"	"so˧˨˧"
"縮"	"縮"	"so7"	"so˧˨˧"
"斜"	"斜"	"zo2"	"zo˧˩"
"鋤"	"鋤"	"zo2"	"zo˧˩"
"矬"	"矬"	"zo2"	"zo˧˩"
"坐"	"坐"	"zo4"	"zo˧˦"
"座"	"座"	"zo6"	"zo˨˨"
"助"	"助"	"zo6"	"zo˨˨"
"俗"	"俗"	"zo8"	"zo˨˩˨"
"續"	"續"	"zo8"	"zo˨˩˨"
"屬"	"屬"	"zo8"	"zo˨˩˨"
"贖"	"贖"	"zo8"	"zo˨˩˨"
"楂"	"楂"	"co1"	"tɕo˦˦"
"渣"	"渣"	"co1"	"tɕo˦˦"
"左"	"左"	"co3"	"tɕo˦˥"
"佐"	"佐"	"co3"	"tɕo˦˥"
"組"	"組"	"co3"	"tɕo˦˥"
"陽"	"陽"	"co3"	"tɕo˦˥"
"炸"	"炸"	"co5"	"tɕo˥˨"
"詐"	"詐"	"co5"	"tɕo˥˨"
"榨"	"榨"	"co5"	"tɕo˥˨"
"作"	"作"	"co5"	"tɕo˥˨"
"做"	"做"	"co5"	"tɕo˥˨"
"卓"	"卓"	"co7"	"tɕo˧˨˧"
"桌"	"桌"	"co7"	"tɕo˧˨˧"
"琢"	"琢"	"co7"	"tɕo˧˨˧"
"啄"	"啄"	"co7"	"tɕo˧˨˧"
"捉"	"捉"	"co7"	"tɕo˧˨˧"
"足"	"足"	"co7"	"tɕo˧˨˧"
"作"	"作"	"co7"	"tɕo˧˨˧"
"叉"	"叉"	"cho1"	"tɕʰo˦˦"
"杈"	"杈"	"cho1"	"tɕʰo˦˦"
"差"	"差"	"cho1"	"tɕʰo˦˦"
"車"	"車"	"cho1"	"tɕʰo˦˦"
"錯"	"錯"	"cho1"	"tɕʰo˦˦"
"初"	"初"	"cho1"	"tɕʰo˦˦"
"銼"	"銼"	"cho5"	"tɕʰo˥˨"
"岔"	"岔"	"cho5"	"tɕʰo˥˨"
"錯"	"錯"	"cho7"	"tɕʰo˧˨˧"
"戳"	"戳"	"cho7"	"tɕʰo˧˨˧"
"畜"	"畜"	"cho7"	"tɕʰo˧˨˧"
"促"	"促"	"cho7"	"tɕʰo˧˨˧"
"曲"	"曲"	"cho7"	"tɕʰo˧˨˧"
"措"	"措"	"cho7"	"tɕʰo˧˨˧"
"劄"	"劄"	"cho7"	"tɕʰo˧˨˧"
"茶"	"茶"	"jo2"	"dʑo˧˩"
"搽"	"搽"	"jo2"	"dʑo˧˩"
"查"	"查"	"jo2"	"dʑo˧˩"
"乍"	"乍"	"jo6"	"dʑo˨˨"
"昨"	"昨"	"jo6"	"dʑo˨˨"
"蜀"	"蜀"	"jo8"	"dʑo˨˩˨"
"局"	"局"	"jo8"	"dʑo˨˩˨"
"鐲"	"鐲"	"jo8"	"dʑo˨˩˨"
"浴"	"浴"	"yo8"	"jo˨˩˨"
"懲"	"懲"	"yo8"	"jo˨˩˨"
"欲"	"欲"	"yo8"	"jo˨˩˨"
"簧."	"簧."	"yo8"	"jo˨˩˨"
"開"	"開"	"ko1"	"ko˦˦"
"歌"	"歌"	"ko1"	"ko˦˦"
"家"	"家"	"ko1"	"ko˦˦"
"加"	"加"	"ko1"	"ko˦˦"
"癡"	"癡"	"ko1"	"ko˦˦"
"嘉"	"嘉"	"ko1"	"ko˦˦"
"傢"	"傢"	"ko1"	"ko˦˦"
"假"	"假"	"ko3"	"ko˦˥"
"賈"	"賈"	"ko3"	"ko˦˥"
"假"	"假"	"ko5"	"ko˥˨"
"駕"	"駕"	"ko5"	"ko˥˨"
"嫁"	"嫁"	"ko5"	"ko˥˨"
"稼"	"稼"	"ko5"	"ko˥˨"
"價"	"價"	"ko5"	"ko˥˨"
"架"	"架"	"ko5"	"ko˥˨"
"各"	"各"	"ko7"	"ko˧˨˧"
"閣"	"閣"	"ko7"	"ko˧˨˧"
"擱"	"擱"	"ko7"	"ko˧˨˧"
"胳"	"胳"	"ko7"	"ko˧˨˧"
"郭"	"郭"	"ko7"	"ko˧˨˧"
"覺"	"覺"	"ko7"	"ko˧˨˧"
"角"	"角"	"ko7"	"ko˧˨˧"
"廓"	"廓"	"ko7"	"ko˧˨˧"
"可"	"可"	"kho3"	"kʰo˦˥"
"揢"	"揢"	"kho5"	"kʰo˥˨"
"確"	"確"	"kho7"	"kʰo˧˨˧"
"掖"	"掖"	"kho7"	"kʰo˧˨˧"
"殼"	"殼"	"kho7"	"kʰo˧˨˧"
"廓"	"廓"	"kho7"	"kʰo˧˨˧"
"牙"	"牙"	"ngo2"	"ŋo˧˩"
"芽"	"芽"	"ngo2"	"ŋo˧˩"
"伢"	"伢"	"ngo2"	"ŋo˧˩"
"鵝"	"鵝"	"ngo2"	"ŋo˧˩"
"衙"	"衙"	"ngo2"	"ŋo˧˩"
"雅"	"雅"	"ngo4"	"ŋo˧˦"
"瓦"	"瓦"	"ngo4"	"ŋo˧˦"
"昂"	"昂"	"ngo4"	"ŋo˧˦"
"砑"	"砑"	"ngo6"	"ŋo˨˨"
"嶽"	"嶽"	"ngo8"	"ŋo˨˩˨"
"樂"	"樂"	"ngo8"	"ŋo˨˩˨"
"鶴"	"鶴"	"ngo8"	"ŋo˨˩˨"
"鄂"	"鄂"	"ngo8"	"ŋo˨˩˨"
"鍔"	"鍔"	"ngo8"	"ŋo˨˩˨"
"胯"	"胯"	"ngo8"	"ŋo˨˩˨"
"鄂"	"鄂"	"ngo8"	"ŋo˨˩˨"
"鱷"	"鱷"	"ngo8"	"ŋo˨˩˨"
"愕"	"愕"	"ngo8"	"ŋo˨˩˨"
"萼"	"萼"	"ngo8"	"ŋo˨˩˨"
"暇"	"暇"	"ho1"	"ho˦˦"
"訛"	"訛"	"ho1"	"ho˦˦"
"蝦"	"蝦"	"ho1"	"ho˦˦"
"霍"	"霍"	"ho7"	"ho˧˨˧"
"藿"	"藿"	"ho7"	"ho˧˨˧"
"嚇"	"嚇"	"ho7"	"ho˧˨˧"
"河"	"河"	"gho2"	"ɦo˧˩"
"荷"	"荷"	"gho2"	"ɦo˧˩"
"乎"	"乎"	"gho2"	"ɦo˧˩"
"霞"	"霞"	"gho2"	"ɦo˧˩"
"琨"	"琨"	"gho2"	"ɦo˧˩"
"遐"	"遐"	"gho2"	"ɦo˧˩"
"何"	"何"	"gho2"	"ɦo˧˩"
"下"	"下"	"gho4"	"ɦo˧˦"
"賀"	"賀"	"gho6"	"ɦo˨˨"
"夏"	"夏"	"gho6"	"ɦo˨˨"
"廈"	"廈"	"gho6"	"ɦo˨˨"
"蝦"	"蝦"	"gho6"	"ɦo˨˨"
"霞"	"霞"	"gho6"	"ɦo˨˨"
"瑕"	"瑕"	"gho6"	"ɦo˨˨"
"遐"	"遐"	"gho6"	"ɦo˨˨"
"學"	"學"	"gho8"	"ɦo˨˩˨"
"鑊"	"鑊"	"gho8"	"ɦo˨˩˨"
"鴉"	"鴉"	"o1"	"o˦˦"
"椏"	"椏"	"o1"	"o˦˦"
"啞"	"啞"	"o3"	"o˦˥"
"亞"	"亞"	"o5"	"o˥˨"
"惡"	"惡"	"o7"	"o˧˨˧"
"嚕"	"嚕"	"lo1"	"lo˦˦"
"斑"	"斑"	"pae1"	"pɛ˦˦"
"班"	"班"	"pae1"	"pɛ˦˦"
"頒"	"頒"	"pae1"	"pɛ˦˦"
"扳"	"扳"	"pae1"	"pɛ˦˦"
"板"	"板"	"pae3"	"pɛ˦˥"
"版"	"版"	"pae3"	"pɛ˦˥"
"板"	"板"	"pae3"	"pɛ˦˥"
"扮"	"扮"	"pae5"	"pɛ˥˨"
"攀"	"攀"	"phae1"	"pʰɛ˦˦"
"盼"	"盼"	"phae5"	"pʰɛ˥˨"
"瓣"	"瓣"	"phae5"	"pʰɛ˥˨"
"襻"	"襻"	"phae5"	"pʰɛ˥˨"
"爿"	"爿"	"bae2"	"bɛ˧˩"
"辦"	"辦"	"bae6"	"bɛ˨˨"
"蠻"	"蠻"	"mae2"	"mɛ˧˩"
"晚"	"晚"	"mae4"	"mɛ˧˦"
"挽"	"挽"	"mae4"	"mɛ˧˦"
"慢"	"慢"	"mae6"	"mɛ˨˨"
"漫"	"漫"	"mae6"	"mɛ˨˨"
"幔"	"幔"	"mae6"	"mɛ˨˨"
"萬"	"萬"	"mae6"	"mɛ˨˨"
"蔓"	"蔓"	"mae6"	"mɛ˨˨"
"邁"	"邁"	"mae6"	"mɛ˨˨"
"番"	"番"	"fae1"	"fɛ˦˦"
"翻"	"翻"	"fae1"	"fɛ˦˦"
"藩"	"藩"	"fae1"	"fɛ˦˦"
"反"	"反"	"fae3"	"fɛ˦˥"
"泛"	"泛"	"fae5"	"fɛ˥˨"
"販"	"販"	"fae5"	"fɛ˥˨"
"凡"	"凡"	"vae2"	"vɛ˧˩"
"帆"	"帆"	"vae2"	"vɛ˧˩"
"頑"	"頑"	"vae2"	"vɛ˧˩"
"還"	"還"	"vae2"	"vɛ˧˩"
"環"	"環"	"vae2"	"vɛ˧˩"
"患"	"患"	"vae2"	"vɛ˧˩"
"宦"	"宦"	"vae2"	"vɛ˧˩"
"煩"	"煩"	"vae2"	"vɛ˧˩"
"礬"	"礬"	"vae2"	"vɛ˧˩"
"繁"	"繁"	"vae2"	"vɛ˧˩"
"犯"	"犯"	"vae4"	"vɛ˧˦"
"範"	"範"	"vae4"	"vɛ˧˦"
"晚"	"晚"	"vae4"	"vɛ˧˦"
"飯"	"飯"	"vae6"	"vɛ˨˨"
"換"	"換"	"vae6"	"vɛ˨˨"
"耽"	"耽"	"tae1"	"tɛ˦˦"
"擔"	"擔"	"tae1"	"tɛ˦˦"
"丹"	"丹"	"tae1"	"tɛ˦˦"
"單"	"單"	"tae1"	"tɛ˦˦"
"膽"	"膽"	"tae3"	"tɛ˦˥"
"撣"	"撣"	"tae3"	"tɛ˦˥"
"擔"	"擔"	"tae5"	"tɛ˥˨"
"旦"	"旦"	"tae5"	"tɛ˥˨"
"誕"	"誕"	"tae5"	"tɛ˥˨"
"坍"	"坍"	"thae1"	"tʰɛ˦˦"
"灘"	"灘"	"thae1"	"tʰɛ˦˦"
"攤"	"攤"	"thae1"	"tʰɛ˦˦"
"拖"	"拖"	"thae1"	"tʰɛ˦˦"
"坦"	"坦"	"thae3"	"tʰɛ˦˥"
"毯"	"毯"	"thae3"	"tʰɛ˦˥"
"炭"	"炭"	"thae5"	"tʰɛ˥˨"
"歎"	"歎"	"thae5"	"tʰɛ˥˨"
"潭"	"潭"	"dae2"	"dɛ˧˩"
"譚"	"譚"	"dae2"	"dɛ˧˩"
"燎"	"燎"	"dae2"	"dɛ˧˩"
"談"	"談"	"dae2"	"dɛ˧˩"
"痰"	"痰"	"dae2"	"dɛ˧˩"
"檀"	"檀"	"dae2"	"dɛ˧˩"
"壇"	"壇"	"dae2"	"dɛ˧˩"
"彈"	"彈"	"dae2"	"dɛ˧˩"
"淡"	"淡"	"dae4"	"dɛ˧˦"
"坦"	"坦"	"dae6"	"dɛ˨˨"
"但"	"但"	"dae6"	"dɛ˨˨"
"彈"	"彈"	"dae6"	"dɛ˨˨"
"蛋"	"蛋"	"dae6"	"dɛ˨˨"
"難"	"難"	"nae2"	"nɛ˧˩"
"難"	"難"	"nae6"	"nɛ˨˨"
"蘭"	"蘭"	"lae2"	"lɛ˧˩"
"藍"	"藍"	"lae2"	"lɛ˧˩"
"籃"	"籃"	"lae2"	"lɛ˧˩"
"欄"	"欄"	"lae2"	"lɛ˧˩"
"攔"	"攔"	"lae2"	"lɛ˧˩"
"覽"	"覽"	"lae4"	"lɛ˧˦"
"攬"	"攬"	"lae4"	"lɛ˧˦"
"欖"	"欖"	"lae4"	"lɛ˧˦"
"懶"	"懶"	"lae4"	"lɛ˧˦"
"濫"	"濫"	"lae6"	"lɛ˨˨"
"爛"	"爛"	"lae6"	"lɛ˨˨"
"纜"	"纜"	"lae6"	"lɛ˨˨"
"三"	"三"	"sae1"	"sɛ˦˦"
"杉"	"杉"	"sae1"	"sɛ˦˦"
"衫"	"衫"	"sae1"	"sɛ˦˦"
"山"	"山"	"sae1"	"sɛ˦˦"
"刪"	"刪"	"sae1"	"sɛ˦˦"
"散"	"散"	"sae3"	"sɛ˦˥"
"傘"	"傘"	"sae3"	"sɛ˦˥"
"散"	"散"	"sae5"	"sɛ˥˨"
"讒"	"讒"	"zae2"	"zɛ˧˩"
"饞"	"饞"	"zae2"	"zɛ˧˩"
"斬"	"斬"	"cae3"	"tɕɛ˦˥"
"盞"	"盞"	"cae3"	"tɕɛ˦˥"
"灒"	"灒"	"cae5"	"tɕɛ˥˨"
"濺"	"濺"	"cae5"	"tɕɛ˥˨"
"蘸"	"蘸"	"cae5"	"tɕɛ˥˨"
"贊"	"贊"	"cae5"	"tɕɛ˥˨"
"餐"	"餐"	"chae1"	"tɕʰɛ˦˦"
"攙"	"攙"	"chae1"	"tɕʰɛ˦˦"
"產"	"產"	"chae3"	"tɕʰɛ˦˥"
"鏟"	"鏟"	"chae3"	"tɕʰɛ˦˥"
"燦"	"燦"	"chae5"	"tɕʰɛ˥˨"
"殘"	"殘"	"jae2"	"dʑɛ˧˩"
"慚"	"慚"	"jae2"	"dʑɛ˧˩"
"賺"	"賺"	"jae4"	"dʑɛ˧˦"
"暫"	"暫"	"jae6"	"dʑɛ˨˨"
"站"	"站"	"jae6"	"dʑɛ˨˨"
"綻"	"綻"	"jae6"	"dʑɛ˨˨"
"棧"	"棧"	"jae6"	"dʑɛ˨˨"
"尷"	"尷"	"kae1"	"kɛ˦˦"
"監"	"監"	"kae1"	"kɛ˦˦"
"艱"	"艱"	"kae1"	"kɛ˦˦"
"間"	"間"	"kae1"	"kɛ˦˦"
"奸"	"奸"	"kae1"	"kɛ˦˦"
"澗"	"澗"	"kae1"	"kɛ˦˦"
"鐧"	"鐧"	"kae1"	"kɛ˦˦"
"減"	"減"	"kae3"	"kɛ˦˥"
"搛"	"搛"	"kae3"	"kɛ˦˥"
"簡"	"簡"	"kae3"	"kɛ˦˥"
"襇"	"襇"	"kae3"	"kɛ˦˥"
"柬"	"柬"	"kae3"	"kɛ˦˥"
"間"	"間"	"kae3"	"kɛ˦˥"
"鑒"	"鑒"	"kae5"	"kɛ˥˨"
"監"	"監"	"kae5"	"kɛ˥˨"
"諫"	"諫"	"kae5"	"kɛ˥˨"
"鉛"	"鉛"	"khae1"	"kʰɛ˦˦"
"艦"	"艦"	"khae3"	"kʰɛ˦˥"
"嵌"	"嵌"	"khae5"	"kʰɛ˥˨"
"銜"	"銜"	"gae2"	"gɛ˧˩"
"關"	"關"	"kuae1"	"kuɛ˦˦"
"拐"	"拐"	"kuae3"	"kuɛ˦˥"
"慣"	"慣"	"kuae5"	"kuɛ˥˨"
"寬"	"寬"	"khuae1"	"kʰuɛ˦˦"
"彎"	"彎"	"uae1"	"ʔuɛ˦˦"
"灣"	"灣"	"uae1"	"ʔuɛ˦˦"
"皖"	"皖"	"uae3"	"ʔuɛ˦˥"
"挽"	"挽"	"uae3"	"ʔuɛ˦˥"
"幻"	"幻"	"uae3"	"ʔuɛ˦˥"
"喊"	"喊"	"hae3"	"hɛ˦˥"
"函"	"函"	"ghae2"	"ɦɛ˧˩"
"鹹"	"鹹"	"ghae2"	"ɦɛ˧˩"
"閑"	"閑"	"ghae2"	"ɦɛ˧˩"
"嫌"	"嫌"	"ghae2"	"ɦɛ˧˩"
"限"	"限"	"ghae4"	"ɦɛ˧˦"
"陷"	"陷"	"ghae6"	"ɦɛ˨˨"
"餡"	"餡"	"ghae6"	"ɦɛ˨˨"
"晏"	"晏"	"ae5"	"ʔɛ˥˨"
"擺"	"擺"	"pe3"	"pe˦˥"
"拜"	"拜"	"pe5"	"pe˥˨"
"百"	"百"	"pe7"	"pe˧˨˧"
"柏"	"柏"	"pe7"	"pe˧˨˧"
"伯"	"伯"	"pe7"	"pe˧˨˧"
"迫"	"迫"	"pe7"	"pe˧˨˧"
"檗"	"檗"	"pe7"	"pe˧˨˧"
"派"	"派"	"phe5"	"pʰe˥˨"
"泊"	"泊"	"phe7"	"pʰe˧˨˧"
"拍"	"拍"	"phe7"	"pʰe˧˨˧"
"魄"	"魄"	"phe7"	"pʰe˧˨˧"
"擘"	"擘"	"phe7"	"pʰe˧˨˧"
"帕"	"帕"	"phe7"	"pʰe˧˨˧"
"排"	"排"	"be2"	"be˧˩"
"牌"	"牌"	"be2"	"be˧˩"
"罷"	"罷"	"me4"	"me˧˦"
"毗"	"毗"	"me4"	"me˧˦"
"敗"	"敗"	"me6"	"me˨˨"
"白"	"白"	"me8"	"me˨˩˨"
"帛"	"帛"	"me8"	"me˨˩˨"
"買"	"買"	"me4"	"me˧˦"
"賣"	"賣"	"me6"	"me˨˨"
"罵"	"罵"	"me6"	"me˨˨"
"麥"	"麥"	"me8"	"me˨˩˨"
"埋"	"埋"	"me8"	"me˨˩˨"
"脈"	"脈"	"me8"	"me˨˩˨"
"陌"	"陌"	"me8"	"me˨˩˨"
"豁"	"豁"	"fe7"	"fe˧˨˧"
"懷"	"懷"	"ve2"	"ve˧˩"
"淮"	"淮"	"ve2"	"ve˧˩"
"槐"	"槐"	"ve2"	"ve˧˩"
"壞"	"壞"	"ve6"	"ve˨˨"
"外"	"外"	"ve6"	"ve˨˨"
"劃"	"劃"	"ve8"	"ve˨˩˨"
"獲"	"獲"	"ve8"	"ve˨˩˨"
"帶"	"帶"	"te5"	"te˥˨"
"戴"	"戴"	"te5"	"te˥˨"
"答"	"答"	"te7"	"te˧˨˧"
"臺"	"臺"	"the1"	"tʰe˦˦"
"胎"	"胎"	"the1"	"tʰe˦˦"
"貪"	"貪"	"the1"	"tʰe˦˦"
"態"	"態"	"the5"	"tʰe˥˨"
"貸"	"貸"	"the5"	"tʰe˥˨"
"太"	"太"	"the5"	"tʰe˥˨"
"泰"	"泰"	"the5"	"tʰe˥˨"
"探"	"探"	"the5"	"tʰe˥˨"
"苔"	"苔"	"the5"	"tʰe˥˨"
"臺"	"臺"	"de2"	"de˧˩"
"苔"	"苔"	"de2"	"de˧˩"
"抬"	"抬"	"de2"	"de˧˩"
"待"	"待"	"de4"	"de˧˦"
"簟"	"簟"	"de4"	"de˧˦"
"大"	"大"	"de6"	"de˨˨"
"代"	"代"	"de6"	"de˨˨"
"袋"	"袋"	"de6"	"de˨˨"
"汰"	"汰"	"de6"	"de˨˨"
"怠"	"怠"	"de6"	"de˨˨"
"南"	"南"	"ne2"	"ne˧˩"
"男"	"男"	"ne2"	"ne˧˩"
"乃"	"乃"	"ne4"	"ne˧˦"
"耐"	"耐"	"ne4"	"ne˧˦"
"奈"	"奈"	"ne6"	"ne˨˨"
"納"	"納"	"ne8"	"ne˨˩˨"
"旦"	"旦"	"ne8"	"ne˨˩˨"
"來"	"來"	"le2"	"le˧˩"
"賴"	"賴"	"le6"	"le˨˨"
"癩"	"癩"	"le6"	"le˨˨"
"鯉"	"鯉"	"le6"	"le˨˨"
"肋"	"肋"	"le8"	"le˨˩˨"
"勒"	"勒"	"le8"	"le˨˩˨"
"灑"	"灑"	"se1"	"se˦˦"
"駛"	"駛"	"se3"	"se˦˥"
"曬"	"曬"	"se5"	"se˥˨"
"賽"	"賽"	"se5"	"se˥˨"
"瑟"	"瑟"	"se7"	"se˧˨˧"
"木"	"木"	"ze2"	"ze˧˩"
"材"	"材"	"ze2"	"ze˧˩"
"財"	"財"	"ze2"	"ze˧˩"
"裁"	"裁"	"ze2"	"ze˧˩"
"豺"	"豺"	"ze2"	"ze˧˩"
"柴"	"柴"	"ze2"	"ze˧˩"
"截"	"截"	"ze2"	"ze˧˩"
"在"	"在"	"ze4"	"ze˧˦"
"寨"	"寨"	"ze6"	"ze˨˨"
"雜"	"雜"	"ze8"	"ze˨˩˨"
"賊"	"賊"	"ze8"	"ze˨˩˨"
"災"	"災"	"ce1"	"tɕe˦˦"
"栽"	"栽"	"ce1"	"tɕe˦˦"
"齋"	"齋"	"ce1"	"tɕe˦˦"
"宰"	"宰"	"ce3"	"tɕe˦˥"
"再"	"再"	"ce5"	"tɕe˥˨"
"僨"	"僨"	"ce5"	"tɕe˥˨"
"載"	"載"	"ce5"	"tɕe˥˨"
"宰"	"宰"	"ce5"	"tɕe˥˨"
"測"	"測"	"ce7"	"tɕe˧˨˧"
"摘"	"摘"	"ce7"	"tɕe˧˨˧"
"責"	"責"	"ce7"	"tɕe˧˨˧"
"猜"	"猜"	"che1"	"tɕʰe˦˦"
"釵"	"釵"	"che1"	"tɕʰe˦˦"
"差"	"差"	"che1"	"tɕʰe˦˦"
"采"	"采"	"che3"	"tɕʰe˦˥"
"彩"	"彩"	"che3"	"tɕʰe˦˥"
"菜"	"菜"	"che5"	"tɕʰe˥˨"
"蔡"	"蔡"	"che5"	"tɕʰe˥˨"
"冊"	"冊"	"che7"	"tɕʰe˧˨˧"
"策"	"策"	"che7"	"tɕʰe˧˨˧"
"拆"	"拆"	"che7"	"tɕʰe˧˨˧"
"測"	"測"	"che7"	"tɕʰe˧˨˧"
"懌"	"懌"	"je8"	"dʑe˨˩˨"
"擇"	"擇"	"je8"	"dʑe˨˩˨"
"宅"	"宅"	"je8"	"dʑe˨˩˨"
"躡"	"躡"	"gne8"	"ȵe˨˩˨"
"芥"	"芥"	"gne8"	"ȵe˨˩˨"
"該"	"該"	"ke1"	"ke˦˦"
"皆"	"皆"	"ke1"	"ke˦˦"
"階"	"階"	"ke1"	"ke˦˦"
"街"	"街"	"ke1"	"ke˦˦"
"甘"	"甘"	"ke1"	"ke˦˦"
"柑"	"柑"	"ke1"	"ke˦˦"
"泔"	"泔"	"ke1"	"ke˦˦"
"根"	"根"	"ke1"	"ke˦˦"
"改"	"改"	"ke3"	"ke˦˥"
"解"	"解"	"ke3"	"ke˦˥"
"感"	"感"	"ke3"	"ke˦˥"
"敢"	"敢"	"ke3"	"ke˦˥"
"橄"	"橄"	"ke3"	"ke˦˥"
"幾"	"幾"	"ke3"	"ke˦˥"
"概"	"概"	"ke5"	"ke˥˨"
