#名稱：肥東古城話
#來源：安徽肥東古城方言同音字彙
#調值	"³¹","³⁵","²¹³","","⁵³","","⁴⁴"
pɿ1	屄
ʂuɑ̃1	霜孀雙
ʂuɑ̃3	爽
kuɑ̃1	光
kuɑ̃3	廣
kuɑ̃5	逛光{～鬍子}
kʰuɑ̃1	桄匡筐眶
kʰuɑ̃2	狂
kʰuɑ̃5	曠況礦
xuɑ̃1	慌
xuɑ̃2	黃簧皇蝗
xuɑ̃3	謊
xuɑ̃5	晃
uɑ̃1	汪
uɑ̃2	亡芒王
uɑ̃3	網枉往
uɑ̃5	忘妄望旺
tõ1	端
tõ3	短
tõ5	斷鍛斷段緞椴
tʰõ2	團
lõ2	𢺈{趕牲畜}
lõ3	暖卵
lõ5	亂
ʦõ1	鑽
ʦõ3	籫{花生～子:花生殼上的尾巴}
ʦõ5	鑽
ʦʰõ1	汆
ʦʰõ5	竄篡
sõ1	酸
sõ5	算蒜
tʂõ1	專磚
tʂõ3	轉
tʂõ5	賺1轉篆傳
tʂʰõ1	穿
tʂʰõ2	傳椽船
tʂʰõ3	喘
tʂʰõ5	串
kõ1	官棺觀冠
kõ3	管館
kõ5	貫灌罐觀冠
kʰõ1	寬
kʰõ3	款
xõ1	歡□{混淆}
xõ2	橫
xõ3	緩
xõ5	喚煥換幻患宦
õ1	豌
õ2	完丸
õ3	碗腕
piɪn1	彬賓殯冰兵
piɪn3	稟丙秉柄餅
piɪn5	病並
pʰiɪn1	姘拼
pʰiɪn2	貧頻憑平坪評瓶屏萍
pʰiɪn3	品
miɪn2	民鳴明名銘瞑
miɪn3	閩憫敏抿
miɪn5	命
tiɪn1	丁釘靪疔
tiɪn3	頂鼎
tiɪn5	釘訂錠定掟{打}
tʰiɪn1	聽廳
tʰiɪn2	亭停廷庭蜓
tʰiɪn3	艇挺
ʨiɪn1	今金襟津巾斤筋京荊驚鯨精晶睛經徑
ʨiɪn3	錦僅1緊謹莖景警井頸
ʨiɪn5	禁進晉盡勁近境敬竟鏡競靜靖淨
ʨʰiɪn1	浸侵欽親卿清輕青蜻
ʨʰiɪn2	琴禽擒秦勤芹情晴
ʨʰiɪn3	寢請
ʨʰiɪn5	僅2{～喫:只吃東西不做事}慶磬
ȵȡiɪn1	拎
ȵȡiɪn2	林淋臨吟戀鄰鱗磷陵凌菱凝寧靈零鈴伶
ȵȡiɪn3	領嶺
ȵȡiɪn5	凝另
ɕiɪn1	心辛新薪欣興星腥馨
ɕiɪn2	行形型刑
ɕiɪn3	醒
ɕiɪn5	信釁興杏幸性姓
iɪn1	音陰因姻洇殷鷹蠅鶯鸚櫻英嬰纓
iɪn2	淫銀寅盈贏營塋螢
iɪn3	飲蔭酒引隱影穎
iɪn5	飲印暈1允2尹應映
ʨyɪn1	肫均鈞君軍
ʨyɪn3	菌
ʨyɪn5	俊郡
ʨʰyɪn2	羣傾頃苘
ɕyɪn1	燻勳薰
ɕyɪn2	尋荀旬循巡
ɕyɪn3	□{～臉:一般指小孩子厚着臉皮做某事}
ɕyɪn5	訊迅殉訓
yɪn1	暈2
yɪn2	勻雲
yɪn3	允1永泳
yɪn5	熨韻孕
pən1	奔
pən3	本
pən5	笨
pʰən1	噴烹
pʰən2	盆
pʰən5	噴{～香}
mən1	□{用力打}
mən2	門
mən5	悶
fən1	分芬紛
fən2	墳
fən3	粉焚
fən5	糞奮憤份
tən1	敦墩蹲登燈澄蹬
tən3	等
tən5	頓飩沌盾鈍盾凳鐙鄧澄瞪
tʰən1	吞
tʰən2	屯豚臀囤騰謄藤疼
tʰən5	褪
lən1	□{等一等}
lən2	侖倫淪輪能
lən3	冷
lən5	嫩論楞
ʦən1	尊遵曾增僧爭箏睜
ʦən3	怎
ʦən5	贈
ʦʰən1	村皴撐
ʦʰən2	存曾層□{抵得上,相當於}
ʦʰən3	磣□{形容很讒的喫相}
ʦʰən5	襯寸榫牚
sən1	森參孫生牲笙甥
sən3	損筍省
sən5	滲遜
tʂən1	針斟珍臻真徵蒸貞偵正徵
tʂən3	枕診疹拯整扭{擰}
tʂən5	鎮陣振震證症鄭正政
tʂʰən1	稱
tʂʰən2	沉陳塵晨臣脣懲乘承丞澄呈程成城誠盛
tʂʰən5	趁稱相
ʂən1	深申伸聲
ʂən2	神辰繩
ʂən3	沈審嬸
ʂən5	麝1甚腎慎剩勝聖盛
ʐən2	人仁
ʐən3	忍仍扔
ʐən5	壬任紉刃認潤閏
kən1	跟根更庚羹耕
kən3	粳哽埂梗耿
kən5	更
kʰən1	坑
kʰən3	懇墾齦肯
kʰən5	顉{～頭}
ŋən1	恩
ŋən5	硬
xən2	痕恆衡
xən3	很狠
xən5	恨
tʂun3	準
tʂʰun1	椿春
tʂʰun2	醇
tʂʰun3	蠢
ʂun2	純
ʂun5	順舜
kun3	滾
kun5	棍
kʰun1	昆崑{～崙}坤
kʰun3	捆
kʰun5	困睏{犯～}
xun1	昏婚葷
xun2	茴魂餛渾
xun5	混
un1	溫瘟
un2	文紋蚊聞
un3	穩吻穩{～子:由各種細小的草木和灰塵組成}脗{粘}
un5	問
poŋ1	般2搬崩
poŋ5	半伴拌蚌1
pʰoŋ1	潘
pʰoŋ2	盤朋彭膨棚篷蓬
pʰoŋ3	捧
moŋ1	滿1
moŋ2	瞞饅盟蒙
moŋ3	滿2猛蠓𩛎{～～子:幼兒用的小碗}
moŋ5	孟夢
fʌŋ1	風楓瘋豐封峯蜂鋒逢縫{～衣}
fʌŋ2	馮
fʌŋ3	否諷
fʌŋ5	鳳奉俸縫{一條～}
tʌŋ1	東冬
tʌŋ3	董懂
tʌŋ5	凍棟動洞
tʰʌŋ1	通
tʰʌŋ2	疃同銅桐童瞳
tʰʌŋ3	桶捅筒統捅{挪}
tʰʌŋ5	痛
lʌŋ2	鸞齈籠聾農膿儂隆濃龍𩟊{將就}
lʌŋ3	攏隴壟
lʌŋ5	弄
ʦʌŋ1	棕鬃宗綜蹤
ʦʌŋ3	總
ʦʌŋ5	糉縱
ʦʰʌŋ1	聰匆蔥囪
ʦʰʌŋ2	叢崇從重2
sʌŋ1	松鬆
sʌŋ2	慫叢{一～:全部；總共}
sʌŋ3	㩳{踢}
sʌŋ5	送宋誦頌訟
tʂʌŋ1	中{當～}忠終鍾鐘{～錶}盅
tʂʌŋ3	種{～類}腫喠{喫，貶義：給你～}
tʂʌŋ5	中{射～}仲衆重{輕～}種{～樹}
tʂʰʌŋ1	充衝摏{打人；用力釘進去}
tʂʰʌŋ2	蟲重{～複}
tʂʰʌŋ3	寵
tʂʰʌŋ5	銃舂
ʐʌŋ2	絨茸
kʌŋ1	公蚣工功弓躬宮恭
kʌŋ3	拱鞏
kʌŋ5	貢供共
kʰʌŋ1	空{～虛}
kʰʌŋ3	孔恐
kʰʌŋ5	控空{～缺}
ŋʌŋ1	翁甕
xʌŋ1	轟揈烘
xʌŋ2	弘宏紅洪鴻虹
xʌŋ3	哄
ʨʰiʌŋ2	瓊窮
ɕiʌŋ1	兄胸凶{吉～}兇{～惡}
ɕiʌŋ2	熊雄㕳{批評、斥責}
iʌŋ1	壅
iʌŋ2	榮融容蓉鎔
iʌŋ3	雍擁庸甬勇湧
iʌŋ5	用
