"繁體"	"简体"	"音標"	"注釋"	"声"	"韵"	"调"
"也"	"也"	"ji˩˧"		"j"	"i"	"˩˧"
"野"	"野"	"ji˩˧"		"j"	"i"	"˩˧"
"夜"	"夜"	"ji˨˨"		"j"	"i"	"˨˨"
"傻"	"傻"	"su˧˥"		"s"	"u"	"˧˥"
"耍"	"耍"	"su˧˥"		"s"	"u"	"˧˥"
"瓜"	"瓜"	"ku˦˦"		"k"	"u"	"˦˦"
"蝸"	"蜗"	"ʔu˦˦"		"ʔ"	"u"	"˦˦"
"寡"	"寡"	"ku˧˥"		"k"	"u"	"˧˥"
"剮"	"剐"	"ku˧˥"		"k"	"u"	"˧˥"
"咵"	"咵"	"kʰu˦˦"		"kʰ"	"u"	"˦˦"
"垮"	"垮"	"kʰu˧˥"		"kʰ"	"u"	"˧˥"
"跨"	"跨"	"kʰu˥˨"		"kʰ"	"u"	"˥˨"
"娃"	"娃"	"ʔu˦˦"		"ʔ"	"u"	"˦˦"
"瓦"	"瓦"	"ŋu˩˧"		"ŋ"	"u"	"˩˧"
"花"	"花"	"hu˦˦"		"h"	"u"	"˦˦"
"化"	"化"	"hu˥˨"		"h"	"u"	"˥˨"
"華"	"华"	"ɦu˧˩"		"ɦ"	"u"	"˧˩"
"華"	"华"	"ɦu˨˨"		"ɦ"	"u"	"˨˨"
"蛙"	"蛙"	"ʔu˦˦"		"ʔ"	"u"	"˦˦"
"窪"	"洼"	"ʔu˦˦"		"ʔ"	"u"	"˦˦"
"補"	"补"	"pʉ˧˥"		"p"	"ʉ"	"˧˥"
"譜"	"谱"	"pʉ˧˥"		"p"	"ʉ"	"˧˥"
"布"	"布"	"pʉ˥˨"		"p"	"ʉ"	"˥˨"
"布"	"布"	"pu˥˨"		"p"	"u"	"˥˨"
"鋪"	"铺"	"pʰu˥˨"		"pʰ"	"u"	"˥˨"
"普"	"普"	"pʰu˧˥"		"pʰ"	"u"	"˧˥"
"浦"	"浦"	"pʰu˧˥"		"pʰ"	"u"	"˧˥"
"鋪"	"铺"	"pʰu˦˦"		"pʰ"	"u"	"˦˦"
"怖"	"怖"	"pu˥˨"		"p"	"u"	"˥˨"
"菩"	"菩"	"bu˧˩"		"b"	"u"	"˧˩"
"蒲"	"蒲"	"bu˧˩"		"b"	"u"	"˧˩"
"脯"	"脯"	"fʋ˧˥"		"f"	"ʋ"	"˧˥"
"脯"	"脯"	"bu˧˩"		"b"	"u"	"˧˩"
"部"	"部"	"bu˨˨"		"b"	"u"	"˨˨"
