"繁體"	"簡體"	"拼音"	"音標"
"諒"	"諒"	"li6"	"li˨˨"
"立"	"立"	"li8"	"li˨˩˧"
"例"	"例"	"li8"	"li˨˩˧"
"栗"	"栗"	"li8"	"li˨˩˧"
"笠"	"笠"	"li8"	"li˨˩˧"
"列"	"列"	"li8"	"li˨˩˧"
"烈"	"烈"	"li8"	"li˨˩˧"
"裂"	"裂"	"li8"	"li˨˩˧"
"律"	"律"	"li8"	"li˨˩˧"
"率"	"率"	"li8"	"li˨˩˧"
"尖"	"尖"	"ci1"	"tɕi˧˧"
"肩"	"肩"	"ci1"	"tɕi˧˧"
"兼"	"兼"	"ci1"	"tɕi˧˧"
"堅"	"堅"	"ci1"	"tɕi˧˧"
"煎"	"煎"	"ci1"	"tɕi˧˧"
"箋"	"箋"	"ci1"	"tɕi˧˧"
"殲"	"殲"	"ci1"	"tɕi˧˧"
"將"	"將"	"ci1"	"tɕi˧˧"
"僵"	"僵"	"ci1"	"tɕi˧˧"
"漿"	"漿"	"ci1"	"tɕi˧˧"
"薑"	"薑"	"ci1"	"tɕi˧˧"
"疆"	"疆"	"ci1"	"tɕi˧˧"
"韁"	"韁"	"ci1"	"tɕi˧˧"
"沾"	"沾"	"ci1"	"tɕi˧˧"
"詹"	"詹"	"ci1"	"tɕi˧˧"
"氈"	"氈"	"ci1"	"tɕi˧˧"
"瞻"	"瞻"	"ci1"	"tɕi˧˧"
"占"	"占"	"ci1"	"tɕi˧˧"
"占"	"占"	"ci1"	"tɕi˧˧"
"章"	"章"	"ci1"	"tɕi˧˧"
"張"	"張"	"ci1"	"tɕi˧˧"
"彰"	"彰"	"ci1"	"tɕi˧˧"
"樟"	"樟"	"ci1"	"tɕi˧˧"
"障"	"障"	"ci1"	"tɕi˧˧"
"長"	"長"	"ci3"	"tɕi˧˥"
"剪"	"剪"	"ci3"	"tɕi˧˥"
"檢"	"檢"	"ci3"	"tɕi˧˥"
"繭"	"繭"	"ci3"	"tɕi˧˥"
"蔣"	"蔣"	"ci3"	"tɕi˧˥"
"槳"	"槳"	"ci3"	"tɕi˧˥"
"獎"	"獎"	"ci3"	"tɕi˧˥"
"展"	"展"	"ci3"	"tɕi˧˥"
"掌"	"掌"	"ci3"	"tɕi˧˥"
"漲"	"漲"	"ci3"	"tɕi˧˥"
"顫"	"顫"	"ci5"	"tɕi˥˨"
"見"	"見"	"ci5"	"tɕi˥˨"
"建"	"建"	"ci5"	"tɕi˥˨"
"箭"	"箭"	"ci5"	"tɕi˥˨"
"劍"	"劍"	"ci5"	"tɕi˥˨"
"薦"	"薦"	"ci5"	"tɕi˥˨"
"餞"	"餞"	"ci5"	"tɕi˥˨"
"濺"	"濺"	"ci5"	"tɕi˥˨"
"將"	"將"	"ci5"	"tɕi˥˨"
