"#注释"	"《瑞安湖岭方言音系（太田斋）》，转录者落橙，校对者阿缨"
"pʰ"	"[1]喷{～水}[5]喷{～香，～嚏}"
"b"	"[2]塳[6]笨"
"ˀm"	"[3]门{～前}"
"m"	"[2]门蚊明{～年～朝}[6]闷忘{～记}"
"f"	"[1]分{～开}芬纷[3]粉[5]粪奋"
"ˀv"	"[1]□{蹲}"
"v"	"[2]坟文纹蚊闻[4]焚愤忿吻刎[6]馄浑混份问"
"t"	"[1]登灯肫{鸡～}[3]等丼{酒～：酒靥}[5]顿托凳鐙"
"tʰ"	"[1]□{凸}[5]瞪"
"d"	"[2]腾誊藤疼邓饨[4]断[6]𥫱{丢，录者以为遁}"
"n"	"[2]能人{种田～：农民}[4]暖"
"ˀl"	"[3]卵"
"l"	"[2]仑伦沦轮楞薐{菠～菜}"
"ts"	"[1]针津珍榛臻真诊疹曾{姓}增憎蹭[3]斟枕[5]浸进晋镇振震"
"tsʰ"	"[1]亲[5]浸寝趁衬"
"dz"	"[2] 沉陈尘臣[6]阵慎"
"s"	"[1]心森参{人～}深辛新薪身申伸僧[3]沈审婶讯冗迅[5]信"
"z"	"[2]寻岑秦神娠辰晨人{工～}仁层[4]甚{桑～}甚尽肾[6]任{责～}曾{曾经}赠"
"tʃ"	"[1]今金襟巾斤筋京荆惊经茎[3]锦紧境景警颈径{捷～}[5]禁劲敬竟镜"
"tʃʰ"	"[1]钦卿轻磬[5]庆"
"dʒ"	"[2]琴禽擒妗勤擎鲸芹竞[4]赚近[6]谨仅"
"ʃ"	"[1]欣兴{～旺}馨[5]衅兴{高～}"
"ɲ"	"[2]吟银凝{汤凝成冻了}迎宁{安～，～可}妊[4]忍[6]壬任{姓}赁紝刃认韧"
"k"	"[1]跟昆[3]滚□{咙～：喉咙}[5]棍□{骂}"
"kʰ"	"[1] 坤啃[3]捆肯□{掩}啃{龈}垦恳[5]困"
"ɡ"	"[4]□{～脓：溃脓}"
"h"	"[3]很[5]夯"
"ɦ"	"[2]恒[6]恨"
"ˀj"	"[1]音阴荫因姻泅殷应{～当，～用}鹰蝇英婴缨道鹦樱[3]饮引隐尹影映[5]印应{～对，响～}"
"j"	"[2]淫寅盈羸形型刑颖孕"
"#eŋ"	""
"p"	"[1]彬宾槟殡鬓冰兵[3]禀丙秉饼[5]柄并{合并}"
"pʰ"	"[1]拼{性交}乒[3]品聘[5]拼女并{～头}"
"b"	"[2]贫频凭平坪评瓶屏萍[4]并{并列}[6]病"
"ˀm"	"[3]闽悯敏抿盟皿"
"m"	"[2]民明鸣名铭[6]命"
"t"	"[1]□{茧子}叮{蜂晳人}丁钉{铁～}靪丁疔汀[3]顶鼎[5]钉{钉住}订"
"tʰ"	"[1]听厅[3]艇挺"
"d"	"[2]亭停廷庭蜓[4]锭[6]定"
"ˀl"	"[1]扔[3]吝领岭□{完成}□{～□kaŋ³⁵ ：喉咙}[5]□{一点}"
"l"	"[2]林淋临標怜邻鳞磷陵凌菱灵零铃伶拎翎棱[6]令另咙{～喉}"
"ts"	"[1]征蒸拯精晶睛贞侦[3]井[5]证症整正政"
"tsʰ"	"[1]称清蛭{蛆子}青蜻[3]请[5]秤"
"dz"	"[2]澄逞呈程埕甑惩[6]剩郑"
"s"	"[1]升声星腥[3]省{反～}醒[5]胜性姓圣"
"z"	"[2]乘绳滕承丞仍情晴成城诚盛{盛满了}[4]静靖[6]净盛{兴盛}"
"#oŋ"	""
"p"	"[1]□{打～：接吻}[5]迸"
"pʰ"	"[3]捧"
"b"	"[2]朋棚篷蓬"
"ˀm"	"[3]懵"
"m"	"[2]芒{麦～}蒙蠓[6]梦"
"f"	"[1]风枫疯讽丰封峰蜂锋"
"v"	"[2]逢缝{～衣裳}[4]奉[6]凤缝{条～}"
"t"	"[1]东冬[3]董懂[5]冻栋"
"tʰ"	"[1]通爐捅[3]统[5]痛"
"d"	"[2]同铜桐筒童瞳[4]桶动[6]洞"
"ˀn"	"[5]糯脓"
"n"	"[2]浓农"
"ˀl"	"[3]拢陇"
"l"	"[2]笼聋隆[6]弄"
"ts"	"[1]宗鬃棕中{当～}忠综踪[3]总终[5]粽纵{放～}中{射～}"
"tsʰ"	"[1]聪匆葱囱充从{～容}冲[3]宠倾顷[5]蠢"
"s"	"[1]嵩松[5]送宋"
"z"	"[2]纯苑丛崇戎绒茸"
"tʃ"	"[1]腫{鸡～}均钧窘君军弓躬宫[3]准[5]俊众"
"tʃʰ"	"[1]穿{通过}椿春[5]串铳{土枪}"
"dʒ"	"[2]群裙琼虫仲穷[4]菌盾吮[6]郡"
"ʃ"	"[1]殉熏勋薰兄[3]笋榫[5]舜训"
"k"	"[1]杠扛公蚣工功攻[5]贡汞拱巩"
"kʰ"	"[1]空[3]孔[5]控"
"h"	"[1]轰烘[3]哄[5]嗅{用鼻子闻}"
"ˀ"	"[1]翁[5]瓮"
"ɦ"	"[2]弘宏红洪鸿虹冯"
"ˀj"	"[1]雍{～正皇帝}拥[3]允永泳咏"
"j"	"[2]旬循巡唇醇匀云荣营莹萤熊雄融容蓉焰庸□{两臂向左右伸张的长度}[4]蕈{红～：红颜色的野生蘑茹}[6]顺润闰韵运晕"
"#ŋ"	""
"ˀ"	"[3]我吾五伍午耳"
""	"[2]蛾鹅俄吴螟梧娱儿[4]我吾五伍午耳[6]卧误悟二贰"
